# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.44
metadata : {}


# id : NWRW1800000032.44.1.1
최태원-김준홍 연결고리 확인…비자금수사 번지나

최태원-김준홍	최태원/NNP+-/SO+김준홍/NNP
금융당국 관계자는 “물증은 확보하지 않았지만 정황상 공모 가능성이 높다고 봤다”고 밝혔다.

금융당국	금융/NNG+당국/NNG
관계자는	관계자/NNG+는/JX
“물증은	“/SS+물증/NNG+은/JX
확보하지	확보/NNG+하/XSV+지/EC
않았지만	않/VX+았/EP+지만/EC
정황상	정황/NNG+상/XSN
공모	공모/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높다고	높/VA+다고/EC
봤다”고	보/VV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.44.6.3
이 사건은 글로웍스 대표 박아무개씨가 허위 공시를 통해 주가를 부양한 뒤 수백억원대의 시세차익을 거뒀다는 게 뼈대다.

이	이/MMD
사건은	사건/NNG+은/JX
글로웍스	글로웍스/NNP
대표	대표/NNG
박아무개씨가	박/NNP+아무개/NP+씨/NNB+가/JKS
허위	허위/NNG
공시를	공시/NNG+를/JKO
통해	통하/VV+아/EC
주가를	주가/NNG+를/JKO
부양한	부양/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
수백억원대의	수백억/NR+원/NNB+대/XSN+의/JKG
시세차익을	시세/NNG+차익/NNG+을/JKO
거뒀다는	거두/VV+었/EP+다는/ETM
게	거/NNB+이/JKS
뼈대다.	뼈대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.44.7.1
문제는 검찰 수사 과정에서 에스케이 사주와 관련된 자금 흐름이 포착됐다는 점이다.

문제는	문제/NNG+는/JX
검찰	검찰/NNG
수사	수사/NNG
과정에서	과정/NNG+에서/JKB
에스케이	에스케이/NNP
사주와	사주/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
자금	자금/NNG
흐름이	흐름/NNG+이/JKS
포착됐다는	포착/NNG+되/XSV+었/EP+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.44.7.2
검찰은 지난 3월 베넥스인베스트먼트를 압수수색하면서 최 회장의 동생인 최재원 에스케이 수석부회장 소유의 170억원어치 수표 뭉치를 확보한다.

검찰은	검찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
베넥스인베스트먼트를	베넥스인베스트먼트/NNP+를/JKO
압수수색하면서	압수/NNG+수색/NNG+하/XSV+면서/EC
최	최/NNP
회장의	회장/NNG+의/JKG
동생인	동생/NNG+이/VCP+ㄴ/ETM
최재원	최재원/NNP
에스케이	에스케이/NNP
수석부회장	수석/NNG+부회장/NNG
소유의	소유/NNG+의/JKG
170억원어치	170/SN+억/NR+원/NNB+어치/XSN
수표	수표/NNG
뭉치를	뭉치/NNG+를/JKO
확보한다.	확보/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.44.7.3
또 에스케이텔레콤 등 에스케이 계열사가 베넥스인베스트먼트에 2800억원을 투자한 사실도 함께 드러난다.

또	또/MAG
에스케이텔레콤	에스케이텔레콤/NNP
등	등/NNB
에스케이	에스케이/NNP
계열사가	계열사/NNG+가/JKS
베넥스인베스트먼트에	베넥스인베스트먼트/NNP+에/JKB
2800억원을	2800/SN+억/NR+원/NNB+을/JKO
투자한	투자/NNG+하/XSV+ㄴ/ETM
사실도	사실/NNG+도/JX
함께	함께/MAG
드러난다.	드러나/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.44.7.4
단순한 주가조작 사건에서 비자금 의혹 사건으로 무게중심이 이동하는 순간이었다.

단순한	단순/NNG+하/XSA+ㄴ/ETM
주가조작	주가/NNG+조작/NNG
사건에서	사건/NNG+에서/JKB
비자금	비자금/NNG
의혹	의혹/NNG
사건으로	사건/NNG+으로/JKB
무게중심이	무게/NNG+중심/NNG+이/JKS
이동하는	이동/NNG+하/XSV+는/ETM
순간이었다.	순간/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000032.44.7.5
최 수석부회장은 지난 7월 출국금지 조처를 받고 검찰 소환을 앞두고 있다.

최	최/NNP
수석부회장은	수석/NNG+부회장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
출국금지	출국/NNG+금지/NNG
조처를	조처/NNG+를/JKO
받고	받/VV+고/EC
검찰	검찰/NNG
소환을	소환/NNG+을/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.44.8.1
그러나 최태원 회장은 비자금 의혹과 관련해 한발 물러나 있다.

그러나	그러나/MAJ
최태원	최태원/NNP
회장은	회장/NNG+은/JX
비자금	비자금/NNG
의혹과	의혹/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
한발	한발/MAG
물러나	물러나/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.44.8.2
검찰이 회삿돈 횡령이나 자금 세탁과 관련한 물증을 찾지 못했기 때문이다.

검찰이	검찰/NNG+이/JKS
회삿돈	회삿돈/NNG
횡령이나	횡령/NNG+이나/JC
자금	자금/NNG
세탁과	세탁/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
물증을	물증/NNG+을/JKO
찾지	찾/VV+지/EC
못했기	못하/VX+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.44.8.3
최 회장은 또 4000억원 이상의 합법적인 개인 자금을 확보하고 있어 굳이 비자금을 조성할 필요가 없다고 에스케이 쪽은 주장한다.

최	최/NNP
회장은	회장/NNG+은/JX
또	또/MAG
4000억원	4000/SN+억/NR+원/NNB
이상의	이상/NNG+의/JKG
합법적인	합법/NNG+적/XSN+이/VCP+ㄴ/ETM
개인	개인/NNG
자금을	자금/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
있어	있/VX+어/EC
굳이	굳이/MAG
비자금을	비자금/NNG+을/JKO
조성할	조성/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없다고	없/VA+다고/EC
에스케이	에스케이/NNP
쪽은	쪽/NNB+은/JX
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.44.8.4
이 때문에 검찰에선 “아직 사건이 무르익지 않았다”는 이야기만 흘러나온다.

이	이/MMD
때문에	때문/NNB+에/JKB
검찰에선	검찰/NNG+에서/JKB+ㄴ/JX
“아직	“/SS+아직/MAG
사건이	사건/NNG+이/JKS
무르익지	무르익/VV+지/EC
않았다”는	않/VX+았/EP+다/EF+”/SS+는/ETM
이야기만	이야기/NNG+만/JX
흘러나온다.	흘러나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.44.9.1
하지만 대출 보증으로 최 회장과 김씨와의 연결고리가 분명해졌다.

하지만	하지만/MAJ
대출	대출/NNG
보증으로	보증/NNG+으로/JKB
최	최/NNP
회장과	회장/NNG+과/JC
김씨와의	김/NNP+씨/NNB+와/JKB+의/JKG
연결고리가	연결/NNG+고리/NNG+가/JKS
분명해졌다.	분명/MAG+하/XSA+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.44.9.2
개인 보증을 설 정도라면 김씨가 최 회장의 개인 자금을 관리해왔을 가능성을 배제할 수 없다.

개인	개인/NNG
보증을	보증/NNG+을/JKO
설	서/VV+ㄹ/ETM
정도라면	정도/NNG+이/VCP+라면/EC
김씨가	김/NNP+씨/NNB+가/JKS
최	최/NNP
회장의	회장/NNG+의/JKG
자금을	자금/NNG+을/JKO
관리해왔을	관리/NNG+하/XSV+아/EC+오/VX+았/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
배제할	배제/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000032.44.9.3
최 회장이 아예 김씨 명의로 자금을 빌려 운용했을 수도 있다.

최	최/NNP
회장이	회장/NNG+이/JKS
아예	아예/MAG
김씨	김/NNP+씨/NNB
명의로	명의/NNG+로/JKB
자금을	자금/NNG+을/JKO
빌려	빌리/VV+어/EC
운용했을	운용/NNG+하/XSV+았/EP+을/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000032.44.9.4
김씨가 빌린 90억원의 실소유자가 최 회장으로 드러날 경우 최 회장과 김씨, 베넥스인베스트먼트 사이의 경계가 무너져내리게 된다.

김씨가	김/NNP+씨/NNB+가/JKS
빌린	빌리/VV+ㄴ/ETM
90억원의	90/SN+억/NR+원/NNB+의/JKG
실소유자가	실소유자/NNG+가/JKS
최	최/NNP
회장으로	회장/NNG+으로/JKB
드러날	드러나/VV+ㄹ/ETM
경우	경우/NNG
회장과	회장/NNG+과/JC
김씨,	김/NNP+씨/NNB+,/SP
베넥스인베스트먼트	베넥스인베스트먼트/NNP
사이의	사이/NNG+의/JKG
경계가	경계/NNG+가/JKS
무너져내리게	무너지/VV+어/EC+내리/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.44.10.1
이에 대해 금감원 관계자는 “제일저축은행 대출 건과 관련해 금융당국이 자금 용처를 따져볼 이유는 없다”며 “그것은 검찰의 몫”이라고 말했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
금감원	금감원/NNG
관계자는	관계자/NNG+는/JX
“제일저축은행	“/SS+제일저축은행/NNP
대출	대출/NNG
건과	건/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
금융당국이	금융/NNG+당국/NNG+이/JKS
자금	자금/NNG
용처를	용처/NNG+를/JKO
따져볼	따지/VV+어/EC+보/VX+ㄹ/ETM
이유는	이유/NNG+는/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“그것은	“/SS+그것/NP+은/JX
검찰의	검찰/NNG+의/JKG
몫”이라고	몫/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.44.10.2
에스케이 또한 “개인적인 친분에 따른 보증일 뿐”이라고 말을 아끼고 있다.

에스케이	에스케이/NNP
또한	또한/MAG
“개인적인	“/SS+개인/NNG+적/XSN+이/VCP+ㄴ/ETM
친분에	친분/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
보증일	보증/NNG+이/VCP+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SS+이라고/JKQ
말을	말/NNG+을/JKO
아끼고	아끼/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.44.11.1
검찰은 지난달 서울중앙지검 특수2부와 금융조세조사3부가 나눠 진행해오던 에스케이 비자금 의혹 관련 수사를 특수1부(부장 이중희)로 일원화했다.

검찰은	검찰/NNG+은/JX
지난달	지난달/NNG
서울중앙지검	서울중앙지검/NNP
특수2부와	특수/NNG+2/SN+부/NNG+와/JC
금융조세조사3부가	금융/NNG+조세/NNG+조사/NNG+3/SN+부/NNG+가/JKS
나눠	나누/VV+어/EC
진행해오던	진행/NNG+하/XSV+아/EC+오/VX+던/ETM
에스케이	에스케이/NNP
비자금	비자금/NNG
의혹	의혹/NNG
관련	관련/NNG
수사를	수사/NNG+를/JKO
특수1부(부장	특수/NNG+1/SN+부/NNG+(/SS+부장/NNG
이중희)로	이중희/NNP+)/SS+로/JKB
일원화했다.	일원/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.44.11.2
그러나 검찰 관계자는 “자료를 수집해보고 수면 위로 떠오르면 신속·정확하게 수사를 진행할 예정”이라고 말했다.

그러나	그러나/MAJ
검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“자료를	“/SS+자료/NNG+를/JKO
수집해보고	수집/NNG+하/XSV+아/EC+보/VX+고/EC
수면	수면/NNG
위로	위/NNG+로/JKB
떠오르면	떠오르/VV+면/EC
신속·정확하게	신속/NNG+·/SP+정확/NNG+하/XSA+게/EC
수사를	수사/NNG+를/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


