# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.50
metadata : {}


# id : NWRW1800000044.50.1.1
지자체장 4인의 농업미래 ‘4색 아이디어’

지자체장	지자체장/NNG
활로를	활로/NNG+를/JKO
모색하는	모색/NNG+하/XSV+는/ETM
자리였다.	자리/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000044.50.5.2
이날 행사 중 안희정 충남도지사, 원희룡 제주도지사, 염태영 수원시장, 박노욱 경북 봉화군수 등 4명의 지방자치단체장이 벌인 자유토론이 특히 눈길을 끌었다.

이날	이날/NNG
행사	행사/NNG
중	중/NNB
안희정	안희정/NNP
충남도지사,	충남/NNP+도지사/NNG+,/SP
원희룡	원희룡/NNP
제주도지사,	제주/NNP+도지사/NNG+,/SP
염태영	염태영/NNP
수원시장,	수원/NNP+시장/NNG+,/SP
박노욱	박노욱/NNP
경북	경북/NNP
봉화군수	봉화군수/NNG
등	등/NNB
4명의	4/SN+명/NNB+의/JKG
지방자치단체장이	지방/NNG+자치/NNG+단체장/NNG+이/JKS
벌인	벌이/VV+ㄴ/ETM
자유토론이	자유/NNG+토론/NNG+이/JKS
특히	특히/MAG
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.50.6.1
‘3농(농업·농촌·농민) 혁신’ ‘농협과 함께하는 지역혁신’을 주요 과제로 제시한 안희정 도지사는 “정부와 농민, 전문가, 농협이 머리를 맞대 농업문제를 풀어야 한다”고 말했다.

‘3농(농업·농촌·농민)	‘/SS+3농/NA+(/SS+농업/NNG+·/SP+농촌/NNG+·/SP+농민/NNG+)/SS
혁신’	혁신/NNG+’/SS
‘농협과	‘/SS+농협/NNP+과/JKB
함께하는	함께/MAG+하/XSV+는/ETM
지역혁신’을	지역/NNG+혁신/NNG+’/SS+을/JKO
주요	주요/NNG
과제로	과제/NNG+로/JKB
제시한	제시/NNG+하/XSV+ㄴ/ETM
안희정	안희정/NNP
도지사는	도지사/NNG+는/JX
“정부와	“/SS+정부/NNG+와/JC
농민,	농민/NNG+,/SP
전문가,	전문가/NNG+,/SP
농협이	농협/NNP+이/JKS
머리를	머리/NNG+를/JKO
맞대	맞대/VV+어/EC
농업문제를	농업/NNG+문제/NNG+를/JKO
풀어야	풀/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.50.7.1
원희룡 도지사는 “농업문제를 근본적으로 해결할 수 있는 힘과 방법은, 농민들 스스로와 관계자들이 제대로 문제를 드러내놓고 논의하는 것이다.

원희룡	원희룡/NNP
도지사는	도지사/NNG+는/JX
“농업문제를	“/SS+농업/NNG+문제/NNG+를/JKO
근본적으로	근본/NNG+적/XSN+으로/JKB
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
힘과	힘/NNG+과/JC
방법은,	방법/NNG+은/JX+,/SP
농민들	농민/NNG+들/XSN
스스로와	스스로/NNG+와/JKB
관계자들이	관계자/NNG+들/XSN+이/JKS
제대로	제대로/MAG
문제를	문제/NNG+를/JKO
드러내놓고	드러내/VV+어/EC+놓/VX+고/EC
논의하는	논의/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.50.7.2
생산자 조직화, 유통조절 및 가격지지 능력 확보가 중요하다”고 말했다.

생산자	생산자/NNG
조직화,	조직/NNG+화/XSN+,/SP
유통조절	유통/NNG+조절/NNG
및	및/MAG
가격지지	가격/NNG+지지/NNG
능력	능력/NNG
확보가	확보/NNG+가/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.50.8.1
염태영 시장은 “수원은 농업도시”라며 ‘도시농업의 활성화’를 강조했다.

염태영	염태영/NNP
시장은	시장/NNG+은/JX
“수원은	“/SS+수원/NNP+은/JX
농업도시”라며	농업/NNG+도시/NNG+”/SS+이/VCP+라며/EC
‘도시농업의	‘/SS+도시/NNG+농업/NNG+의/JKG
활성화’를	활성/NNG+화/XSN+’/SS+를/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.50.8.2
그는 “수원에 있던 농촌진흥청과 산하 기관 모두 전주 등 혁신도시로 가버렸지만, 영농과학의 중심지였던 전통을 살리기 위해, 그 기관들이 떠난 땅 3만평을 확보해 ‘국립농업역사문화체험관’을 만들기로 정부와 협약을 맺었다”고 밝혔다.

그는	그/NP+는/JX
“수원에	“/SS+수원/NNP+에/JKB
있던	있/VA+던/ETM
농촌진흥청과	농촌/NNG+진흥청/NNG+과/JC
산하	산하/NNG
기관	기관/NNG
모두	모두/MAG
전주	전주/NNP
등	등/NNB
혁신도시로	혁신/NNG+도시/NNG+로/JKB
가버렸지만,	가/VV+아/EC+버리/VX+었/EP+지만/EC+,/SP
영농과학의	영농/NNG+과학/NNG+의/JKG
중심지였던	중심지/NNG+이/VCP+었/EP+던/ETM
전통을	전통/NNG+을/JKO
살리기	살리/VV+기/ETN
위해,	위하/VV+아/EC+,/SP
그	그/MMD
기관들이	기관/NNG+들/XSN+이/JKS
떠난	떠나/VV+ㄴ/ETM
땅	땅/NNG
3만평을	3/SN+만/NR+평/NNB+을/JKO
확보해	확보/NNG+하/XSV+아/EC
‘국립농업역사문화체험관’을	‘/SS+국립농업역사문화체험관/NNP+’/SS+을/JKO
만들기로	만들/VV+기/ETN+로/JKB
정부와	정부/NNG+와/JKB
협약을	협약/NNG+을/JKO
맺었다”고	맺/VV+었/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.50.9.1
박노욱 군수는 “2010년부터 중앙정부가 (각 지방자치단체에) 농업회의소를 설립했지만 지지부진하다.

박노욱	박노욱/NNP
군수는	군수/NNG+는/JX
“2010년부터	“/SS+2010/SN+년/NNB+부터/JX
중앙정부가	중앙/NNG+정부/NNG+가/JKS
(각	(/SS+각/MMD
지방자치단체에)	지방/NNG+자치/NNG+단체/NNG+에/JKB+)/SS
농업회의소를	농업/NNG+회의소/NNG+를/JKO
설립했지만	설립/NNG+하/XSV+았/EP+지만/EC
지지부진하다.	지지부진/NNG+하/XSV+다/EF+./SF


# id : NWRW1800000044.50.9.2
농업회의소는 농민권익 대변단체로 거듭나고 있다.

농업회의소는	농업/NNG+회의소/NNG+는/JX
농민권익	농민/NNG+권익/NNG
대변단체로	대변/NNG+단체/NNG+로/JKB
거듭나고	거듭나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.50.9.3
중앙정부에서 다시 추진해야 한다”고 강조했다.

중앙정부에서	중앙/NNG+정부/NNG+에서/JKB
다시	다시/MAG
추진해야	추진/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


