# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.96
metadata : {}


# id : NWRW1800000036.96.1.1
‘무슬림의 무지’ 콥트교도가 만들었다

‘무슬림의	‘/SS+무슬림/NNG+의/JKG
각본이	각본/NNG+이/JKS
많이	많이/MAG
수정되는	수정/NNG+되/XSV+는/ETM
등	등/NNB
우리	우리/NP
모두	모두/MAG
속았다는	속/VV+았/EP+다는/ETM
사실을	사실/NNG+을/JKO
알게	알/VV+게/EC
돼	되/VV+어/EC
충격을	충격/NNG+을/JKO
받았다”고	받/VV+았/EP+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.96.9.2
단역을 맡았던 여배우 신디 리 가르시아는 영국 <가디언>과의 인터뷰에서 애초 각본의 제목은 ‘사막의 전사들’이었으며, 2000년 전에 이집트에서 어떤 일이 있었는지에 관한 영화일 뿐 이슬람을 모독하는 내용은 아니었다고 말했다.

단역을	단역/NNG+을/JKO
맡았던	맡/VV+았/EP+던/ETM
여배우	여배우/NNG
신디	신디/NNP
리	리/NNP
가르시아는	가르시아/NNP+는/JX
영국	영국/NNP
<가디언>과의	</SS+가디언/NNP+>/SS+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
애초	애초/NNG
각본의	각본/NNG+의/JKG
제목은	제목/NNG+은/JX
‘사막의	‘/SS+사막/NNG+의/JKG
전사들’이었으며,	전사/NNG+들/XSN+’/SS+이/VCP+었/EP+으며/EC+,/SP
2000년	2000/SN+년/NNB
전에	전/NNG+에/JKB
이집트에서	이집트/NNP+에서/JKB
어떤	어떤/MMD
일이	일/NNG+이/JKS
있었는지에	있/VV+었/EP+는지/EF+에/JKB
관한	관하/VV+ㄴ/ETM
영화일	영화/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
이슬람을	이슬람/NNG+을/JKO
모독하는	모독/NNG+하/XSV+는/ETM
내용은	내용/NNG+은/JX
아니었다고	아니/VCN+었/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.96.9.3
유튜브에 오른 영상은 매해 9월11일 ‘국제 무함마드(마호메트) 심판의 날’ 행사를 벌여온 미국 목사 테리 존스가 홍보하며 확산됐다.

유튜브에	유튜브/NNP+에/JKB
오른	오르/VV+ㄴ/ETM
영상은	영상/NNG+은/JX
매해	매해/MAG
9월11일	9/SN+월/NNB+11/SN+일/NNB
‘국제	‘/SS+국제/NNG
무함마드(마호메트)	무함마드/NNP+(/SS+마호메트/NNP+)/SS
심판의	심판/NNG+의/JKG
날’	날/NNG+’/SS
행사를	행사/NNG+를/JKO
벌여온	벌이/VV+어/EC+오/VX+ㄴ/ETM
미국	미국/NNP
목사	목사/NNG
테리	테리/NNP
존스가	존스/NNP+가/JKS
홍보하며	홍보/NNG+하/XSV+며/EC
확산됐다.	확산/NNG+되/XSV+었/EP+다/EF+./SF


