# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.106
metadata : {}


# id : NWRW1800000022.106.1.1
[고위 공직자 재산공개]실세도 株價 쇼크… 정몽준 2조, 이상득 12억 격감

[고위	[/SS+고위/NNG
운영비	운영비/NNG
통장이	통장/NNG+이/JKS
본인	본인/NNG
명의로	명의/NNG+로/JKB
개설되면서	개설/NNG+되/XSV+면서/EC
재산이	재산/NNG+이/JKS
161%	161/SN+%/SW
늘어나	늘어나/VV+아/EC
2억9000만원이었다.	2/SN+억/NR+9000/SN+만/NR+원/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.106.6.1
주식 투자를 하지 않는 박근혜 전 대표는 집값이 오르고 은행 이자가 붙어 5%(1억1385만원) 늘어난 23억1049만원을 신고했고, 홍준표 원내대표도 7%(1억8277만원) 늘어난 27억8185만원을 등록했다.

주식	주식/NNG
투자를	투자/NNG+를/JKO
하지	하/VV+지/EC
않는	않/VX+는/ETM
박근혜	박근혜/NNP
전	전/MMD
대표는	대표/NNG+는/JX
집값이	집값/NNG+이/JKS
오르고	오르/VV+고/EC
은행	은행/NNG
이자가	이자/NNG+가/JKS
붙어	붙/VV+어/EC
5%(1억1385만원)	5/SN+%/SW+(/SS+1/SN+억/NR+1385/SN+만/NR+원/NNB+)/SS
늘어난	늘어나/VV+ㄴ/ETM
23억1049만원을	23/SN+억/NR+1049/SN+만/NR+원/NNB+을/JKO
신고했고,	신고/NNG+하/XSV+았/EP+고/EC+,/SP
홍준표	홍준표/NNP
원내대표도	원내/NNG+대표/NNG+도/JX
7%(1억8277만원)	7/SN+%/SW+(/SS+1/SN+억/NR+8277/SN+만/NR+원/NNB+)/SS
27억8185만원을	27/SN+억/NR+8185/SN+만/NR+원/NNB+을/JKO
등록했다.	등록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.106.7.1
정몽준 최고위원은 본인이 보유한 현대중공업 주가 하락으로 지난해보다 1조9647억원이 감소한 1조6397억원을 신고했다.

정몽준	정몽준/NNP
최고위원은	최고/NNG+위원/NNG+은/JX
본인이	본인/NNG+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
현대중공업	현대중공업/NNP
주가	주가/NNG
하락으로	하락/NNG+으로/JKB
지난해보다	지난해/NNG+보다/JKB
1조9647억원이	1/SN+조/NR+9647/SN+억/NR+원/NNB+이/JKS
감소한	감소/NNG+하/XSV+ㄴ/ETM
1조6397억원을	1/SN+조/NR+6397/SN+억/NR+원/NNB+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.106.7.2
그는 또 지역구(서울 동작을) 내 서민 금융기관인 새마을금고 6곳에 1000만~2000만원씩을 예치해 놓고 있었다.

그는	그/NP+는/JX
또	또/MAG
지역구(서울	지역구/NNG+(/SS+서울/NNP
동작을)	동작을/NNP+)/SS
내	내/NNB
서민	서민/NNG
금융기관인	금융/NNG+기관/NNG+이/VCP+ㄴ/ETM
새마을금고	새마을금고/NNP
6곳에	6/SN+곳/NNG+에/JKB
1000만~2000만원씩을	1000/SN+만/NR+~/SO+2000/SN+만/NR+원/NNB+씩/XSN+을/JKO
예치해	예치/NNG+하/XSV+아/EC
놓고	놓/VX+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.106.8.1
정세균 민주당 대표는 부인이 이명박 대통령의 고향인 포항에 보유한 땅값이 1억3000만원이 오르는 등 지난해보다 10%(2억4657만원) 늘어난 26억5567만원을 신고했다.

정세균	정세균/NNP
민주당	민주당/NNP
대표는	대표/NNG+는/JX
부인이	부인/NNG+이/JKS
이명박	이명박/NNP
대통령의	대통령/NNG+의/JKG
고향인	고향/NNG+이/VCP+ㄴ/ETM
포항에	포항/NNP+에/JKB
보유한	보유/NNG+하/XSV+ㄴ/ETM
땅값이	땅값/NNG+이/JKS
1억3000만원이	1/SN+억/NR+3000/SN+만/NR+원/NNB+이/JKS
오르는	오르/VV+는/ETM
등	등/NNB
지난해보다	지난해/NNG+보다/JKB
10%(2억4657만원)	10/SN+%/SW+(/SS+2/SN+억/NR+4657/SN+만/NR+원/NNB+)/SS
늘어난	늘어나/VV+ㄴ/ETM
26억5567만원을	26/SN+억/NR+5567/SN+만/NR+원/NNB+을/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.106.8.2
이회창 자유선진당 총재도 7%(1억9103만원) 늘어난 27억528만원을, 문국현 창조한국당 대표도 1%(9313만원) 증가한 97억4843만원을 각각 신고했다.

이회창	이회창/NNP
자유선진당	자유선진당/NNP
총재도	총재/NNG+도/JX
7%(1억9103만원)	7/SN+%/SW+(/SS+1/SN+억/NR+9103/SN+만/NR+원/NNB+)/SS
늘어난	늘어나/VV+ㄴ/ETM
27억528만원을,	27/SN+억/NR+528/SN+만/NR+원/NNB+을/JKO+,/SP
문국현	문국현/NNP
창조한국당	창조한국당/NNP
대표도	대표/NNG+도/JX
1%(9313만원)	1/SN+%/SW+(/SS+9313/SN+만/NR+원/NNB+)/SS
증가한	증가/NNG+하/XSV+ㄴ/ETM
97억4843만원을	97/SN+억/NR+4843/SN+만/NR+원/NNB+을/JKO
각각	각각/MAG
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


