# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.119
metadata : {}


# id : NWRW1800000024.119.1.1
오바마, 취임뒤 첫 이라크 방문

오바마,	오바마/NNP+,/SP
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.119.3.4
오바마는 내년 8월까지 미군 전투 병력을 이라크에서 철군시키겠다는 계획을 발표했지만, 이후에도 테러 대응 등의 명분으로 5만여 미군이 남을 것으로 알려져 있다.

오바마는	오바마/NNP+는/JX
내년	내년/NNG
8월까지	8/SN+월/NNB+까지/JX
미군	미군/NNG
전투	전투/NNG
병력을	병력/NNG+을/JKO
이라크에서	이라크/NNP+에서/JKB
철군시키겠다는	철군/NNG+시키/XSV+겠/EP+다는/ETM
계획을	계획/NNG+을/JKO
발표했지만,	발표/NNG+하/XSV+았/EP+지만/EC+,/SP
이후에도	이후/NNG+에/JKB+도/JX
테러	테러/NNG
대응	대응/NNG
등의	등/NNB+의/JKG
명분으로	명분/NNG+으로/JKB
5만여	5/SN+만/NR+여/XSN
미군이	미군/NNG+이/JKS
남을	남/VV+을/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.119.4.1
오바마 대통령은 캠프 빅토리에서 누리 알말리키 이라크 총리와 만나 미군 철군 일정과 쿠르드 반군 문제 등을 논의했다고 백악관이 밝혔다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
캠프	캠프/NNP
빅토리에서	빅토리/NNP+에서/JKB
누리	누리/NNP
알말리키	알말리키/NNP
이라크	이라크/NNP
총리와	총리/NNG+와/JKB
만나	만나/VV+아/EC
미군	미군/NNG
철군	철군/NNG
일정과	일정/NNG+과/JC
쿠르드	쿠르드/NNP
반군	반군/NNG
문제	문제/NNG
등을	등/NNB+을/JKO
논의했다고	논의/NNG+하/XSV+았/EP+다고/EC
백악관이	백악관/NNP+이/JKS
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.119.4.2
잘랄 탈라바니 대통령과는 전화로 통화했다.

잘랄	잘랄/NNP
탈라바니	탈라바니/NNP
대통령과는	대통령/NNG+과/JKB+는/JX
전화로	전화/NNG+로/JKB
통화했다.	통화/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.119.4.3
오바마는 애초 이라크 정부 청사가 있는 바그다드 중심 그린존을 방문할 예정이었으나 악천후를 이유로 일정을 바꿨다.

오바마는	오바마/NNP+는/JX
애초	애초/NNG
이라크	이라크/NNP
정부	정부/NNG
청사가	청사/NNG+가/JKS
있는	있/VA+는/ETM
바그다드	바그다드/NNP
중심	중심/NNG
그린존을	그린존/NNG+을/JKO
방문할	방문/NNG+하/XSV+ㄹ/ETM
예정이었으나	예정/NNG+이/VCP+었/EP+으나/EC
악천후를	악천후/NNG+를/JKO
이유로	이유/NNG+로/JKB
일정을	일정/NNG+을/JKO
바꿨다.	바꾸/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.119.5.1
오바마 대통령은 전용기 에어포스원을 타고 이날 오후 바그다드에 도착해 레이 오디어노 이라크 주둔 미군 사령관의 영접을 받았다고 백악관이 발표했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
전용기	전용기/NNG
에어포스원을	에어포스원/NNP+을/JKO
타고	타/VV+고/EC
이날	이날/NNG
오후	오후/NNG
바그다드에	바그다드/NNP+에/JKB
도착해	도착/NNG+하/XSV+아/EC
레이	레이/NNP
오디어노	오디어노/NNP
이라크	이라크/NNP
주둔	주둔/NNG
미군	미군/NNG
사령관의	사령관/NNG+의/JKG
영접을	영접/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
백악관이	백악관/NNP+이/JKS
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.119.5.2
이라크에선 사담 후세인 정권 몰락 6주년을 앞두고 폭탄 테러가 잇따라 일어나고 있으며, 오바마가 도착하기 몇시간 전에도 바그다드의 시아파 사원에서 자살폭탄 공격이 일어나 8명이 숨졌다.

이라크에선	이라크/NNP+에서/JKB+ㄴ/JX
사담	사담/NNP
후세인	후세인/NNP
정권	정권/NNG
몰락	몰락/NNG
6주년을	6/SN+주년/NNB+을/JKO
앞두고	앞두/VV+고/EC
폭탄	폭탄/NNG
테러가	테러/NNG+가/JKS
잇따라	잇따르/VV+아/EC
일어나고	일어나/VV+고/EC
있으며,	있/VX+으며/EC+,/SP
오바마가	오바마/NNP+가/JKS
도착하기	도착/NNG+하/XSV+기/ETN
몇시간	몇/NR+시간/NNB
전에도	전/NNG+에/JKB+도/JX
바그다드의	바그다드/NNP+의/JKG
시아파	시아파/NNG
사원에서	사원/NNG+에서/JKB
자살폭탄	자살/NNG+폭탄/NNG
공격이	공격/NNG+이/JKS
일어나	일어나/VV+아/EC
8명이	8/SN+명/NNB+이/JKS
숨졌다.	숨지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.119.6.1
오바마는 8일간의 유럽순방의 마지막 일정으로 6~7일 터키와 이라크 방문을 통해 이슬람 세계에 적극적인 화해와 공존을 원하는 손길을 내밀었다.

오바마는	오바마/NNP+는/JX
8일간의	8/SN+일/NNB+간/XSN+의/JKG
유럽순방의	유럽/NNP+순방/NNG+의/JKG
마지막	마지막/NNG
일정으로	일정/NNG+으로/JKB
6~7일	6/SN+~/SO+7/SN+일/NNB
터키와	터키/NNP+와/JC
이라크	이라크/NNP
방문을	방문/NNG+을/JKO
통해	통하/VV+아/EC
이슬람	이슬람/NNG
세계에	세계/NNG+에/JKB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
화해와	화해/NNG+와/JC
공존을	공존/NNG+을/JKO
원하는	원/NNG+하/XSV+는/ETM
손길을	손길/NNG+을/JKO
내밀었다.	내밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.119.6.2
7일 터키 이스탄불에선 무슬림 젊은이들과 ‘타운홀 미팅’을 마련해 “나는 미국과 이슬람 세계의 관계를 재건해야 한다는 굳은 신념에 따라 터키에 왔다”고 강조하기도 했다.

7일	7/SN+일/NNB
터키	터키/NNP
이스탄불에선	이스탄불/NNP+에서/JKB+ㄴ/JX
무슬림	무슬림/NNG
젊은이들과	젊은이/NNG+들/XSN+과/JKB
‘타운홀	‘/SS+타운홀/NNG
미팅’을	미팅/NNG+’/SS+을/JKO
마련해	마련/NNG+하/XSV+아/EC
“나는	“/SS+나/NP+는/JX
미국과	미국/NNP+과/JC
이슬람	이슬람/NNG
세계의	세계/NNG+의/JKG
관계를	관계/NNG+를/JKO
재건해야	재건/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
굳은	굳/VA+은/ETM
신념에	신념/NNG+에/JKB
따라	따르/VV+아/EC
터키에	터키/NNP+에/JKB
왔다”고	오/VV+았/EP+다/EF+”/SS+고/JKQ
강조하기도	강조/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.119.6.3
미국의 대이슬람 정책이 근본적으로 변하지는 않을 거라는 우려가 있다는 한 터키 대학생의 지적에 “나는 이라크전에 반대했지만, 이라크가 폭력 속으로 붕괴되지 않도록 조심스럽게 군대를 철수해야 하는 책임을 갖고 있다”며 “오직 시간이 말해줄 것”이라며 인내를 갖고 미국의 변화를 지켜봐 달라고 호소하기도 했다.

미국의	미국/NNP+의/JKG
대이슬람	대이슬람/NNG
정책이	정책/NNG+이/JKS
근본적으로	근본/NNG+적/XSN+으로/JKB
변하지는	변하/VV+지/EC+는/JX
않을	않/VX+을/ETM
거라는	거/NNB+이/VCP+라는/ETM
우려가	우려/NNG+가/JKS
있다는	있/VA+다는/ETM
한	한/MMN
터키	터키/NNP
대학생의	대학/NNG+생/XSN+의/JKG
지적에	지적/NNG+에/JKB
“나는	“/SS+나/NP+는/JX
이라크전에	이라크전/NNG+에/JKB
반대했지만,	반대/NNG+하/XSV+았/EP+지만/EC+,/SP
이라크가	이라크/NNP+가/JKS
폭력	폭력/NNG
속으로	속/NNG+으로/JKB
붕괴되지	붕괴/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
조심스럽게	조심/NNG+스럽/XSA+게/EC
군대를	군대/NNG+를/JKO
철수해야	철수/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
책임을	책임/NNG+을/JKO
갖고	갖/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“오직	“/SS+오직/MAG
시간이	시간/NNG+이/JKS
말해줄	말/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
인내를	인내/NNG+를/JKO
변화를	변화/NNG+를/JKO
지켜봐	지켜보/VV+아/EC
달라고	달/VX+라고/EC
호소하기도	호소/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.119.6.4
전날 터키 의회 연설에서는 “미국은 이슬람과 전쟁을 벌이고 있지 않으며 앞으로도 그러지 않을 것”이라고 말했다.

전날	전날/NNG
터키	터키/NNP
의회	의회/NNG
연설에서는	연설/NNG+에서/JKB+는/JX
“미국은	“/SS+미국/NNP+은/JX
이슬람과	이슬람/NNG+과/JKB
전쟁을	전쟁/NNG+을/JKO
벌이고	벌이/VV+고/EC
있지	있/VX+지/EC
않으며	않/VX+으며/EC
앞으로도	앞/NNG+으로/JKB+도/JX
그러지	그러/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


