# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.33
metadata : {}


# id : NWRW1800000044.33.1.1
들뜬 은행들 ‘이사철 고객잡기 총력’ 이점 사라진 신협 등 상호금융 ‘울상’

들뜬	들뜨/VV+ㄴ/ETM
수요가	수요/NNG+가/JKS
더욱	더욱/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.33.8.1
우리은행 관계자는 “기존 대출 고객이 엘티브이의 증가로 대출 금액을 늘리거나 제2금융권에서 높은 이자를 내던 고객이 은행으로 넘어오는 과정에서 금리가 인상될 요인이 발생해도, 이를 반영하지 않고 종전 은행 대출 금리와 동일하게 적용하기로 했다”고 말했다.

우리은행	우리은행/NNP
관계자는	관계자/NNG+는/JX
“기존	“/SS+기존/NNG
대출	대출/NNG
고객이	고객/NNG+이/JKS
엘티브이의	엘티브이/NNG+의/JKG
증가로	증가/NNG+로/JKB
금액을	금액/NNG+을/JKO
늘리거나	늘리/VV+거나/EC
제2금융권에서	제/XPN+2/SN+금융/NNG+권/XSN+에서/JKB
높은	높/VA+은/ETM
이자를	이자/NNG+를/JKO
내던	내/VV+던/ETM
은행으로	은행/NNG+으로/JKB
넘어오는	넘어오/VV+는/ETM
과정에서	과정/NNG+에서/JKB
금리가	금리/NNG+가/JKS
인상될	인상/NNG+되/XSV+ㄹ/ETM
요인이	요인/NNG+이/JKS
발생해도,	발생/NNG+하/XSV+아도/EC+,/SP
이를	이/NP+를/JKO
반영하지	반영/NNG+하/XSV+지/EC
않고	않/VX+고/EC
종전	종전/NNG
은행	은행/NNG
금리와	금리/NNG+와/JKB
동일하게	동일/NNG+하/XSA+게/EC
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.33.8.2
우리은행은 향후 6개월 동안 적게는 2000억~3000억원에서 많게는 4000억~5000억원의 대출이 이 은행에서 새로 발생할 것으로 추정하고 있다.

우리은행은	우리은행/NNP+은/JX
향후	향후/NNG
6개월	6/SN+개월/NNB
동안	동안/NNG
적게는	적/VA+게/EC+는/JX
2000억~3000억원에서	2000/SN+억/NR+~/SO+3000/SN+억/NR+원/NNB+에서/JKB
많게는	많/VA+게/EC+는/JX
4000억~5000억원의	4000/SN+억/NR+~/SO+5000/SN+억/NR+원/NNB+의/JKG
대출이	대출/NNG+이/JKS
이	이/MMD
은행에서	은행/NNG+에서/JKB
새로	새로/MAG
발생할	발생/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
추정하고	추정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.33.8.3
이 관계자는 “신규 대출과 제2금융권 등 다른 기관에서 넘어오는 대출의 비중을 7 대 3 정도로 보고 준비하고 있다”고 덧붙였다.

이	이/MMD
관계자는	관계자/NNG+는/JX
“신규	“/SS+신규/NNG
대출과	대출/NNG+과/JC
제2금융권	제/XPN+2/SN+금융/NNG+권/XSN
등	등/NNB
다른	다른/MMD
기관에서	기관/NNG+에서/JKB
넘어오는	넘어오/VV+는/ETM
대출의	대출/NNG+의/JKG
비중을	비중/NNG+을/JKO
7	7/SN
대	대/NNB
3	3/SN
정도로	정도/NNG+로/JKB
보고	보/VV+고/EC
준비하고	준비/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.33.8.4
다른 은행들도 금리 깎아주기 등 고객 유치 방안을 다각도로 검토하고 있다.

다른	다른/MMD
은행들도	은행/NNG+들/XSN+도/JX
금리	금리/NNG
깎아주기	깎/VV+아/EC+주/VX+기/ETN
등	등/NNB
고객	고객/NNG
유치	유치/NNG
방안을	방안/NNG+을/JKO
다각도로	다각도/NNG+로/JKB
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.33.8.5
한 시중은행 관계자는 “주택 시장 움직임을 더 살펴봐야겠지만 규제 완화로 대출 수요 증가가 예상되는 만큼 금리 인하 등 고객을 더 적극적으로 유치할 여러 방안을 검토중”이라고 말했다.

한	한/MMN
시중은행	시중/NNG+은행/NNG
관계자는	관계자/NNG+는/JX
“주택	“/SS+주택/NNG
시장	시장/NNG
움직임을	움직임/NNG+을/JKO
더	더/MAG
살펴봐야겠지만	살펴보/VV+아야/EC+하/VX+겠/EP+지만/EC
규제	규제/NNG
완화로	완화/NNG+로/JKB
대출	대출/NNG
수요	수요/NNG
증가가	증가/NNG+가/JKS
예상되는	예상/NNG+되/XSV+는/ETM
만큼	만큼/NNB
금리	금리/NNG
인하	인하/NNG
등	등/NNB
고객을	고객/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
유치할	유치/NNG+하/XSV+ㄹ/ETM
여러	여러/MMN
방안을	방안/NNG+을/JKO
검토중”이라고	검토/NNG+중/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.33.9.1
반면 엘티브이를 최대 80%까지 적용하다가 은행권의 규제 완화 과정에서 70%로 하향 일원화된 신용협동조합 등 상호금융기관은 울상이다.

반면	반면/NNG
엘티브이를	엘티브이/NNG+를/JKO
최대	최대/NNG
80%까지	80/SN+%/SW+까지/JX
적용하다가	적용/NNG+하/XSV+다가/EC
은행권의	은행/NNG+권/XSN+의/JKG
규제	규제/NNG
완화	완화/NNG
과정에서	과정/NNG+에서/JKB
70%로	70/SN+%/SW+로/JKB
하향	하향/NNG
일원화된	일원/NNG+화/XSN+되/XSV+ㄴ/ETM
신용협동조합	신용/NNG+협동조합/NNG
등	등/NNB
상호금융기관은	상호/NNG+금융/NNG+기관/NNG+은/JX
울상이다.	울상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000044.33.9.2
당장 이자를 아끼려는 고객들이 은행으로 이동할 것으로 예상될뿐더러, 지금까지 은행보다 이자는 비싸지만 한도가 높다는 이점으로 형성돼온 시장 기반 자체가 흔들리게 됐기 때문이다.

당장	당장/NNG
이자를	이자/NNG+를/JKO
아끼려는	아끼/VV+려는/ETM
고객들이	고객/NNG+들/XSN+이/JKS
은행으로	은행/NNG+으로/JKB
이동할	이동/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상될뿐더러,	예상/NNG+되/XSV+ㄹ뿐더러/EC+,/SP
지금까지	지금/NNG+까지/JX
은행보다	은행/NNG+보다/JKB
이자는	이자/NNG+는/JX
비싸지만	비싸/VA+지만/EC
한도가	한도/NNG+가/JKS
높다는	높/VA+다는/ETM
이점으로	이점/NNG+으로/JKB
형성돼온	형성/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
시장	시장/NNG
기반	기반/NNG
자체가	자체/NNG+가/JKS
흔들리게	흔들리/VV+게/EC
됐기	되/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.33.9.3
지난 5월 잔액 기준 전체 주택담보대출 428조1000억원 가운데 상호금융 등 비은행권 대출은 92조9000억원을 차지했다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
잔액	잔액/NNG
기준	기준/NNG
전체	전체/NNG
주택담보대출	주택/NNG+담보/NNG+대출/NNG
428조1000억원	428/SN+조/NR+1000/SN+억/NR+원/NNB
가운데	가운데/NNG
상호금융	상호/NNG+금융/NNG
등	등/NNB
비은행권	비/XPN+은행/NNG+권/XSN
대출은	대출/NNG+은/JX
92조9000억원을	92/SN+조/NR+9000/SN+억/NR+원/NNB+을/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.33.9.4
한 상호금융기관 관계자는 “전체 대출 볼륨이 줄어들 수밖에 없는 만큼 대출 금리를 낮춰 경쟁에 대응해야 할 텐데, 적정 마진을 유지하려면 누군가에게 싸게 해주면 누군가의 금리는 높아질 수밖에 없다. 기존 대출을 향후 연장하는 고객이나 신용등급이 안 좋아 은행으로 이전하기 어려운 저신용 고객한테는 장차 금리가 높아질 수밖에 없다”고 말했다.

한	한/MMN
상호금융기관	상호/NNG+금융/NNG+기관/NNG
관계자는	관계자/NNG+는/JX
“전체	“/SS+전체/NNG
대출	대출/NNG
볼륨이	볼륨/NNG+이/JKS
줄어들	줄어들/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없는	없/VA+는/ETM
만큼	만큼/NNB
금리를	금리/NNG+를/JKO
낮춰	낮추/VV+어/EC
경쟁에	경쟁/NNG+에/JKB
대응해야	대응/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
텐데,	터/NNB+이/VCP+ㄴ데/EC+,/SP
적정	적정/NNG
마진을	마진/NNG+을/JKO
유지하려면	유지/NNG+하/XSV+려면/EC
누군가에게	누구/NP+이/VCP+ㄴ가/EF+에게/JKB
싸게	싸/VA+게/EC
해주면	하/VX+아/EC+주/VX+면/EC
누군가의	누구/NP+이/VCP+ㄴ가/EF+의/JKG
금리는	금리/NNG+는/JX
높아질	높아지/VV+ㄹ/ETM
없다.	없/VA+다/EF+./SF
기존	기존/NNG
대출을	대출/NNG+을/JKO
향후	향후/NNG
연장하는	연장/NNG+하/XSV+는/ETM
고객이나	고객/NNG+이나/JC
신용등급이	신용/NNG+등급/NNG+이/JKS
안	안/MAG
좋아	좋/VA+아/EC
은행으로	은행/NNG+으로/JKB
이전하기	이전/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
저신용	저/XPN+신용/NNG
고객한테는	고객/NNG+한테/JKB+는/JX
장차	장차/MAG
금리가	금리/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


