# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.100
metadata : {}


# id : NWRW1800000052.100.1.1
일, 돈먹는 원자로 ‘몬주’ 폐로…핵연료 플루토늄은 포기 안해

일,	일/NNP+,/SP
발생하는	발생/NNG+하/XSV+는/ETM
사용후	사용/NNG+후/NNG
핵연료를	핵연료/NNG+를/JKO
재처리해	재/XPN+처리/NNG+하/XSV+아/EC
나오는	나오/VV+는/ETM
플루토늄을	플루토늄/NNG+을/JKO
다시	다시/MAG
핵발전에	핵/NNG+발전/NNG+에/JKB
활용해	활용/NNG+하/XSV+아/EC
추가적인	추가/NNG+적/XSN+이/VCP+ㄴ/ETM
에너지	에너지/NNG
투입	투입/NNG
없이	없이/MAG
영원히	영원히/MAG
전기를	전기/NNG+를/JKO
생산하는	생산/NNG+하/XSV+는/ETM
구상을	구상/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.100.8.4
이를 위해 일본 정부는 1994년 플루토늄을 핵연료로 사용할 수 있는 원자로인 몬주를 완성했다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
일본	일본/NNP
정부는	정부/NNG+는/JX
1994년	1994/SN+년/NNB
플루토늄을	플루토늄/NNG+을/JKO
핵연료로	핵연료/NNG+로/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
원자로인	원자로/NNG+이/VCP+ㄴ/ETM
몬주를	몬주/NNP+를/JKO
완성했다.	완성/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.100.8.5
그러나 몬주는 1995년, 2010년 두 차례의 시험 가동 때 중대사고를 일으켜 지금껏 1㎾h의 전력도 생산하지 못해 일본 원자력규제위원회는 폐로를 포함한 근본 대책 마련을 권고했다.

그러나	그러나/MAJ
몬주는	몬주/NNP+는/JX
1995년,	1995/SN+년/NNB+,/SP
2010년	2010/SN+년/NNB
두	두/MMN
차례의	차례/NNG+의/JKG
시험	시험/NNG
가동	가동/NNG
때	때/NNG
중대사고를	중대/NNG+사고/NNG+를/JKO
일으켜	일으키/VV+어/EC
지금껏	지금껏/MAG
1㎾h의	1/SN+㎾h/SW+의/JKG
전력도	전력/NNG+도/JX
생산하지	생산/NNG+하/XSV+지/EC
못해	못하/VX+아/EC
일본	일본/NNP
원자력규제위원회는	원자력/NNG+규제/NNG+위원회/NNG+는/JX
폐로를	폐로/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
근본	근본/NNG
대책	대책/NNG
마련을	마련/NNG+을/JKO
권고했다.	권고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.100.9.1
일본이 몬주를 포기함에 따라 48.7t(핵무기 6000발분)에 이르는 막대한 플루토늄 보유를 정당화할 명분도 사라지게 됐다.

일본이	일본/NNP+이/JKS
몬주를	몬주/NNP+를/JKO
포기함에	포기/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
48.7t(핵무기	48/SN+./SP+7/SN+t/SW+(/SS+핵무기/NNG
6000발분)에	6000/SN+발/NNB+분/XSN+)/SS+에/JKB
이르는	이르/VV+는/ETM
막대한	막대하/VA+ㄴ/ETM
플루토늄	플루토늄/NNG
보유를	보유/NNG+를/JKO
정당화할	정당화/NNG+하/XSV+ㄹ/ETM
명분도	명분/NNG+도/JX
사라지게	사라지/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.100.9.2
하지만 일본 정부는 프랑스 업체와 제휴해 몬주를 대체할 새로운 고속증식로 실용화를 추진하는 등 핵연료 사이클 계획을 포기할 뜻이 없음을 내비치고 있다.

하지만	하지만/MAJ
일본	일본/NNP
정부는	정부/NNG+는/JX
프랑스	프랑스/NNP
업체와	업체/NNG+와/JKB
제휴해	제휴/NNG+하/XSV+아/EC
몬주를	몬주/NNP+를/JKO
대체할	대체/NNG+하/XSV+ㄹ/ETM
새로운	새롭/VA+ㄴ/ETM
고속증식로	고속/NNG+증식로/NNG
실용화를	실용/NNG+화/XSN+를/JKO
추진하는	추진/NNG+하/XSV+는/ETM
등	등/NNB
핵연료	핵연료/NNG
사이클	사이클/NNG
계획을	계획/NNG+을/JKO
포기할	포기/NNG+하/XSV+ㄹ/ETM
뜻이	뜻/NNG+이/JKS
없음을	없/VA+음/ETN+을/JKO
내비치고	내비치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.100.10.1
일본 내각부가 지난 7월 공개한 ‘일본의 플루토늄 관리 상황’ 자료를 보면, 2015년 말 현재 일본이 보유한 플루토늄은 47.8t이나 된다.

일본	일본/NNP
내각부가	내각부/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
7월	7/SN+월/NNB
공개한	공개/NNG+하/XSV+ㄴ/ETM
‘일본의	‘/SS+일본/NNP+의/JKG
플루토늄	플루토늄/NNG
관리	관리/NNG
상황’	상황/NNG+’/SS
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
2015년	2015/SN+년/NNB
말	말/NNB
현재	현재/MAG
일본이	일본/NNP+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
플루토늄은	플루토늄/NNG+은/JX
47.8t이나	47/SN+./SP+8/SN+t/SW+이나/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.100.10.2
핵탄두 1개 제조에 8㎏의 플루토늄이 필요하다고 볼 때 무려 6000발을 만들 수 있는 양이다.

핵탄두	핵탄두/NNG
1개	1/SN+개/NNB
제조에	제조/NNG+에/JKB
8㎏의	8/SN+㎏/SW+의/JKG
플루토늄이	플루토늄/NNG+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
볼	보/VV+ㄹ/ETM
때	때/NNG
무려	무려/MAG
6000발을	6000/SN+발/NNB+을/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
양이다.	양/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.100.10.3
일본은 핵확산금지조약(NPT) 체제가 인정하고 있는 핵보유국은 아니지만 언제든 핵무기를 만들 수 있는 능력은 갖춘 것으로 평가된다.

일본은	일본/NNP+은/JX
핵확산금지조약(NPT)	핵/NNG+확산/NNG+금지/NNG+조약/NNG+(/SS+NPT/SL+)/SS
체제가	체제/NNG+가/JKS
인정하고	인정/NNG+하/XSV+고/EC
있는	있/VA+는/ETM
핵보유국은	핵보유국/NNG+은/JX
아니지만	아니/VCN+지만/EC
언제든	언제/NP+든/JX
핵무기를	핵무기/NNG+를/JKO
만들	만들/VV+ㄹ/ETM
수	수/NNB
능력은	능력/NNG+은/JX
갖춘	갖추/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.100.10.4
이를 뒷받침하는 것이 일본이 보유한 막대한 플루토늄과 95% 넘는 안정적인 발사율을 자랑하는 H2A 등 선진적인 로켓 발사 능력이다.

이를	이/NP+를/JKO
뒷받침하는	뒷받침/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
일본이	일본/NNP+이/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
막대한	막대하/VA+ㄴ/ETM
플루토늄과	플루토늄/NNG+과/JC
95%	95/SN+%/SW
넘는	넘/VV+는/ETM
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
발사율을	발사/NNG+율/XSN+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
H2A	H/SL+2/SN+A/SL
등	등/NNB
선진적인	선진/NNG+적/XSN+이/VCP+ㄴ/ETM
로켓	로켓/NNG
발사	발사/NNG
능력이다.	능력/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.100.10.5
중국의 부상과 북핵 위협, 한국 우익들의 무분별한 ‘핵무장론’ 등에 맞서기 위한 안전장치로 그동안 애써 만들고 보관해온 플루토늄을 포기하지 않겠다는 의사를 에둘러 밝힌 셈이다.

중국의	중국/NNP+의/JKG
부상과	부상/NNG+과/JC
북핵	북핵/NNG
위협,	위협/NNG+,/SP
한국	한국/NNP
우익들의	우익/NNG+들/XSN+의/JKG
무분별한	무/XPN+분별/NNG+하/XSA+ㄴ/ETM
‘핵무장론’	‘/SS+핵무장/NNG+론/XSN+’/SS
등에	등/NNB+에/JKB
맞서기	맞서/VV+기/ETN
위한	위하/VV+ㄴ/ETM
안전장치로	안전장치/NNG+로/JKB
그동안	그동안/NNG
애써	애쓰/VV+어/EC
만들고	만들/VV+고/EC
보관해온	보관/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
플루토늄을	플루토늄/NNG+을/JKO
포기하지	포기/NNG+하/XSV+지/EC
않겠다는	않/VX+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
에둘러	에두르/VV+어/EC
밝힌	밝히/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.100.11.1
21일 총리관저에서 열린 ‘원자력 관계각료 회의’에서 일본 정부는 세코 히로시게 경제산업상을 중심으로 하는 ‘고속로 개발회의’를 만들어 올해 안에 새로운 고속로 개발 방침을 확정하기로 했다.

21일	21/SN+일/NNB
총리관저에서	총리/NNG+관저/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘원자력	‘/SS+원자력/NNG
관계각료	관계/NNG+각료/NNG
회의’에서	회의/NNG+’/SS+에서/JKB
일본	일본/NNP
정부는	정부/NNG+는/JX
세코	세코/NNP
히로시게	히로시게/NNP
경제산업상을	경제/NNG+산업상/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
하는	하/VV+는/ETM
‘고속로	‘/SS+고속로/NNG
개발회의’를	개발/NNG+회의/NNG+’/SS+를/JKO
만들어	만들/VV+어/EC
올해	올해/NNG
안에	안/NNG+에/JKB
새로운	새롭/VA+ㄴ/ETM
고속로	고속로/NNG
개발	개발/NNG
방침을	방침/NNG+을/JKO
확정하기로	확정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.100.11.2
<요미우리신문> 등 일본 언론들은 프랑스가 2030년까지 운전 개시를 목표로 하고 있는 고속로 아스트리드(ASTRID) 개발에 일본이 참여하는 방식으로 문제를 풀어갈 것이라고 전했다.

<요미우리신문>	</SS+요미우리신문/NNP+>/SS
등	등/NNB
일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
프랑스가	프랑스/NNP+가/JKS
2030년까지	2030/SN+년/NNB+까지/JX
운전	운전/NNG
개시를	개시/NNG+를/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있는	있/VX+는/ETM
고속로	고속로/NNG
아스트리드(ASTRID)	아스트리드/NNG+(/SS+ASTRID/SL+)/SS
개발에	개발/NNG+에/JKB
일본이	일본/NNP+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
문제를	문제/NNG+를/JKO
풀어갈	풀/VV+어/EC+가/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.100.11.3
이와 별도로 일본은 플루토늄을 우라늄에 섞어 만든 ‘엠오엑스(MOX)연료’를 일반 원자로에서 소비하는 ‘플루서멀’ 계획도 개발 중이다.

이와	이/NP+와/JKB
별도로	별도/NNG+로/JKB
일본은	일본/NNP+은/JX
플루토늄을	플루토늄/NNG+을/JKO
우라늄에	우라늄/NNG+에/JKB
섞어	섞/VV+어/EC
만든	만들/VV+ㄴ/ETM
‘엠오엑스(MOX)연료’를	‘/SS+엠오엑스/NNG+(/SS+MOX/SL+)/SS+연료/NNG+’/SS+를/JKO
일반	일반/NNG
원자로에서	원자로/NNG+에서/JKB
소비하는	소비/NNG+하/XSV+는/ETM
‘플루서멀’	‘/SS+플루서멀/NNG+’/SS
계획도	계획/NNG+도/JX
개발	개발/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.100.12.1
이제 최대 관심사는 2018년 7월 만료되는 미-일 원자력협정의 연장 여부다.

이제	이제/MAG
최대	최대/NNG
관심사는	관심사/NNG+는/JX
2018년	2018/SN+년/NNB
7월	7/SN+월/NNB
만료되는	만료/NNG+되/XSV+는/ETM
미-일	미/NNP+-/SO+일/NNP
원자력협정의	원자력/NNG+협정/NNG+의/JKG
연장	연장/NNG
여부다.	여부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.100.12.2
일본은 1980년대 6년에 걸친 치열한 협상을 통해 미국으로부터 사용후 핵연료의 재처리를 포함한 핵 활동에 대한 ‘포괄적 (사전)동의’를 확보한 상태다.

일본은	일본/NNP+은/JX
1980년대	1980/SN+년대/NNB
6년에	6/SN+년/NNB+에/JKB
걸친	걸치/VV+ㄴ/ETM
치열한	치열/NNG+하/XSA+ㄴ/ETM
협상을	협상/NNG+을/JKO
통해	통하/VV+아/EC
미국으로부터	미국/NNP+으로부터/JKB
사용후	사용/NNG+후/NNG
핵연료의	핵연료/NNG+의/JKG
재처리를	재/XPN+처리/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
핵	핵/NNG
활동에	활동/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘포괄적	‘/SS+포괄/NNG+적/XSN
(사전)동의’를	(/SS+사전/NNG+)/SS+동의/NNG+’/SS+를/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.100.12.3
<마이니치신문>은 고속로 개발과 플루서멀 계획 등에 진전이 없으면 “미국이 협정(유효 기간 30년)의 자동 갱신에 제동을 걸고 나설 우려가 있다”고 지적했다.

<마이니치신문>은	</SS+마이니치신문/NNP+>/SS+은/JX
고속로	고속로/NNG
개발과	개발/NNG+과/JC
플루서멀	플루서멀/NNG
계획	계획/NNG
등에	등/NNB+에/JKB
진전이	진전/NNG+이/JKS
없으면	없/VA+으면/EC
“미국이	“/SS+미국/NNP+이/JKS
협정(유효	협정/NNG+(/SS+유효/NNG
기간	기간/NNG
30년)의	30/SN+년/NNB+)/SS+의/JKG
자동	자동/NNG
갱신에	갱신/NNG+에/JKB
제동을	제동/NNG+을/JKO
걸고	걸/VV+고/EC
나설	나서/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.100.12.4
한국 정부도 2013년 2월 북한의 3차 핵실험 이후 미국에 일본과 같은 재처리 권한을 요구했지만 결국 뜻을 이루지 못했다.

한국	한국/NNP
정부도	정부/NNG+도/JX
2013년	2013/SN+년/NNB
2월	2/SN+월/NNB
북한의	북한/NNP+의/JKG
3차	3/SN+차/NNB
핵실험	핵/NNG+실험/NNG
이후	이후/NNG
미국에	미국/NNP+에/JKB
일본과	일본/NNP+과/JKB
같은	같/VA+은/ETM
재처리	재/XPN+처리/NNG
권한을	권한/NNG+을/JKO
요구했지만	요구/NNG+하/XSV+았/EP+지만/EC
결국	결국/MAG
뜻을	뜻/NNG+을/JKO
이루지	이루/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.100.12.5
일본은 비핵국 가운데 미국이 재처리 권한을 인정하고 있는 유일한 국가다.

일본은	일본/NNP+은/JX
비핵국	비/XPN+핵국/NNG
가운데	가운데/NNG
미국이	미국/NNP+이/JKS
재처리	재/XPN+처리/NNG
권한을	권한/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
국가다.	국가/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.100.13.1
마지막 변수는 2019년 상반기 완공 예정인 롯카쇼무라 재처리 시설이다.

마지막	마지막/NNG
변수는	변수/NNG+는/JX
2019년	2019/SN+년/NNB
상반기	상반기/NNG
완공	완공/NNG
예정인	예정/NNG+이/VCP+ㄴ/ETM
롯카쇼무라	롯카쇼무라/NNP
재처리	재/XPN+처리/NNG
시설이다.	시설/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.100.13.2
이 공장이 본격 가동되면 일본은 매해 8t이나 되는 플루토늄을 추가로 보유할 수 있게 된다.

이	이/MMD
공장이	공장/NNG+이/JKS
본격	본격/NNG
가동되면	가동/NNG+되/XSV+면/EC
일본은	일본/NNP+은/JX
매해	매해/MAG
8t이나	8/SN+t/SW+이나/JX
되는	되/VV+는/ETM
플루토늄을	플루토늄/NNG+을/JKO
추가로	추가/NNG+로/JKB
보유할	보유/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다.	되/VV+ㄴ다/EF+./SF


