# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.120
metadata : {}


# id : NWRW1800000054.120.1.1
'달인' 소개하던 '목소리 달인' 48년 만에 마이크 내려놓다

'달인'	'/SS+달인/NNG+'/SS
"양다리와 한쪽 팔을 잃은 군인이 최첨단 기술로 재탄생한 캐릭터였는데 화끈하고 역동적인 성격이 저랑 딱 맞았죠.

"양다리와	"/SS+양다리/NNG+와/JC
한쪽	한쪽/NNG
팔을	팔/NNG+을/JKO
잃은	잃/VV+은/ETM
군인이	군인/NNG+이/JKS
최첨단	최/XPN+첨단/NNG
기술로	기술/NNG+로/JKB
재탄생한	재/XPN+탄생/NNG+하/XSV+ㄴ/ETM
캐릭터였는데	캐릭터/NNG+이/VCP+었/EP+는데/EC
화끈하고	화끈/MAG+하/XSA+고/EC
역동적인	역동/NNG+적/XSN+이/VCP+ㄴ/ETM
성격이	성격/NNG+이/JKS
저랑	저/NP+랑/JKB
딱	딱/MAG
맞았죠.	맞/VV+았/EP+죠/EF+./SF


# id : NWRW1800000054.120.5.5
꾸미지 않고 제 목소리 그대로 연기했어요."

꾸미지	꾸미/VV+지/EC
않고	않/VX+고/EC
제	저/NP+의/JKG
목소리	목소리/NNG
그대로	그대로/MAG
연기했어요."	연기/NNG+하/XSV+았/EP+어요/EF+./SF+"/SS


# id : NWRW1800000054.120.6.1
007 시리즈, 스타워즈 등 외화 더빙을 할 땐 영어 대사를 시청자가 공감할 수 있는 단어와 억양으로 바꾸려고 사전을 뒤져가며 어미까지 섬세하게 신경썼다.

007	007/SN
시리즈,	시리즈/NNG+,/SP
스타워즈	스타워즈/NNP
등	등/NNB
외화	외화/NNG
더빙을	더빙/NNG+을/JKO
할	하/VV+ㄹ/ETM
땐	때/NNG+ㄴ/JX
영어	영어/NNP
대사를	대사/NNG+를/JKO
시청자가	시청자/NNG+가/JKS
공감할	공감/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
단어와	단어/NNG+와/JC
억양으로	억양/NNG+으로/JKB
바꾸려고	바꾸/VV+려고/EC
사전을	사전/NNG+을/JKO
뒤져가며	뒤지/VV+어/EC+가/VX+며/EC
어미까지	어미/NNG+까지/JX
섬세하게	섬세하/VA+게/EC
신경썼다.	신경/NNG+쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.120.6.2
TV 교양·예능에서도 내레이션 단골이었다.

TV	TV/SL
교양·예능에서도	교양/NNG+·/SP+예능/NNG+에서/JKB+도/JX
내레이션	내레이션/NNG
단골이었다.	단골/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.120.6.3
KBS '체험 삶의 현장'은 1993년 첫 회부터 2012년 종영까지 20년, SBS '생활의 달인'은 10년 동안 함께했다.

KBS	KBS/SL
'체험	'/SS+체험/NNG
삶의	삶/NNG+의/JKG
현장'은	현장/NNG+'/SS+은/JX
1993년	1993/SN+년/NNB
첫	첫/MMN
회부터	회/NNB+부터/JX
2012년	2012/SN+년/NNB
종영까지	종영/NNG+까지/JX
20년,	20/SN+년/NNB+,/SP
SBS	SBS/SL
'생활의	'/SS+생활/NNG+의/JKG
달인'은	달인/NNG+'/SS+은/JX
10년	10/SN+년/NNB
동안	동안/NNG
함께했다.	함께/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.120.7.1
그는 "이제는 평범한 남편과 아버지 역할에 충실하고 싶다"고 했다.

그는	그/NP+는/JX
"이제는	"/SS+이제/NNG+는/JX
평범한	평범하/VA+ㄴ/ETM
남편과	남편/NNG+과/JC
아버지	아버지/NNG
역할에	역할/NNG+에/JKB
충실하고	충실/NNG+하/XSA+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.120.7.2
양씨는 "성우의 역할이 줄어들고 있지만 이럴 때일수록 기본이 중요하다"며 "문장의 향기를 맡고 표현할 수 있는 성우가 되기를 후배들에게 부탁한다"고 했다.

양씨는	양/NNP+씨/NNB+는/JX
"성우의	"/SS+성우/NNG+의/JKG
역할이	역할/NNG+이/JKS
줄어들고	줄어들/VV+고/EC
있지만	있/VX+지만/EC
이럴	이렇/VA+ㄹ/ETM
때일수록	때/NNG+이/VCP+ㄹ수록/EC
기본이	기본/NNG+이/JKS
중요하다"며	중요/NNG+하/XSA+다/EF+"/SS+며/EC
"문장의	"/SS+문장/NNG+의/JKG
향기를	향기/NNG+를/JKO
맡고	맡/VV+고/EC
표현할	표현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
성우가	성우/NNG+가/JKC
되기를	되/VV+기/ETN+를/JKO
후배들에게	후배/NNG+들/XSN+에게/JKB
부탁한다"고	부탁/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


