# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.394
metadata : {}


# id : NWRW1800000052.394.1.1
‘체육계 대통령’ 김종의 민낯…“삼성에 장시호 16억 지원 강요”

‘체육계	‘/SS+체육/NNG+계/XSN
# id : NWRW1800000052.394.8.1
2013년부터 3년 동안 문화체육관광부 제2차관으로 재임하면서 최순실(60)씨 집안의 각종 이권 추구를 돕고 인사 개입 등을 저질러온 의혹을 받고 있는 김종(55) 전 차관에 대해 사전구속영장이 청구됐다.

2013년부터	2013/SN+년/NNB+부터/JX
3년	3/SN+년/NNB
동안	동안/NNG
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
제2차관으로	제/XPN+2/SN+차관/NNG+으로/JKB
재임하면서	재임/NNG+하/XSV+면서/EC
최순실(60)씨	최순실/NNP+(/SS+60/SN+)/SS+씨/NNB
집안의	집안/NNG+의/JKG
각종	각종/NNG
이권	이권/NNG
추구를	추구/NNG+를/JKO
돕고	돕/VV+고/EC
인사	인사/NNG
개입	개입/NNG
등을	등/NNB+을/JKO
저질러온	저지르/VV+어/EC+오/VX+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
김종(55)	김종/NNP+(/SS+55/SN+)/SS
전	전/MMD
차관에	차관/NNG+에/JKB
대해	대하/VV+아/EC
사전구속영장이	사전/NNG+구속/NNG+영장/NNG+이/JKS
청구됐다.	청구/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.394.8.2
‘체육계의 대통령’으로 불렸던 그는 ‘비선실세’의 힘에 기대 각종 전횡을 저지른 대표적인 공직자로 꼽힌다.

‘체육계의	‘/SS+체육/NNG+계/XSN+의/JKG
대통령’으로	대통령/NNG+’/SS+으로/JKB
불렸던	불리/VV+었/EP+던/ETM
그는	그/NP+는/JX
‘비선실세’의	‘/SS+비선/NNG+실세/NNG+’/SS+의/JKG
힘에	힘/NNG+에/JKB
기대	기대/VV+어/EC
각종	각종/NNG
전횡을	전횡/NNG+을/JKO
저지른	저지르/VV+ㄴ/ETM
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
공직자로	공직자/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.394.9.1
검찰 특별수사본부(본부장 이영렬)는 17일 김 전 차관에게 직권남용과 공무상비밀누설 혐의를 적용했다.

검찰	검찰/NNG
특별수사본부(본부장	특별/NNG+수사본부/NNG+(/SS+본부장/NNG
이영렬)는	이영렬/NNP+)/SS+는/JX
17일	17/SN+일/NNB
김	김/NNP
전	전/MMD
차관에게	차관/NNG+에게/JKB
직권남용과	직권/NNG+남용/NNG+과/JC
공무상비밀누설	공무/NNG+상/XSN+비밀/NNG+누설/NNG
혐의를	혐의/NNG+를/JKO
적용했다.	적용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.394.10.1
우선 그는 최씨의 조카이자 최순득씨의 장녀인 장시호(37)씨가 운영하는 한국동계스포츠영재센터에 삼성전자가 16억여원을 후원하도록 강요한 혐의를 받고 있다.

우선	우선/MAG
그는	그/NP+는/JX
최씨의	최/NNP+씨/NNB+의/JKG
조카이자	조카/NNG+이/VCP+자/EC
최순득씨의	최순득/NNP+씨/NNB+의/JKG
장녀인	장녀/NNG+이/VCP+ㄴ/ETM
장시호(37)씨가	장시호/NNP+(/SS+37/SN+)/SS+씨/NNB+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
한국동계스포츠영재센터에	한국동계스포츠영재센터/NNP+에/JKB
삼성전자가	삼성전자/NNP+가/JKS
16억여원을	16/SN+억/NR+여/XSN+원/NNB+을/JKO
후원하도록	후원/NNG+하/XSV+도록/EC
강요한	강요/NNG+하/XSV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.394.10.2
이는 그동안 제기되지 않았던 의혹으로, 검찰이 조사 과정에서 새롭게 범죄 혐의를 포착한 것으로 보인다.

이는	이/NP+는/JX
그동안	그동안/NNG
제기되지	제기/NNG+되/XSV+지/EC
않았던	않/VX+았/EP+던/ETM
의혹으로,	의혹/NNG+으로/JKB+,/SP
검찰이	검찰/NNG+이/JKS
조사	조사/NNG
과정에서	과정/NNG+에서/JKB
새롭게	새롭/VA+게/EC
범죄	범죄/NNG
혐의를	혐의/NNG+를/JKO
포착한	포착/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.394.10.3
그는 문체부 산하 공기업 그랜드코리아레저(GKL)의 장애인 펜싱팀 대행업체로 최씨의 더블루케이(K)가 선정되도록 압력을 넣은 혐의도 받고 있다.

그는	그/NP+는/JX
문체부	문체부/NNG
산하	산하/NNG
공기업	공기업/NNG
그랜드코리아레저(GKL)의	그랜드코리아레저/NNP+(/SS+GKL/SL+)/SS+의/JKG
장애인	장애인/NNG
펜싱팀	펜싱/NNG+팀/NNG
대행업체로	대행업체/NNG+로/JKB
최씨의	최/NNP+씨/NNB+의/JKG
더블루케이(K)가	더블루케이/NNP+(/SS+K/SL+)/SS+가/JKS
선정되도록	선정/NNG+되/XSV+도록/EC
압력을	압력/NNG+을/JKO
넣은	넣/VV+은/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.394.10.4
검찰은 이밖에도 김 전 차관이 최씨에게 문화체육계의 현안에 대해 보고했다는 의혹에 공무상비밀누설 혐의도 적용한 것으로 보인다.

검찰은	검찰/NNG+은/JX
이밖에도	이/NP+밖/NNG+에/JKB+도/JX
김	김/NNP
전	전/MMD
차관이	차관/NNG+이/JKS
최씨에게	최/NNP+씨/NNB+에게/JKB
문화체육계의	문화/NNG+체육/NNG+계/XSN+의/JKG
현안에	현안/NNG+에/JKB
대해	대하/VV+아/EC
보고했다는	보고/NNG+하/XSV+았/EP+다는/ETM
의혹에	의혹/NNG+에/JKB
공무상비밀누설	공무/NNG+상/XSN+비밀/NNG+누설/NNG
혐의도	혐의/NNG+도/JX
적용한	적용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.394.10.5
김 전 차관의 영장 발부 여부는 21일 법원의 영장실질심사를 거쳐 결정된다.

김	김/NNP
전	전/MMD
차관의	차관/NNG+의/JKG
영장	영장/NNG
발부	발부/NNG
여부는	여부/NNG+는/JX
21일	21/SN+일/NNB
법원의	법원/NNG+의/JKG
영장실질심사를	영장/NNG+실질/NNG+심사/NNG+를/JKO
거쳐	거치/VV+어/EC
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.394.11.1
한양대 스포츠산업학과 교수였던 김 전 차관은 박근혜 대통령이 2013년 8월 정유라씨의 국가대표선발전 관련 민원을 제대로 처리하지 않았다는 이유로 문체부 국장과 과장이 ‘나쁜 사람’으로 찍혀 경질된 사태가 발생한 이후 2013년 10월 차관으로 임명됐다.

한양대	한양대/NNP
스포츠산업학과	스포츠/NNG+산업/NNG+학과/NNG
교수였던	교수/NNG+이/VCP+었/EP+던/ETM
김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
2013년	2013/SN+년/NNB
8월	8/SN+월/NNB
정유라씨의	정유라/NNP+씨/NNB+의/JKG
국가대표선발전	국가/NNG+대표/NNG+선발전/NNG
관련	관련/NNG
민원을	민원/NNG+을/JKO
제대로	제대로/MAG
처리하지	처리/NNG+하/XSV+지/EC
않았다는	않/VX+았/EP+다는/ETM
이유로	이유/NNG+로/JKB
문체부	문체부/NNG
국장과	국장/NNG+과/JC
과장이	과장/NNG+이/JKS
‘나쁜	‘/SS+나쁘/VA+ㄴ/ETM
사람’으로	사람/NNG+’/SS+으로/JKB
찍혀	찍히/VV+어/EC
경질된	경질/NNG+되/XSV+ㄴ/ETM
사태가	사태/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
10월	10/SN+월/NNB
차관으로	차관/NNG+으로/JKB
임명됐다.	임명/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.394.11.2
2014년 7월 면직된 유진룡 전 장관은 언론 인터뷰에서 “김종 차관의 민원을 이재만 비서관이 대통령을 움직여 지시하는 경우도 있었다”고 밝히기도 했다.

2014년	2014/SN+년/NNB
7월	7/SN+월/NNB
면직된	면직/NNG+되/XSV+ㄴ/ETM
유진룡	유진룡/NNP
전	전/MMD
장관은	장관/NNG+은/JX
언론	언론/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“김종	“/SS+김종/NNP
차관의	차관/NNG+의/JKG
민원을	민원/NNG+을/JKO
이재만	이재만/NNP
비서관이	비서관/NNG+이/JKS
대통령을	대통령/NNG+을/JKO
움직여	움직이/VV+어/EC
지시하는	지시/NNG+하/XSV+는/ETM
경우도	경우/NNG+도/JX
있었다”고	있/VA+었/EP+다/EF+”/SS+고/JKQ
밝히기도	밝히/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.394.12.1
김 전 차관을 둘러싼 의혹은 크게 최씨 집안의 이권 지원과 인사청탁을 통한 체육계 장악이다.

김	김/NNP
전	전/MMD
차관을	차관/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
의혹은	의혹/NNG+은/JX
크게	크/VA+게/EC
최씨	최/NNP+씨/NNB
집안의	집안/NNG+의/JKG
이권	이권/NNG
지원과	지원/NNG+과/JC
인사청탁을	인사/NNG+청탁/NNG+을/JKO
통한	통하/VV+ㄴ/ETM
체육계	체육/NNG+계/XSN
장악이다.	장악/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.394.12.2
김 전 차관은 체육인재육성재단을 해산시키고 케이(K)스포츠재단을 설립하는 과정에 개입한 의혹을 받고 있다.

김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
체육인재육성재단을	체육/NNG+인재/NNG+육성/NNG+재단/NNG+을/JKO
해산시키고	해산/NNG+시키/XSV+고/EC
케이(K)스포츠재단을	케이/NNP+(/SS+K/SL+)/SS+스포츠/NNG+재단/NNG+을/JKO
설립하는	설립/NNG+하/XSV+는/ETM
과정에	과정/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.394.12.3
최씨가 설립한 더블루케이 사업에도 개입했다는 의혹도 있다.

최씨가	최/NNP+씨/NNB+가/JKS
설립한	설립/NNG+하/XSV+ㄴ/ETM
더블루케이	더블루케이/NNP
사업에도	사업/NNG+에/JKB+도/JX
개입했다는	개입/NNG+하/XSV+았/EP+다는/ETM
의혹도	의혹/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.394.12.4
그는 또 한국동계스포츠영재센터에 문체부 예산 6억7000만원을 배정했고, 정유라씨의 국가대표 발탁에 개입한 의혹도 받고 있다.

그는	그/NP+는/JX
또	또/MAG
한국동계스포츠영재센터에	한국동계스포츠영재센터/NNP+에/JKB
문체부	문체부/NNG
예산	예산/NNG
6억7000만원을	6/SN+억/NR+7000/SN+만/NR+원/NNB+을/JKO
배정했고,	배정/NNG+하/XSV+았/EP+고/EC+,/SP
정유라씨의	정유라/NNP+씨/NNB+의/JKG
국가대표	국가/NNG+대표/NNG
발탁에	발탁/NNG+에/JKB
개입한	개입/NNG+하/XSV+ㄴ/ETM
의혹도	의혹/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.394.12.5
김 전 차관은 언론 등에서 의혹이 나올 때마다 줄곧 “최순실씨를 모른다”고 주장했지만, 최씨의 논현동 비밀아지트로 알려진 사무실에선 그를 직접 봤다는 증언들이 나왔다.

김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
언론	언론/NNG
등에서	등/NNB+에서/JKB
의혹이	의혹/NNG+이/JKS
나올	나오/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
줄곧	줄곧/MAG
“최순실씨를	“/SS+최순실/NNP+씨/NNB+를/JKO
모른다”고	모르/VV+ㄴ다/EF+”/SS+고/JKQ
주장했지만,	주장/NNG+하/XSV+았/EP+지만/EC+,/SP
최씨의	최/NNP+씨/NNB+의/JKG
논현동	논현동/NNP
비밀아지트로	비밀/NNG+아지트/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
사무실에선	사무실/NNG+에서/JKB+ㄴ/JX
그를	그/NP+를/JKO
직접	직접/MAG
봤다는	보/VV+았/EP+다는/ETM
증언들이	증언/NNG+들/XSN+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.394.13.1
차관직을 활용해 체육계를 장악하려 했다는 의혹도 검찰의 추가 조사에서 밝혀질 것으로 보인다.

차관직을	차관직/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
체육계를	체육/NNG+계/XSN+를/JKO
장악하려	장악/NNG+하/XSV+려/EC
했다는	하/VX+았/EP+다는/ETM
의혹도	의혹/NNG+도/JX
검찰의	검찰/NNG+의/JKG
추가	추가/NNG
조사에서	조사/NNG+에서/JKB
밝혀질	밝혀지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.394.13.2
김 전 차관은 2014년에 최씨에게 문자메시지로 문체부 장관 후보자 3명과 한국콘텐츠진흥원 원장 후보 2명을 추천했다는 의혹이 제기된 바 있다.

김	김/NNP
전	전/MMD
차관은	차관/NNG+은/JX
2014년에	2014/SN+년/NNB+에/JKB
최씨에게	최/NNP+씨/NNB+에게/JKB
문자메시지로	문자/NNG+메시지/NNG+로/JKB
문체부	문체부/NNG
장관	장관/NNG
후보자	후보자/NNG
3명과	3/SN+명/NNB+과/JC
한국콘텐츠진흥원	한국콘텐츠진흥원/NNP
원장	원장/NNG
후보	후보/NNG
2명을	2/SN+명/NNB+을/JKO
추천했다는	추천/NNG+하/XSV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
제기된	제기/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.394.13.3
체육진흥투표권(스포츠토토) 사업자인 케이(K)토토 관계자는 최근 <한겨레>에 “김 전 차관의 인사청탁으로 지난해 7월 직원 2명을 채용했다”고 밝힌 바 있다.

체육진흥투표권(스포츠토토)	체육/NNG+진흥/NNG+투표/NNG+권/XSN+(/SS+스포츠토토/NNP+)/SS
사업자인	사업자/NNG+이/VCP+ㄴ/ETM
케이(K)토토	케이/NNP+(/SS+K/SL+)/SS+토토/NNP
관계자는	관계자/NNG+는/JX
최근	최근/NNG
<한겨레>에	</SS+한겨레/NNP+>/SS+에/JKB
“김	“/SS+김/NNP
전	전/MMD
차관의	차관/NNG+의/JKG
인사청탁으로	인사/NNG+청탁/NNG+으로/JKB
지난해	지난해/NNG
7월	7/SN+월/NNB
직원	직원/NNG
2명을	2/SN+명/NNB+을/JKO
채용했다”고	채용/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.394.13.4
이 중 1명은 최씨의 측근으로 알려졌다.

이	이/MMD
중	중/NNB
1명은	1/SN+명/NNB+은/JX
최씨의	최/NNP+씨/NNB+의/JKG
측근으로	측근/NNG+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


