# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.166
metadata : {}


# id : NWRW1800000038.166.1.1
신월성原電 1호기 또 고장… 전국 원전 23기 중 9기 멈춰

신월성原電	신월성/NNP+原電/SH
오전 8시 35분 전력 공급에서 수요를 뺀 예비전력이 450만㎾ 아래로 떨어져 전력 수급 경보 준비 단계가 발령됐다.

오전	오전/NNG
8시	8/SN+시/NNB
35분	35/SN+분/NNB
전력	전력/NNG
공급에서	공급/NNG+에서/JKB
수요를	수요/NNG+를/JKO
뺀	빼/VV+ㄴ/ETM
예비전력이	예비/NNG+전력/NNG+이/JKS
450만㎾	450/SN+만/NR+㎾/SW
아래로	아래/NNG+로/JKB
떨어져	떨어지/VV+어/EC
수급	수급/NNG
경보	경보/NNG
준비	준비/NNG
단계가	단계/NNG+가/JKS
발령됐다.	발령/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.166.6.3
계획 예방 정비와 고장으로 고리 4호기 등 원전 7기가 정지한 상태에서 신월성 1호기까지 멈추자 예비 전력이 급감한 탓이다.

계획	계획/NNG
예방	예방/NNG
정비와	정비/NNG+와/JC
고장으로	고장/NNG+으로/JKB
고리	고리/NNP
4호기	4/SN+호기/NNB
등	등/NNB
원전	원전/NNG
7기가	7/SN+기/NNB+가/JKS
정지한	정지/NNG+하/XSV+ㄴ/ETM
상태에서	상태/NNG+에서/JKB
신월성	신월성/NNP
1호기까지	1/SN+호기/NNB+까지/JX
멈추자	멈추/VV+자/EC
예비	예비/NNG
전력이	전력/NNG+이/JKS
급감한	급감/NNG+하/XSV+ㄴ/ETM
탓이다.	탓/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.166.6.4
준비 단계는 올 들어 지난 1월 7일을 끝으로 3개월 이상 발령되지 않았다.

준비	준비/NNG
단계는	단계/NNG+는/JX
올	올/NNG
들어	들/VV+어/EC
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
7일을	7/SN+일/NNB+을/JKO
끝으로	끝/NNG+으로/JKB
3개월	3/SN+개월/NNB
이상	이상/NNG
발령되지	발령/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.166.7.1
이날 밤 11시 50분부터 월성원전 2호기(70만㎾급)가 정비에 들어간 것도 전력 수급에 어려움을 더할 것으로 보인다.

이날	이날/NNG
밤	밤/NNG
11시	11/SN+시/NNB
50분부터	50/SN+분/NNB+부터/JX
월성원전	월성원전/NNP
2호기(70만㎾급)가	2/SN+호기/NNB+(/SS+70/SN+만/NR+㎾/SW+급/NNG+)/SS+가/JKS
정비에	정비/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
것도	것/NNB+도/JX
전력	전력/NNG
수급에	수급/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
더할	더/MAG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.166.7.2
하루에 2기의 원전이 고장과 정비로 정지하면서 전체 23기 가운데 3분의 1이 넘는 원전 9기가 가동을 못 하는 상태가 당분간 이어지게 된 것이다.

하루에	하루/NNG+에/JKB
2기의	2/SN+기/NNB+의/JKG
원전이	원전/NNG+이/JKS
고장과	고장/NNG+과/JC
정비로	정비/NNG+로/JKB
정지하면서	정지/NNG+하/XSV+면서/EC
전체	전체/NNG
23기	23/SN+기/NNB
가운데	가운데/NNG
3분의	3/SN+분/XSN+의/JKG
1이	1/SN+이/JKS
넘는	넘/VV+는/ETM
원전	원전/NNG
9기가	9/SN+기/NNB+가/JKS
가동을	가동/NNG+을/JKO
못	못/MAG
하는	하/VV+는/ETM
상태가	상태/NNG+가/JKS
당분간	당분간/MAG
이어지게	이어지/VV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.166.8.1
산업통상자원부 관계자는 "여름철 성수기를 대비한 예방 정비 등을 위해 전체 설비 용량 8346만5000㎾ 가운데 1700만㎾ 이상이 멈춰 있는 상태"라며 "24일엔 50만㎾ 규모인 당진화력 5호기를 돌리고, 수요 관리 규모를 늘려 전력 수급에 문제가 없도록 할 것"이라고 말했다.

산업통상자원부	산업/NNG+통상/NNG+자원부/NNG
관계자는	관계자/NNG+는/JX
"여름철	"/SS+여름철/NNG
성수기를	성수기/NNG+를/JKO
대비한	대비/NNG+하/XSV+ㄴ/ETM
예방	예방/NNG
정비	정비/NNG
등을	등/NNB+을/JKO
위해	위하/VV+아/EC
전체	전체/NNG
설비	설비/NNG
용량	용량/NNG
8346만5000㎾	8346/SN+만/NR+5000/SN+㎾/SW
가운데	가운데/NNG
1700만㎾	1700/SN+만/NR+㎾/SW
이상이	이상/NNG+이/JKS
멈춰	멈추/VV+어/EC
있는	있/VX+는/ETM
상태"라며	상태/NNG+"/SS+이/VCP+라며/EC
"24일엔	"/SS+24/SN+일/NNB+에/JKB+ㄴ/JX
50만㎾	50/SN+만/NR+㎾/SW
규모인	규모/NNG+이/VCP+ㄴ/ETM
당진화력	당진화력/NNP
5호기를	5/SN+호기/NNB+를/JKO
돌리고,	돌리/VV+고/EC+,/SP
수요	수요/NNG
관리	관리/NNG
규모를	규모/NNG+를/JKO
늘려	늘리/VV+어/EC
전력	전력/NNG
수급에	수급/NNG+에/JKB
문제가	문제/NNG+가/JKS
없도록	없/VA+도록/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


