# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.403
metadata : {}


# id : NWRW1800000026.403.1.1
[인천·부천] "연평도 포격 안보 관광지로"… 일부 주민 반대

[인천·부천]	[/SS+인천/NNP+·/SP+부천/NNP+]/SS
군청에서	군청/NNG+에서/JKB
펼치는	펼치/VV+는/ETM
사업인	사업/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
일단	일단/MAG
믿어본다"고	믿/VV+어/EC+보/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.403.8.1
하지만 "삶의 터전을 두 번 짓밟는 일"이라며 반대하는 주민들도 있다.

하지만	하지만/MAJ
"삶의	"/SS+삶/NNG+의/JKG
터전을	터전/NNG+을/JKO
두	두/MMN
번	번/NNB
짓밟는	짓밟/VV+는/ETM
일"이라며	일/NNG+"/SS+이/VCP+라며/EC
반대하는	반대/NNG+하/XSV+는/ETM
주민들도	주민/NNG+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.403.9.1
주민 이기옥(50)씨는 "이곳을 관광지로 만들고 포격 맞은 집들을 보게 하는 것은 내내 아픔을 건드리는 야만적인 일"이라며 "흉물이 되어버린 마을은 절대 자랑거리가 아니며 이슈거리를 만드는 것에 결사 반대한다"고 말했다.

주민	주민/NNG
이기옥(50)씨는	이기옥/NNP+(/SS+50/SN+)/SS+씨/NNB+는/JX
"이곳을	"/SS+이곳/NP+을/JKO
관광지로	관광지/NNG+로/JKB
만들고	만들/VV+고/EC
포격	포격/NNG
맞은	맞/VV+은/ETM
집들을	집/NNG+들/XSN+을/JKO
보게	보/VV+게/EC
하는	하/VX+는/ETM
것은	것/NNB+은/JX
내내	내내/MAG
아픔을	아픔/NNG+을/JKO
건드리는	건드리/VV+는/ETM
야만적인	야만/NNG+적/XSN+이/VCP+ㄴ/ETM
일"이라며	일/NNG+"/SS+이/VCP+라며/EC
"흉물이	"/SS+흉물/NNG+이/JKC
되어버린	되/VV+어/EC+버리/VX+ㄴ/ETM
마을은	마을/NNG+은/JX
절대	절대/MAG
자랑거리가	자랑거리/NNG+가/JKC
아니며	아니/VCN+며/EC
이슈거리를	이슈/NNG+거리/NNB+를/JKO
만드는	만들/VV+는/ETM
것에	것/NNB+에/JKB
결사	결사/NNG
반대한다"고	반대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


