# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.297
metadata : {}


# id : NWRW1800000053.297.1.1
정부, 설-추석 선물 한도 상향 검토

정부,	정부/NNG+,/SP
# id : NWRW1800000053.297.4.1
기획재정부 국토교통부 금융위원회 등은 5일 정부서울청사에서 경제 분야 올해 주요 업무계획을 황교안 대통령 권한대행에게 보고했다.

기획재정부	기획/NNG+재정부/NNG
국토교통부	국토/NNG+교통부/NNG
금융위원회	금융/NNG+위원회/NNG
등은	등/NNB+은/JX
5일	5/SN+일/NNB
정부서울청사에서	정부서울청사/NNP+에서/JKB
경제	경제/NNG
분야	분야/NNG
올해	올해/NNG
주요	주요/NNG
업무계획을	업무/NNG+계획/NNG+을/JKO
황교안	황교안/NNP
대통령	대통령/NNG
권한대행에게	권한/NNG+대행/NNG+에게/JKB
보고했다.	보고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.297.5.1
업무보고가 끝난 뒤 열린 정책토론회에서는 최근 내수 부진을 감안해 식사비 3만 원, 선물 5만 원, 경조사비 10만 원의 상한을 두고 있는 청탁금지법을 개정해야 한다는 의견이 나왔다.

업무보고가	업무/NNG+보고/NNG+가/JKS
끝난	끝나/VV+ㄴ/ETM
뒤	뒤/NNG
열린	열리/VV+ㄴ/ETM
정책토론회에서는	정책/NNG+토론회/NNG+에서/JKB+는/JX
최근	최근/MAG
내수	내수/NNG
부진을	부진/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
식사비	식사비/NNG
3만	3/SN+만/NR
원,	원/NNB+,/SP
선물	선물/NNG
5만	5/SN+만/NR
경조사비	경조사비/NNG
10만	10/SN+만/NR
원의	원/NNB+의/JKG
상한을	상한/NNG+을/JKO
두고	두/VV+고/EC
있는	있/VX+는/ETM
청탁금지법을	청탁/NNG+금지법/NNG+을/JKO
개정해야	개정/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
의견이	의견/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.297.5.2
황 권한대행은 “향후 실태조사 결과를 토대로 청탁금지법의 도입 취지가 훼손되지 않는 범위에서 조정할 수 있는 방안을 검토해 달라”고 주문했고 기재부 측은 “토론 내용을 근거로 시간을 두고 검토하겠다”고 밝혔다.

황	황/NNP
권한대행은	권한/NNG+대행/NNG+은/JX
“향후	“/SS+향후/NNG
실태조사	실태/NNG+조사/NNG
결과를	결과/NNG+를/JKO
토대로	토대/NNG+로/JKB
청탁금지법의	청탁/NNG+금지법/NNG+의/JKG
도입	도입/NNG
취지가	취지/NNG+가/JKS
훼손되지	훼손/NNG+되/XSV+지/EC
않는	않/VX+는/ETM
범위에서	범위/NNG+에서/JKB
조정할	조정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방안을	방안/NNG+을/JKO
검토해	검토/NNG+하/XSV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
주문했고	주문/NNG+하/XSV+았/EP+고/EC
기재부	기재부/NNG
측은	측/NNB+은/JX
“토론	“/SS+토론/NNG
내용을	내용/NNG+을/JKO
근거로	근거/NNG+로/JKB
시간을	시간/NNG+을/JKO
두고	두/VV+고/EC
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.297.6.1
하지만 청탁금지법 집행기관인 국민권익위원회가 “법·시행령 개정을 검토하고 있지 않다”고 밝혀 향후 정책 추진 과정에서 부처 간 갈등이 빚어질 가능성도 있어 보인다.

하지만	하지만/MAJ
청탁금지법	청탁/NNG+금지법/NNG
집행기관인	집행/NNG+기관/NNG+이/VCP+ㄴ/ETM
국민권익위원회가	국민/NNG+권익/NNG+위원회/NNG+가/JKS
“법·시행령	“/SS+법/NNG+·/SP+시행령/NNG
개정을	개정/NNG+을/JKO
검토하고	검토/NNG+하/XSV+고/EC
있지	있/VX+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
밝혀	밝히/VV+어/EC
향후	향후/NNG
정책	정책/NNG
추진	추진/NNG
과정에서	과정/NNG+에서/JKB
부처	부처/NNG
간	간/NNB
갈등이	갈등/NNG+이/JKS
빚어질	빚어지/VV+ㄹ/ETM
가능성도	가능/NNG+성/XSN+도/JX
있어	있/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.297.7.1
무인자율주행차는 신분당선 판교역과 판교창조경제밸리(편도 2.5km) 구간에서 시속 30km로 달리는 12인승 버스로 운행될 예정이다.

무인자율주행차는	무인/NNG+자율/NNG+주행차/NNG+는/JX
신분당선	신분당선/NNP
판교역과	판교역/NNP+과/JC
판교창조경제밸리(편도	판교창조경제밸리/NNP+(/SS+편도/NNG
2.5km)	2/SN+./SP+5/SN+km/SW+)/SS
구간에서	구간/NNG+에서/JKB
시속	시속/NNG
30km로	30/SN+km/SW+로/JKB
달리는	달리/VV+는/ETM
12인승	12인승/NNG
버스로	버스/NNG+로/JKB
운행될	운행/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.297.7.2
손바닥 정맥만으로 결제가 가능한 ‘바이오 페이’도 6월 말까지 도입된다.

손바닥	손바닥/NNG
정맥만으로	정맥/NNG+만/JX+으로/JKB
결제가	결제/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
‘바이오	‘/SS+바이오/NNG
페이’도	페이/NNG+’/SS+도/JX
6월	6/SN+월/NNB
말까지	말/NNB+까지/JX
도입된다.	도입/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000053.297.8.1
정부는 정치적 불확실성이 커진 점을 감안해 4차 산업혁명 대비 사업 등 무난하게 추진할 수 있는 내용들로 업무 보고를 채웠다.

정부는	정부/NNG+는/JX
정치적	정치/NNG+적/XSN
불확실성이	불확실/NNG+성/XSN+이/JKS
커진	커지/VV+ㄴ/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
4차	4/SN+차/NNB
산업혁명	산업/NNG+혁명/NNG
대비	대비/NNG
사업	사업/NNG
등	등/NNB
무난하게	무난하/VA+게/EC
추진할	추진/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
내용들로	내용/NNG+들/XSN+로/JKB
업무	업무/NNG
보고를	보고/NNG+를/JKO
채웠다.	채우/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.297.8.2
그러다 보니 연 2%대 저성장 장기화, 저출산 고령화 등 한국 경제를 위협하는 뇌관을 제거할 근본적이면서 민감한 내용은 대부분 빠졌다는 지적이 나온다.

그러다	그러/VV+다/EC
보니	보/VX+니/EC
연	연/NNG
2%대	2/SN+%/SW+대/XSN
저성장	저/XPN+성장/NNG
장기화,	장기/NNG+화/XSN+,/SP
저출산	저/XPN+출산/NNG
고령화	고령/NNG+화/XSN
등	등/NNB
한국	한국/NNP
경제를	경제/NNG+를/JKO
위협하는	위협/NNG+하/XSV+는/ETM
뇌관을	뇌관/NNG+을/JKO
제거할	제거/NNG+하/XSV+ㄹ/ETM
근본적이면서	근본/NNG+적/XSN+이/VCP+면서/EC
민감한	민감/NNG+하/XSA+ㄴ/ETM
내용은	내용/NNG+은/JX
대부분	대/XPN+부분/NNG
빠졌다는	빠지/VV+었/EP+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


