# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.416
metadata : {}


# id : NWRW1800000022.416.1.1
조성규 前중부국세청장 영장;"세무조사 편의 봐달라" 3000만원 받은 혐의

조성규	조성규/NNP
검찰은 회사돈을 빼돌려 비자금 118억원을 조성한 혐의(횡령) 등으로 지난 4월 김 대표를 구속한 뒤 비자금의 행방에 대해 수사해왔다.

검찰은	검찰/NNG+은/JX
회사돈을	회사/NNG+돈/NNG+을/JKO
빼돌려	빼돌리/VV+어/EC
비자금	비자금/NNG
118억원을	118/SN+억/NR+원/NNB+을/JKO
조성한	조성/NNG+하/XSV+ㄴ/ETM
혐의(횡령)	혐의/NNG+(/SS+횡령/NNG+)/SS
등으로	등/NNB+으로/JKB
지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
김	김/NNP
대표를	대표/NNG+를/JKO
구속한	구속/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
비자금의	비자금/NNG+의/JKG
행방에	행방/NNG+에/JKB
대해	대하/VV+아/EC
수사해왔다.	수사/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.416.7.1
김 대표는 1984년 신창건설을 설립한 뒤 '비바패밀리'라는 브랜드로 아파트 건설사업을 해왔으며, 현재 대한주택건설협회 회장직을 맡고 있다.

김	김/NNP
대표는	대표/NNG+는/JX
1984년	1984/SN+년/NNB
신창건설을	신창건설/NNP+을/JKO
설립한	설립/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
'비바패밀리'라는	'/SS+비바패밀리/NNP+'/SS+이/VCP+라는/ETM
브랜드로	브랜드/NNG+로/JKB
아파트	아파트/NNG
건설사업을	건설/NNG+사업/NNG+을/JKO
해왔으며,	하/VV+아/EC+오/VX+았/EP+으며/EC+,/SP
현재	현재/MAG
대한주택건설협회	대한주택건설협회/NNP
회장직을	회장직/NNG+을/JKO
맡고	맡/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.416.7.2
신창건설은 지난 4월부터 법정 관리를 받고 있다.

신창건설은	신창건설/NNP+은/JX
지난	지나/VV+ㄴ/ETM
4월부터	4/SN+월/NNB+부터/JX
법정	법정/NNG
관리를	관리/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


