# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.200
metadata : {}


# id : NWRW1800000054.200.1.1
충북, 오늘도 120㎜ 비 예고… 퍼부은 데만 또 내리붓는 폭우

충북,	충북/NNP+,/SP
기상청은 "제9호 태풍 '네삿'이 중국 남부지방에서 소멸되면서, 이 태풍이 머금던 막대한 양의 수증기가 우리나라로 유입됐다"며 "한반도 북쪽에서 내려온 차갑고 건조한 공기가 이 수증기를 강한 비구름으로 발달시켰다"고 밝혔다.

기상청은	기상청/NNG+은/JX
"제9호	"/SS+제/XPN+9/SN+호/NNB
태풍	태풍/NNG
'네삿'이	'/SS+네삿/NNG+'/SS+이/JKS
중국	중국/NNP
남부지방에서	남부/NNG+지방/NNG+에서/JKB
소멸되면서,	소멸/NNG+되/XSV+면서/EC+,/SP
이	이/MMD
태풍이	태풍/NNG+이/JKS
머금던	머금/VV+던/ETM
막대한	막대하/VA+ㄴ/ETM
양의	양/NNG+의/JKG
수증기가	수증기/NNG+가/JKS
우리나라로	우리나라/NNG+로/JKB
유입됐다"며	유입/NNG+되/XSV+었/EP+다/EF+"/SS+며/EC
"한반도	"/SS+한반도/NNP
북쪽에서	북쪽/NNG+에서/JKB
내려온	내려오/VV+ㄴ/ETM
차갑고	차갑/VA+고/EC
건조한	건조/NNG+하/XSA+ㄴ/ETM
공기가	공기/NNG+가/JKS
수증기를	수증기/NNG+를/JKO
강한	강하/VA+ㄴ/ETM
비구름으로	비구름/NNG+으로/JKB
발달시켰다"고	발달/NNG+시키/XSV+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.200.5.1
이날 충주와 음성에는 한때 시간당 75.4㎜, 61㎜의 장대비가 내려면서 피해가 잇따랐다.

이날	이날/NNG
충주와	충주/NNP+와/JC
음성에는	음성/NNP+에/JKB+는/JX
한때	한때/MAG
시간당	시간/NNG+당/XSN
75.4㎜,	75/SN+./SP+4/SN+㎜/SW+,/SP
61㎜의	61/SN+㎜/SW+의/JKG
장대비가	장대비/NNG+가/JKS
내려면서	내려/VV+면서/EC
피해가	피해/NNG+가/JKS
잇따랐다.	잇따르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.200.5.2
오전 8시쯤엔 삼성면 덕정리 한 주택이 침수돼 주민 1명이 고립됐다가 구조됐고, 오전 8시 55분쯤 금왕읍 무극리 주택에서도 급격히 불어난 물에 주민 3명이 집 안에 갇혔다가 119구조대의 도움으로 대피했다.

오전	오전/NNG
8시쯤엔	8/SN+시/NNB+쯤/XSN+에/JKB+ㄴ/JX
삼성면	삼성면/NNP
덕정리	덕정리/NNP
한	한/MMN
주택이	주택/NNG+이/JKS
침수돼	침수/NNG+되/XSV+어/EC
주민	주민/NNG
1명이	1/SN+명/NNB+이/JKS
고립됐다가	고립/NNG+되/XSV+었/EP+다가/EC
구조됐고,	구조/NNG+되/XSV+었/EP+고/EC+,/SP
8시	8/SN+시/NNB
55분쯤	55/SN+분/NNB+쯤/XSN
금왕읍	금왕읍/NNP
무극리	무극리/NNP
주택에서도	주택/NNG+에서/JKB+도/JX
급격히	급격히/MAG
불어난	불어나/VV+ㄴ/ETM
물에	물/NNG+에/JKB
3명이	3/SN+명/NNB+이/JKS
집	집/NNG
안에	안/NNG+에/JKB
갇혔다가	갇히/VV+었/EP+다가/EC
119구조대의	119/SN+구조대/NNG+의/JKG
도움으로	도움/NNG+으로/JKB
대피했다.	대피/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.200.5.3
음성군 생극면 소하천 둑 일부가 유실됐고, 도로 곳곳이 침수돼 차량 통행이 제한됐다.

음성군	음성군/NNP
생극면	생극면/NNP
소하천	소/XPN+하천/NNG
둑	둑/NNG
일부가	일부/NNG+가/JKS
유실됐고,	유실/NNG+되/XSV+었/EP+고/EC+,/SP
도로	도로/NNG
곳곳이	곳곳이/MAG
침수돼	침수/NNG+되/XSV+어/EC
차량	차량/NNG
통행이	통행/NNG+이/JKS
제한됐다.	제한/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.200.5.4
충주에서도 문화동 중원대로 인근의 하수가 역류해 도로와 주택, 상가가 침수됐다.

충주에서도	충주/NNP+에서/JKB+도/JX
문화동	문화동/NNP
중원대로	중원대로/NNP
인근의	인근/NNG+의/JKG
하수가	하수/NNG+가/JKS
역류해	역류/NNG+하/XSV+아/EC
도로와	도로/NNG+와/JC
주택,	주택/NNG+,/SP
상가가	상가/NNG+가/JKS
침수됐다.	침수/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.200.5.5
청주기상지청 관계자는 "1일 오전까지 비가 최대 120㎜ 더 내리고, 오후부터 차츰 그칠 전망"이라고 말했다.

청주기상지청	청주기상지청/NNP
관계자는	관계자/NNG+는/JX
"1일	"/SS+1/SN+일/NNB
오전까지	오전/NNG+까지/JX
비가	비/NNG+가/JKS
최대	최대/NNG
120㎜	120/SN+㎜/SW
더	더/MAG
내리고,	내리/VV+고/EC+,/SP
오후부터	오후/NNG+부터/JX
차츰	차츰/MAG
그칠	그치/VV+ㄹ/ETM
전망"이라고	전망/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.200.5.6
1일 오후부터는 전국 내륙 지역을 중심으로 낮 최고기온이 33도를 넘는 무더위가 이어질 것으로 보인다.

1일	1/SN+일/NNB
오후부터는	오후/NNG+부터/JX+는/JX
전국	전국/NNG
내륙	내륙/NNG
지역을	지역/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
낮	낮/NNG
최고기온이	최고/NNG+기온/NNG+이/JKS
33도를	33/SN+도/NNB+를/JKO
넘는	넘/VV+는/ETM
무더위가	무더위/NNG+가/JKS
이어질	이어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


