# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.82
metadata : {}


# id : NWRW1800000036.82.1.1
‘페이스북’ 저커버그 대박 치자마자 결혼

‘페이스북’	‘/SS+페이스북/NNP+’/SS
가정식에	가정식/NNG+에/JKB
저커버그	저커버그/NNP
커플이	커플/NNG+이/JKS
좋아하는	좋아하/VV+는/ETM
팔로알토의	팔로알토/NNP+의/JKG
일식	일식/NNG
메뉴가	메뉴/NNG+가/JKS
끼여	끼이/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.82.7.1
저커버그는 페이스북을 창립하기 전인 2004년 하버드대 동문인 챈을 만나 사귀기 시작했다.

저커버그는	저커버그/NNP+는/JX
페이스북을	페이스북/NNP+을/JKO
창립하기	창립/NNG+하/XSV+기/ETN
전인	전/NNG+이/VCP+ㄴ/ETM
2004년	2004/SN+년/NNB
하버드대	하버드대/NNP
동문인	동문/NNG+이/VCP+ㄴ/ETM
챈을	챈/NNP+을/JKO
만나	만나/VV+아/EC
사귀기	사귀/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.82.7.2
페이스북 프로필에 따르면 챈은 2007년 하버드를 졸업한 뒤 2년동안 초등학교 교사를 하다가 다시 의대에 진학했다.

페이스북	페이스북/NNP
프로필에	프로필/NNG+에/JKB
따르면	따르/VV+면/EC
챈은	챈/NNP+은/JX
2007년	2007/SN+년/NNB
하버드를	하버드/NNP+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
2년동안	2/SN+년/NNB+동안/NNG
초등학교	초등학교/NNG
교사를	교사/NNG+를/JKO
하다가	하/VV+다가/EC
다시	다시/MAG
의대에	의대/NNG+에/JKB
진학했다.	진학/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.82.7.3
챈은 샌프란시스코 의과대학에서 소아과 전문의 과정을 밟았고, 최근 졸업했다.

챈은	챈/NNP+은/JX
샌프란시스코	샌프란시스코/NNP
의과대학에서	의과/NNG+대학/NNG+에서/JKB
소아과	소아과/NNG
전문의	전문의/NNG
과정을	과정/NNG+을/JKO
밟았고,	밟/VV+았/EP+고/EC+,/SP
최근	최근/MAG
졸업했다.	졸업/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.82.7.4
결혼식은 몇달 전부터 준비됐지만, 챈의 의대 졸업을 기다렸을 뿐 기업공개 시기는 고려대상이 아니었다고 페이스북 관계자는 밝혔다.

결혼식은	결혼식/NNG+은/JX
몇달	몇/NR+달/NNB
전부터	전/NNG+부터/JX
준비됐지만,	준비/NNG+되/XSV+었/EP+지만/EC+,/SP
챈의	챈/NNP+의/JKG
의대	의대/NNG
졸업을	졸업/NNG+을/JKO
기다렸을	기다리/VV+었/EP+을/ETM
뿐	뿐/NNB
기업공개	기업/NNG+공개/NNG
시기는	시기/NNG+는/JX
고려대상이	고려/NNG+대상/NNG+이/JKC
아니었다고	아니/VCN+었/EP+다고/EC
페이스북	페이스북/NNP
관계자는	관계자/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.82.8.1
한편, 주당 38달러로 18일 뉴욕 주식시장에 처음으로 상장된 페이스북 주식은 한때 11%나 상승하기도 했으나 결국 38.23달러로 보합세로 마감했다.

한편,	한편/MAG+,/SP
주당	주당/NNG
38달러로	38/SN+달러/NNB+로/JKB
18일	18/SN+일/NNB
뉴욕	뉴욕/NNP
주식시장에	주식/NNG+시장/NNG+에/JKB
처음으로	처음/NNG+으로/JKB
상장된	상장/NNG+되/XSV+ㄴ/ETM
페이스북	페이스북/NNP
주식은	주식/NNG+은/JX
한때	한때/MAG
11%나	11/SN+%/SW+나/JX
상승하기도	상승/NNG+하/XSV+기/ETN+도/JX
했으나	하/VX+았/EP+으나/EC
결국	결국/NNG
38.23달러로	38/SN+./SP+23/SN+달러/NNB+로/JKB
보합세로	보합세/NNG+로/JKB
마감했다.	마감/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.82.8.2
거래 시작일부터 하락세로 시작했던 그루폰 등 다른 정보통신(IT) 기업들에 비해서는 나쁘지 않은 성적이지만, 기대에 못미친 것도 사실이라고 <월스트리트 저널> 등은 보도했다.

거래	거래/NNG
시작일부터	시작일/NNG+부터/JX
하락세로	하락세/NNG+로/JKB
시작했던	시작/NNG+하/XSV+았/EP+던/ETM
그루폰	그루폰/NNP
등	등/NNB
다른	다른/MMD
정보통신(IT)	정보/NNG+통신/NNG+(/SS+IT/SL+)/SS
기업들에	기업/NNG+들/XSN+에/JKB
비해서는	비/NNG+하/XSV+아서/EC+는/JX
나쁘지	나쁘/VA+지/EC
않은	않/VX+은/ETM
성적이지만,	성적/NNG+이/VCP+지만/EC+,/SP
기대에	기대/NNG+에/JKB
못미친	못/MAG+미치/VV+ㄴ/ETM
것도	것/NNB+도/JX
사실이라고	사실/NNG+이/VCP+라고/EC
<월스트리트	</SS+월스트리트/NNP
저널>	저널/NNP+>/SS
등은	등/NNB+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


