# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.171
metadata : {}


# id : NWRW1800000046.171.1.1
벌점 감면 후엔 늘 교통사고 증가… 特赦(특사) 딜레마

벌점	벌점/NNG
삼성교통안전문화연구소가 지난해 10월 발표한 연구 결과에 따르면 운전면허 재취득자의 사고 유발률은 9.3%로 신규 면허 취득자(3.4%)에 비해 3배 가까이 높은 것으로 나타났다.

삼성교통안전문화연구소가	삼성교통안전문화연구소/NNP+가/JKS
지난해	지난해/NNG
10월	10/SN+월/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
연구	연구/NNG
결과에	결과/NNG+에/JKB
따르면	따르/VV+면/EC
운전면허	운전면허/NNG
재취득자의	재/XPN+취득자/NNG+의/JKG
사고	사고/NNG
유발률은	유발/NNG+률/XSN+은/JX
9.3%로	9/SN+./SP+3/SN+%/SW+로/JKB
신규	신규/NNG
면허	면허/NNG
취득자(3.4%)에	취득자/NNG+(/SS+3/SN+./SP+4/SN+%/SW+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
3배	3/SN+배/NNG
가까이	가까이/MAG
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.171.6.2
운전면허 재취득자 중 음주 운전으로 면허가 정지·취소가 된 비율도 30.2%로 신규 면허 취득자(3.7%)의 8.2배에 달했다.

운전면허	운전면허/NNG
재취득자	재/XPN+취득자/NNG
중	중/NNB
음주	음주/NNG
운전으로	운전/NNG+으로/JKB
면허가	면허/NNG+가/JKS
정지·취소가	정지/NNG+·/SP+취소/NNG+가/JKC
된	되/VV+ㄴ/ETM
비율도	비율/NNG+도/JX
30.2%로	30/SN+./SP+2/SN+%/SW+로/JKB
신규	신규/NNG
면허	면허/NNG
취득자(3.7%)의	취득자/NNG+(/SS+3/SN+./SP+7/SN+%/SW+)/SS+의/JKG
8.2배에	8/SN+./SP+2/SN+배/NNG+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.171.6.3
2005~2009년 164만여명이 음주 운전 관련 특별감면을 받았지만 이 중 730명은 재차 음주 운전으로 적발당했다가 한 번 더 감면을 받았다.

2005~2009년	2005/SN+~/SO+2009/SN+년/NNB
164만여명이	164/SN+만/NR+여/XSN+명/NNB+이/JKS
음주	음주/NNG
운전	운전/NNG
관련	관련/NNG
특별감면을	특별/NNG+감면/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
이	이/NP
중	중/NNB
730명은	730/SN+명/NNB+은/JX
재차	재차/MAG
운전으로	운전/NNG+으로/JKB
적발당했다가	적발/NNG+당하/XSV+았/EP+다가/EC
한	한/MMN
번	번/NNB
더	더/MAG
감면을	감면/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.171.7.1
이번 광복절 특별사면에도 무면허 운전이나 과실로 인한 교통사고 등에 대한 특별감면이 포함될 가능성이 크다.

이번	이번/NNG
광복절	광복절/NNG
특별사면에도	특별/NNG+사면/NNG+에/JKB+도/JX
무면허	무/XPN+면허/NNG
운전이나	운전/NNG+이나/JC
과실로	과실/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
교통사고	교통사고/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
특별감면이	특별/NNG+감면/NNG+이/JKS
포함될	포함/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000046.171.7.2
박근혜 대통령이 '국민 대통합' 키워드를 제시한 데다 새누리당이 대규모 특사 의견을 표명했기 때문이다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
'국민	'/SS+국민/NNG
대통합'	대/XPN+통합/NNG+'/SS
키워드를	키워드/NNG+를/JKO
제시한	제시/NNG+하/XSV+ㄴ/ETM
데다	데/NNB+다/JX
새누리당이	새누리당/NNP+이/JKS
대규모	대/XPN+규모/NNG
특사	특사/NNG
의견을	의견/NNG+을/JKO
표명했기	표명/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.171.7.3
교통 관련 특별감면을 포함해야만 정부가 추진하는 100만명 이상의 대규모 특사가 가능하다.

교통	교통/NNG
관련	관련/NNG
특별감면을	특별/NNG+감면/NNG+을/JKO
포함해야만	포함/NNG+하/XSV+아야/EC+만/JX
정부가	정부/NNG+가/JKS
추진하는	추진/NNG+하/XSV+는/ETM
100만명	100/SN+만/NR+명/NNB
이상의	이상/NNG+의/JKG
대규모	대/XPN+규모/NNG
특사가	특사/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.171.7.4
지금까지 단행된 대규모 특별사면에는 어김없이 교통 관련 특별감면 조치가 포함됐다.

지금까지	지금/NNG+까지/JX
단행된	단행/NNG+되/XSV+ㄴ/ETM
대규모	대/XPN+규모/NNG
특별사면에는	특별/NNG+사면/NNG+에/JKB+는/JX
어김없이	어김없이/MAG
교통	교통/NNG
관련	관련/NNG
특별감면	특별/NNG+감면/NNG
조치가	조치/NNG+가/JKS
포함됐다.	포함/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.171.8.1
전문가들은 교통 관련 특별감면 조치는 신중해야 한다고 말한다.

전문가들은	전문가/NNG+들/XSN+은/JX
교통	교통/NNG
관련	관련/NNG
특별감면	특별/NNG+감면/NNG
조치는	조치/NNG+는/JX
신중해야	신중/NNG+하/XSA+아야/EC
한다고	하/VX+ㄴ다고/EC
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.171.8.2
설재훈 한국교통연구원 선임연구위원은 "특별감면은 도로교통법 위반자에게 '때 되면 사면시켜준다'는 잘못된 사인(sign)을 준다"면서 "국민 통합을 위해 사면을 하더라도 사면 조건으로 일정한 교육을 받게 하거나 사회봉사를 하게 하는 등 추가 조치가 필요하다"고 말했다.

설재훈	설재훈/NNP
한국교통연구원	한국교통연구원/NNP
선임연구위원은	선임/NNG+연구/NNG+위원/NNG+은/JX
"특별감면은	"/SS+특별/NNG+감면/NNG+은/JX
도로교통법	도로/NNG+교통법/NNG
위반자에게	위반자/NNG+에게/JKB
'때	'/SS+때/NNG
되면	되/VV+면/EC
사면시켜준다'는	사면/NNG+시키/XSV+어/EC+주/VX+ㄴ다/EF+'/SS+는/ETM
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
사인(sign)을	사인/NNG+(/SS+sign/SL+)/SS+을/JKO
준다"면서	주/VV+ㄴ다/EF+"/SS+면서/EC
"국민	"/SS+국민/NNG
통합을	통합/NNG+을/JKO
위해	위하/VV+아/EC
사면을	사면/NNG+을/JKO
하더라도	하/VV+더라도/EC
사면	사면/NNG
조건으로	조건/NNG+으로/JKB
일정한	일정/NNG+하/XSA+ㄴ/ETM
교육을	교육/NNG+을/JKO
받게	받/VV+게/EC
하거나	하/VX+거나/EC
사회봉사를	사회봉사/NNG+를/JKO
하게	하/VV+게/EC
하는	하/VX+는/ETM
등	등/NNB
추가	추가/NNG
조치가	조치/NNG+가/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.171.9.1
특별감면 혜택이 생계형 운전자보다 일반 운전자에게 돌아가고 있다는 문제도 있다.

특별감면	특별/NNG+감면/NNG
혜택이	혜택/NNG+이/JKS
생계형	생계/NNG+형/XSN
운전자보다	운전자/NNG+보다/JKB
일반	일반/NNG
운전자에게	운전자/NNG+에게/JKB
돌아가고	돌아가/VV+고/EC
있다는	있/VX+다는/ETM
문제도	문제/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.171.9.2
지난해 발생한 교통사고 22만3500여건 중 사업용 차량 비율은 21.5%, 비사업용 차량은 74.1%(도로교통공단)였다.

지난해	지난해/NNG
발생한	발생/NNG+하/XSV+ㄴ/ETM
교통사고	교통사고/NNG
22만3500여건	22/SN+만/NR+3500/SN+여/XSN+건/NNB
중	중/NNB
사업용	사업/NNG+용/XSN
차량	차량/NNG
비율은	비율/NNG+은/JX
21.5%,	21/SN+./SP+5/SN+%/SW+,/SP
비사업용	비/XPN+사업/NNG+용/XSN
차량은	차량/NNG+은/JX
74.1%(도로교통공단)였다.	74/SN+./SP+1/SN+%/SW+(/SS+도로교통공단/NNP+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.171.9.3
교통사고 대부분을 일반 운전자가 내기 때문에 벌점 삭제나 행정처분 면제 대상도 일반 운전자가 더 많다는 뜻이다.

교통사고	교통사고/NNG
대부분을	대/XPN+부분/NNG+을/JKO
일반	일반/NNG
운전자가	운전자/NNG+가/JKS
내기	내/VV+기/ETN
때문에	때문/NNB+에/JKB
벌점	벌점/NNG
삭제나	삭제/NNG+나/JC
행정처분	행정/NNG+처분/NNG
면제	면제/NNG
대상도	대상/NNG+도/JX
더	더/MAG
많다는	많/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.171.9.4
한 교통 전문가는 "무조건적인 감면보다는 생계형 운전자로 대상을 한정하거나 감면받은 일반인 운전자가 재차 적발됐을 경우 가중 처벌을 하는 등 재발 방지 대책 도입이 필요하다"고 말했다.

한	한/MMN
교통	교통/NNG
전문가는	전문가/NNG+는/JX
"무조건적인	"/SS+무/XPN+조건/NNG+적/XSN+이/VCP+ㄴ/ETM
감면보다는	감면/NNG+보다/JKB+는/JX
생계형	생계/NNG+형/XSN
운전자로	운전자/NNG+로/JKB
대상을	대상/NNG+을/JKO
한정하거나	한정/NNG+하/XSV+거나/EC
감면받은	감면/NNG+받/XSV+은/ETM
일반인	일반인/NNG
운전자가	운전자/NNG+가/JKS
재차	재차/MAG
적발됐을	적발/NNG+되/XSV+었/EP+을/ETM
경우	경우/NNG
가중	가중/NNG
처벌을	처벌/NNG+을/JKO
하는	하/VV+는/ETM
등	등/NNB
재발	재발/NNG
방지	방지/NNG
대책	대책/NNG
도입이	도입/NNG+이/JKS
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


