# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.118
metadata : {}


# id : NWRW1800000024.118.1.1
직원 폭행 청양군수 고발

직원	직원/NNG
끝나면	끝나/VV+면/EC
승진시켜줄	승진/NNG+시키/XSV+어/EC+주/VX+ㄹ/ETM
테니	터/NNB+이/VCP+니/EC
조용히	조용히/MAG
해달라”고	하/VV+아/EC+달/VX+라/EF+”/SS+고/JKQ
회유하기도	회유/NNG+하/XSV+기/ETN+도/JX
했다고	하/VX+았/EP+다고/EC
이들	이/NP+들/XSN
단체는	단체/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.118.6.1
한편, 청양경찰서는 우선 김 군수를 폭행 혐의로 입건하고 정확한 조사를 하기로 했다.

한편,	한편/MAG+,/SP
청양경찰서는	청양경찰서/NNP+는/JX
우선	우선/MAG
김	김/NNP
군수를	군수/NNG+를/JKO
폭행	폭행/NNG
혐의로	혐의/NNG+로/JKB
입건하고	입건/NNG+하/XSV+고/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
조사를	조사/NNG+를/JKO
하기로	하/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


