# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.28
metadata : {}


# id : NWRW1800000053.28.1.1
[공기업 감동경영]‘지역 관광 네트워킹의 장’ 트래블아이 어워즈 시상식

[공기업	[/SS+공기업/NNG
“시상식이	“/SS+시상식/NNG+이/JKS
시상과	시상/NNG+과/JC
수상에	수상/NNG+에/JKB
의미를	의미/NNG+를/JKO
부여하기보다는	부여/NNG+하/XSV+기/ETN+보다/JKB+는/JX
관광공동체의	관광/NNG+공동체/NNG+의/JKG
네트워킹	네트워킹/NNG
장으로서	장/NNG+으로서/JKB
관광자원	관광/NNG+자원/NNG
교류와	교류/NNG+와/JC
관광마케팅	관광/NNG+마케팅/NNG
주체	주체/NNG
간의	간/NNB+의/JKG
교류가	교류/NNG+가/JKS
활성화되는	활성/NNG+화/XSN+되/XSV+는/ETM
시발점이	시발점/NNG+이/JKC
되었으면	되/VV+었/EP+으면/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
의지를	의지/NNG+를/JKO
표명했다.	표명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.28.6.1
트래블아이 어워즈는 매년 11월 11일 선정 결과가 공개되고, 선정 결과 발표를 통해 한 해 동안 지역 관광정보 사용자의 트렌드를 종합적으로 되돌아볼 수 있는 기회를 제공한다.

트래블아이	트래블아이/NNP
어워즈는	어워즈/NNG+는/JX
매년	매년/MAG
11월	11/SN+월/NNB
11일	11/SN+일/NNB
선정	선정/NNG
결과가	결과/NNG+가/JKS
공개되고,	공개/NNG+되/XSV+고/EC+,/SP
결과	결과/NNG
발표를	발표/NNG+를/JKO
통해	통하/VV+아/EC
한	한/MMN
해	해/NNB
동안	동안/NNG
지역	지역/NNG
관광정보	관광/NNG+정보/NNG
사용자의	사용자/NNG+의/JKG
트렌드를	트렌드/NNG+를/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
되돌아볼	되돌아보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기회를	기회/NNG+를/JKO
제공한다.	제공/NNG+하/XSV+ㄴ다/EF+./SF


