# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.257
metadata : {}


# id : NWRW1800000030.257.1.1
[조선데스크] 늘어나는 노인 분노범죄

[조선데스크]	[/SS+조선/NNP+데스크/NNG+]/SS
수준으로	수준/NNG+으로/JKB
OECD	OECD/SL
평균보다	평균/NNG+보다/JKB
3배나	3/SN+배/NNG+나/JX
높다.	높/VA+다/EF+./SF


# id : NWRW1800000030.257.4.3
우리보다 고령화 진행이 빠른 일본도 절도 등 노인 범죄가 급증해 사회문제로 떠올라 있다.

우리보다	우리/NP+보다/JKB
고령화	고령/NNG+화/XSN
진행이	진행/NNG+이/JKS
빠른	빠르/VA+ㄴ/ETM
일본도	일본/NNP+도/JX
절도	절도/NNG
등	등/NNB
노인	노인/NNG
범죄가	범죄/NNG+가/JKS
급증해	급증/NNG+하/XSV+아/EC
사회문제로	사회/NNG+문제/NNG+로/JKB
떠올라	떠오르/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.257.4.4
치안정책연구소 유지웅 연구관은 "노인들은 대개 범죄의 피해자이고 노인 범죄율은 다른 연령층에 비해 낮다는 일반적 인식을 깨고 노인들이 급속히 범죄의 가해자로 등장하고 있다"고 말했다.

치안정책연구소	치안/NNG+정책/NNG+연구소/NNG
유지웅	유지웅/NNP
연구관은	연구관/NNG+은/JX
"노인들은	"/SS+노인/NNG+들/XSN+은/JX
대개	대개/MAG
범죄의	범죄/NNG+의/JKG
피해자이고	피해자/NNG+이/VCP+고/EC
노인	노인/NNG
범죄율은	범죄/NNG+율/XSN+은/JX
다른	다른/MMD
연령층에	연령/NNG+층/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
낮다는	낮/VA+다는/ETM
일반적	일반/NNG+적/XSN
인식을	인식/NNG+을/JKO
깨고	깨/VV+고/EC
노인들이	노인/NNG+들/XSN+이/JKS
급속히	급속히/MAG
가해자로	가해자/NNG+로/JKB
등장하고	등장/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.257.4.5
의학기술 발달로 사람들이 점점 더 오래 살면서 건강을 유지하는데, 가난하게 사는 노인들은 증가하며, 노인의 권위는 점점 하락하고 사회적인 냉대를 받으면서 나타나는 현상이다.

의학기술	의학/NNG+기술/NNG
발달로	발달/NNG+로/JKB
사람들이	사람/NNG+들/XSN+이/JKS
점점	점점/MAG
더	더/MAG
오래	오래/MAG
살면서	살/VV+면서/EC
건강을	건강/NNG+을/JKO
유지하는데,	유지/NNG+하/XSV+는데/EC+,/SP
가난하게	가난/NNG+하/XSA+게/EC
사는	살/VV+는/ETM
노인들은	노인/NNG+들/XSN+은/JX
증가하며,	증가/NNG+하/XSV+며/EC+,/SP
노인의	노인/NNG+의/JKG
권위는	권위/NNG+는/JX
하락하고	하락/NNG+하/XSV+고/EC
사회적인	사회/NNG+적/XSN+이/VCP+ㄴ/ETM
냉대를	냉대/NNG+를/JKO
받으면서	받/VV+으면서/EC
나타나는	나타나/VV+는/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.257.5.1
최근 노인범죄의 특징은 강력범죄가 급증하고 점점 흉포해지고 있다는 점이다.

최근	최근/NNG
노인범죄의	노인/NNG+범죄/NNG+의/JKG
특징은	특징/NNG+은/JX
강력범죄가	강력/NNG+범죄/NNG+가/JKS
급증하고	급증/NNG+하/XSV+고/EC
점점	점점/MAG
흉포해지고	흉포하/VA+아/EC+지/VX+고/EC
있다는	있/VX+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.257.5.2
2009년 노인들이 저지른 강간·살인 같은 흉악범죄는 10년 전에 비해 각각 4.0배, 4.2배 늘었다.

2009년	2009/SN+년/NNB
노인들이	노인/NNG+들/XSN+이/JKS
저지른	저지르/VV+ㄴ/ETM
강간·살인	강간/NNG+·/SP+살인/NNG
같은	같/VA+은/ETM
흉악범죄는	흉악/NNG+범죄/NNG+는/JX
10년	10/SN+년/NNB
전에	전/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
각각	각각/MAG
4.0배,	4/SN+./SP+0/SN+배/NNG+,/SP
4.2배	4/SN+./SP+2/SN+배/NNG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.257.5.3
특히 노인 강력범죄 증가는 노인들이 버림받고 있다고 느끼며 갖는 '분노'가 중요한 원인이라는 분석이 나와 주목을 끌고 있다.

특히	특히/MAG
노인	노인/NNG
강력범죄	강력/NNG+범죄/NNG
증가는	증가/NNG+는/JX
노인들이	노인/NNG+들/XSN+이/JKS
버림받고	버림받/VV+고/EC
있다고	있/VX+다고/EC
느끼며	느끼/VV+며/EC
갖는	갖/VV+는/ETM
'분노'가	'/SS+분노/NNG+'/SS+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
원인이라는	원인/NNG+이/VCP+라는/ETM
분석이	분석/NNG+이/JKS
나와	나오/VV+아/EC
주목을	주목/NNG+을/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.257.5.4
나름대로 열심히 살았는데 비참한 노후에 처한 데 대한 분노가 험한 범죄로 나타나고 있다는 것이다.

나름대로	나름/NNB+대로/JX
열심히	열심히/MAG
살았는데	살/VV+았/EP+는데/EC
비참한	비참/NNG+하/XSA+ㄴ/ETM
노후에	노후/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
분노가	분노/NNG+가/JKS
험한	험하/VA+ㄴ/ETM
범죄로	범죄/NNG+로/JKB
나타나고	나타나/VV+고/EC
있다는	있/VX+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.257.6.1
2007년 여름 전남 보성 앞바다에서 배에 탄 20대 여성을 성추행하려다 저항하자 남녀 여행객 4명을 바다에 빠뜨려 살해한 어부 오모씨도 70대 노인이었다.

2007년	2007/SN+년/NNB
여름	여름/NNG
전남	전남/NNP
보성	보성/NNP
앞바다에서	앞바다/NNG+에서/JKB
배에	배/NNG+에/JKB
탄	타/VV+ㄴ/ETM
20대	20/SN+대/NNB
여성을	여성/NNG+을/JKO
성추행하려다	성추행/NNG+하/XSV+려다/EC
저항하자	저항/NNG+하/XSV+자/EC
남녀	남녀/NNG
여행객	여행객/NNG
4명을	4/SN+명/NNB+을/JKO
바다에	바다/NNG+에/JKB
빠뜨려	빠뜨리/VV+어/EC
살해한	살해/NNG+하/XSV+ㄴ/ETM
어부	어부/NNG
오모씨도	오/NNP+모/NP+씨/NNB+도/JX
70대	70/SN+대/NNB
노인이었다.	노인/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.257.6.2
2008년 국보 1호인 숭례문에 불을 붙여 전소시킨 범인도 도시개발에 불만을 품은 70대 노인으로 밝혀졌다.

2008년	2008/SN+년/NNB
국보	국보/NNG
1호인	1/SN+호/NNB+이/VCP+ㄴ/ETM
숭례문에	숭례문/NNP+에/JKB
불을	불/NNG+을/JKO
붙여	붙이/VV+어/EC
전소시킨	전소/NNG+시키/XSV+ㄴ/ETM
범인도	범인/NNG+도/JX
도시개발에	도시/NNG+개발/NNG+에/JKB
불만을	불만/NNG+을/JKO
품은	품/VV+은/ETM
70대	70/SN+대/NNB
노인으로	노인/NNG+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.257.6.3
얼마 전에는 인파가 몰리는 백화점이나 재래시장 등 서울 도심에서 행인의 지갑만 노리고 살아온 '할머니 소매치기단' 4명이 경찰에 붙잡히기도 했다.

얼마	얼마/NNG
전에는	전/NNG+에/JKB+는/JX
인파가	인파/NNG+가/JKS
몰리는	몰리/VV+는/ETM
백화점이나	백화점/NNG+이나/JC
재래시장	재래시장/NNG
등	등/NNB
서울	서울/NNP
도심에서	도심/NNG+에서/JKB
행인의	행인/NNG+의/JKG
지갑만	지갑/NNG+만/JX
노리고	노리/VV+고/EC
살아온	살아오/VV+ㄴ/ETM
'할머니	'/SS+할머니/NNG
소매치기단'	소매치기단/NNG+'/SS
4명이	4/SN+명/NNB+이/JKS
경찰에	경찰/NNG+에/JKB
붙잡히기도	붙잡히/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.257.7.1
한 범죄 전문가는 "요즘 노년세대 중에는 가슴에 분노를 갖고 사는 사람이 굉장히 많다"며 "그것이 한편으로는 노인자살로, 다른 한편으로는 폭력적인 범죄로 나타나는 것"이라고 분석했다.

한	한/MMN
범죄	범죄/NNG
전문가는	전문가/NNG+는/JX
"요즘	"/SS+요즘/NNG
노년세대	노년/NNG+세대/NNG
중에는	중/NNB+에/JKB+는/JX
가슴에	가슴/NNG+에/JKB
분노를	분노/NNG+를/JKO
갖고	갖/VV+고/EC
사는	살/VV+는/ETM
사람이	사람/NNG+이/JKS
굉장히	굉장히/MAG
많다"며	많/VA+다/EF+"/SS+며/EC
"그것이	"/SS+그것/NP+이/JKS
한편으로는	한편/NNG+으로/JKB+는/JX
노인자살로,	노인/NNG+자살/NNG+로/JKB+,/SP
다른	다른/MMD
폭력적인	폭력/NNG+적/XSN+이/VCP+ㄴ/ETM
범죄로	범죄/NNG+로/JKB
나타나는	나타나/VV+는/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.257.7.2
고령사회의 그늘은 앞으로 올 일이 아니라 이미 우리 사회 곳곳에 짙게 드리워져 있는 것이다.

고령사회의	고령/NNG+사회/NNG+의/JKG
그늘은	그늘/NNG+은/JX
앞으로	앞/NNG+으로/JKB
올	오/VV+ㄹ/ETM
일이	일/NNG+이/JKC
아니라	아니/VCN+라/EC
이미	이미/MAG
우리	우리/NP
사회	사회/NNG
곳곳에	곳곳/NNG+에/JKB
짙게	짙/VA+게/EC
드리워져	드리워지/VV+어/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


