# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.54
metadata : {}


# id : NWRW1800000026.54.1.1
[제주·서울] "제주에 기증한 내 그림 전부 돌려달라";서양화가 장리석 화백 작품 반환소송 제기

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
수상작인	수상작/NNG+이/VCP+ㄴ/ETM
'조롱과	'/SS+조롱/NNG+과/JC
노인'을	노인/NNG+'/SS+을/JKO
비롯해	비롯하/VV+아/EC
걸작	걸작/NNG
10선으로	10선/NNG+으로/JKB
꼽히는	꼽히/VV+는/ETM
'찬방'	'/SS+찬방/NNP+'/SS
'건설'	'/SS+건설/NNP+'/SS
'경부고속도로'	'/SS+경부고속도로/NNP+'/SS
'남국의	'/SS+남국/NNG+의/JKG
봄'	봄/NNG+'/SS
'폭풍전'	'/SS+폭풍전/NNP+'/SS
'산정'	'/SS+산정/NNP+'/SS
'여담'	'/SS+여담/NNP+'/SS
'차돌어멍'	'/SS+차돌어멍/NNP+'/SS
'휴식'	'/SS+휴식/NNP+'/SS
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.54.7.4
그의 작품은 현재 호당 1억원을 넘는 작품이 많을 만큼 고가에 거래되고 있다.

그의	그/NP+의/JKG
작품은	작품/NNG+은/JX
현재	현재/MAG
호당	호/NNG+당/XSN
1억원을	1/SN+억/NR+원/NNB+을/JKO
넘는	넘/VV+는/ETM
작품이	작품/NNG+이/JKS
많을	많/VA+을/ETM
만큼	만큼/NNB
고가에	고가/NNG+에/JKB
거래되고	거래/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.54.8.1
제주도는 제주도립미술관에 그의 기증 작품을 상설 전시할 '장리석 전시실'을 마련했고, 장 화백이 고령인 데다 후손이 없는 점을 감안해 제주도에 묘역을 제공하기로 했다.

제주도는	제주도/NNP+는/JX
제주도립미술관에	제주도립미술관/NNP+에/JKB
그의	그/NP+의/JKG
기증	기증/NNG
작품을	작품/NNG+을/JKO
상설	상설/NNG
전시할	전시/NNG+하/XSV+ㄹ/ETM
'장리석	'/SS+장리석/NNP
전시실'을	전시실/NNG+'/SS+을/JKO
마련했고,	마련/NNG+하/XSV+았/EP+고/EC+,/SP
장	장/NNP
화백이	화백/NNG+이/JKS
고령인	고령/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
후손이	후손/NNG+이/JKS
없는	없/VA+는/ETM
점을	점/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
제주도에	제주도/NNP+에/JKB
묘역을	묘역/NNG+을/JKO
제공하기로	제공/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.54.9.1
그러나 장 화백과 제주도와의 이상기류는 이미 지난해 6월 26일 제주도립미술관 개관식에서 감지됐다.

그러나	그러나/MAJ
장	장/NNP
화백과	화백/NNG+과/JC
제주도와의	제주도/NNP+와/JKB+의/JKG
이상기류는	이상기류/NNG+는/JX
이미	이미/MAG
지난해	지난해/NNG
6월	6/SN+월/NNB
26일	26/SN+일/NNB
제주도립미술관	제주도립미술관/NNP
개관식에서	개관식/NNG+에서/JKB
감지됐다.	감지/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.54.9.2
당시 개관식에 참석한 장 화백은 자신의 이름을 딴 상설전시관을 두고 "창고처럼 지었다"면서 공개석상에서 불만을 토로한 것으로 알려졌다.

당시	당시/NNG
개관식에	개관식/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
장	장/NNP
화백은	화백/NNG+은/JX
자신의	자신/NNG+의/JKG
이름을	이름/NNG+을/JKO
딴	따/VV+ㄴ/ETM
상설전시관을	상설/NNG+전시관/NNG+을/JKO
두고	두/VV+고/EC
"창고처럼	"/SS+창고/NNG+처럼/JKB
지었다"면서	짓/VV+었/EP+다/EF+"/SS+면서/EC
공개석상에서	공개/NNG+석상/NNG+에서/JKB
불만을	불만/NNG+을/JKO
토로한	토로/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.54.9.3
제주도는 "법원의 결정에 따라 작품반환 여부를 결정하겠다"고 밝혔다.

제주도는	제주도/NNP+는/JX
"법원의	"/SS+법원/NNG+의/JKG
결정에	결정/NNG+에/JKB
따라	따르/VV+아/EC
작품반환	작품/NNG+반환/NNG
여부를	여부/NNG+를/JKO
결정하겠다"고	결정/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.54.10.1
장 화백은 지난 1938년 일본 다마천제국미술학교를 졸업한 뒤 1974~81년 중앙대 회화과 교수로 재직했다.

장	장/NNP
화백은	화백/NNG+은/JX
지난	지나/VV+ㄴ/ETM
1938년	1938/SN+년/NNB
일본	일본/NNP
다마천제국미술학교를	다마천제국미술학교/NNP+를/JKO
졸업한	졸업/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
1974~81년	1974/SN+~/SO+81/SN+년/NNB
중앙대	중앙대/NNP
회화과	회화과/NNG
교수로	교수/NNG+로/JKB
재직했다.	재직/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.54.10.2
국전에서 4차례 특선과 대통령상을 받았다.

국전에서	국전/NNG+에서/JKB
4차례	4/SN+차례/NNG
특선과	특선/NNG+과/JC
대통령상을	대통령상/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.54.10.3
또 제24회 국전초대작가상과 국민훈장 석류장, 대한민국 은관문화상 등도 수상했다.

또	또/MAG
제24회	제/XPN+24/SN+회/NNB
국전초대작가상과	국전/NNG+초대/NNG+작가상/NNG+과/JC
국민훈장	국민/NNG+훈장/NNG
석류장,	석류장/NNG+,/SP
대한민국	대한민국/NNP
은관문화상	은관/NNG+문화/NNG+상/NNG
등도	등/NNB+도/JX
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


