# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.361
metadata : {}


# id : NWRW1800000041.361.1.1
예산 ‘부당거래’

예산	예산/NNG
것이라는	것/NNB+이/VCP+라는/ETM
우려가	우려/NNG+가/JKS
커지고	커지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.361.5.1
19일 국회와 정부 부처에 따르면 기획재정부는 예산안 법정처리 시한인 12월 2일을 약 2주일 앞두고 예산안 중 개별 지역에 영향을 주지 않는 분야를 중심으로 ‘우선감액대상사업’을 추리고 있다.

19일	19/SN+일/NNB
국회와	국회/NNG+와/JC
정부	정부/NNG
부처에	부처/NNG+에/JKB
따르면	따르/VV+면/EC
기획재정부는	기획/NNG+재정부/NNG+는/JX
예산안	예산안/NNG
법정처리	법정/NNG+처리/NNG
시한인	시한/NNG+이/VCP+ㄴ/ETM
12월	12/SN+월/NNB
2일을	2/SN+일/NNB+을/JKO
약	약/MMA
2주일	2/SN+주일/NNB
앞두고	앞두/VV+고/EC
중	중/NNB
개별	개별/NNG
지역에	지역/NNG+에/JKB
영향을	영향/NNG+을/JKO
주지	주/VV+지/EC
않는	않/VX+는/ETM
분야를	분야/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
‘우선감액대상사업’을	‘/SS+우선/NNG+감액/NNG+대상/NNG+사업/NNG+’/SS+을/JKO
추리고	추리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.361.5.2
이달 말 국회 예산결산특별위원회에서 시간에 쫓긴 의원들이 중요한 정부사업의 예산을 대폭 삭감할 것을 우려해 상대적으로 충격이 덜한 분야의 예산을 조정해 ‘정치적 선물’을 마련해두려는 것이다.

이달	이달/NNG
말	말/NNB
국회	국회/NNG
예산결산특별위원회에서	예산/NNG+결산/NNG+특별/NNG+위원회/NNG+에서/JKB
시간에	시간/NNG+에/JKB
쫓긴	쫓기/VV+ㄴ/ETM
의원들이	의원/NNG+들/XSN+이/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
정부사업의	정부/NNG+사업/NNG+의/JKG
예산을	예산/NNG+을/JKO
대폭	대폭/MAG
삭감할	삭감/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
우려해	우려/NNG+하/XSV+아/EC
상대적으로	상대/NNG+적/XSN+으로/JKB
충격이	충격/NNG+이/JKS
덜한	덜/MAG+하/XSA+ㄴ/ETM
분야의	분야/NNG+의/JKG
조정해	조정/NNG+하/XSV+아/EC
‘정치적	‘/SS+정치/NNG+적/XSN
선물’을	선물/NNG+’/SS+을/JKO
마련해두려는	마련/NNG+하/XSV+아/EC+두/VX+려는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.361.6.1
동아일보가 정부 당국자, 전 기재부 예산실 관계자, 예결특위와 관련된 정치인 등을 대상으로 우선감액대상 사업 규모를 추정한 결과 기재부가 정치적 타협을 염두에 두고 준비하고 있는 사업비는 1조 원 안팎으로 추산된다.

동아일보가	동아일보/NNP+가/JKS
정부	정부/NNG
당국자,	당국자/NNG+,/SP
전	전/MMD
기재부	기재부/NNG
예산실	예산실/NNG
관계자,	관계자/NNG+,/SP
예결특위와	예결특위/NNG+와/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
정치인	정치인/NNG
등을	등/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
우선감액대상	우선/NNG+감액/NNG+대상/NNG
사업	사업/NNG
규모를	규모/NNG+를/JKO
추정한	추정/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
기재부가	기재부/NNG+가/JKS
정치적	정치/NNG+적/XSN
타협을	타협/NNG+을/JKO
염두에	염두/NNG+에/JKB
두고	두/VV+고/EC
준비하고	준비/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
사업비는	사업비/NNG+는/JX
1조	1/SN+조/NR
원	원/NNB
안팎으로	안팎/NNG+으로/JKB
추산된다.	추산/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.361.6.2
정부 예산안은 국회 심사 과정에서 통상 5조 원 정도 삭감되는데 정부가 정치적 거래를 위해 이 중 20% 정도를 스스로 감액하는 셈이다.

정부	정부/NNG
예산안은	예산안/NNG+은/JX
국회	국회/NNG
심사	심사/NNG
과정에서	과정/NNG+에서/JKB
통상	통상/MAG
5조	5/SN+조/NR
원	원/NNB
정도	정도/NNG
삭감되는데	삭감/NNG+되/XSV+는데/EC
정부가	정부/NNG+가/JKS
정치적	정치/NNG+적/XSN
거래를	거래/NNG+를/JKO
위해	위하/VV+아/EC
이	이/MMD
중	중/NNB
20%	20/SN+%/SW
정도를	정도/NNG+를/JKO
스스로	스스로/MAG
감액하는	감액/NNG+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.361.7.1
정부는 경제혁신 3개년 계획 관련 사업처럼 정권이 중점을 두는 사업을 제외한 주변부 사업 규모를 줄이거나 국채 이자상환 금리를 예정보다 낮추는 방식으로 증액자금을 확보한다.

정부는	정부/NNG+는/JX
경제혁신	경제/NNG+혁신/NNG
3개년	3/SN+개년/NNB
계획	계획/NNG
관련	관련/NNG
사업처럼	사업/NNG+처럼/JKB
정권이	정권/NNG+이/JKS
중점을	중점/NNG+을/JKO
두는	두/VV+는/ETM
사업을	사업/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
주변부	주변부/NNG
사업	사업/NNG
규모를	규모/NNG+를/JKO
줄이거나	줄이/VV+거나/EC
국채	국채/NNG
이자상환	이자/NNG+상환/NNG
금리를	금리/NNG+를/JKO
예정보다	예정/NNG+보다/JKB
낮추는	낮추/VV+는/ETM
방식으로	방식/NNG+으로/JKB
증액자금을	증액/NNG+자금/NNG+을/JKO
확보한다.	확보/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.361.7.2
정부 당국자는 “원안대로 예산안을 통과시키는 것이 원칙”이라면서도 “심사 과정에서 정부가 의원들에게 ‘이런 사업 규모를 줄이면 된다’는 식으로 의견을 내고 있다”고 말했다.

정부	정부/NNG
당국자는	당국자/NNG+는/JX
“원안대로	“/SS+원안/NNG+대로/JX
예산안을	예산안/NNG+을/JKO
통과시키는	통과/NNG+시키/XSV+는/ETM
것이	것/NNB+이/JKS
원칙”이라면서도	원칙/NNG+”/SS+이/VCP+라면서/EC+도/JX
“심사	“/SS+심사/NNG
과정에서	과정/NNG+에서/JKB
정부가	정부/NNG+가/JKS
의원들에게	의원/NNG+들/XSN+에게/JKB
‘이런	‘/SS+이런/MMD
사업	사업/NNG
규모를	규모/NNG+를/JKO
줄이면	줄이/VV+면/EC
된다’는	되/VV+ㄴ다/EF+’/SS+는/ETM
식으로	식/NNB+으로/JKB
의견을	의견/NNG+을/JKO
내고	내/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


