# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.385
metadata : {}


# id : NWRW1800000054.385.1.1
안경환 법무장관 후보자 사퇴

안경환	안경환/NNP
표명해	표명/NNG+하/XSV+아/EC
"법무장관	"/SS+법무/NNG+장관/NNG
청문	청문/NNG
후보직을	후보직/NNG+을/JKO
이	이/MMD
시간부로	시간/NNG+부/XSN+로/JKB
사퇴한다"며	사퇴/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"문재인	"/SS+문재인/NNP
정부의	정부/NNG+의/JKG
개혁	개혁/NNG
추진에	추진/NNG+에/JKB
걸림돌이	걸림돌/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
직(職)을	직/NNG+(/SS+職/SH+)/SS+을/JKO
내려놓습니다"라고	내려놓/VV+습니다/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.385.4.2
안 후보자는 "저는 비록 물러나지만 검찰 개혁과 법무부의 탈(脫)검사화는 꼭 이뤄져야 한다"며 "(문재인 정부는) 저를 밟고 검찰 개혁의 길에 나아가십시오"라고 했다.

안	안/NNP
후보자는	후보자/NNG+는/JX
"저는	"/SS+저/NP+는/JX
비록	비록/MAG
물러나지만	물러나/VV+지만/EC
검찰	검찰/NNG
개혁과	개혁/NNG+과/JC
법무부의	법무부/NNG+의/JKG
탈(脫)검사화는	탈/XPN+(/SS+脫/SH+)/SS+검사/NNG+화/XSN+는/JX
꼭	꼭/MAG
이뤄져야	이뤄지/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
"(문재인	"/SS+(/SS+문재인/NNP
정부는)	정부/NNG+는/JX+)/SS
저를	저/NP+를/JKO
밟고	밟/VV+고/EC
개혁의	개혁/NNG+의/JKG
길에	길/NNG+에/JKB
나아가십시오"라고	나아가/VV+시/EP+ㅂ시오/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.385.5.1
청와대는 이날 안 후보자 사퇴 후 윤영찬 국민소통수석을 통해 "안타깝게 생각하며 본인의 의사를 존중한다. 그럼에도 불구하고 법무부의 탈(脫)검찰화와 검찰 개혁은 차질 없이 진행될 것"이라는 입장을 밝혔다.

청와대는	청와대/NNP+는/JX
이날	이날/NNG
안	안/NNP
후보자	후보자/NNG
사퇴	사퇴/NNG
후	후/NNG
윤영찬	윤영찬/NNP
국민소통수석을	국민/NNG+소통/NNG+수석/NNG+을/JKO
통해	통하/VV+아/EC
"안타깝게	"/SS+안타깝/VA+게/EC
생각하며	생각/NNG+하/XSV+며/EC
본인의	본인/NNG+의/JKG
의사를	의사/NNG+를/JKO
존중한다.	존중/NNG+하/XSV+ㄴ다/EF+./SF
그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
법무부의	법무부/NNG+의/JKG
탈(脫)검찰화와	탈/XPN+(/SS+脫/SH+)/SS+검찰/NNG+화/XSN+와/JC
검찰	검찰/NNG
개혁은	개혁/NNG+은/JX
차질	차질/NNG
없이	없이/MAG
진행될	진행/NNG+되/XSV+ㄹ/ETM
것"이라는	것/NNB+"/SS+이/VCP+라는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.385.6.1
이에 앞서 안 후보자는 이날 오전 기자회견을 열어 본인을 둘러싼 의혹에 대해 해명한 뒤 "장관 후보를 사퇴할 의사는 없다"고 밝혔다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
안	안/NNP
후보자는	후보자/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
본인을	본인/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
해명한	해명/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
"장관	"/SS+장관/NNG
후보를	후보/NNG+를/JKO
사퇴할	사퇴/NNG+하/XSV+ㄹ/ETM
의사는	의사/NNG+는/JX
없다"고	없/VA+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.385.6.2
그러나 그의 해명 기자회견은 의혹을 해소한 것이 아니라 논란을 더 부풀렸다.

그러나	그러나/MAJ
그의	그/NP+의/JKG
해명	해명/NNG
기자회견은	기자/NNG+회견/NNG+은/JX
의혹을	의혹/NNG+을/JKO
해소한	해소/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
논란을	논란/NNG+을/JKO
더	더/MAG
부풀렸다.	부풀리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.385.6.3
그는 27세 때인 1975년 교제 중이던 김모씨 몰래 도장을 위조해 일방적으로 혼인신고를 했다가 이듬해 혼인 무효 판결을 받았다.

그는	그/NP+는/JX
27세	27/SN+세/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
1975년	1975/SN+년/NNB
교제	교제/NNG
중이던	중/NNB+이/VCP+던/ETM
김모씨	김/NNP+모/NP+씨/NNB
몰래	몰래/MAG
도장을	도장/NNG+을/JKO
위조해	위조/NNG+하/XSV+아/EC
일방적으로	일방/NNG+적/XSN+으로/JKB
혼인신고를	혼인/NNG+신고/NNG+를/JKO
했다가	하/VV+았/EP+다가/EC
이듬해	이듬해/NNG
혼인	혼인/NNG
무효	무효/NNG
판결을	판결/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.385.6.4
안 후보자는 이날 "변명의 여지가 없는 잘못"이라면서도 "형사제재(처벌)를 받지 않아 법무장관을 못 할 정도의 흠은 아니다"며 사퇴는 않겠다고 했다.

안	안/NNP
후보자는	후보자/NNG+는/JX
이날	이날/NNG
"변명의	"/SS+변명/NNG+의/JKG
여지가	여지/NNB+가/JKS
없는	없/VA+는/ETM
잘못"이라면서도	잘못/NNG+"/SS+이/VCP+라면서/EC+도/JX
"형사제재(처벌)를	"/SS+형사/NNG+제재/NNG+(/SS+처벌/NNG+)/SS+를/JKO
받지	받/VV+지/EC
않아	않/VX+아/EC
법무장관을	법무/NNG+장관/NNG+을/JKO
못	못/MAG
할	하/VV+ㄹ/ETM
정도의	정도/NNG+의/JKG
흠은	흠/NNG+은/JX
아니다"며	아니/VCN+다/EF+"/SS+며/EC
사퇴는	사퇴/NNG+는/JX
않겠다고	않/VV+겠/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.385.7.1
청와대가 이 문제를 제대로 검증하지 않은 사실도 이날 드러났다.

청와대가	청와대/NNP+가/JKS
이	이/MMD
문제를	문제/NNG+를/JKO
제대로	제대로/MAG
검증하지	검증/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
사실도	사실/NNG+도/JX
이날	이날/NNG
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.385.7.2
안 후보자는 기자회견에서 "2006년 국가인권위원장에 취임하기 전에 사전 검증 과정에서 설명한 바 있다"며 "(청와대가 본인 지명 당시 전후로) 이 문제로 질의한 적이 없다"고 말했다.

안	안/NNP
후보자는	후보자/NNG+는/JX
기자회견에서	기자/NNG+회견/NNG+에서/JKB
"2006년	"/SS+2006/SN+년/NNB
국가인권위원장에	국가/NNG+인권/NNG+위원장/NNG+에/JKB
취임하기	취임/NNG+하/XSV+기/ETN
전에	전/NNG+에/JKB
사전	사전/NNG
검증	검증/NNG
과정에서	과정/NNG+에서/JKB
설명한	설명/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다"며	있/VA+다/EF+"/SS+며/EC
"(청와대가	"/SS+(/SS+청와대/NNP+가/JKS
본인	본인/NNG
지명	지명/NNG
당시	당시/NNG
전후로)	전후/NNG+로/JKB+)/SS
이	이/MMD
문제로	문제/NNG+로/JKB
질의한	질의/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.385.7.3
하지만 안 후보자는 뒤이어 "(청와대로부터) 며칠 전, 일주일 정도 전에 질의가 왔다"고 했다.

하지만	하지만/MAJ
안	안/NNP
후보자는	후보자/NNG+는/JX
뒤이어	뒤잇/VV+어/EC
"(청와대로부터)	"/SS+(/SS+청와대/NNP+로부터/JKB+)/SS
며칠	며칠/NNG
전,	전/NNG+,/SP
일주일	일주일/NNG
정도	정도/NNG
전에	전/NNG+에/JKB
질의가	질의/NNG+가/JKS
왔다"고	오/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.385.7.4
안 후보자가 도장을 위조해 혼인이 무효가 된 사실은 가족 관계 서류 등에 나와 있는데도 청와대는 문제 삼지 않은 이유가 뭐냐는 의혹이 불거졌다.

안	안/NNP
후보자가	후보자/NNG+가/JKS
도장을	도장/NNG+을/JKO
위조해	위조/NNG+하/XSV+아/EC
혼인이	혼인/NNG+이/JKS
무효가	무효/NNG+가/JKC
된	되/VV+ㄴ/ETM
사실은	사실/NNG+은/JX
가족	가족/NNG
관계	관계/NNG
서류	서류/NNG
등에	등/NNB+에/JKB
나와	나오/VV+아/EC
있는데도	있/VX+는데/EC+도/JX
청와대는	청와대/NNP+는/JX
문제	문제/NNG
삼지	삼/VV+지/EC
않은	않/VX+은/ETM
이유가	이유/NNG+가/JKS
뭐냐는	뭐/NP+이/VCP+냐는/ETM
의혹이	의혹/NNG+이/JKS
불거졌다.	불거지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.385.7.5
더욱이 이날 안 후보자의 아들(20)이 고교에 다닐 때 교칙 위반으로 퇴학 위기에 몰렸다가 안 후보자가 탄원서를 내 퇴학을 모면하고 서울대에 진학한 것도 문제가 됐다.

더욱이	더욱이/MAG
이날	이날/NNG
안	안/NNP
후보자의	후보자/NNG+의/JKG
아들(20)이	아들/NNG+(/SS+20/SN+)/SS+이/JKS
고교에	고교/NNG+에/JKB
다닐	다니/VV+ㄹ/ETM
때	때/NNG
교칙	교칙/NNG
위반으로	위반/NNG+으로/JKB
퇴학	퇴학/NNG
위기에	위기/NNG+에/JKB
몰렸다가	몰리/VV+었/EP+다가/EC
후보자가	후보자/NNG+가/JKS
탄원서를	탄원서/NNG+를/JKO
내	내/VV+어/EC
퇴학을	퇴학/NNG+을/JKO
모면하고	모면/NNG+하/XSV+고/EC
서울대에	서울대/NNP+에/JKB
진학한	진학/NNG+하/XSV+ㄴ/ETM
것도	것/NNB+도/JX
문제가	문제/NNG+가/JKS
됐다.	되/VV+었/EP+다/EF+./SF


