# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.399
metadata : {}


# id : NWRW1800000029.399.1.1
안철수-박원순 지난달 극비 회동… 朴 “신당 바람직하지 않다” 조언

안철수-박원순	안철수/NNP+-/SO+박원순/NNP
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
견해를	견해/NNG+를/JKO
밝히면서	밝히/VV+면서/EC
‘자신의	‘/SS+자신/NNG+의/JKG
정치적	정치/NNG+적/XSN
경험’을	경험/NNG+’/SS+을/JKO
언급한	언급/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
정당	정당/NNG
후보가	후보/NNG+가/JKC
아니더라도	아니/VCN+더라도/EC
선거에서	선거/NNG+에서/JKB
충분히	충분히/MAG
통할	통하/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.399.4.2
야당의 지지를 얻기는 했지만 바닥권의 지지율을 보이던 당시 박 후보가 ‘안철수 효과’에 힘입어 단숨에 당선됐다는 점을 강조한 것.

야당의	야당/NNG+의/JKG
지지를	지지/NNG+를/JKO
얻기는	얻/VV+기/ETN+는/JX
했지만	하/VX+았/EP+지만/EC
바닥권의	바닥/NNG+권/XSN+의/JKG
지지율을	지지/NNG+율/XSN+을/JKO
보이던	보이/VV+던/ETM
당시	당시/NNG
박	박/NNP
후보가	후보/NNG+가/JKS
‘안철수	‘/SS+안철수/NNP
효과’에	효과/NNG+’/SS+에/JKB
힘입어	힘입/VV+어/EC
단숨에	단숨에/MAG
당선됐다는	당선/NNG+되/XSV+었/EP+다는/ETM
점을	점/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.399.5.1
정당의 간판보다는 안 원장 개인이 갖고 있는 장점이 실제 투표에서 엄청난 파괴력을 발휘한 것을 경험한 박 시장이 이 점을 적극적으로 설명하며 정당의 불필요성을 강조했을 가능성이 크다.

정당의	정당/NNG+의/JKG
간판보다는	간판/NNG+보다/JKB+는/JX
안	안/NNP
원장	원장/NNG
개인이	개인/NNG+이/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
장점이	장점/NNG+이/JKS
실제	실제/NNG
투표에서	투표/NNG+에서/JKB
엄청난	엄청나/VA+ㄴ/ETM
파괴력을	파괴력/NNG+을/JKO
발휘한	발휘/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
박	박/NNP
시장이	시장/NNG+이/JKS
이	이/MMD
점을	점/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
설명하며	설명/NNG+하/XSV+며/EC
불필요성을	불/XPN+필요/NNG+성/XSN+을/JKO
강조했을	강조/NNG+하/XSV+았/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000029.399.5.2
박 시장은 지난달 9일 서울 한국프레스센터에서 열린 외신기자 간담회에서도 “제3 정당의 성공 가능성은 낮다”며 “안 교수가 그 길(신당 창당)로 가지 않을 것으로 본다”고 밝히기도 했다.

박	박/NNP
시장은	시장/NNG+은/JX
지난달	지난달/NNG
9일	9/SN+일/NNB
서울	서울/NNP
한국프레스센터에서	한국프레스센터/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
외신기자	외신/NNG+기자/NNG
간담회에서도	간담회/NNG+에서/JKB+도/JX
“제3	“/SS+제/XPN+3/SN
정당의	정당/NNG+의/JKG
성공	성공/NNG
가능성은	가능/NNG+성/XSN+은/JX
낮다”며	낮/VA+다/EF+”/SS+며/EC
“안	“/SS+안/NNP
교수가	교수/NNG+가/JKS
그	그/MMD
길(신당	길/NNG+(/SS+신당/NNG
창당)로	창당/NNG+)/SS+로/JKB
가지	가/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
밝히기도	밝히/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.399.6.1
박 시장이 자신의 선거 과정에서 야당의 지지 효과와 ‘안철수 효과’를 비교 설명하며 ‘정당 간판’의 불필요성을 역설했다면 안 교수가 1일 공개적으로 신당을 창당하지 않겠다고 언급한 데 상당한 영향을 미쳤을 것으로 보인다.

박	박/NNP
시장이	시장/NNG+이/JKS
자신의	자신/NNG+의/JKG
선거	선거/NNG
과정에서	과정/NNG+에서/JKB
야당의	야당/NNG+의/JKG
지지	지지/NNG
효과와	효과/NNG+와/JC
‘안철수	‘/SS+안철수/NNP
효과’를	효과/NNG+’/SS+를/JKO
비교	비교/NNG
설명하며	설명/NNG+하/XSV+며/EC
‘정당	‘/SS+정당/NNG
간판’의	간판/NNG+’/SS+의/JKG
불필요성을	불/XPN+필요/NNG+성/XSN+을/JKO
역설했다면	역설/NNG+하/XSV+았/EP+다면/EC
안	안/NNP
교수가	교수/NNG+가/JKS
1일	1/SN+일/NNB
공개적으로	공개/NNG+적/XSN+으로/JKB
신당을	신당/NNG+을/JKO
창당하지	창당/NNG+하/XSV+지/EC
않겠다고	않/VX+겠/EP+다고/EC
언급한	언급/NNG+하/XSV+ㄴ/ETM
데	데/NNB
상당한	상당/NNG+하/XSA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미쳤을	미치/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.399.6.2
기존 정당 정치에 부정적인 두 사람이 정치적 동반자 관계를 공고히 하는 방안에 대해 논의했을 가능성도 있지만 확인되지 않고 있다.

기존	기존/NNG
정당	정당/NNG
정치에	정치/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
두	두/MMN
사람이	사람/NNG+이/JKS
정치적	정치/NNG+적/XSN
동반자	동반자/NNG
관계를	관계/NNG+를/JKO
공고히	공고히/MAG
하는	하/VV+는/ETM
방안에	방안/NNG+에/JKB
대해	대하/VV+아/EC
논의했을	논의/NNG+하/XSV+았/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
있지만	있/VA+지만/EC
확인되지	확인/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.399.7.1
서울시는 이에 대해 “발표된 내용 이외에는 어떠한 내용도 파악되지 않아 공개할 내용이 없고, 이에 대해 박 시장은 ‘구체적으로 언급하는 것은 안 원장에 대한 예의가 아니다’고 말했다”고 전했다.

서울시는	서울시/NNP+는/JX
이에	이/NP+에/JKB
대해	대하/VV+아/EC
“발표된	“/SS+발표/NNG+되/XSV+ㄴ/ETM
내용	내용/NNG
이외에는	이외/NNG+에/JKB+는/JX
어떠한	어떠하/VA+ㄴ/ETM
내용도	내용/NNG+도/JX
파악되지	파악/NNG+되/XSV+지/EC
않아	않/VX+아/EC
공개할	공개/NNG+하/XSV+ㄹ/ETM
내용이	내용/NNG+이/JKS
없고,	없/VA+고/EC+,/SP
박	박/NNP
시장은	시장/NNG+은/JX
‘구체적으로	‘/SS+구체/NNG+적/XSN+으로/JKB
언급하는	언급/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
안	안/MAG
원장에	원장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예의가	예의/NNG+가/JKC
아니다’고	아니/VCN+다/EF+’/SS+고/JKQ
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.399.7.2
박 시장은 기자간담회 등을 통해 수차례에 걸쳐 ‘안 원장에게 감사의 인사를 할 계획이다’고 밝혀왔지만 정작 실제 만남은 철저히 비공개에 부쳤다.

박	박/NNP
시장은	시장/NNG+은/JX
기자간담회	기자/NNG+간담회/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
수차례에	수차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
‘안	‘/SS+안/NNP
원장에게	원장/NNG+에게/JKB
감사의	감사/NNG+의/JKG
인사를	인사/NNG+를/JKO
할	하/VV+ㄹ/ETM
계획이다’고	계획/NNG+이/VCP+다/EF+’/SS+고/JKQ
밝혀왔지만	밝히/VV+어/EC+오/VX+았/EP+지만/EC
정작	정작/MAG
실제	실제/NNG
만남은	만남/NNG+은/JX
철저히	철저히/MAG
비공개에	비/XPN+공개/NNG+에/JKB
부쳤다.	부치/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.399.7.3
회동의 내용에 대해서도 ‘안 원장에 대한 예의가 아니다’며 공개하지 않았다.

회동의	회동/NNG+의/JKG
내용에	내용/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
‘안	‘/SS+안/MAG
원장에	원장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
예의가	예의/NNG+가/JKC
아니다’며	아니/VCN+다/EF+’/SS+며/EC
공개하지	공개/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000029.399.7.4
과도한 비밀주의라는 단순한 해석도 있지만 정치권과 언론의 관심을 집중시키기 위한 고도의 정치적 행동이라는 분석도 나온다.

과도한	과도/NNG+하/XSA+ㄴ/ETM
비밀주의라는	비밀주의/NNG+이/VCP+라는/ETM
단순한	단순/NNG+하/XSA+ㄴ/ETM
해석도	해석/NNG+도/JX
있지만	있/VA+지만/EC
정치권과	정치/NNG+권/XSN+과/JC
언론의	언론/NNG+의/JKG
관심을	관심/NNG+을/JKO
집중시키기	집중/NNG+시키/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
고도의	고도/NNG+의/JKG
정치적	정치/NNG+적/XSN
행동이라는	행동/NNG+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


