# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.74
metadata : {}


# id : NWRW1800000028.74.1.1
성장 빠르고 자연산 같은 ‘신품종 넙치’

성장	성장/NNG
육종연구센터는	육종/NNG+연구/NNG+센터/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.74.4.1
육종연구센터는 양식산업의 경쟁력 강화를 위해 2004년부터 넙치 육종기술개발 연구에 나서, 자연산 및 양식산 넙치로부터 유전적 다양성은 물론 성장속도 및 체형이 개선되고 세균 및 바이러스 질병에도 강한 신품종 육종넙치 개발에 성공하게 됐다.

육종연구센터는	육종/NNG+연구/NNG+센터/NNG+는/JX
양식산업의	양식/NNG+산업/NNG+의/JKG
경쟁력	경쟁력/NNG
강화를	강화/NNG+를/JKO
위해	위하/VV+아/EC
2004년부터	2004/SN+년/NNB+부터/JX
넙치	넙치/NNG
육종기술개발	육종/NNG+기술/NNG+개발/NNG
연구에	연구/NNG+에/JKB
나서,	나서/VV+어/EC+,/SP
자연산	자연/NNG+산/XSN
및	및/MAG
양식산	양식/NNG+산/XSN
넙치로부터	넙치/NNG+로부터/JKB
유전적	유전/NNG+적/XSN
다양성은	다양/NNG+성/XSN+은/JX
물론	물론/MAG
성장속도	성장/NNG+속도/NNG
체형이	체형/NNG+이/JKS
개선되고	개선/NNG+되/XSV+고/EC
세균	세균/NNG
바이러스	바이러스/NNG
질병에도	질병/NNG+에/JKB+도/JX
강한	강하/VA+ㄴ/ETM
신품종	신/XPN+품종/NNG
육종넙치	육종/NNG+넙치/NNG
개발에	개발/NNG+에/JKB
성공하게	성공/NNG+하/XSV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.74.5.1
우리나라의 넙치 양식 산업은 바다어류 양식의 50%를 차지하고 시장규모가 1조원이 넘는 매우 중요한 산업이지만, 그동안 지속적인 생산단가의 상승과 값싼 수입 활어의 증가, 시장 가격의 변동 등에 따라 점차 경쟁력이 떨어져 왔다.

우리나라의	우리나라/NNG+의/JKG
넙치	넙치/NNG
양식	양식/NNG
산업은	산업/NNG+은/JX
바다어류	바다/NNG+어류/NNG
양식의	양식/NNG+의/JKG
50%를	50/SN+%/SW+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
시장규모가	시장/NNG+규모/NNG+가/JKS
1조원이	1/SN+조/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
매우	매우/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
산업이지만,	산업/NNG+이/VCP+지만/EC+,/SP
그동안	그동안/NNG
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
생산단가의	생산/NNG+단가/NNG+의/JKG
상승과	상승/NNG+과/JC
값싼	값싸/VA+ㄴ/ETM
수입	수입/NNG
활어의	활어/NNG+의/JKG
증가,	증가/NNG+,/SP
시장	시장/NNG
가격의	가격/NNG+의/JKG
변동	변동/NNG
등에	등/NNB+에/JKB
따라	따르/VV+아/EC
점차	점차/MAG
경쟁력이	경쟁력/NNG+이/JKS
떨어져	떨어지/VV+어/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.74.5.2
또 잦은 질병의 발생과 이로 인한 집단 폐사, 치료를 위한 항생제의 과다한 사용 등은 비용 부담은 물론 양식 어류에 대한 불신으로 이어져 소비자의 외면, 환경오염 등 양식산업 경쟁력 약화의 주요 원인이 돼왔다.

또	또/MAG
잦은	잦/VA+은/ETM
질병의	질병/NNG+의/JKG
발생과	발생/NNG+과/JC
이로	이/NP+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
집단	집단/NNG
폐사,	폐사/NNG+,/SP
치료를	치료/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
항생제의	항생제/NNG+의/JKG
과다한	과다/NNG+하/XSA+ㄴ/ETM
사용	사용/NNG
등은	등/NNB+은/JX
비용	비용/NNG
부담은	부담/NNG+은/JX
물론	물론/MAG
양식	양식/NNG
어류에	어류/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
불신으로	불신/NNG+으로/JKB
이어져	이어지/VV+어/EC
소비자의	소비자/NNG+의/JKG
외면,	외면/NNG+,/SP
환경오염	환경/NNG+오염/NNG
등	등/NNB
양식산업	양식/NNG+산업/NNG
경쟁력	경쟁력/NNG
약화의	약화/NNG+의/JKG
주요	주요/NNG
원인이	원인/NNG+이/JKC
돼왔다.	되/VV+어/EC+오/VX+았/EP+다/EF+./SF


