# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.258
metadata : {}


# id : NWRW1800000054.258.1.1
정몽규 회장 'FIFA 최고기구' 평의회 위원 눈앞

정몽규	정몽규/NNP
총회	총회/NNG
FIFA	FIFA/SL
평의회	평의회/NNG
위원	위원/NNG
선거를	선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
경쟁률이	경쟁/NNG+률/XSN+이/JKS
1대1로	1/SN+대/NNB+1/SN+로/JKB
낮아졌기	낮/VA+아/EC+지/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.258.3.3
BBC는 1일 "선거에 입후보했던 쿠웨이트의 셰이크 아마드 알 파하드 알 사바 아시아올림픽평의회(OCA) 회장이 최근 비리 혐의에 휘말리며 후보직에서 물러났다"고 보도했다.

BBC는	BBC/SL+는/JX
1일	1/SN+일/NNB
"선거에	"/SS+선거/NNG+에/JKB
입후보했던	입후보/NNG+하/XSV+았/EP+던/ETM
쿠웨이트의	쿠웨이트/NNP+의/JKG
셰이크	셰이크/NNP
아마드	아마드/NNP
알	알/NNP
파하드	파하드/NNP
사바	사바/NNP
아시아올림픽평의회(OCA)	아시아올림픽평의회/NNP+(/SS+OCA/SL+)/SS
회장이	회장/NNG+이/JKS
최근	최근/MAG
비리	비리/NNG
혐의에	혐의/NNG+에/JKB
휘말리며	휘말리/VV+며/EC
후보직에서	후보직/NNG+에서/JKB
물러났다"고	물러나/VV+았/EP+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.258.3.4
당초 3명을 뽑는 선거에 4명이 입후보했지만, 그중 한 명이었던 셰이크 아마드 회장이 사퇴한 것이다.

당초	당초/NNG
3명을	3/SN+명/NNB+을/JKO
뽑는	뽑/VV+는/ETM
선거에	선거/NNG+에/JKB
4명이	4/SN+명/NNB+이/JKS
입후보했지만,	입후보/NNG+하/XSV+았/EP+지만/EC+,/SP
그중	그중/NNG
한	한/MMN
명이었던	명/NNB+이/VCP+었/EP+던/ETM
셰이크	셰이크/NNP
아마드	아마드/NNP
회장이	회장/NNG+이/JKS
사퇴한	사퇴/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.258.4.1
FIFA 평의회는 과거 FIFA의 최고 의결기구였던 집행위원회가 '부패의 온상'으로 지목되면서 이를 대신해 지난해 2월 새로 구성된 내부 기구다.

FIFA	FIFA/SL
평의회는	평의회/NNG+는/JX
과거	과거/NNG
FIFA의	FIFA/SL+의/JKG
최고	최고/NNG
의결기구였던	의결/NNG+기구/NNG+이/VCP+었/EP+던/ETM
집행위원회가	집행/NNG+위원회/NNG+가/JKS
'부패의	'/SS+부패/NNG+의/JKG
온상'으로	온상/NNG+'/SS+으로/JKB
지목되면서	지목/NNG+되/XSV+면서/EC
이를	이/NP+를/JKO
대신해	대신/NNG+하/XSV+아/EC
지난해	지난해/NNG
2월	2/SN+월/NNB
새로	새로/MAG
구성된	구성/NNG+되/XSV+ㄴ/ETM
내부	내부/NNG
기구다.	기구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.258.4.2
여전히 권력은 막강하다.

여전히	여전히/MAG
권력은	권력/NNG+은/JX
막강하다.	막강/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.258.4.3
월드컵을 제외한 FIFA 주관 각종 대회의 개최지와 참가팀 쿼터 등이 평의회에서 결정된다.

월드컵을	월드컵/NNG+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
FIFA	FIFA/SL
주관	주관/NNG
각종	각종/NNG
대회의	대회/NNG+의/JKG
개최지와	개최지/NNG+와/JC
참가팀	참가/NNG+팀/NNG
쿼터	쿼터/NNG
등이	등/NNB+이/JKS
평의회에서	평의회/NNG+에서/JKB
결정된다.	결정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.258.5.1
정 회장이 평의회 위원이 될 경우 한국은 1994년부터 2011년까지 FIFA 집행위원을 지낸 정몽준 전 대한축구협회장에 이어 6년 만에 FIFA 최고 집행부의 일원을 갖게 된다.

정	정/NNP
회장이	회장/NNG+이/JKS
평의회	평의회/NNG
위원이	위원/NNG+이/JKC
될	되/VV+ㄹ/ETM
경우	경우/NNG
한국은	한국/NNP+은/JX
1994년부터	1994/SN+년/NNB+부터/JX
2011년까지	2011/SN+년/NNB+까지/JX
FIFA	FIFA/SL
집행위원을	집행/NNG+위원/NNG+을/JKO
지낸	지내/VV+ㄴ/ETM
정몽준	정몽준/NNP
전	전/MMD
대한축구협회장에	대한축구협회장/NNG+에/JKB
이어	잇/VV+어/EC
6년	6/SN+년/NNB
만에	만/NNB+에/JKB
최고	최고/NNG
집행부의	집행부/NNG+의/JKG
일원을	일원/NNG+을/JKO
갖게	갖/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.258.5.2
협회 관계자는 "정 회장이 평의회 위원이 되면 FIFA의 주요 의사 결정에 직접 참여하는 동시에 한국의 이해관계를 직접적으로 설명할 수 있게 된다"고 말했다.

협회	협회/NNG
관계자는	관계자/NNG+는/JX
"정	"/SS+정/NNP
회장이	회장/NNG+이/JKS
평의회	평의회/NNG
위원이	위원/NNG+이/JKC
되면	되/VV+면/EC
FIFA의	FIFA/SL+의/JKG
주요	주요/NNG
의사	의사/NNG
결정에	결정/NNG+에/JKB
직접	직접/MAG
참여하는	참여/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
한국의	한국/NNP+의/JKG
이해관계를	이해관계/NNG+를/JKO
직접적으로	직접/NNG+적/XSN+으로/JKB
설명할	설명/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.258.5.3
이 관계자에 따르면 경쟁률이 1대1이 된 상황에서 선거 전 무투표 당선으로 처리할지, 아니면 선거일에 형식적으로 투표할지는 아직 결정되지 않았다.

이	이/MMD
관계자에	관계자/NNG+에/JKB
따르면	따르/VV+면/EC
경쟁률이	경쟁/NNG+률/XSN+이/JKS
1대1이	1/SN+대/NNB+1/SN+이/JKC
된	되/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
선거	선거/NNG
전	전/NNG
무투표	무/XPN+투표/NNG
당선으로	당선/NNG+으로/JKB
처리할지,	처리/NNG+하/XSV+ㄹ지/EF+,/SP
아니면	아니/VCN+면/EC
선거일에	선거일/NNG+에/JKB
형식적으로	형식/NNG+적/XSN+으로/JKB
투표할지는	투표/NNG+하/XSV+ㄹ지/EF+는/JX
아직	아직/MAG
결정되지	결정/NNG+되/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


