# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.33
metadata : {}


# id : NWRW1800000033.33.1.1
현대건설, 고덕 재건축 포기 이유는 ‘품질경영’

현대건설,	현대건설/NNP+,/SP
고덕2단지는 지하철 5호선 상일동 역에 가까운 역세권 대단지인 데다 5월 시공사 선정 사업설명회 때는 현대건설 등 11개 건설사가 참여해 건설업계와 주민들은 이번 입찰 무산을 ‘예상 밖 사태’로 보고 있다.

고덕2단지는	고덕/NNP+2/SN+단지/NNG+는/JX
지하철	지하철/NNG
5호선	5/SN+호선/NNB
상일동	상일동/NNP
역에	역/NNG+에/JKB
가까운	가깝/VA+ㄴ/ETM
역세권	역세권/NNG
대단지인	대/XPN+단지/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
5월	5/SN+월/NNB
시공사	시공사/NNG
선정	선정/NNG
사업설명회	사업/NNG+설명회/NNG
때는	때/NNG+는/JX
현대건설	현대건설/NNP
등	등/NNB
11개	11/SN+개/NNB
건설사가	건설사/NNG+가/JKS
참여해	참여/NNG+하/XSV+아/EC
건설업계와	건설업/NNG+계/XSN+와/JC
주민들은	주민/NNG+들/XSN+은/JX
이번	이번/NNG
입찰	입찰/NNG
무산을	무산/NNG+을/JKO
‘예상	‘/SS+예상/NNG
밖	밖/NNG
사태’로	사태/NNG+’/SS+로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.33.5.1
정수현 현대건설 대표(60·사진)는 20일 “지난해 현대건설이 현대차그룹에 편입된 뒤 사장단 회의에 참석할 때마다 정 회장이 ‘품질경영’을 강조했다”며 “저가 공사를 맡지 말라는 (정 회장의) 주문이 있는데 출혈 경쟁을 감수하고 재건축사업에 뛰어들 수 있겠느냐”고 말했다.

정수현	정수현/NNP
현대건설	현대건설/NNP
대표(60·사진)는	대표/NNG+(/SS+60/SN+·/SP+사진/NNG+)/SS+는/JX
20일	20/SN+일/NNB
“지난해	“/SS+지난해/NNG
현대건설이	현대건설/NNP+이/JKS
현대차그룹에	현대차그룹/NNP+에/JKB
편입된	편입/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
사장단	사장단/NNG
회의에	회의/NNG+에/JKB
참석할	참석/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
정	정/NNP
회장이	회장/NNG+이/JKS
‘품질경영’을	‘/SS+품질/NNG+경영/NNG+’/SS+을/JKO
강조했다”며	강조/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“저가	“/SS+저가/NNG
공사를	공사/NNG+를/JKO
맡지	맡/VV+지/EC
말라는	말/VX+라는/ETM
(정	(/SS+정/NNP
회장의)	회장/NNG+의/JKG+)/SS
주문이	주문/NNG+이/JKS
있는데	있/VA+는데/EC
출혈	출혈/NNG
경쟁을	경쟁/NNG+을/JKO
감수하고	감수/NNG+하/XSV+고/EC
재건축사업에	재/XPN+건축/NNG+사업/NNG+에/JKB
뛰어들	뛰어들/VV+ㄹ/ETM
수	수/NNB
있겠느냐”고	있/VA+겠/EP+느냐/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.33.6.1
정 사장은 아직도 일부에서는 현대건설을 고덕2단지 시공사 후보로 언급하고 있지만 진짜 관심이 없다고 거듭 강조했다.

정	정/NNP
사장은	사장/NNG+은/JX
아직도	아직/MAG+도/JX
일부에서는	일부/NNG+에서/JKB+는/JX
현대건설을	현대건설/NNP+을/JKO
고덕2단지	고덕/NNP+2/SN+단지/NNG
시공사	시공사/NNG
후보로	후보/NNG+로/JKB
언급하고	언급/NNG+하/XSV+고/EC
있지만	있/VX+지만/EC
진짜	진짜/MAG
관심이	관심/NNG+이/JKS
없다고	없/VA+다고/EC
거듭	거듭/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.33.6.2
특히 그는 고덕2단지 재건축을 맡아 수익을 내려면 무상지분을 100% 이하로 낮춰야 하지만 이는 현재 재건축조합이 요구하는 수준과 큰 차이가 있다고 말했다.

특히	특히/MAG
그는	그/NP+는/JX
고덕2단지	고덕/NNP+2/SN+단지/NNG
재건축을	재/XPN+건축/NNG+을/JKO
맡아	맡/VV+아/EC
수익을	수익/NNG+을/JKO
내려면	내/VV+려면/EC
무상지분을	무상/NNG+지분/NNG+을/JKO
100%	100/SN+%/SW
이하로	이하/NNG+로/JKB
낮춰야	낮추/VV+어야/EC
하지만	하/VX+지만/EC
이는	이/NP+는/JX
현재	현재/MAG
재건축조합이	재/XPN+건축/NNG+조합/NNG+이/JKS
요구하는	요구/NNG+하/XSV+는/ETM
수준과	수준/NNG+과/JKB
큰	크/VA+ㄴ/ETM
차이가	차이/NNG+가/JKS
있다고	있/VA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.33.6.3
조합은 무상지분 150%를 주장해 왔으나 시공사 선정이 무산된 만큼 지분을 조금은 낮출 수 있다는 의사를 내비치고 있다.

조합은	조합/NNG+은/JX
무상지분	무상/NNG+지분/NNG
150%를	150/SN+%/SW+를/JKO
주장해	주장/NNG+하/XSV+아/EC
왔으나	오/VX+았/EP+으나/EC
시공사	시공사/NNG
선정이	선정/NNG+이/JKS
무산된	무산/NNG+되/XSV+ㄴ/ETM
만큼	만큼/NNB
지분을	지분/NNG+을/JKO
조금은	조금/NNG+은/JX
낮출	낮추/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
의사를	의사/NNG+를/JKO
내비치고	내비치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.33.6.4
그러나 주민 반발이 커 100% 이하로 낮추기는 어렵다는 태도를 보인다.

그러나	그러나/MAJ
주민	주민/NNG
반발이	반발/NNG+이/JKS
커	크/VA+어/EC
100%	100/SN+%/SW
이하로	이하/NNG+로/JKB
낮추기는	낮추/VV+기/ETN+는/JX
어렵다는	어렵/VA+다는/ETM
태도를	태도/NNG+를/JKO
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.33.6.5
무상지분은 조합원들이 추가 비용 부담 없이 집을 넓힐 수 있는 비율로 건설업계에서는 시공사로 선정되기 위해 120∼150%를 제시하는 게 관례였다.

무상지분은	무상/NNG+지분/NNG+은/JX
조합원들이	조합원/NNG+들/XSN+이/JKS
추가	추가/NNG
비용	비용/NNG
부담	부담/NNG
없이	없이/MAG
집을	집/NNG+을/JKO
넓힐	넓히/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
비율로	비율/NNG+로/JKB
건설업계에서는	건설업/NNG+계/XSN+에서/JKB+는/JX
시공사로	시공사/NNG+로/JKB
선정되기	선정/NNG+되/XSV+기/ETN
위해	위하/VV+아/EC
120∼150%를	120/SN+∼/SO+150/SN+%/SW+를/JKO
제시하는	제시/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
관례였다.	관례/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.33.7.1
정 사장은 ‘품질경영’ 원칙에 따라 경남 진주 한국토지주택공사(LH) 신사옥 건립공사 입찰도 신중히 결정하겠다고 덧붙였다.

정	정/NNP
사장은	사장/NNG+은/JX
‘품질경영’	‘/SS+품질/NNG+경영/NNG+’/SS
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
경남	경남/NNP
진주	진주/NNP
한국토지주택공사(LH)	한국토지주택공사/NNP+(/SS+LH/SL+)/SS
신사옥	신/XPN+사옥/NNG
건립공사	건립/NNG+공사/NNG
입찰도	입찰/NNG+도/JX
신중히	신중히/MAG
결정하겠다고	결정/NNG+하/XSV+겠/EP+다고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.33.7.2
16일 LH가 입찰 공고를 낸 이 공사는 공사비만 3500억 원 안팎에 이르는 대형 사업으로 상당수 건설사들이 눈독을 들이고 있다.

16일	16/SN+일/NNB
LH가	LH/SL+가/JKS
입찰	입찰/NNG
공고를	공고/NNG+를/JKO
낸	내/VV+ㄴ/ETM
이	이/MMD
공사는	공사/NNG+는/JX
공사비만	공사비/NNG+만/JX
3500억	3500/SN+억/NR
원	원/NNB
안팎에	안팎/NNG+에/JKB
이르는	이르/VV+는/ETM
대형	대형/NNG
사업으로	사업/NNG+으로/JKB
상당수	상당수/NNG
건설사들이	건설사/NNG+들/XSN+이/JKS
눈독을	눈독/NNG+을/JKO
들이고	들이/VV+고/EC
있다.	있/VX+다/EF+./SF


