# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.117
metadata : {}


# id : NWRW1800000053.117.1.1
여름철 ‘구내염 환자’ 급증… 아이들 입맛 잃으면 의심을

여름철	여름철/NNG
경우일	경우/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.117.5.5
또 38도가 넘는 고열이 지속되거나 밤에 자꾸 깨면 구내염에 걸렸는지를 꼭 확인해야 한다.

또	또/MAG
38도가	38/SN+도/NNB+가/JKS
넘는	넘/VV+는/ETM
고열이	고열/NNG+이/JKS
지속되거나	지속/NNG+되/XSV+거나/EC
밤에	밤/NNG+에/JKB
자꾸	자꾸/MAG
깨면	깨/VV+면/EC
구내염에	구내염/NNG+에/JKB
걸렸는지를	걸리/VV+었/EP+는지/EF+를/JKO
꼭	꼭/MAG
확인해야	확인/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000053.117.5.6
고대안산병원 김도훈 가정의학과 교수는 “6∼8월 여름철에 구내염으로 병원을 찾는 환자가 가장 많다”며 “양치질이나 구강티슈를 이용해 입안을 청결하게 관리하는 것도 중요하다”고 설명했다.

고대안산병원	고대안산병원/NNP
김도훈	김도훈/NNP
가정의학과	가정/NNG+의학과/NNG
교수는	교수/NNG+는/JX
“6∼8월	“/SS+6/SN+∼/SO+8/SN+월/NNB
여름철에	여름철/NNG+에/JKB
구내염으로	구내염/NNG+으로/JKB
병원을	병원/NNG+을/JKO
찾는	찾/VV+는/ETM
환자가	환자/NNG+가/JKS
가장	가장/MAG
많다”며	많/VA+다/EF+”/SS+며/EC
“양치질이나	“/SS+양치/NNG+질/XSN+이나/JC
구강티슈를	구강/NNG+티슈/NNG+를/JKO
이용해	이용/NNG+하/XSV+아/EC
입안을	입안/NNG+을/JKO
청결하게	청결/NNG+하/XSA+게/EC
관리하는	관리/NNG+하/XSV+는/ETM
것도	것/NNB+도/JX
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


