# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.359
metadata : {}


# id : NWRW1800000021.359.1.1
[수도권]공연 - 수영장 갖춘 매머드 노인센터 조성

[수도권]공연	[/SS+수도/NNG+권/XSN+]/SS+공연/NNG
2014년까지	2014/SN+년/NNB+까지/JX
완공하기로	완공/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.359.4.1
종로구 경운동 서울노인복지센터 건물을 재건축해 들어설 9988 복지센터는 지상 8층, 총면적 2만88m²(약 6080평) 규모로 세워진다.

종로구	종로구/NNP
경운동	경운동/NNP
서울노인복지센터	서울노인복지센터/NNP
건물을	건물/NNG+을/JKO
재건축해	재/XPN+건축/NNG+하/XSV+아/EC
들어설	들어서/VV+ㄹ/ETM
9988	9988/SN
복지센터는	복지/NNG+센터/NNG+는/JX
지상	지상/NNG
8층,	8/SN+층/NNG+,/SP
총면적	총면적/NNG
2만88m²(약	2/SN+만/NR+88/SN+m²/SW+(/SS+약/MMA
6080평)	6080/SN+평/NNB+)/SS
규모로	규모/NNG+로/JKB
세워진다.	세우/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.359.4.2
공연장, 수영장, 헬스장과 취업알선센터, 의료상담센터, 실버방송국 등이 들어선다.

공연장,	공연장/NNG+,/SP
수영장,	수영장/NNG+,/SP
헬스장과	헬스장/NNG+과/JC
취업알선센터,	취업/NNG+알선/NNG+센터/NNG+,/SP
의료상담센터,	의료/NNG+상담/NNG+센터/NNG+,/SP
실버방송국	실버/NNG+방송국/NNG
등이	등/NNB+이/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.359.4.3
어르신 행복타운 4곳의 복지 사업을 총괄하고, 노인정책을 연구하는 역할도 맡는다.

어르신	어르신/NNG
행복타운	행복/NNG+타운/NNG
4곳의	4/SN+곳/NNG+의/JKG
복지	복지/NNG
사업을	사업/NNG+을/JKO
총괄하고,	총괄/NNG+하/XSV+고/EC+,/SP
노인정책을	노인/NNG+정책/NNG+을/JKO
연구하는	연구/NNG+하/XSV+는/ETM
역할도	역할/NNG+도/JX
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000021.359.5.1
어르신 행복타운은 △도봉구 창동 푸드뱅크, 공영주차장 용지(지상 10층, 총면적 6만6000m²·약 2만 평) △강동구 고덕동 시립양로원 용지(지상 7층, 총면적 5만8860m²·약 1만7800평) △은평구 녹번동 질병관리본부 용지(지상 7층, 총면적 5만2508m²·약 1만5900평) △양천구 목동 테니스장 용지(지상 7층, 총면적 5만6100m²·약 1만7000평)에 각각 세워진다.

어르신	어르신/NNG
행복타운은	행복/NNG+타운/NNG+은/JX
△도봉구	△/SW+도봉구/NNP
창동	창동/NNP
푸드뱅크,	푸드/NNG+뱅크/NNG+,/SP
공영주차장	공영/NNG+주차장/NNG
용지(지상	용지/NNG+(/SS+지상/NNG
10층,	10/SN+층/NNG+,/SP
총면적	총면적/NNG
6만6000m²·약	6/SN+만/NR+6000/SN+m²/SW+·/SP+약/MMA
2만	2/SN+만/NR
평)	평/NNB+)/SS
△강동구	△/SW+강동구/NNP
고덕동	고덕동/NNP
시립양로원	시립/NNG+양로원/NNG
7층,	7/SN+층/NNG+,/SP
5만8860m²·약	5/SN+만/NR+8860/SN+m²/SW+·/SP+약/MMA
1만7800평)	1/SN+만/NR+7800/SN+평/NNB+)/SS
△은평구	△/SW+은평구/NNP
녹번동	녹번동/NNP
질병관리본부	질병/NNG+관리/NNG+본부/NNG
5만2508m²·약	5/SN+만/NR+2508/SN+m²/SW+·/SP+약/MMA
1만5900평)	1/SN+만/NR+5900/SN+평/NNB+)/SS
△양천구	△/SW+양천구/NNP
목동	목동/NNP
테니스장	테니스장/NNG
5만6100m²·약	5/SN+만/NR+6100/SN+m²/SW+·/SP+약/MMA
1만7000평)에	1/SN+만/NR+7000/SN+평/NNB+)/SS+에/JKB
각각	각각/MAG
세워진다.	세우/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.359.5.2
이곳에는 수영장, 체육관, 헬스장, 공연장 등의 여가문화센터와 취업알선 등의 후생복지센터, 의료건강센터 등이 들어선다.

이곳에는	이곳/NP+에/JKB+는/JX
수영장,	수영장/NNG+,/SP
체육관,	체육관/NNG+,/SP
헬스장,	헬스장/NNG+,/SP
공연장	공연장/NNG
등의	등/NNB+의/JKG
여가문화센터와	여가/NNG+문화/NNG+센터/NNG+와/JC
취업알선	취업/NNG+알선/NNG
후생복지센터,	후생/NNG+복지/NNG+센터/NNG+,/SP
의료건강센터	의료/NNG+건강/NNG+센터/NNG
등이	등/NNB+이/JKS
들어선다.	들어서/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.359.6.1
시는 권역별로 공원, 주거, 문화 등의 기능도 추가해 종합복지 인프라로 구축한다는 방침이다.

시는	시/NNG+는/JX
권역별로	권역/NNG+별/XSN+로/JKB
공원,	공원/NNG+,/SP
주거,	주거/NNG+,/SP
문화	문화/NNG
등의	등/NNB+의/JKG
기능도	기능/NNG+도/JX
추가해	추가/NNG+하/XSV+아/EC
종합복지	종합/NNG+복지/NNG
인프라로	인프라/NNG+로/JKB
구축한다는	구축/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.359.6.2
신면호 서울시 복지국장은 “이용료는 기초수급자나 저소득층은 무료로 하고 나머지는 최소 경비만 내는 방안을 검토 중”이라고 설명했다.

신면호	신면호/NNP
서울시	서울시/NNP
복지국장은	복지국장/NNG+은/JX
“이용료는	“/SS+이용료/NNG+는/JX
기초수급자나	기초/NNG+수급자/NNG+나/JC
저소득층은	저/XPN+소득/NNG+층/XSN+은/JX
무료로	무료/NNG+로/JKB
하고	하/VV+고/EC
나머지는	나머지/NNG+는/JX
최소	최소/NNG
경비만	경비/NNG+만/JX
내는	내/VV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중”이라고	중/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


