# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.105
metadata : {}


# id : NWRW1800000045.105.1.1
[에너지 강국] 삼성전자 전 제품 친환경 기준 만족…협력사 제품도 철저히 사전 관리

[에너지	[/SS+에너지/NNG
# id : NWRW1800000045.105.5.3
지난해 기준 삼성전자가 거래하는 약 2800개 협력사 중 1325개의 협력사가 ISO 14001 인증을 취득해 체계적인 환경경영을 추진하고 있다.

지난해	지난해/NNG
기준	기준/NNG
삼성전자가	삼성전자/NNP+가/JKS
거래하는	거래/NNG+하/XSV+는/ETM
약	약/MMA
2800개	2800/SN+개/NNB
협력사	협력사/NNG
중	중/NNB
1325개의	1325/SN+개/NNB+의/JKG
협력사가	협력사/NNG+가/JKS
ISO	ISO/SL
14001	14001/SN
인증을	인증/NNG+을/JKO
취득해	취득/NNG+하/XSV+아/EC
체계적인	체계/NNG+적/XSN+이/VCP+ㄴ/ETM
환경경영을	환경/NNG+경영/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.105.5.4
또 사업장 내 친환경 상품 구매를 확대하고 녹색 소비문화를 전파하기 위해 2007년 친환경 상품 우선 구매 지침과 환경 매뉴얼, 녹색구매 규정을 제정하여 상품 구매 프로세스에 적용하고 있다.

또	또/MAG
사업장	사업장/NNG
내	내/NNB
친환경	친/XPN+환경/NNG
상품	상품/NNG
구매를	구매/NNG+를/JKO
확대하고	확대/NNG+하/XSV+고/EC
녹색	녹색/NNG
소비문화를	소비문화/NNG+를/JKO
전파하기	전파/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
2007년	2007/SN+년/NNB
우선	우선/MAG
구매	구매/NNG
지침과	지침/NNG+과/JC
환경	환경/NNG
매뉴얼,	매뉴얼/NNG+,/SP
녹색구매	녹색/NNG+구매/NNG
규정을	규정/NNG+을/JKO
제정하여	제정/NNG+하/XSV+아/EC
프로세스에	프로세스/NNG+에/JKB
적용하고	적용/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.105.6.1
해외법인별로 다양한 에너지 절감 프로젝트를 펼치기도 한다.

해외법인별로	해외/NNG+법인/NNG+별/XSN+로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
에너지	에너지/NNG
절감	절감/NNG
프로젝트를	프로젝트/NNG+를/JKO
펼치기도	펼치/VV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.105.6.2
전력수급이 불안정한 아프리카 지역 주민들의 삶의 질 개선을 위해 삼성전자는 오프그리드 TV를 개발했다.

전력수급이	전력/NNG+수급/NNG+이/JKS
불안정한	불/XPN+안정/NNG+하/XSA+ㄴ/ETM
아프리카	아프리카/NNP
지역	지역/NNG
주민들의	주민/NNG+들/XSN+의/JKG
삶의	삶/NNG+의/JKG
질	질/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+아/EC
삼성전자는	삼성전자/NNP+는/JX
오프그리드	오프그리드/NNG
TV를	TV/SL+를/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.105.6.3
오프그리드 TV는 태양광 충전 배터리와 일반 직류, 교류 전원을 모두 이용할 수 있어 어디서나 TV를 시청할 수 있다.

오프그리드	오프그리드/NNG
TV는	TV/SL+는/JX
태양광	태양광/NNG
충전	충전/NNG
배터리와	배터리/NNG+와/JC
일반	일반/NNG
직류,	직류/NNG+,/SP
교류	교류/NNG
전원을	전원/NNG+을/JKO
모두	모두/MAG
이용할	이용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
어디서나	어디/NP+서/JKB+나/JX
TV를	TV/SL+를/JKO
시청할	시청/NNG+하/XSV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.105.6.4
앞으로도 전기가 들어오지 않는 지역에서도 사용할 수 있는 TV를 지속 개발해 보급할 계획이다.

앞으로도	앞/NNG+으로/JKB+도/JX
전기가	전기/NNG+가/JKS
들어오지	들어오/VV+지/EC
않는	않/VX+는/ETM
지역에서도	지역/NNG+에서/JKB+도/JX
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
TV를	TV/SL+를/JKO
지속	지속/NNG
개발해	개발/NNG+하/XSV+아/EC
보급할	보급/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.105.7.1
헝가리 법인은 폐전자제품의 자원재활용을 활성화하고 어린이들에게 재활용 습관을 심어주기 위해 2013년부터 폐휴대전화 반납 캠페인을 시행하고 있다.

헝가리	헝가리/NNP
법인은	법인/NNG+은/JX
폐전자제품의	폐/XPN+전자/NNG+제품/NNG+의/JKG
자원재활용을	자원/NNG+재/XPN+활용/NNG+을/JKO
활성화하고	활성/NNG+화/XSN+하/XSV+고/EC
어린이들에게	어린이/NNG+들/XSN+에게/JKB
재활용	재/XPN+활용/NNG
습관을	습관/NNG+을/JKO
심어주기	심/VV+어/EC+주/VX+기/ETN
위해	위하/VV+아/EC
2013년부터	2013/SN+년/NNB+부터/JX
폐휴대전화	폐/XPN+휴대/NNG+전화/NNG
반납	반납/NNG
캠페인을	캠페인/NNG+을/JKO
시행하고	시행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.105.7.2
학생들이 반납하는 폐휴대전화 개수에 따라 포인트를 지급해 이 포인트로 학용품이나 삼성전자의 전자제품으로 교환할 수 있도록 했다.

학생들이	학생/NNG+들/XSN+이/JKS
반납하는	반납/NNG+하/XSV+는/ETM
폐휴대전화	폐/XPN+휴대/NNG+전화/NNG
개수에	개수/NNG+에/JKB
따라	따르/VV+아/EC
포인트를	포인트/NNG+를/JKO
지급해	지급/NNG+하/XSV+아/EC
이	이/MMD
포인트로	포인트/NNG+로/JKB
학용품이나	학용품/NNG+이나/JC
삼성전자의	삼성전자/NNP+의/JKG
전자제품으로	전자/NNG+제품/NNG+으로/JKB
교환할	교환/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.105.7.3
지난해에는 403개 학교 소속 4000여 명의 학생이 참여했다.

지난해에는	지난해/NNG+에/JKB+는/JX
403개	403/SN+개/NNB
학교	학교/NNG
소속	소속/NNG
4000여	4000/SN+여/XSN
명의	명/NNB+의/JKG
학생이	학생/NNG+이/JKS
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.105.8.1
인도네시아 법인은 지난해 4월 120여 명의 임직원들이 인도네시아 마룬다 해변에 맹그로브 나무를 심어 해양생태계를 보호하는 행사를 열었다.

인도네시아	인도네시아/NNP
법인은	법인/NNG+은/JX
지난해	지난해/NNG
4월	4/SN+월/NNB
120여	120/SN+여/XSN
명의	명/NNB+의/JKG
임직원들이	임직원/NNG+들/XSN+이/JKS
마룬다	마룬다/NNP
해변에	해변/NNG+에/JKB
맹그로브	맹그로브/NNG
나무를	나무/NNG+를/JKO
심어	심/VV+어/EC
해양생태계를	해양/NNG+생태/NNG+계/XSN+를/JKO
보호하는	보호/NNG+하/XSV+는/ETM
행사를	행사/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.105.8.2
맹그로브는 해양 생태계 전반에 양분을 공급하고 탄소 저장소의 역할을 하며 해일이나 태풍으로부터 지역주민을 보호하는 귀중한 생태자원이다.

맹그로브는	맹그로브/NNG+는/JX
해양	해양/NNG
생태계	생태/NNG+계/XSN
전반에	전반/NNG+에/JKB
양분을	양분/NNG+을/JKO
공급하고	공급/NNG+하/XSV+고/EC
탄소	탄소/NNG
저장소의	저장소/NNG+의/JKG
역할을	역할/NNG+을/JKO
하며	하/VV+며/EC
해일이나	해일/NNG+이나/JC
태풍으로부터	태풍/NNG+으로부터/JKB
지역주민을	지역/NNG+주민/NNG+을/JKO
보호하는	보호/NNG+하/XSV+는/ETM
귀중한	귀중하/VA+ㄴ/ETM
생태자원이다.	생태/NNG+자원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.105.9.1
한편 삼성전기는 신재생 에너지 보급 확대를 위해 태양광 발전 시스템을 도입(100kW, 40kW)해 운영하고 있다.

한편	한편/MAG
삼성전기는	삼성전기/NNP+는/JX
신재생	신/XPN+재생/NNG
에너지	에너지/NNG
보급	보급/NNG
확대를	확대/NNG+를/JKO
위해	위하/VV+아/EC
태양광	태양광/NNG
발전	발전/NNG
시스템을	시스템/NNG+을/JKO
도입(100kW,	도입/NNG+(/SS+100/SN+kW/SW+,/SP
40kW)해	40/SN+kW/SW+)/SS+하/VV+아/EC
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.105.9.2
또 자연채광, 태양열 급탕시스템 및 태양광 가로등을 설치했으며 2009년 3월 국내 제조사업장 중 최초로 친환경 건축물 인증을 취득했다.

또	또/MAG
자연채광,	자연/NNG+채광/NNG+,/SP
태양열	태양열/NNG
급탕시스템	급탕/NNG+시스템/NNG
및	및/MAG
태양광	태양광/NNG
가로등을	가로등/NNG+을/JKO
설치했으며	설치/NNG+하/XSV+았/EP+으며/EC
2009년	2009/SN+년/NNB
3월	3/SN+월/NNB
국내	국내/NNG
제조사업장	제조/NNG+사업장/NNG
중	중/NNB
최초로	최초/NNG+로/JKB
친환경	친/XPN+환경/NNG
건축물	건축물/NNG
인증을	인증/NNG+을/JKO
취득했다.	취득/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.105.10.1
2013년 ‘등(燈)나무 심기’ 캠페인을 펼쳐 조명 7046개를 제거해 11만6400그루의 나무 식재 효과 및 연간 1700t의 온실가스 저감효과를 거두었다.

2013년	2013/SN+년/NNB
‘등(燈)나무	‘/SS+등/NNG+(/SS+燈/SH+)/SS+나무/NNG
심기’	심/VV+기/ETN+’/SS
캠페인을	캠페인/NNG+을/JKO
펼쳐	펼치/VV+어/EC
조명	조명/NNG
7046개를	7046/SN+개/NNB+를/JKO
제거해	제거/NNG+하/XSV+아/EC
11만6400그루의	11/SN+만/NR+6400/SN+그루/NNB+의/JKG
나무	나무/NNG
식재	식재/NNG
효과	효과/NNG
및	및/MAG
연간	연간/NNG
1700t의	1700/SN+t/SW+의/JKG
온실가스	온실가스/NNG
저감효과를	저감/NNG+효과/NNG+를/JKO
거두었다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.105.10.2
아울러 조명 전력량을 줄이기 위해 국내 사업장에 6만4000여 개의 발광다이오드(LED) 조명 교체를 진행해 연간 1만3800kW(14억 원 어치)의 에너지 절감 효과를 거뒀다.

아울러	아울러/MAG
조명	조명/NNG
전력량을	전력량/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위해	위하/VV+아/EC
국내	국내/NNG
사업장에	사업장/NNG+에/JKB
6만4000여	6/SN+만/NR+4000/SN+여/XSN
개의	개/NNB+의/JKG
발광다이오드(LED)	발광/NNG+다이오드/NNG+(/SS+LED/SL+)/SS
교체를	교체/NNG+를/JKO
진행해	진행/NNG+하/XSV+아/EC
연간	연간/NNG
1만3800kW(14억	1/SN+만/NR+3800/SN+kW/SW+(/SS+14/SN+억/NR
원	원/NNB
어치)의	어치/XSN+)/SS+의/JKG
에너지	에너지/NNG
절감	절감/NNG
효과를	효과/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


