# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.228
metadata : {}


# id : NWRW1800000040.228.1.1
판교 백현마을 임대주택 일반분양 논란

판교	판교/NNP
이 아파트 단지는 성남시 원도심인 수정·중원구의 2단계 재개발구역 주민 이주용 임대아파트(3696가구)로 2009년 12월 준공됐으나, 토지주택공사의 재정난 등으로 재개발사업이 난항을 겪으면서 입주가 미뤄져 지금까지 4년째 빈집으로 남아 있다.

이	이/MMD
아파트	아파트/NNG
단지는	단지/NNG+는/JX
성남시	성남시/NNP
원도심인	원도심/NNG+이/VCP+ㄴ/ETM
수정·중원구의	수정/NNP+·/SP+중원구/NNP+의/JKG
2단계	2/SN+단계/NNG
재개발구역	재/XPN+개발/NNG+구역/NNG
주민	주민/NNG
이주용	이주/NNG+용/XSN
임대아파트(3696가구)로	임대/NNG+아파트/NNG+(/SS+3696/SN+가구/NNG+)/SS+로/JKB
2009년	2009/SN+년/NNB
12월	12/SN+월/NNB
준공됐으나,	준공/NNG+되/XSV+었/EP+으나/EC+,/SP
토지주택공사의	토지주택공사/NNP+의/JKG
재정난	재정난/NNG
등으로	등/NNB+으로/JKB
재개발사업이	재/XPN+개발/NNG+사업/NNG+이/JKS
난항을	난항/NNG+을/JKO
겪으면서	겪/VV+으면서/EC
입주가	입주/NNG+가/JKS
미뤄져	미루/VV+어/EC+지/VX+어/EC
지금까지	지금/NNG+까지/JX
4년째	4/SN+년/NNB+째/XSN
빈집으로	빈집/NNG+으로/JKB
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.228.5.3
(<한겨레> 2011년 7월27일치 14면)

(<한겨레>	(/SS+</SS+한겨레/NNP+>/SS
2011년	2011/SN+년/NNB
7월27일치	7/SN+월/NNB+27/SN+일/NNB+치/NNB
14면)	14/SN+면/NNG+)/SS


# id : NWRW1800000040.228.6.1
토지주택공사는 “이번 분양으로 무주택 서민에게 입주 기회를 주고 빈집 유지관리비 손실을 줄일 수 있다. 일반공급 대상에서 제외된 1722가구는 애초 목적대로 성남시 재개발 추진 상황에 맞춰 활용할 예정”이라고 설명했다.

토지주택공사는	토지주택공사/NNP+는/JX
“이번	“/SS+이번/NNG
분양으로	분양/NNG+으로/JKB
무주택	무/XPN+주택/NNG
서민에게	서민/NNG+에게/JKB
입주	입주/NNG
기회를	기회/NNG+를/JKO
주고	주/VV+고/EC
빈집	빈집/NNG
유지관리비	유지/NNG+관리비/NNG
손실을	손실/NNG+을/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF
일반공급	일반/NNG+공급/NNG
대상에서	대상/NNG+에서/JKB
제외된	제외/NNG+되/XSV+ㄴ/ETM
1722가구는	1722/SN+가구/NNG+는/JX
애초	애초/NNG
목적대로	목적/NNG+대로/JX
성남시	성남시/NNP
재개발	재/XPN+개발/NNG
추진	추진/NNG
상황에	상황/NNG+에/JKB
맞춰	맞추/VV+어/EC
활용할	활용/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.228.6.2
공사는 새달 11~12일 우선공급 대상자(세 자녀 가구 등), 13~14일 성남시 거주자 대상으로 신청을 받는다.

공사는	공사/NNG+는/JX
새달	새달/NNG
11~12일	11/SN+~/SO+12/SN+일/NNB
우선공급	우선/NNG+공급/NNG
대상자(세	대상자/NNG+(/SS+세/MMN
자녀	자녀/NNG
가구	가구/NNG
등),	등/NNB+)/SS+,/SP
13~14일	13/SN+~/SO+14/SN+일/NNB
성남시	성남시/NNP
거주자	거주자/NNG
대상으로	대상/NNG+으로/JKB
신청을	신청/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000040.228.6.3
그러나 일반분양에 반대하며 토지주택공사에 미분양 주택 인수 등 재개발 고통분담을 요구해온 성남시는 강하게 반발했다.

그러나	그러나/MAJ
일반분양에	일반/NNG+분양/NNG+에/JKB
반대하며	반대/NNG+하/XSV+며/EC
토지주택공사에	토지주택공사/NNP+에/JKB
미분양	미/XPN+분양/NNG
주택	주택/NNG
인수	인수/NNG
등	등/NNB
재개발	재/XPN+개발/NNG
고통분담을	고통/NNG+분담/NNG+을/JKO
요구해온	요구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
성남시는	성남시/NNP+는/JX
강하게	강하/VA+게/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.228.6.4
시는 이날 오후 대변인 브리핑을 통해 “공적 책무를 망각한 ‘슈퍼갑’의 무법자적 횡포다. 도시 및 주거환경정비법에 따라 즉시 고발하고 일반공급 금지 가처분을 신청하겠다”고 밝혔다.

시는	시/NNG+는/JX
이날	이날/NNG
오후	오후/NNG
대변인	대변인/NNG
브리핑을	브리핑/NNG+을/JKO
통해	통하/VV+아/EC
“공적	“/SS+공/NNG+적/XSN
책무를	책무/NNG+를/JKO
망각한	망각/NNG+하/XSV+ㄴ/ETM
‘슈퍼갑’의	‘/SS+슈퍼/NNG+갑/NNG+’/SS+의/JKG
무법자적	무법자/NNG+적/XSN
횡포다.	횡포/NNG+이/VCP+다/EF+./SF
도시	도시/NNG
및	및/MAG
주거환경정비법에	주거/NNG+환경/NNG+정비법/NNG+에/JKB
따라	따르/VV+아/EC
즉시	즉시/NNG
고발하고	고발/NNG+하/XSV+고/EC
일반공급	일반/NNG+공급/NNG
금지	금지/NNG
가처분을	가/XPN+처분/NNG+을/JKO
신청하겠다”고	신청/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.228.6.5
시는 토지주택공사 본사 사옥 앞에 농성 천막을 치고 이재명 시장이 직접 농성을 벌일 계획이라고 덧붙였다.

시는	시/NNG+는/JX
토지주택공사	토지주택공사/NNP
본사	본사/NNG
사옥	사옥/NNG
앞에	앞/NNG+에/JKB
농성	농성/NNG
천막을	천막/NNG+을/JKO
치고	치/VV+고/EC
이재명	이재명/NNP
시장이	시장/NNG+이/JKS
직접	직접/MAG
농성을	농성/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


