# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.140
metadata : {}


# id : NWRW1800000046.140.1.1
脫北 국군포로 아들, 숨진 채 발견

脫北	脫北/SH
신경안정제	신경/NNG+안정제/NNG
과다	과다/NNG
복용이었다.	복용/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.140.4.3
국군포로가족회 한영복(51) 회장은 "국방부가 주씨를 죽음으로 내몰았다"고 했다.

국군포로가족회	국군/NNG+포로/NNG+가족회/NNG
한영복(51)	한영복/NNP+(/SS+51/SN+)/SS
회장은	회장/NNG+은/JX
"국방부가	"/SS+국방부/NNG+가/JKS
주씨를	주/NNP+씨/NNB+를/JKO
죽음으로	죽음/NNG+으로/JKB
내몰았다"고	내몰/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.140.4.4
이 단체 회원 주씨는 작년 7월부터 정부의 국군포로가족 지원을 요구하는 여러 집회 시위에 참여해왔다.

이	이/MMD
단체	단체/NNG
회원	회원/NNG
주씨는	주/NNP+씨/NNB+는/JX
작년	작년/NNG
7월부터	7/SN+월/NNB+부터/JX
정부의	정부/NNG+의/JKG
국군포로가족	국군/NNG+포로/NNG+가족/NNG
지원을	지원/NNG+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
여러	여러/MMN
집회	집회/NNG
시위에	시위/NNG+에/JKB
참여해왔다.	참여/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.140.5.1
한 회장은 "지난 13일 국회소관위원회 법안심사에서 '(국가가 보상해주는) 국가적 책무에서 국군포로는 제외해야 한다'는 국방부 관계자의 발언을 전해듣고 그 충격에 스스로 목숨을 끊었다"고 주장했다.

한	한/NNP
회장은	회장/NNG+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
국회소관위원회	국회/NNG+소관/NNG+위원회/NNG
법안심사에서	법안/NNG+심사/NNG+에서/JKB
'(국가가	'/SS+(/SS+국가/NNG+가/JKS
보상해주는)	보상/NNG+하/XSV+아/EC+주/VX+는/ETM+)/SS
국가적	국가/NNG+적/XSN
책무에서	책무/NNG+에서/JKB
국군포로는	국군/NNG+포로/NNG+는/JX
제외해야	제외/NNG+하/XSV+아야/EC
한다'는	하/VX+ㄴ다/EF+'/SS+는/ETM
국방부	국방부/NNG
관계자의	관계자/NNG+의/JKG
발언을	발언/NNG+을/JKO
전해듣고	전하/VV+아/EC+듣/VV+고/EC
그	그/MMD
충격에	충격/NNG+에/JKB
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊었다"고	끊/VV+었/EP+다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.140.5.2
정부는 국군포로 보상금·연금 지급 등을 요구하는 가족회에 대해 "원칙적으로 보상금·연금은 당사자 지급이 원칙이며, 가족회가 주장하는 특별법 제정도 어렵다"는 입장을 견지해왔다.

정부는	정부/NNG+는/JX
국군포로	국군/NNG+포로/NNG
보상금·연금	보상금/NNG+·/SP+연금/NNG
지급	지급/NNG
등을	등/NNB+을/JKO
요구하는	요구/NNG+하/XSV+는/ETM
가족회에	가족회/NNG+에/JKB
대해	대하/VV+아/EC
"원칙적으로	"/SS+원칙/NNG+적/XSN+으로/JKB
보상금·연금은	보상금/NNG+·/SP+연금/NNG+은/JX
당사자	당사자/NNG
지급이	지급/NNG+이/JKS
원칙이며,	원칙/NNG+이/VCP+며/EC+,/SP
가족회가	가족회/NNG+가/JKS
주장하는	주장/NNG+하/XSV+는/ETM
특별법	특별법/NNG
제정도	제정/NNG+도/JX
어렵다"는	어렵/VA+다/EF+"/SS+는/ETM
입장을	입장/NNG+을/JKO
견지해왔다.	견지/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.140.5.3
또 국회에서도 국군포로 2세에 대한 지원 확대 내용을 담은 법률 개정안이 2년 넘게 표류 중이다.

또	또/MAG
국회에서도	국회/NNG+에서/JKB+도/JX
국군포로	국군/NNG+포로/NNG
2세에	2/SN+세/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
지원	지원/NNG
확대	확대/NNG
내용을	내용/NNG+을/JKO
담은	담/VV+은/ETM
법률	법률/NNG
개정안이	개정안/NNG+이/JKS
2년	2/SN+년/NNB
넘게	넘/VV+게/EC
표류	표류/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.140.6.1
가족회에 따르면 아버지가 국군포로였던 주씨는 2005년 탈북했다.

가족회에	가족회/NNG+에/JKB
따르면	따르/VV+면/EC
아버지가	아버지/NNG+가/JKS
국군포로였던	국군/NNG+포로/NNG+이/VCP+었/EP+던/ETM
주씨는	주/NNP+씨/NNB+는/JX
2005년	2005/SN+년/NNB
탈북했다.	탈북/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.140.6.2
그의 아버지는 아오지 탄광에서 강제노역에 시달리다 시력을 잃었다고 한다.

그의	그/NP+의/JKG
아버지는	아버지/NNG+는/JX
아오지	아오지/NNP
탄광에서	탄광/NNG+에서/JKB
강제노역에	강제/NNG+노역/NNG+에/JKB
시달리다	시달리/VV+다/EC
시력을	시력/NNG+을/JKO
잃었다고	잃/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.140.6.3
병적기록표에는 아버지 전사 날짜가 6·25전쟁 당시로 돼있어 부친 호적에 이름도 올리지 못했다.

병적기록표에는	병적/NNG+기록표/NNG+에/JKB+는/JX
아버지	아버지/NNG
전사	전사/NNG
날짜가	날짜/NNG+가/JKS
6·25전쟁	6/SN+·/SP+25/SN+전쟁/NNG
당시로	당시/NNG+로/JKB
돼있어	되/VV+어/EC+있/VX+어/EC
부친	부친/NNG
호적에	호적/NNG+에/JKB
이름도	이름/NNG+도/JX
올리지	올리/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.140.7.1
이날 가족회가 공개한 주씨의 유서에는 '아버지 고향만 믿고 왔는데 너무 억울하고 분통하다' '내가 혼자서라도 끝까지 1인 시위 하다가 죽으면 내 시체라도 회원들이 둘러메고 우리 아버지들의 명예와 자식들의 권리를 찾아야 한다'고 적혀 있었다.

이날	이날/NNG
가족회가	가족회/NNG+가/JKS
공개한	공개/NNG+하/XSV+ㄴ/ETM
주씨의	주/NNP+씨/NNB+의/JKG
유서에는	유서/NNG+에/JKB+는/JX
'아버지	'/SS+아버지/NNG
고향만	고향/NNG+만/JX
믿고	믿/VV+고/EC
왔는데	오/VX+았/EP+는데/EC
너무	너무/MAG
억울하고	억울/NNG+하/XSA+고/EC
분통하다'	분통/NNG+하/XSA+다/EF+'/SS
'내가	'/SS+내/NP+가/JKS
혼자서라도	혼자/NNG+서/JKS+라도/JX
끝까지	끝/NNG+까지/JX
1인	1/SN+인/NNG
시위	시위/NNG
하다가	하/VV+다가/EC
죽으면	죽/VV+으면/EC
내	나/NP+의/JKG
시체라도	시체/NNG+이/VCP+라도/EC
회원들이	회원/NNG+들/XSN+이/JKS
둘러메고	둘러메/VV+고/EC
우리	우리/NP
아버지들의	아버지/NNG+들/XSN+의/JKG
명예와	명예/NNG+와/JC
자식들의	자식/NNG+들/XSN+의/JKG
권리를	권리/NNG+를/JKO
찾아야	찾/VV+아야/EC
한다'고	하/VX+ㄴ다/EF+'/SS+고/JKQ
적혀	적히/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000046.140.8.1
회원 김경숙(51)씨는 "비슷한 또래인 우리 국군포로 자식들은 북한에서도 한국에서도 모두 외면당했다"면서 "국군포로와 그 가족들을 비하하는 발언을 한 국방부는 책임지고 사과해야 할 것"이라고 말했다.

회원	회원/NNG
김경숙(51)씨는	김경숙/NNP+(/SS+51/SN+)/SS+씨/NNB+는/JX
"비슷한	"/SS+비슷하/VA+ㄴ/ETM
또래인	또래/NNG+이/VCP+ㄴ/ETM
우리	우리/NP
국군포로	국군/NNG+포로/NNG
자식들은	자식/NNG+들/XSN+은/JX
북한에서도	북한/NNP+에서/JKB+도/JX
한국에서도	한국/NNP+에서/JKB+도/JX
모두	모두/MAG
외면당했다"면서	외면/NNG+당하/XSV+았/EP+다/EF+"/SS+면서/EC
"국군포로와	"/SS+국군/NNG+포로/NNG+와/JC
그	그/MMD
가족들을	가족/NNG+들/XSN+을/JKO
비하하는	비하/NNG+하/XSV+는/ETM
발언을	발언/NNG+을/JKO
한	하/VV+ㄴ/ETM
국방부는	국방부/NNG+는/JX
책임지고	책임지/VV+고/EC
사과해야	사과/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.140.9.1
국방부는 "기본적으로 6·25 참전용사와 그 가족을 최대한 예우한다는 것이 우리 원칙이며, 국군포로가족회의 여러 요구 사항도 법적으로 검토해보겠다"는 입장을 밝혔다.

국방부는	국방부/NNG+는/JX
"기본적으로	"/SS+기본/NNG+적/XSN+으로/JKB
6·25	6/SN+·/SP+25/SN
참전용사와	참전/NNG+용사/NNG+와/JC
그	그/MMD
가족을	가족/NNG+을/JKO
최대한	최대한/MAG
예우한다는	예우/NNG+하/XSV+ㄴ다는/ETM
것이	것/NNB+이/JKS
우리	우리/NP
원칙이며,	원칙/NNG+이/VCP+며/EC+,/SP
국군포로가족회의	국군/NNG+포로/NNG+가족회/NNG+의/JKG
여러	여러/MMN
요구	요구/NNG
사항도	사항/NNG+도/JX
법적으로	법/NNG+적/XSN+으로/JKB
검토해보겠다"는	검토/NNG+하/XSV+아/EC+보/VX+겠/EP+다/EF+"/SS+는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.140.9.2
국내 정착한 국군포로 2세 탈북자는 현재 97명이다.

국내	국내/NNG
정착한	정착/NNG+하/XSV+ㄴ/ETM
국군포로	국군/NNG+포로/NNG
2세	2/SN+세/NNB
탈북자는	탈북자/NNG+는/JX
현재	현재/MAG
97명이다.	97/SN+명/NNB+이/VCP+다/EF+./SF


