# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.89
metadata : {}


# id : NWRW1800000038.89.1.1
두통에 눈 뻐근하다면 녹내장 의심을

두통에	두통/NNG+에/JKB
사라진다"고	사라지/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.89.5.1
하지만 이를 단순한 두통으로만 여기는 경우가 적지 않다고 한다.

하지만	하지만/MAJ
이를	이/NP+를/JKO
단순한	단순/NNG+하/XSA+ㄴ/ETM
두통으로만	두통/NNG+으로/JKB+만/JX
여기는	여기/VV+는/ETM
경우가	경우/NNG+가/JKS
적지	적/VA+지/EC
않다고	않/VX+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.89.5.2
분당서울대병원 안과 김태우 교수팀이 조사했더니, 급성 폐쇄각 녹내장 때문에 응급실을 찾은 환자의 24%가 "증상이 생겼을 때 안과가 아닌 내과·신경과 등을 찾은 경험이 있다"고 답했다는 조사 결과가 있다.

분당서울대병원	분당서울대병원/NNP
안과	안과/NNG
김태우	김태우/NNP
교수팀이	교수/NNG+팀/NNG+이/JKS
조사했더니,	조사/NNG+하/XSV+았/EP+더니/EC+,/SP
급성	급성/NNG
폐쇄각	폐쇄각/NNG
녹내장	녹내장/NNG
때문에	때문/NNB+에/JKB
응급실을	응급실/NNG+을/JKO
찾은	찾/VV+은/ETM
환자의	환자/NNG+의/JKG
24%가	24/SN+%/SW+가/JKS
"증상이	"/SS+증상/NNG+이/JKS
생겼을	생기/VV+었/EP+을/ETM
때	때/NNG
안과가	안과/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
내과·신경과	내과/NNG+·/SP+신경과/NNG
등을	등/NNB+을/JKO
경험이	경험/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
답했다는	답/NNG+하/XSV+았/EP+다는/ETM
조사	조사/NNG
결과가	결과/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.89.6.1
제때 치료를 받지 않고 놔두면 결국 급성 폐쇄각 녹내장으로 발전해, 안압이 더 높아져 안구 통증·시력 감소·충혈·구토감 등을 겪는다.

제때	제때/NNG
치료를	치료/NNG+를/JKO
받지	받/VV+지/EC
않고	않/VX+고/EC
놔두면	놔두/VV+면/EC
결국	결국/MAG
급성	급성/NNG
폐쇄각	폐쇄각/NNG
녹내장으로	녹내장/NNG+으로/JKB
발전해,	발전/NNG+하/XSV+아/EC+,/SP
안압이	안압/NNG+이/JKS
더	더/MAG
높아져	높아지/VV+어/EC
안구	안구/NNG
통증·시력	통증/NNG+·/SP+시력/NNG
감소·충혈·구토감	감소/NNG+·/SP+충혈/NNG+·/SP+구토감/NNG
등을	등/NNB+을/JKO
겪는다.	겪/VV+는다/EF+./SF


# id : NWRW1800000038.89.6.2
이런 증상까지 생겼다면 빠른 시간 안에 시신경이 손상될 수 있다.

이런	이런/MMD
증상까지	증상/NNG+까지/JX
생겼다면	생기/VV+었/EP+다면/EC
빠른	빠르/VA+ㄴ/ETM
시간	시간/NNG
안에	안/NNG+에/JKB
시신경이	시신경/NNG+이/JKS
손상될	손상/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.89.6.3
이때는 레이저 치료(방수가 빠져나갈 수 있게 길을 만드는 치료)를 받아도 절반 정도는 효과를 못 봐, 수술을 받아야 하거나 평생 안약을 써야 한다.

이때는	이때/NNG+는/JX
레이저	레이저/NNG
치료(방수가	치료/NNG+(/SS+방수/NNG+가/JKS
빠져나갈	빠져나가/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
길을	길/NNG+을/JKO
만드는	만들/VV+는/ETM
치료)를	치료/NNG+)/SS+를/JKO
받아도	받/VV+아도/EC
절반	절반/NNG
정도는	정도/NNG+는/JX
효과를	효과/NNG+를/JKO
못	못/MAG
봐,	보/VV+아/EC+,/SP
수술을	수술/NNG+을/JKO
받아야	받/VV+아야/EC
하거나	하/VX+거나/EC
평생	평생/NNG
안약을	안약/NNG+을/JKO
써야	쓰/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.89.6.4
따라서 증상이 처음 생겼을 때 검사를 받고, 녹내장으로 진단되면 레이저 치료를 빨리 받는 게 좋다.

따라서	따라서/MAJ
증상이	증상/NNG+이/JKS
처음	처음/NNG
생겼을	생기/VV+었/EP+을/ETM
때	때/NNG
검사를	검사/NNG+를/JKO
받고,	받/VV+고/EC+,/SP
녹내장으로	녹내장/NNG+으로/JKB
진단되면	진단/NNG+되/XSV+면/EC
레이저	레이저/NNG
치료를	치료/NNG+를/JKO
빨리	빨리/MAG
받는	받/VV+는/ETM
게	거/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000038.89.6.5
임찬영 원장은 "40대 이후에 주기적인 두통이 생겼거나, 어두운 곳에서 눈이 뻐근한 증상이 지속되면 안과에서 녹내장 검사를 받으라"고 말했다.

임찬영	임찬영/NNP
원장은	원장/NNG+은/JX
"40대	"/SS+40/SN+대/NNB
이후에	이후/NNG+에/JKB
주기적인	주기/NNG+적/XSN+이/VCP+ㄴ/ETM
두통이	두통/NNG+이/JKS
생겼거나,	생기/VV+었/EP+거나/EC+,/SP
어두운	어둡/VA+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
눈이	눈/NNG+이/JKS
뻐근한	뻐근하/VA+ㄴ/ETM
증상이	증상/NNG+이/JKS
지속되면	지속/NNG+되/XSV+면/EC
안과에서	안과/NNG+에서/JKB
녹내장	녹내장/NNG
검사를	검사/NNG+를/JKO
받으라"고	받/VV+으라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


