# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.386
metadata : {}


# id : NWRW1800000030.386.1.1
[수도권I][경기도 이 사람] 장애극복상 수상… 시각장애인 이진원씨

[수도권I][경기도	[/SS+수도/NNG+권/XSN+I/SL+]/SS+[/SS+경기도/NNP
점자교육과	점자/NNG+교육/NNG+과/JC
기초	기초/NNG
안마교육을	안마/NNG+교육/NNG+을/JKO
하며	하/VV+며/EC
시각장애인의	시각/NNG+장애인/NNG+의/JKG
사회	사회/NNG
참여를	참여/NNG+를/JKO
돕고	돕/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.386.7.3
이씨는 "일을 시작한 지 얼마 안 돼서 서툴지만, 더욱 용기를 내서 다른 장애인들에게 모범이 되고 싶다"고 말했다.

이씨는	이/NNP+씨/NNB+는/JX
"일을	"/SS+일/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
안	안/MAG
돼서	되/VV+어서/EC
서툴지만,	서툴/VA+지만/EC+,/SP
더욱	더욱/MAG
용기를	용기/NNG+를/JKO
내서	내/VV+어서/EC
다른	다른/MMD
장애인들에게	장애인/NNG+들/XSN+에게/JKB
모범이	모범/NNG+이/JKC
되고	되/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


