# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.46
metadata : {}


# id : NWRW1800000038.46.1.1
"日개헌, 동남아 평화에 도움" 아베의 여론몰이

"日개헌,	"/SS+日/SH+개헌/NNG+,/SP
아베 총리는 "싱가포르 군대가 자위대와 함께 국제평화유지군 활동을 하고 있지만, 현재로서는 싱가포르 군대가 공격을 받아 위험에 빠져도 일본이 집단적 자위권이 없어 자위대가 (싱가포르를) 도울 수 없다"고 말했다고 산케이(産經)신문이 전했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
"싱가포르	"/SS+싱가포르/NNP
군대가	군대/NNG+가/JKS
자위대와	자위대/NNG+와/JKB
함께	함께/MAG
국제평화유지군	국제평화유지군/NNP
활동을	활동/NNG+을/JKO
하고	하/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
현재로서는	현재/NNG+로서/JKB+는/JX
싱가포르	싱가포르/NNP
공격을	공격/NNG+을/JKO
받아	받/VV+아/EC
위험에	위험/NNG+에/JKB
빠져도	빠지/VV+어도/EC
일본이	일본/NNP+이/JKS
집단적	집단/NNG+적/XSN
자위권이	자위/NNG+권/XSN+이/JKS
없어	없/VA+어/EC
자위대가	자위대/NNG+가/JKS
(싱가포르를)	(/SS+싱가포르/NNP+를/JKO+)/SS
도울	돕/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
산케이(産經)신문이	산케이/NNP+(/SS+産經/SH+)/SS+신문/NNG+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.46.4.3
아베 총리는 연내에 헌법 해석을 바꿔 집단적 자위권을 도입하는 방안을 추진 중이다.

아베	아베/NNP
총리는	총리/NNG+는/JX
연내에	연내/NNG+에/JKB
헌법	헌법/NNG
해석을	해석/NNG+을/JKO
바꿔	바꾸/VV+어/EC
집단적	집단/NNG+적/XSN
자위권을	자위/NNG+권/XSN+을/JKO
도입하는	도입/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
추진	추진/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.46.4.4
집단적 자위권은 동맹국이 공격받았을 때 상대국을 공격할 수 있는 권리를 말한다.

집단적	집단/NNG+적/XSN
자위권은	자위/NNG+권/XSN+은/JX
동맹국이	동맹국/NNG+이/JKS
공격받았을	공격/NNG+받/XSV+았/EP+을/ETM
때	때/NNG
상대국을	상대국/NNG+을/JKO
공격할	공격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
권리를	권리/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.46.4.5
하지만 아베 총리의 이 같은 움직임에 대해, 일본이 침략 전쟁에 대한 반성도 없이 군국주의를 부활시키려는 것 아니냐는 비판 여론이 높다.

하지만	하지만/MAJ
아베	아베/NNP
총리의	총리/NNG+의/JKG
이	이/NP
같은	같/VA+은/ETM
움직임에	움직임/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
일본이	일본/NNP+이/JKS
침략	침략/NNG
전쟁에	전쟁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
반성도	반성/NNG+도/JX
없이	없이/MAG
군국주의를	군국주의/NNG+를/JKO
부활시키려는	부활/NNG+시키/XSV+려는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
비판	비판/NNG
여론이	여론/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000038.46.5.1
아베 총리는 27일 베니그노 아키노 필리핀 대통령과 가진 정상회담에서도 "국제적인 안전보장 환경의 변화 속에서 일본의 안전을 확보하고 미·일 동맹과 지역 평화에 공헌하기 위해 집단적 자위권의 도입을 추진하고 있다"고 밝혔다.

아베	아베/NNP
총리는	총리/NNG+는/JX
27일	27/SN+일/NNB
베니그노	베니그노/NNP
아키노	아키노/NNP
필리핀	필리핀/NNP
대통령과	대통령/NNG+과/JKB
가진	가지/VV+ㄴ/ETM
정상회담에서도	정상/NNG+회담/NNG+에서/JKB+도/JX
"국제적인	"/SS+국제/NNG+적/XSN+이/VCP+ㄴ/ETM
안전보장	안전/NNG+보장/NNG
환경의	환경/NNG+의/JKG
변화	변화/NNG
속에서	속/NNG+에서/JKB
일본의	일본/NNP+의/JKG
안전을	안전/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
미·일	미/NNP+·/SP+일/NNP
동맹과	동맹/NNG+과/JC
지역	지역/NNG
평화에	평화/NNG+에/JKB
공헌하기	공헌/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
집단적	집단/NNG+적/XSN
자위권의	자위/NNG+권/XSN+의/JKG
도입을	도입/NNG+을/JKO
추진하고	추진/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.46.5.2
아베 총리는 이 자리에서 필리핀에 일본 순시선 10척을 제공하겠다고 밝혔다.

아베	아베/NNP
총리는	총리/NNG+는/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
필리핀에	필리핀/NNP+에/JKB
일본	일본/NNP
순시선	순시선/NNG
10척을	10/SN+척/NNB+을/JKO
제공하겠다고	제공/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.46.6.1
아베 총리는 동남아 국가들이 중국과 해양 영토 분쟁을 빚고 있는 점에 주목, 일본의 개헌과 집단적 자위권 도입이 동남아 지역 안정에도 도움이 될 수 있다는 논리를 폈다.

아베	아베/NNP
총리는	총리/NNG+는/JX
동남아	동남아/NNP
국가들이	국가/NNG+들/XSN+이/JKS
중국과	중국/NNP+과/JKB
해양	해양/NNG
영토	영토/NNG
분쟁을	분쟁/NNG+을/JKO
빚고	빚/VV+고/EC
있는	있/VX+는/ETM
점에	점/NNG+에/JKB
주목,	주목/NNG+,/SP
일본의	일본/NNP+의/JKG
개헌과	개헌/NNG+과/JC
집단적	집단/NNG+적/XSN
자위권	자위/NNG+권/XSN
도입이	도입/NNG+이/JKS
지역	지역/NNG
안정에도	안정/NNG+에/JKB+도/JX
도움이	도움/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
논리를	논리/NNG+를/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.46.7.1
아베 총리는 이 국가들에 대해 통화스와프 체결이나 확대도 제안한 것으로 보인다고 일본 언론은 보도했다.

아베	아베/NNP
총리는	총리/NNG+는/JX
이	이/MMD
국가들에	국가/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
통화스와프	통화/NNG+스와프/NNG
체결이나	체결/NNG+이나/JC
확대도	확대/NNG+도/JX
제안한	제안/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
일본	일본/NNP
언론은	언론/NNG+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.46.7.2
통화스와프는 마이너스 통장처럼 유사시에 상대방 국가에 자국 화폐를 맡기고 해당국 통화나 달러를 빌려오는 것을 가리킨다.

통화스와프는	통화/NNG+스와프/NNG+는/JX
마이너스	마이너스/NNG
통장처럼	통장/NNG+처럼/JKB
유사시에	유사시/NNG+에/JKB
상대방	상대방/NNG
국가에	국가/NNG+에/JKB
자국	자국/NNG
화폐를	화폐/NNG+를/JKO
맡기고	맡기/VV+고/EC
해당국	해당국/NNG
통화나	통화/NNG+나/JC
달러를	달러/NNG+를/JKO
빌려오는	빌리/VV+어/EC+오/VX+는/ETM
것을	것/NNB+을/JKO
가리킨다.	가리키/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.46.7.3
일본 정부는 한국과 맺은 통화스와프의 규모는 계속 축소하고 있다.

일본	일본/NNP
정부는	정부/NNG+는/JX
한국과	한국/NNP+과/JKB
맺은	맺/VV+은/ETM
통화스와프의	통화/NNG+스와프/NNG+의/JKG
규모는	규모/NNG+는/JX
계속	계속/MAG
축소하고	축소/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.46.7.4
아베 총리는 27일 동남아 순방을 결산하는 기자회견에서도 "개헌은 평화주의를 전제로 한 것인 만큼, 오해가 없도록 (외국 정상들에게) 정중하게 설명했다"고 밝혔다.

아베	아베/NNP
총리는	총리/NNG+는/JX
27일	27/SN+일/NNB
동남아	동남아/NNP
순방을	순방/NNG+을/JKO
결산하는	결산/NNG+하/XSV+는/ETM
기자회견에서도	기자/NNG+회견/NNG+에서/JKB+도/JX
"개헌은	"/SS+개헌/NNG+은/JX
평화주의를	평화주의/NNG+를/JKO
전제로	전제/NNG+로/JKB
한	하/VV+ㄴ/ETM
것인	것/NNB+이/VCP+ㄴ/ETM
만큼,	만큼/NNB+,/SP
오해가	오해/NNG+가/JKS
없도록	없/VA+도록/EC
(외국	(/SS+외국/NNG
정상들에게)	정상/NNG+들/XSN+에게/JKB+)/SS
정중하게	정중하/VA+게/EC
설명했다"고	설명/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.46.7.5
산케이 신문은 아베 총리의 의도가 "아시아 각국이 한국·중국과 달리 일본의 개헌을 지지한다는 인상을 대내외에 보여주기 위한 것"이라고 분석했다.

산케이	산케이/NNP
신문은	신문/NNG+은/JX
아베	아베/NNP
총리의	총리/NNG+의/JKG
의도가	의도/NNG+가/JKS
"아시아	"/SS+아시아/NNP
각국이	각국/NNG+이/JKS
한국·중국과	한국/NNP+·/SP+중국/NNP+과/JKB
달리	달리/MAG
일본의	일본/NNP+의/JKG
개헌을	개헌/NNG+을/JKO
지지한다는	지지/NNG+하/XSV+ㄴ다는/ETM
인상을	인상/NNG+을/JKO
대내외에	대내외/NNG+에/JKB
보여주기	보이/VV+어/EC+주/VX+기/ETN
위한	위하/VV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.46.8.1
한편 아베 총리는 27일 기자회견에서 한국과 중국과의 관계 개선 의지도 밝혔다.

한편	한편/MAG
아베	아베/NNP
총리는	총리/NNG+는/JX
27일	27/SN+일/NNB
기자회견에서	기자/NNG+회견/NNG+에서/JKB
한국과	한국/NNP+과/JC
중국과의	중국/NNP+과/JKB+의/JKG
관계	관계/NNG
개선	개선/NNG
의지도	의지/NNG+도/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.46.8.2
그는 "한국은 기본적인 가치와 이익을 공유하는 중요한 이웃"이라면서 "정상회담이 가능해지길 기대하고 있다"고 밝혔다.

그는	그/NP+는/JX
"한국은	"/SS+한국/NNP+은/JX
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
가치와	가치/NNG+와/JC
이익을	이익/NNG+을/JKO
공유하는	공유/NNG+하/XSV+는/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
이웃"이라면서	이웃/NNG+"/SS+이/VCP+라면서/EC
"정상회담이	"/SS+정상/NNG+회담/NNG+이/JKS
가능해지길	가능/NNG+하/XSA+아/EC+지/VX+기/ETN+ㄹ/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.46.8.3
그는 중국에 대해서도 "전제 조건 없이 외무장관·정상 수준의 회의를 갖고 싶다"고 말했다.

그는	그/NP+는/JX
중국에	중국/NNP+에/JKB
대해서도	대하/VV+아서/EC+도/JX
"전제	"/SS+전제/NNG
조건	조건/NNG
없이	없이/MAG
외무장관·정상	외무/NNG+장관/NNG+·/SP+정상/NNG
수준의	수준/NNG+의/JKG
회의를	회의/NNG+를/JKO
갖고	갖/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.46.8.4
중국은 정상회담 전제 조건으로 센카쿠(尖閣·중국명 댜오위다오) 국유화의 취소를 요구하고 있다.

중국은	중국/NNP+은/JX
정상회담	정상/NNG+회담/NNG
전제	전제/NNG
조건으로	조건/NNG+으로/JKB
센카쿠(尖閣·중국명	센카쿠/NNP+(/SS+尖閣/SH+·/SP+중국/NNP+명/NNG
댜오위다오)	댜오위다오/NNP+)/SS
국유화의	국유/NNG+화/XSN+의/JKG
취소를	취소/NNG+를/JKO
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


