# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.331
metadata : {}


# id : NWRW1800000033.331.1.1
[밥값하는 19대 국회로]새누리 “의원들 6월세비 15억 전액 반납”

[밥값하는	[/SS+밥값/NNG+하/XSV+는/ETM
“광의의 의정활동을 하고 있는 만큼 ‘무노동 무임금’이란 용어가 적절치 않다” “여야 원내지도부의 불성실한 개원 협상에 책임이 있다” 등의 이유였다.

“광의의	“/SS+광의/NNG+의/JKG
의정활동을	의정/NNG+활동/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
만큼	만큼/NNB
‘무노동	‘/SS+무/XPN+노동/NNG
무임금’이란	무/XPN+임금/NNG+’/SS+이/VCP+란/ETM
용어가	용어/NNG+가/JKS
적절치	적절하/VA+지/EC
않다”	않/VX+다/EF+”/SS
“여야	“/SS+여야/NNG
원내지도부의	원내/NNG+지도부/NNG+의/JKG
불성실한	불/XPN+성실/NNG+하/XSA+ㄴ/ETM
개원	개원/NNG
협상에	협상/NNG+에/JKB
책임이	책임/NNG+이/JKS
있다”	있/VA+다/EF+”/SS
등의	등/NNB+의/JKG
이유였다.	이유/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.331.9.1
아울러 새누리당 국회 쇄신 태스크포스(TF)는 이달 말까지 무노동 무임금 원칙을 명문화한 국회의원 수당 등에 관한 법 개정안을 마련하기로 했다.

아울러	아울러/MAG
새누리당	새누리당/NNP
국회	국회/NNG
쇄신	쇄신/NNG
태스크포스(TF)는	태스크포스/NNG+(/SS+TF/SL+)/SS+는/JX
이달	이달/NNG
말까지	말/NNB+까지/JX
무노동	무/XPN+노동/NNG
무임금	무/XPN+임금/NNG
원칙을	원칙/NNG+을/JKO
명문화한	명문/NNG+화/XSN+하/XSV+ㄴ/ETM
국회의원	국회/NNG+의원/NNG
수당	수당/NNG
등에	등/NNB+에/JKB
관한	관하/VV+ㄴ/ETM
법	법/NNG
개정안을	개정안/NNG+을/JKO
마련하기로	마련/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.331.10.1
새누리당은 세비 반납으로 민주통합당에 개원을 압박하겠다는 전략이다.

새누리당은	새누리당/NNP+은/JX
세비	세비/NNG
반납으로	반납/NNG+으로/JKB
민주통합당에	민주통합당/NNP+에/JKB
개원을	개원/NNG+을/JKO
압박하겠다는	압박/NNG+하/XSV+겠/EP+다는/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.331.10.2
이한구 원내대표는 앞서 원내대책회의에서 “민주당이 2주일간 국회를 열지 않으면서 유노동 유임금을 하겠다고 주장하는 것은 국민들에게 낯이 두껍다는 인상을 줄 수 있다”면서 “새누리당과 함께 무노동 무임금을 실천하라”고 촉구했다.

이한구	이한구/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
앞서	앞서/MAG
원내대책회의에서	원내/NNG+대책/NNG+회의/NNG+에서/JKB
“민주당이	“/SS+민주당/NNP+이/JKS
2주일간	2/SN+주일/NNB+간/XSN
국회를	국회/NNG+를/JKO
열지	열/VV+지/EC
않으면서	않/VX+으면서/EC
유노동	유노동/NNG
유임금을	유임금/NNG+을/JKO
하겠다고	하/VV+겠/EP+다고/EC
주장하는	주장/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
국민들에게	국민/NNG+들/XSN+에게/JKB
낯이	낯/NNG+이/JKS
두껍다는	두껍/VA+다는/ETM
인상을	인상/NNG+을/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
있다”면서	있/VA+다/EF+”/SS+면서/EC
“새누리당과	“/SS+새누리당/NNP+과/JKB
함께	함께/MAG
무노동	무/XPN+노동/NNG
무임금을	무/XPN+임금/NNG+을/JKO
실천하라”고	실천/NNG+하/XSV+라/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.331.10.3
민주당은 “세비 반납을 머리 싸매고 고민할 시간이 있으면 개원 협상에 총력을 모아 달라”고 맞섰다.

민주당은	민주당/NNP+은/JX
“세비	“/SS+세비/NNG
반납을	반납/NNG+을/JKO
머리	머리/NNG
싸매고	싸매/VV+고/EC
고민할	고민/NNG+하/XSV+ㄹ/ETM
시간이	시간/NNG+이/JKS
있으면	있/VA+으면/EC
개원	개원/NNG
협상에	협상/NNG+에/JKB
총력을	총력/NNG+을/JKO
모아	모으/VV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
맞섰다.	맞서/VV+었/EP+다/EF+./SF


