# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000034.341
metadata : {}


# id : NWRW1800000034.341.1.1
돈줄 '사무총국' 놓고 갈등

돈줄	돈줄/NNG
광주·전남연합	광주/NNP+·/SP+전남/NNP+연합/NNG
출신의	출신/NNG+의/JKG
김선동	김선동/NNP
사무총장	사무총장/NNG
체제가	체제/NNG+가/JKS
들어선	들어서/VV+ㄴ/ETM
이후	이후/NNG
당권파는	당권파/NNG+는/JX
6년	6/SN+년/NNB
동안	동안/NNG
사무총국을	사무/NNG+총국/NNG+을/JKO
절대	절대/MAG
내놓지	내놓/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.341.6.2
2008년 초 분당(分黨) 후에도 광주·전남 출신의 오병윤·장원섭 사무총장 체제가 이어졌고, 이들은 사무총국 실·국장 등 실무진 인사에 대한 추천권을 통해 당을 장악해갔다.

2008년	2008/SN+년/NNB
초	초/NNB
분당(分黨)	분당/NNP+(/SS+分黨/SH+)/SS
후에도	후/NNG+에/JKB+도/JX
광주·전남	광주/NNP+·/SP+전남/NNP
출신의	출신/NNG+의/JKG
오병윤·장원섭	오병윤/NNP+·/SP+장원섭/NNP
사무총장	사무총장/NNG
체제가	체제/NNG+가/JKS
이어졌고,	이어지/VV+었/EP+고/EC+,/SP
이들은	이/NP+들/XSN+은/JX
사무총국	사무/NNG+총국/NNG
실·국장	실·국장/NNG
등	등/NNB
실무진	실무진/NNG
인사에	인사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추천권을	추천/NNG+권/XSN+을/JKO
통해	통하/VV+아/EC
당을	당/NNG+을/JKO
장악해갔다.	장악/NNG+하/XSV+아/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000034.341.6.3
현재 윤승현 조직1실장은 장원섭 총장의 측근으로 광주·전남 출신이고, 이종문 조직2실장과 오충렬 총무실장은 경기동부연합에 속한다.

현재	현재/MAG
윤승현	윤승현/NNP
조직1실장은	조직/NNG+1/SN+실장/NNG+은/JX
장원섭	장원섭/NNP
총장의	총장/NNG+의/JKG
측근으로	측근/NNG+으로/JKB
광주·전남	광주/NNP+·/SP+전남/NNP
출신이고,	출신/NNG+이/VCP+고/EC+,/SP
이종문	이종문/NNP
조직2실장과	조직/NNG+2/SN+실장/NNG+과/JC
오충렬	오충렬/NNP
총무실장은	총무실장/NNG+은/JX
경기동부연합에	경기/NNP+동부/NNG+연합/NNG+에/JKB
속한다.	속하/VV+ㄴ다/EF+./SF


# id : NWRW1800000034.341.6.4
총무실은 실질적으로는 경기 성남 수정구 지역위원장 출신이자 당권파인 김미희 당선자의 남편인 백승우 사무부총장의 영향력 아래 있던 것으로 알려진다.

총무실은	총무실/NNG+은/JX
실질적으로는	실질/NNG+적/XSN+으로/JKB+는/JX
경기	경기/NNP
성남	성남/NNP
수정구	수정구/NNP
지역위원장	지역/NNG+위원장/NNG
출신이자	출신/NNG+이/VCP+자/EC
당권파인	당권파/NNG+이/VCP+ㄴ/ETM
김미희	김미희/NNP
당선자의	당선자/NNG+의/JKG
남편인	남편/NNG+이/VCP+ㄴ/ETM
백승우	백승우/NNP
사무부총장의	사무/NNG+부총장/NNG+의/JKG
영향력	영향력/NNG
아래	아래/NNG
있던	있/VA+던/ETM
것으로	것/NNB+으로/JKB
알려진다.	알려지/VV+ㄴ다/EF+./SF


