# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.101
metadata : {}


# id : NWRW1800000037.101.1.1
[Outdoor]가벼운 산행부터 도심형 레포츠까지 모두 OK

[Outdoor]가벼운	[/SS+Outdoor/SL+]/SS+가볍/VA+ㄴ/ETM
# id : NWRW1800000037.101.3.3
실용성을 높인 하이브리드형 아이템을 다양하게 선보이고 있어 가벼운 산행은 물론이고 도심형 레포츠를 즐기는 데 적합하다.

실용성을	실용/NNG+성/XSN+을/JKO
높인	높이/VV+ㄴ/ETM
하이브리드형	하이브리드/NNG+형/XSN
아이템을	아이템/NNG+을/JKO
다양하게	다양/NNG+하/XSA+게/EC
선보이고	선보이/VV+고/EC
있어	있/VX+어/EC
가벼운	가볍/VA+ㄴ/ETM
산행은	산행/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
도심형	도심/NNG+형/XSN
레포츠를	레포츠/NNG+를/JKO
즐기는	즐기/VV+는/ETM
데	데/NNB
적합하다.	적합/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.101.3.4
디자인을 강조한 의류는 물론이고 극한의 자연 속에서 신체를 보호하는 전문가용 기능성 의류까지 제품 구성이 다양하다.

디자인을	디자인/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
의류는	의류/NNG+는/JX
물론이고	물론/NNG+이/VCP+고/EC
극한의	극한/NNG+의/JKG
자연	자연/NNG
속에서	속/NNG+에서/JKB
신체를	신체/NNG+를/JKO
보호하는	보호/NNG+하/XSV+는/ETM
전문가용	전문가/NNG+용/XSN
기능성	기능/NNG+성/XSN
의류까지	의류/NNG+까지/JX
제품	제품/NNG
구성이	구성/NNG+이/JKS
다양하다.	다양/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000037.101.4.1
마운티아는 국내 날씨 환경에 적합한 기능성에 세련된 색상, 심플한 디자인을 입혀 합리적인 소비를 즐기면서도 패션을 포기할 수 없는 젊은층에게 가격, 품질, 디자인으로 좋은 반응을 얻고 있다.

마운티아는	마운티아/NNP+는/JX
국내	국내/NNG
날씨	날씨/NNG
환경에	환경/NNG+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
기능성에	기능/NNG+성/XSN+에/JKB
세련된	세련/NNG+되/XSA+ㄴ/ETM
색상,	색상/NNG+,/SP
심플한	심플/NNG+하/XSA+ㄴ/ETM
디자인을	디자인/NNG+을/JKO
입혀	입히/VV+어/EC
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
소비를	소비/NNG+를/JKO
즐기면서도	즐기/VV+면서/EC+도/JX
패션을	패션/NNG+을/JKO
포기할	포기/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
젊은층에게	젊/VA+은/ETM+층/NNG+에게/JKB
가격,	가격/NNG+,/SP
품질,	품질/NNG+,/SP
디자인으로	디자인/NNG+으로/JKB
좋은	좋/VA+은/ETM
반응을	반응/NNG+을/JKO
얻고	얻/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.101.5.1
이번 가을·겨울 화보에는 주원을 전속 모델로 발탁했다.

이번	이번/NNG
가을·겨울	가을/NNG+·/SP+겨울/NNG
화보에는	화보/NNG+에/JKB+는/JX
주원을	주원/NNP+을/JKO
전속	전속/NNG
모델로	모델/NNG+로/JKB
발탁했다.	발탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.101.5.2
마운티아 마케팅본부 장순철 부장은 “마운티아는 1825세대의 대표 패션 아이콘 주원의 카리스마 넘치는 모습을 부각시켜 제품의 기능성을 표현하고 있다.

마운티아	마운티아/NNP
마케팅본부	마케팅/NNG+본부/NNG
장순철	장순철/NNP
부장은	부장/NNG+은/JX
“마운티아는	“/SS+마운티아/NNP+는/JX
1825세대의	1825/SN+세대/NNG+의/JKG
대표	대표/NNG
패션	패션/NNG
아이콘	아이콘/NNG
주원의	주원/NNP+의/JKG
카리스마	카리스마/NNG
넘치는	넘치/VV+는/ETM
모습을	모습/NNG+을/JKO
부각시켜	부각/NNG+시키/XSV+어/EC
제품의	제품/NNG+의/JKG
기능성을	기능/NNG+성/XSN+을/JKO
표현하고	표현/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.101.5.3
심플하면서도 감각적이고 합리적인 가격대가 마운티아의 장점”이라고 말했다.

심플하면서도	심플/NNG+하/XSA+면서/EC+도/JX
감각적이고	감각/NNG+적/XSN+이/VCP+고/EC
합리적인	합리/NNG+적/XSN+이/VCP+ㄴ/ETM
가격대가	가격대/NNG+가/JKS
마운티아의	마운티아/NNP+의/JKG
장점”이라고	장점/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.101.6.1
대표적인 제품 중 하나인 토론토 티셔츠(13만8000원)는 카치온 소재를 사용하여 세련된 느낌을 주며 어깨에 엠보프린트를 주어 멋스러운 데다 내구성을 더했다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
제품	제품/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
토론토	토론토/NNP
티셔츠(13만8000원)는	티셔츠/NNG+(/SS+13/SN+만/NR+8000/SN+원/NNB+)/SS+는/JX
카치온	카치온/NNG
소재를	소재/NNG+를/JKO
사용하여	사용/NNG+하/XSV+아/EC
세련된	세련/NNG+되/XSA+ㄴ/ETM
느낌을	느낌/NNG+을/JKO
주며	주/VV+며/EC
어깨에	어깨/NNG+에/JKB
엠보프린트를	엠보/NNG+프린트/NNG+를/JKO
주어	주/VV+어/EC
멋스러운	멋/NNG+스럽/XSA+ㄴ/ETM
데다	데/NNB+다/JX
내구성을	내구/NNG+성/XSN+을/JKO
더했다.	더/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.101.6.2
소매 지퍼가 특징인 제품으로 겨드랑이에 신축성이 좋은 소재를 매치하여 활동성을 강화한 아이템이다.

소매	소매/NNG
지퍼가	지퍼/NNG+가/JKS
특징인	특징/NNG+이/VCP+ㄴ/ETM
제품으로	제품/NNG+으로/JKB
겨드랑이에	겨드랑이/NNG+에/JKB
신축성이	신축/NNG+성/XSN+이/JKS
좋은	좋/VA+은/ETM
소재를	소재/NNG+를/JKO
매치하여	매치/NNG+하/XSV+아/EC
활동성을	활동/NNG+성/XSN+을/JKO
강화한	강화/NNG+하/XSV+ㄴ/ETM
아이템이다.	아이템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.101.7.1
이브라 방수캡(5만8000원)은 방수, 투습, 발수 기능이 뛰어난 아쿠아블록 소재를 사용했다.

이브라	이브라/NNP
방수캡(5만8000원)은	방수/NNG+캡/NNG+(/SS+5/SN+만/NR+8000/SN+원/NNB+)/SS+은/JX
방수,	방수/NNG+,/SP
투습,	투습/NNG+,/SP
발수	발수/NNG
기능이	기능/NNG+이/JKS
뛰어난	뛰어나/VA+ㄴ/ETM
아쿠아블록	아쿠아블록/NNG
소재를	소재/NNG+를/JKO
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.101.7.2
쿨맥스 땀받이 원단을 사용하여 땀을 빨리 흡수하고 발산시켜 쾌적한 상태를 유지시켜준다.

쿨맥스	쿨맥스/NNP
땀받이	땀받이/NNG
원단을	원단/NNG+을/JKO
사용하여	사용/NNG+하/XSV+아/EC
땀을	땀/NNG+을/JKO
빨리	빨리/MAG
흡수하고	흡수/NNG+하/XSV+고/EC
발산시켜	발산/NNG+시키/XSV+어/EC
쾌적한	쾌적하/VA+ㄴ/ETM
상태를	상태/NNG+를/JKO
유지시켜준다.	유지/NNG+시키/XSV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.101.8.1
파워스트레치 장갑(4만9000원)은 스트레치성과 보온성이 좋은 간절기용 장갑이다.

파워스트레치	파워/NNG+스트레치/NNG
장갑(4만9000원)은	장갑/NNG+(/SS+4/SN+만/NR+9000/SN+원/NNB+)/SS+은/JX
스트레치성과	스트레치/NNG+성/XSN+과/JC
보온성이	보온/NNG+성/XSN+이/JKS
좋은	좋/VA+은/ETM
간절기용	간절기/NNG+용/XSN
장갑이다.	장갑/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.101.8.2
집게와 엄지 부분에 스마트폰 인지가 가능한 원단을 덧대어 장갑을 벗지 않아도 손쉽게 스마트폰을 사용할 수 있는 활용성까지 겸비했다.

집게와	집게/NNG+와/JC
엄지	엄지/NNG
부분에	부분/NNG+에/JKB
스마트폰	스마트폰/NNG
인지가	인지/NNG+가/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
원단을	원단/NNG+을/JKO
덧대어	덧대/VV+어/EC
장갑을	장갑/NNG+을/JKO
벗지	벗/VV+지/EC
않아도	않/VX+아도/EC
손쉽게	손쉽/VA+게/EC
스마트폰을	스마트폰/NNG+을/JKO
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
활용성까지	활용/NNG+성/XSN+까지/JX
겸비했다.	겸비/NNG+하/XSV+았/EP+다/EF+./SF


