# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.15
metadata : {}


# id : NWRW1800000037.15.1.1
삼성, 글로벌 스타셰프 5명과 손잡고 ‘명품 주방家電’ 만든다

삼성,	삼성/NNP+,/SP
창의적인	창의/NNG+적/XSN+이/VCP+ㄴ/ETM
조리법과	조리법/NNG+과/JC
제품	제품/NNG
활용법을	활용법/NNG+을/JKO
주방가전에	주방/NNG+가전/NNG+에/JKB
반영하기로	반영/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.15.7.1
소비자들은 제품 사용과 관련한 다양한 의견을 소셜네트워크서비스(SNS)를 통해 삼성전자와 공유하는 외에 다양한 마케팅 행사에 직접 참여해 삼성전자 가전제품 사용자 간 새로운 커뮤니티를 형성하게 된다.

소비자들은	소비자/NNG+들/XSN+은/JX
제품	제품/NNG
사용과	사용/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
다양한	다양/NNG+하/XSA+ㄴ/ETM
의견을	의견/NNG+을/JKO
소셜네트워크서비스(SNS)를	소셜/NNG+네트워크/NNG+서비스/NNG+(/SS+SNS/SL+)/SS+를/JKO
통해	통하/VV+아/EC
삼성전자와	삼성전자/NNP+와/JKB
공유하는	공유/NNG+하/XSV+는/ETM
외에	외/NNB+에/JKB
마케팅	마케팅/NNG
행사에	행사/NNG+에/JKB
직접	직접/MAG
참여해	참여/NNG+하/XSV+아/EC
삼성전자	삼성전자/NNP
가전제품	가전제품/NNG
사용자	사용자/NNG
간	간/NNB
새로운	새롭/VA+ㄴ/ETM
커뮤니티를	커뮤니티/NNG+를/JKO
형성하게	형성/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.15.8.1
윤부근 삼성전자 소비자가전(CE)부문 사장은 “클럽 드 셰프는 주방가전에 소프트 경쟁력을 담은 상징적인 프로젝트가 될 것”이라며 “소비자들이 최고의 만족을 느낄 수 있는 가치 있는 제품을 지속적으로 선보이겠다”고 말했다.

윤부근	윤부근/NNP
삼성전자	삼성전자/NNP
소비자가전(CE)부문	소비자/NNG+가전/NNG+(/SS+CE/SL+)/SS+부문/NNG
사장은	사장/NNG+은/JX
“클럽	“/SS+클럽/NNG
드	드/NNG
셰프는	셰프/NNG+는/JX
주방가전에	주방/NNG+가전/NNG+에/JKB
소프트	소프트/NNG
경쟁력을	경쟁력/NNG+을/JKO
담은	담/VV+은/ETM
상징적인	상징/NNG+적/XSN+이/VCP+ㄴ/ETM
프로젝트가	프로젝트/NNG+가/JKS
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“소비자들이	“/SS+소비자/NNG+들/XSN+이/JKS
최고의	최고/NNG+의/JKG
만족을	만족/NNG+을/JKO
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
가치	가치/NNG
제품을	제품/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
선보이겠다”고	선보이/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


