# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.242
metadata : {}


# id : NWRW1800000024.242.1.1
“‘디도스’는 지극히 초보 공격 /안이한 태도가 피해 키웠다”

“‘디도스’는	“/SS+‘/SS+디도스/NNG+’/SS+는/JX
소행으로	소행/NNG+으로/JKB
보는	보/VV+는/ETM
이유이다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.242.5.1
보안 전문가들은 이번 공격으로 발생한 피해 역시 공격의 강도가 아니라 누리집 운영자의 안이한 태도 탓이 크다고 본다.

보안	보안/NNG
전문가들은	전문가/NNG+들/XSN+은/JX
이번	이번/NNG
공격으로	공격/NNG+으로/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
피해	피해/NNG
역시	역시/MAG
공격의	공격/NNG+의/JKG
강도가	강도/NNG+가/JKC
아니라	아니/VCN+라/EC
누리집	누리집/NNG
운영자의	운영자/NNG+의/JKG
안이한	안이하/VA+ㄴ/ETM
태도	태도/NNG
탓이	탓/NNG+이/JKS
크다고	크/VA+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.242.5.2
누리집 접속 폭주는 디도스 공격이 아니라 다른 이유로도 언제든지 일어날 수 있다.

누리집	누리집/NNG
접속	접속/NNG
폭주는	폭주/NNG+는/JX
디도스	디도스/NNG
공격이	공격/NNG+이/JKC
아니라	아니/VCN+라/EC
다른	다른/MMD
이유로도	이유/NNG+로/JKB+도/JX
언제든지	언제/NP+든지/JX
일어날	일어나/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000024.242.5.3
따라서 누리집 운영자는 접속 폭주 상황에 대한 대응책을 준비하고 있어야 한다.

따라서	따라서/MAJ
누리집	누리집/NNG
운영자는	운영자/NNG+는/JX
접속	접속/NNG
폭주	폭주/NNG
상황에	상황/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대응책을	대응책/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있어야	있/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.242.5.4
한 시스템통합업체 전문가는 “은행의 경우, 접속 폭주로 누리집 접속 길이 막혀 인터넷뱅킹 이용이 어려워지면, 인터넷뱅킹 전용 누리집을 따로 만든 뒤 휴대전화 문자메시지로 회원들에게 새 누리집 주소를 알려주는 식의 공격 시나리오별 위기관리 매뉴얼과 기술적 장치가 마련돼 있어야 한다”고 지적했다.

한	한/MMN
시스템통합업체	시스템/NNG+통합/NNG+업체/NNG
전문가는	전문가/NNG+는/JX
“은행의	“/SS+은행/NNG+의/JKG
경우,	경우/NNG+,/SP
접속	접속/NNG
폭주로	폭주/NNG+로/JKB
누리집	누리집/NNG
길이	길/NNG+이/JKS
막혀	막히/VV+어/EC
인터넷뱅킹	인터넷/NNG+뱅킹/NNG
이용이	이용/NNG+이/JKS
어려워지면,	어렵/VA+어/EC+지/VX+면/EC+,/SP
전용	전용/NNG
누리집을	누리집/NNG+을/JKO
따로	따로/MAG
만든	만들/VV+ㄴ/ETM
뒤	뒤/NNG
휴대전화	휴대/NNG+전화/NNG
문자메시지로	문자/NNG+메시지/NNG+로/JKB
회원들에게	회원/NNG+들/XSN+에게/JKB
새	새/MMA
주소를	주소/NNG+를/JKO
알려주는	알리/VV+어/EC+주/VX+는/ETM
식의	식/NNB+의/JKG
공격	공격/NNG
시나리오별	시나리오/NNG+별/XSN
위기관리	위기관리/NNG
매뉴얼과	매뉴얼/NNG+과/JC
기술적	기술/NNG+적/XSN
장치가	장치/NNG+가/JKS
마련돼	마련/NNG+되/XSV+어/EC
있어야	있/VX+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.242.5.5
정부 역시 초기 대응이 느려 화를 키웠다.

정부	정부/NNG
역시	역시/MAG
초기	초기/NNG
대응이	대응/NNG+이/JKS
느려	느리/VA+어/EC
화를	화/NNG+를/JKO
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.242.6.1
안철수연구소 설립자인 안철수 카이스트 교수도 9일 블로그를 통해 “이번 사태는 대책 없이 있다가 결국 본보기로 당하게 된 것”이라며 “우리 스스로 자초한 측면이 있다”고 말했다.

안철수연구소	안철수연구소/NNP
설립자인	설립자/NNG+이/VCP+ㄴ/ETM
안철수	안철수/NNP
카이스트	카이스트/NNP
교수도	교수/NNG+도/JX
9일	9/SN+일/NNB
블로그를	블로그/NNG+를/JKO
통해	통하/VV+아/EC
“이번	“/SS+이번/NNG
사태는	사태/NNG+는/JX
대책	대책/NNG
없이	없이/MAG
있다가	있/VA+다가/EC
결국	결국/MAG
본보기로	본보기/NNG+로/JKB
당하게	당하/VV+게/EC
된	되/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“우리	“/SS+우리/NP
스스로	스스로/MAG
자초한	자초/NNG+하/XSV+ㄴ/ETM
측면이	측면/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.242.6.2
실제로 이번 디도스 공격 대상에 미국 정부기관과 기업의 누리집도 포함돼 있었으나 우리나라 정부기관과 기업들에 비해 피해는 크지 않았다.

실제로	실제로/MAG
이번	이번/NNG
디도스	디도스/NNG
공격	공격/NNG
대상에	대상/NNG+에/JKB
미국	미국/NNP
정부기관과	정부/NNG+기관/NNG+과/JC
기업의	기업/NNG+의/JKG
누리집도	누리집/NNG+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있었으나	있/VX+었/EP+으나/EC
우리나라	우리나라/NNG
기업들에	기업/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
피해는	피해/NNG+는/JX
크지	크/VA+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.242.6.3
상황 발생 즉시 한국 쪽의 접속 요청을 과감하게 차단했기 때문이다.

상황	상황/NNG
발생	발생/NNG
즉시	즉시/MAG
한국	한국/NNP
쪽의	쪽/NNB+의/JKG
접속	접속/NNG
요청을	요청/NNG+을/JKO
과감하게	과감하/VA+게/EC
차단했기	차단/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.242.6.4
미국 누리집의 상당수가 한국에서 접속이 안 됐을 뿐 장애를 일으키지는 않았다.

미국	미국/NNP
누리집의	누리집/NNG+의/JKG
상당수가	상당수/NNG+가/JKS
한국에서	한국/NNP+에서/JKB
접속이	접속/NNG+이/JKC
안	안/MAG
됐을	되/VV+었/EP+을/ETM
뿐	뿐/NNB
장애를	장애/NNG+를/JKO
일으키지는	일으키/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.242.6.5
국내 은행들과 네이버, 안철수연구소 등의 누리집도 공격 초기에는 장애가 발생했으나 대부분 운영자가 적극적으로 대응에 나서면서 곧 정상화됐다.

국내	국내/NNG
은행들과	은행/NNG+들/XSN+과/JC
네이버,	네이버/NNP+,/SP
안철수연구소	안철수연구소/NNP
등의	등/NNB+의/JKG
누리집도	누리집/NNG+도/JX
공격	공격/NNG
초기에는	초기/NNG+에/JKB+는/JX
장애가	장애/NNG+가/JKS
발생했으나	발생/NNG+하/XSV+았/EP+으나/EC
대부분	대/XPN+부분/NNG
운영자가	운영자/NNG+가/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
대응에	대응/NNG+에/JKB
나서면서	나서/VV+면서/EC
곧	곧/MAG
정상화됐다.	정상/NNG+화/XSN+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.242.6.6
통신업체들의 경우, 전화 통화량이 한도 이상으로 폭주하면 일부를 차단시켜 교환기가 먹통이 되지 않게 하도록 조처돼 있다.

통신업체들의	통신업체/NNG+들/XSN+의/JKG
경우,	경우/NNG+,/SP
전화	전화/NNG
통화량이	통화량/NNG+이/JKS
한도	한도/NNG
이상으로	이상/NNG+으로/JKB
폭주하면	폭주/NNG+하/XSV+면/EC
일부를	일부/NNG+를/JKO
차단시켜	차단/NNG+시키/XSV+어/EC
교환기가	교환기/NNG+가/JKS
먹통이	먹통/NNG+이/JKC
되지	되/VV+지/EC
않게	않/VX+게/EC
하도록	하/VV+도록/EC
조처돼	조처/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.242.7.1
이에 이번 디도스 공격을 잘 활용하면 ‘사이버세상의 민방위훈련’ 효과를 살릴 수 있다는 지적도 나오고 있다.

이에	이/NP+에/JKB
이번	이번/NNG
디도스	디도스/NNG
공격을	공격/NNG+을/JKO
잘	잘/MAG
활용하면	활용/NNG+하/XSV+면/EC
‘사이버세상의	‘/SS+사이버/NNG+세상/NNG+의/JKG
민방위훈련’	민방위/NNG+훈련/NNG+’/SS
효과를	효과/NNG+를/JKO
살릴	살리/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
지적도	지적/NNG+도/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.242.7.2
정부기관이나 기업별로 다양한 형태의 공격을 예상해, 공격 강도에 따른 위기관리 매뉴얼을 만들고, 그에 필요한 기술적 장치를 마련하는 계기로 삼아야 한다는 것이다.

정부기관이나	정부/NNG+기관/NNG+이나/JC
기업별로	기업/NNG+별/XSN+로/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
형태의	형태/NNG+의/JKG
공격을	공격/NNG+을/JKO
예상해,	예상/NNG+하/XSV+아/EC+,/SP
공격	공격/NNG
강도에	강도/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
위기관리	위기관리/NNG
매뉴얼을	매뉴얼/NNG+을/JKO
만들고,	만들/VV+고/EC+,/SP
그에	그/NP+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
기술적	기술/NNG+적/XSN
장치를	장치/NNG+를/JKO
마련하는	마련/NNG+하/XSV+는/ETM
계기로	계기/NNG+로/JKB
삼아야	삼/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.242.7.3
정부 역시 상황에 따른 매뉴얼을 갖춰야 한다.

정부	정부/NNG
역시	역시/MAG
상황에	상황/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
매뉴얼을	매뉴얼/NNG+을/JKO
갖춰야	갖추/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.242.8.1
보안 전문가들은, 이번에 공격 대상이 된 누리집 운영자들은 누리집 접속을 정상화시키기 위해 접속 경로(포트)를 바꾸거나 만지는 과정에서 해커에게 틈을 내보이지 않았는지를 반드시 점검할 것도 조언했다.

보안	보안/NNG
전문가들은,	전문가/NNG+들/XSN+은/JX+,/SP
이번에	이번/NNG+에/JKB
공격	공격/NNG
대상이	대상/NNG+이/JKC
된	되/VV+ㄴ/ETM
누리집	누리집/NNG
운영자들은	운영자/NNG+들/XSN+은/JX
접속을	접속/NNG+을/JKO
정상화시키기	정상/NNG+화/XSN+시키/XSV+기/ETN
위해	위하/VV+아/EC
접속	접속/NNG
경로(포트)를	경로/NNG+(/SS+포트/NNG+)/SS+를/JKO
바꾸거나	바꾸/VV+거나/EC
만지는	만지/VV+는/ETM
과정에서	과정/NNG+에서/JKB
해커에게	해커/NNG+에게/JKB
틈을	틈/NNG+을/JKO
내보이지	내보이/VV+지/EC
않았는지를	않/VX+았/EP+는지/EF+를/JKO
반드시	반드시/MAG
점검할	점검/NNG+하/XSV+ㄹ/ETM
것도	것/NNB+도/JX
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.242.8.2
한 보안업체 관계자는 “디도스 공격을 막기 위해 이전에 설정해놓은 접속 경로를 바꾸거나 프로그램을 손보는 과정에서 해커에게 침투 길을 열어주는 실수를 할 수 있다”고 말했다.

한	한/MMN
보안업체	보안업체/NNG
관계자는	관계자/NNG+는/JX
“디도스	“/SS+디도스/NNG
공격을	공격/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
이전에	이전/NNG+에/JKB
설정해놓은	설정/NNG+하/XSV+아/EC+놓/VX+은/ETM
접속	접속/NNG
경로를	경로/NNG+를/JKO
바꾸거나	바꾸/VV+거나/EC
프로그램을	프로그램/NNG+을/JKO
손보는	손보/VV+는/ETM
과정에서	과정/NNG+에서/JKB
해커에게	해커/NNG+에게/JKB
침투	침투/NNG
길을	길/NNG+을/JKO
열어주는	열/VV+어/EC+주/VX+는/ETM
실수를	실수/NNG+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


