# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.86
metadata : {}


# id : NWRW1800000021.86.1.1
추격포 역전표 쐐기포… ‘3포’로 끝냈다

추격포	추격/NNG+포/NNG
16일	16/SN+일/NNB
미국	미국/NNP
샌디에이고	샌디에이고/NNP
펫코파크에서	펫코파크/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
경기에서	경기/NNG+에서/JKB
홈런	홈런/NNG
3개를	3/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
12안타를	12/SN+안타/NNG+를/JKO
터뜨리며	터뜨리/VV+며/EC
멕시코를	멕시코/NNP+를/JKO
8-2로	8/SN+-/SO+2/SN+로/JKB
완파했다.	완파/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.5.2
2006년 제1회 대회 본선 라운드 첫 경기에서도 멕시코를 만났던 한국은 이승엽(요미우리)의 2점 홈런을 앞세워 2-1로 이겼다.

2006년	2006/SN+년/NNB
제1회	제/XPN+1/SN+회/NNB
대회	대회/NNG
본선	본선/NNG
라운드	라운드/NNG
첫	첫/MMN
경기에서도	경기/NNG+에서/JKB+도/JX
멕시코를	멕시코/NNP+를/JKO
만났던	만나/VV+았/EP+던/ETM
한국은	한국/NNP+은/JX
이승엽(요미우리)의	이승엽/NNP+(/SS+요미우리/NNP+)/SS+의/JKG
2점	2/SN+점/NNB
홈런을	홈런/NNG+을/JKO
앞세워	앞세우/VV+어/EC
2-1로	2/SN+-/SO+1/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.6.1
한국은 1998년 이후 프로선수들이 참가한 경기에서 멕시코를 상대로 4전 전승을 기록했다.

한국은	한국/NNP+은/JX
1998년	1998/SN+년/NNB
이후	이후/NNG
프로선수들이	프로/NNG+선수/NNG+들/XSN+이/JKS
참가한	참가/NNG+하/XSV+ㄴ/ETM
경기에서	경기/NNG+에서/JKB
멕시코를	멕시코/NNP+를/JKO
상대로	상대/NNG+로/JKB
4전	4/SN+전/NNB
전승을	전승/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.7.1
선취점을 올린 쪽은 멕시코였다.

선취점을	선취점/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
쪽은	쪽/NNB+은/JX
멕시코였다.	멕시코/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000021.86.7.2
멕시코는 2회 초 한국 선발 류현진(한화)을 상대로 안타 3개를 몰아치며 2-0으로 앞서나갔다.

멕시코는	멕시코/NNP+는/JX
2회	2/SN+회/NNB
초	초/NNB
한국	한국/NNP
선발	선발/NNG
류현진(한화)을	류현진/NNP+(/SS+한화/NNP+)/SS+을/JKO
상대로	상대/NNG+로/JKB
안타	안타/NNG
3개를	3/SN+개/NNB+를/JKO
몰아치며	몰아치/VV+며/EC
2-0으로	2/SN+-/SO+0/SN+으로/JKB
앞서나갔다.	앞서/VV+어/EC+나가/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.86.7.3
한국은 1회말 1사 1, 2루에서 4번 김태균(한화)이 병살타로 물러났던 터라 맥이 더 빠질 수밖에 없었다.

한국은	한국/NNP+은/JX
1회말	1/SN+회/NNB+말/NNB
1사	1/SN+사/NNG
1,	1/SN+,/SP
2루에서	2루/NNG+에서/JKB
4번	4/SN+번/NNB
김태균(한화)이	김태균/NNP+(/SS+한화/NNP+)/SS+이/JKS
병살타로	병살타/NNG+로/JKB
물러났던	물러나/VV+았/EP+던/ETM
터라	터/NNB+이/VCP+라/EC
맥이	맥/NNG+이/JKS
더	더/MAG
빠질	빠지/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.86.8.1
하지만 한국은 이어진 2회 공격에서 이범호(한화)의 솔로 홈런과 안타로 출루한 이용규(KIA)의 재치 있는 주루 플레이에 힘입어 2-2로 따라 붙으며 승부를 원점으로 돌렸다.

하지만	하지만/MAJ
한국은	한국/NNP+은/JX
이어진	이어지/VV+ㄴ/ETM
2회	2/SN+회/NNB
공격에서	공격/NNG+에서/JKB
이범호(한화)의	이범호/NNP+(/SS+한화/NNP+)/SS+의/JKG
솔로	솔로/NNG
홈런과	홈런/NNG+과/JC
안타로	안타/NNG+로/JKB
출루한	출루/NNG+하/XSV+ㄴ/ETM
이용규(KIA)의	이용규/NNP+(/SS+KIA/SL+)/SS+의/JKG
재치	재치/NNG
있는	있/VA+는/ETM
주루	주루/NNG
플레이에	플레이/NNG+에/JKB
힘입어	힘입/VV+어/EC
2-2로	2/SN+-/SO+2/SN+로/JKB
따라	따르/VV+아/EC
붙으며	붙/VV+으며/EC
승부를	승부/NNG+를/JKO
원점으로	원점/NNG+으로/JKB
돌렸다.	돌리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.9.1
한숨 돌린 한국 타선은 제 페이스를 찾았다.

한숨	한/XPN+숨/NNG
돌린	돌리/VV+ㄴ/ETM
한국	한국/NNP
타선은	타선/NNG+은/JX
제	저/NP+의/JKG
페이스를	페이스/NNG+를/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.9.2
그 선봉에 아시아 라운드 일본과의 1차전에서 140m 대형포를 터뜨린 김태균(한화)이 있었다.

그	그/MMD
선봉에	선봉/NNG+에/JKB
아시아	아시아/NNP
라운드	라운드/NNG
일본과의	일본/NNP+과/JKB+의/JKG
1차전에서	1/SN+차전/NNB+에서/JKB
140m	140/SN+m/SW
대형포를	대형/NNG+포/NNG+를/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
김태균(한화)이	김태균/NNP+(/SS+한화/NNP+)/SS+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.86.10.1
4회 선두 타자로 나온 김태균은 멕시코 선발 올리베르 페레스(뉴욕 메츠)의 3구째 바깥쪽 직구를 때려 왼쪽 담장을 넘겼다.

4회	4/SN+회/NNB
선두	선두/NNG
타자로	타자/NNG+로/JKB
나온	나오/VV+ㄴ/ETM
김태균은	김태균/NNP+은/JX
멕시코	멕시코/NNP
선발	선발/NNG
올리베르	올리베르/NNP
페레스(뉴욕	페레스/NNP+(/SS+뉴욕/NNP
메츠)의	메츠/NNP+)/SS+의/JKG
3구째	3/SN+구/NNG+째/XSN
바깥쪽	바깥쪽/NNG
직구를	직구/NNG+를/JKO
때려	때리/VV+어/EC
왼쪽	왼쪽/NNG
담장을	담장/NNG+을/JKO
넘겼다.	넘기/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.10.2
페레스는 최근 2년 동안 메이저리그에서 25승을 올린 투수다.

페레스는	페레스/NNP+는/JX
최근	최근/NNG
2년	2/SN+년/NNB
동안	동안/NNG
메이저리그에서	메이저리그/NNG+에서/JKB
25승을	25/SN+승/NNB+을/JKO
올린	올리/VV+ㄴ/ETM
투수다.	투수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.86.11.1
김태균은 7회 쐐기 2타점 적시타를 포함해 5타수 2안타 3타점 2득점을 기록했다.

김태균은	김태균/NNP+은/JX
7회	7/SN+회/NNB
쐐기	쐐기/NNG
2타점	2/SN+타점/NNG
적시타를	적시타/NNG+를/JKO
포함해	포함/NNG+하/XSV+아/EC
5타수	5/SN+타수/NNG
2안타	2/SN+안타/NNG
3타점	3/SN+타점/NNG
2득점을	2/SN+득점/NNG+을/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.11.2
이번 대회 5경기에서 타점 1위(9점), 홈런 공동 4위(2개), 득점 4위(6점), 타격 공동 24위(타율 0.421)에 오르며 ‘포스트 이승엽’ 역할을 톡톡히 하고 있다.

이번	이번/NNG
대회	대회/NNG
5경기에서	5/SN+경기/NNG+에서/JKB
타점	타점/NNG
1위(9점),	1/SN+위/NNB+(/SS+9/SN+점/NNB+)/SS+,/SP
홈런	홈런/NNG
공동	공동/NNG
4위(2개),	4/SN+위/NNB+(/SS+2/SN+개/NNB+)/SS+,/SP
득점	득점/NNG
4위(6점),	4/SN+위/NNB+(/SS+6/SN+점/NNB+)/SS+,/SP
타격	타격/NNG
24위(타율	24/SN+위/NNB+(/SS+타율/NNG
0.421)에	0/SN+./SF+421/SN+)/SS+에/JKB
오르며	오르/VV+며/EC
‘포스트	‘/SS+포스트/NNG
이승엽’	이승엽/NNP+’/SS
역할을	역할/NNG+을/JKO
톡톡히	톡톡히/MAG
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.86.12.1
■또 만나는 日… 다루빗슈 유를 두들겨라

■또	■/SW+또/MAG
만나는	만나/VV+는/ETM
日…	日/SH+…/SE
다루빗슈	다루빗슈/NNP
유를	유/NNP+를/JKO
두들겨라	두들기/VV+어라/EF


# id : NWRW1800000021.86.13.1
우승을 위해 일본이라는 산을 몇 번이나 넘어야 할까.

우승을	우승/NNG+을/JKO
위해	위하/VV+아/EC
일본이라는	일본/NNP+이/VCP+라는/ETM
산을	산/NNG+을/JKO
몇	몇/NR
번이나	번/NNB+이나/JX
넘어야	넘/VV+어야/EC
할까.	하/VX+ㄹ까/EF+./SF


# id : NWRW1800000021.86.14.1
한국과 일본이 18일 낮 12시 제2회 월드베이스볼클래식(WBC) 4강 진출을 놓고 세 번째로 격돌한다.

한국과	한국/NNP+과/JC
일본이	일본/NNP+이/JKS
18일	18/SN+일/NNB
낮	낮/NNG
12시	12/SN+시/NNB
제2회	제/XPN+2/SN+회/NNB
월드베이스볼클래식(WBC)	월드베이스볼클래식/NNG+(/SS+WBC/SL+)/SS
4강	4/SN+강/NNB
진출을	진출/NNG+을/JKO
놓고	놓/VV+고/EC
세	세/MMN
번째로	번/NNB+째/XSN+로/JKB
격돌한다.	격돌/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.86.14.2
1라운드에서 1승 1패로 승부를 가리지 못한 양국은 4강 진출을 놓고 총력전에 나설 태세다.

1라운드에서	1/SN+라운드/NNG+에서/JKB
1승	1/SN+승/NNB
1패로	1/SN+패/NNB+로/JKB
승부를	승부/NNG+를/JKO
가리지	가리/VV+지/EC
못한	못하/VX+ㄴ/ETM
양국은	양국/NNG+은/JX
4강	4/SN+강/NNB
진출을	진출/NNG+을/JKO
놓고	놓/VV+고/EC
총력전에	총력전/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
태세다.	태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.86.15.1
○ 살아나는 일본

○	○/SW
살아나는	살아나/VV+는/ETM
일본	일본/NNP


# id : NWRW1800000021.86.16.1
일본은 16일 쿠바에 6-0 완봉승을 거뒀다.

일본은	일본/NNP+은/JX
16일	16/SN+일/NNB
쿠바에	쿠바/NNP+에/JKB
6-0	6/SN+-/SO+0/SN
완봉승을	완봉/NNG+승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.16.2
그 중심에는 선발 투수 마쓰자카 다이스케(보스턴)가 있었다.

그	그/MMD
중심에는	중심/NNG+에/JKB+는/JX
선발	선발/NNG
투수	투수/NNG
마쓰자카	마쓰자카/NNP
다이스케(보스턴)가	다이스케/NNP+(/SS+보스턴/NNP+)/SS+가/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000021.86.17.1
마쓰자카는 ‘아마 최강’ 쿠바 타선을 상대로 6이닝 동안 삼진 8개를 뽑아내며 산발 5안타 무실점으로 틀어막았다.

마쓰자카는	마쓰자카/NNP+는/JX
‘아마	‘/SS+아마/MAG
최강’	최강/NNG+’/SS
쿠바	쿠바/NNP
타선을	타선/NNG+을/JKO
상대로	상대/NNG+로/JKB
6이닝	6/SN+이닝/NNG
동안	동안/NNG
삼진	삼진/NNG
8개를	8/SN+개/NNB+를/JKO
뽑아내며	뽑아내/VV+며/EC
산발	산발/NNG
5안타	5/SN+안타/NNG
무실점으로	무/XPN+실점/NNG+으로/JKB
틀어막았다.	틀어막/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.17.2
7회 이와쿠마 히사시(라쿠텐), 8회 마하라 다카히로(소프트뱅크), 9회 후지카와 규지(한신)가 1이닝씩을 맡아 무실점 행진을 이어간 ‘짠물 불펜’도 빛났다.

7회	7/SN+회/NNB
이와쿠마	이와쿠마/NNP
히사시(라쿠텐),	히사시/NNP+(/SS+라쿠텐/NNP+)/SS+,/SP
8회	8/SN+회/NNB
마하라	마하라/NNP
다카히로(소프트뱅크),	다카히로/NNP+(/SS+소프트뱅크/NNP+)/SS+,/SP
9회	9/SN+회/NNB
후지카와	후지카와/NNP
규지(한신)가	규지/NNP+(/SS+한신/NNP+)/SS+가/JKS
1이닝씩을	1/SN+이닝/NNG+씩/XSN+을/JKO
맡아	맡/VV+아/EC
무실점	무/XPN+실점/NNG
행진을	행진/NNG+을/JKO
이어간	잇/VV+어/EC+가/VX+ㄴ/ETM
‘짠물	‘/SS+짠물/NNG
불펜’도	불펜/NNG+’/SS+도/JX
빛났다.	빛나/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.18.1
타선도 5타수 무안타에 그친 스즈키 이치로(시애틀)를 제외하고는 선발 타자가 전원 안타를 기록하며 12안타를 터뜨렸다.

타선도	타선/NNG+도/JX
5타수	5/SN+타수/NNG
무안타에	무/XPN+안타/NNG+에/JKB
그친	그치/VV+ㄴ/ETM
스즈키	스즈키/NNP
이치로(시애틀)를	이치로/NNP+(/SS+시애틀/NNP+)/SS+를/JKO
제외하고는	제외/NNG+하/XSV+고/EC+는/JX
선발	선발/NNG
타자가	타자/NNG+가/JKS
전원	전원/NNG
안타를	안타/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
12안타를	12/SN+안타/NNG+를/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.19.1
일본의 ‘영건’ 다루빗슈 유(니혼햄)가 한국과의 경기에 선발 등판할 것으로 보인다.

일본의	일본/NNP+의/JKG
‘영건’	‘/SS+영건/NNG+’/SS
다루빗슈	다루빗슈/NNP
유(니혼햄)가	유/NNP+(/SS+니혼햄/NNP+)/SS+가/JKS
한국과의	한국/NNP+과/JKB+의/JKG
경기에	경기/NNG+에/JKB
선발	선발/NNG
등판할	등판/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.86.19.2
○ 단단해진 한국

○	○/SW
단단해진	단단하/VA+아/EC+지/VX+ㄴ/ETM
한국	한국/NNP


# id : NWRW1800000021.86.20.1
한국은 이날 멕시코에 8-2로 역전승을 거둬 기세가 올랐다.

한국은	한국/NNP+은/JX
이날	이날/NNG
멕시코에	멕시코/NNP+에/JKB
8-2로	8/SN+-/SO+2/SN+로/JKB
역전승을	역전승/NNG+을/JKO
거둬	거두/VV+어/EC
기세가	기세/NNG+가/JKS
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.20.2
1라운드와 달리 일본과 똑같이 하루를 쉬게 돼 투수 운용에도 불리함이 없다.

1라운드와	1/SN+라운드/NNP+와/JKB
달리	달리/MAG
일본과	일본/NNP+과/JKB
똑같이	똑같이/MAG
하루를	하루/NNG+를/JKO
쉬게	쉬/VV+게/EC
돼	되/VV+어/EC
투수	투수/NNG
운용에도	운용/NNG+에/JKB+도/JX
불리함이	불리/NNG+하/XSA+ㅁ/ETN+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000021.86.21.1
일본전 선발로는 두 번째 한일전 승리로 ‘일본 킬러’로 떠오른 봉중근(LG), 이날 중간에 등판해 구위를 점검한 김광현(SK), 윤석민(KIA) 등이 예상된다.

일본전	일본전/NNG
선발로는	선발/NNG+로/JKB+는/JX
두	두/MMN
번째	번/NNB+째/XSN
한일전	한일전/NNG
승리로	승리/NNG+로/JKB
‘일본	‘/SS+일본/NNP
킬러’로	킬러/NNG+’/SS+로/JKB
떠오른	떠오르/VV+ㄴ/ETM
봉중근(LG),	봉중근/NNP+(/SS+LG/SL+)/SS+,/SP
이날	이날/NNG
중간에	중간/NNG+에/JKB
등판해	등판/NNG+하/XSV+아/EC
구위를	구위/NNG+를/JKO
점검한	점검/NNG+하/XSV+ㄴ/ETM
김광현(SK),	김광현/NNP+(/SS+SK/SL+)/SS+,/SP
윤석민(KIA)	윤석민/NNP+(/SS+KIA/SL+)/SS
등이	등/NNB+이/JKS
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.86.21.2
‘믿을 맨’ 정현욱, ‘소방수’ 오승환(이상 삼성), ‘잠수함’ 정대현(SK) 등 무실점 행진을 벌이고 있는 불펜진이 든든하다.

‘믿을	‘/SS+믿/VV+을/ETM
맨’	맨/NNG+’/SS
정현욱,	정현욱/NNP+,/SP
‘소방수’	‘/SS+소방수/NNG+’/SS
오승환(이상	오승환/NNP+(/SS+이상/NNG
삼성),	삼성/NNP+)/SS+,/SP
‘잠수함’	‘/SS+잠수함/NNG+’/SS
정대현(SK)	정대현/NNP+(/SS+SK/SL+)/SS
등	등/NNB
무실점	무/XPN+실점/NNG
행진을	행진/NNG+을/JKO
벌이고	벌이/VV+고/EC
있는	있/VX+는/ETM
불펜진이	불펜진/NNG+이/JKS
든든하다.	든든하/VA+다/EF+./SF


# id : NWRW1800000021.86.22.1
한국은 타점 1위(9개)를 달리는 김태균에 이범호(이상 한화), 고영민(두산)까지 대포 행렬에 가담해 방망이에 힘이 붙었다.

한국은	한국/NNP+은/JX
타점	타점/NNG
1위(9개)를	1/SN+위/NNB+(/SS+9/SN+개/NNB+)/SS+를/JKO
달리는	달리/VV+는/ETM
김태균에	김태균/NNP+에/JKB
이범호(이상	이범호/NNP+(/SS+이상/NNG
한화),	한화/NNP+)/SS+,/SP
고영민(두산)까지	고영민/NNP+(/SS+두산/NNP+)/SS+까지/JX
대포	대포/NNG
행렬에	행렬/NNG+에/JKB
가담해	가담/NNG+하/XSV+아/EC
방망이에	방망이/NNG+에/JKB
힘이	힘/NNG+이/JKS
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.22.2
이용규(KIA), 이종욱(두산)의 ‘발야구’도 더욱 빨라지고 있어 상승세인 일본과 다시 한 번 명승부를 치를 것으로 보인다.

이용규(KIA),	이용규/NNP+(/SS+KIA/SL+)/SS+,/SP
이종욱(두산)의	이종욱/NNP+(/SS+두산/NNP+)/SS+의/JKG
‘발야구’도	‘/SS+발야구/NNG+’/SS+도/JX
더욱	더욱/MAG
빨라지고	빠르/VA+아/EC+지/VX+고/EC
있어	있/VX+어/EC
상승세인	상승세/NNG+이/VCP+ㄴ/ETM
일본과	일본/NNP+과/JKB
다시	다시/MAG
한	한/MMN
번	번/NNB
명승부를	명승부/NNG+를/JKO
치를	치르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.86.23.1
한편 8강 라운드 2조 패자부활전에서는 미국이 네덜란드를 9-3으로 물리쳤다.

한편	한편/MAG
8강	8/SN+강/NNB
라운드	라운드/NNG
2조	2/SN+조/NNG
패자부활전에서는	패자/NNG+부활전/NNG+에서/JKB+는/JX
미국이	미국/NNP+이/JKS
네덜란드를	네덜란드/NNP+를/JKO
9-3으로	9/SN+-/SO+3/SN+으로/JKB
물리쳤다.	물리치/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.23.2
미국은 17일 푸에르토리코-베네수엘라전 패자와 4강 진출을 놓고 다툰다.

미국은	미국/NNP+은/JX
17일	17/SN+일/NNB
푸에르토리코-베네수엘라전	푸에르토리코/NNP+-/SO+베네수엘라전/NNG
패자와	패자/NNG+와/JC
4강	4/SN+강/NNB
진출을	진출/NNG+을/JKO
놓고	놓/VV+고/EC
다툰다.	다투/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.86.23.3
2패의 네덜란드는 탈락이 확정됐다.

2패의	2/SN+패/NNB+의/JKG
네덜란드는	네덜란드/NNP+는/JX
탈락이	탈락/NNG+이/JKS
확정됐다.	확정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.24.1
■감독의 말… 고비마다 투수교체 주효

■감독의	■/SW+감독/NNG+의/JKG
말…	말/NNG+…/SE
고비마다	고비/NNG+마다/JX
투수교체	투수/NNG+교체/NNG
주효	주효/NNG


# id : NWRW1800000021.86.25.1
▽김인식 감독=투수들이 멕시코의 강타선을 잘 막았다.

▽김인식	▽/SW+김인식/NNP
감독=투수들이	감독/NNG+=/SW+투수/NNG+들/XSN+이/JKS
멕시코의	멕시코/NNP+의/JKG
강타선을	강타선/NNG+을/JKO
잘	잘/MAG
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.25.2
고비마다 투수를 교체한 게 성공했다.

고비마다	고비/NNG+마다/JX
투수를	투수/NNG+를/JKO
교체한	교체/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.86.25.3
5회 이후 평소보다 투수를 많이 투입한 건 내일 하루 쉬기 때문이다.

5회	5/SN+회/NNB
이후	이후/NNG
평소보다	평소/NNG+보다/JKB
투수를	투수/NNG+를/JKO
많이	많이/MAG
투입한	투입/NNG+하/XSV+ㄴ/ETM
건	거/NNB+ㄴ/JX
내일	내일/MAG
하루	하루/NNG
쉬기	쉬/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.86.25.4
투구수를 줄이기 위해서다.

투구수를	투구/NNG+수/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000021.86.25.5
초반에 홈런이 많이 터져 쉽게 승리한 것 같다.

초반에	초반/NNG+에/JKB
홈런이	홈런/NNG+이/JKS
많이	많이/MAG
터져	터지/VV+어/EC
쉽게	쉽/VA+게/EC
승리한	승리/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


# id : NWRW1800000021.86.25.6
최대 라이벌인 일본과 승자 결승전에서 또 만나게 됐다.

최대	최대/NNG
라이벌인	라이벌/NNG+이/VCP+ㄴ/ETM
일본과	일본/NNP+과/JC
승자	승자/NNG
결승전에서	결승전/NNG+에서/JKB
또	또/MAG
만나게	만나/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.25.7
끝까지 잘해야겠다는 생각뿐이다.

끝까지	끝/NNG+까지/JX
잘해야겠다는	잘/MAG+하/XSV+아야/EC+하/VX+겠/EP+다는/ETM
생각뿐이다.	생각/NNG+뿐/JX+이/VCP+다/EF+./SF


# id : NWRW1800000021.86.25.8
일본은 강팀이라 이기면 기분이 좋다.

일본은	일본/NNP+은/JX
강팀이라	강팀/NNG+이/VCP+라/EC
이기면	이기/VV+면/EC
기분이	기분/NNG+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000021.86.25.9
이번에도 이길 수 있도록 노력하겠다.

이번에도	이번/NNG+에/JKB+도/JX
이길	이기/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
노력하겠다.	노력/NNG+하/XSV+겠/EP+다/EF+./SF


# id : NWRW1800000021.86.26.1
■멕시코전 시청률 12.3%… 평일 낮방송의 6배 수준

■멕시코전	■/SW+멕시코전/NNG
시청률	시청/NNG+률/XSN
12.3%…	12/SN+./SP+3/SN+%/SW+…/SE
평일	평일/NNG
낮방송의	낮방송/NNG+의/JKG
6배	6/SN+배/NNG
수준	수준/NNG


# id : NWRW1800000021.86.27.1
한국이 멕시코를 누른 16일 경기의 평균 시청률은 12.3%, 점유율은 36.6%로 집계됐다.

한국이	한국/NNP+이/JKS
멕시코를	멕시코/NNP+를/JKO
누른	누르/VV+ㄴ/ETM
16일	16/SN+일/NNB
경기의	경기/NNG+의/JKG
평균	평균/NNG
시청률은	시청/NNG+률/XSN+은/JX
12.3%,	12/SN+./SP+3/SN+%/SW+,/SP
점유율은	점유/NNG+율/XSN+은/JX
36.6%로	36/SN+./SP+6/SN+%/SW+로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000021.86.28.1
이는 평일 낮방송임을 감안하면 매우 높은 수치다.

이는	이/NP+는/JX
평일	평일/NNG
낮방송임을	낮방송/NNG+이/VCP+ㅁ/ETN+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
매우	매우/MAG
높은	높/VA+은/ETM
수치다.	수치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.86.28.2
경기가 열린 시간대(12시 10분∼15시 54분)의 최근 4주간 SBS 평균 시청률은 2.2%, 점유율은 7.6%였다.

경기가	경기/NNG+가/JKS
열린	열리/VV+ㄴ/ETM
시간대(12시	시간대/NNG+(/SS+12/SN+시/NNB
