# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.372
metadata : {}


# id : NWRW1800000038.372.1.1
오바마·시진핑, 캘리포니아 휴양지서 넥타이 풀고 만난다

오바마·시진핑,	오바마/NNP+·/SP+시진핑/NNP+,/SP
국가주석이	국가주석/NNG+이/JKS
다음	다음/NNG
달	달/NNG
7~8일	7/SN+~/SO+8/SN+일/NNB
캘리포니아	캘리포니아/NNP
란초미라지의	란초미라지/NNP+의/JKG
서니랜즈에서	서니랜즈/NNP+에서/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
갖는다고	갖/VV+는다고/EC
21일	21/SN+일/NNB
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.372.4.2
두 정상의 만남은 시진핑이 주석에 취임한 이후 처음으로, G2가 새로운 국제 질서 협력 방안을 모색하고 동시에 패권을 다투는 중요 외교 행사가 될 전망이다.

두	두/MMN
정상의	정상/NNG+의/JKG
만남은	만남/NNG+은/JX
시진핑이	시진핑/NNP+이/JKS
주석에	주석/NNG+에/JKB
취임한	취임/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
처음으로,	처음/NNG+으로/JKB+,/SP
G2가	G/SL+2/SN+가/JKS
새로운	새롭/VA+ㄴ/ETM
국제	국제/NNG
질서	질서/NNG
협력	협력/NNG
방안을	방안/NNG+을/JKO
모색하고	모색/NNG+하/XSV+고/EC
동시에	동시/NNG+에/JKB
패권을	패권/NNG+을/JKO
다투는	다투/VV+는/ETM
중요	중요/NNG
외교	외교/NNG
행사가	행사/NNG+가/JKC
될	되/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.372.5.1
이번 회담은 G2 정상의 첫 회동이라는 상징성과 함께 이례적 '형식'으로도 더욱 관심을 끌고 있다.

이번	이번/NNG
회담은	회담/NNG+은/JX
G2	G/SL+2/SN
정상의	정상/NNG+의/JKG
첫	첫/MMN
회동이라는	회동/NNG+이/VCP+라는/ETM
상징성과	상징/NNG+성/XSN+과/JKB
함께	함께/MAG
이례적	이례/NNG+적/XSN
'형식'으로도	'/SS+형식/NNG+'/SS+으로/JKB+도/JX
더욱	더욱/MAG
관심을	관심/NNG+을/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.372.5.2
워싱턴을 떠나 휴양지에서 이틀 동안 만나는 것은 편안한 분위기에서 좀 더 자유롭고 솔직하게 대화하려는 의도로 해석된다.

워싱턴을	워싱턴/NNP+을/JKO
떠나	떠나/VV+아/EC
휴양지에서	휴양지/NNG+에서/JKB
이틀	이틀/NNG
동안	동안/NNG
만나는	만나/VV+는/ETM
것은	것/NNB+은/JX
편안한	편안/NNG+하/XSA+ㄴ/ETM
분위기에서	분위기/NNG+에서/JKB
좀	좀/MAG
더	더/MAG
자유롭고	자유/NNG+롭/XSA+고/EC
솔직하게	솔직하/VA+게/EC
대화하려는	대화/NNG+하/XSV+려는/ETM
의도로	의도/NNG+로/JKB
해석된다.	해석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.372.6.1
과거 조지 W 부시 대통령은 장쩌민(江澤民) 중국 국가주석, 토니 블레어 영국 총리 등 주요 정상과 친목을 다질 필요가 있을 때 자기 소유의 텍사스 크로퍼드 목장으로 초청하는 행사를 자주 벌였지만, 오바마 대통령은 워싱턴을 벗어난 적이 거의 없다.

과거	과거/NNG
조지	조지/NNP
W	W/SL
부시	부시/NNP
대통령은	대통령/NNG+은/JX
장쩌민(江澤民)	장쩌민/NNP+(/SS+江澤民/SH+)/SS
중국	중국/NNP
국가주석,	국가주석/NNG+,/SP
토니	토니/NNP
블레어	블레어/NNP
영국	영국/NNP
총리	총리/NNG
등	등/NNB
주요	주요/NNG
정상과	정상/NNG+과/JKB
친목을	친목/NNG+을/JKO
다질	다지/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있을	있/VA+을/ETM
때	때/NNG
자기	자기/NP
소유의	소유/NNG+의/JKG
텍사스	텍사스/NNP
크로퍼드	크로퍼드/NNP
목장으로	목장/NNG+으로/JKB
초청하는	초청/NNG+하/XSV+는/ETM
행사를	행사/NNG+를/JKO
자주	자주/MAG
벌였지만,	벌이/VV+었/EP+지만/EC+,/SP
오바마	오바마/NNP
워싱턴을	워싱턴/NNP+을/JKO
벗어난	벗어나/VV+ㄴ/ETM
적이	적/NNB+이/JKS
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000038.372.7.1
두 정상은 이번 만남에서 무역 불균형, 위안화 절상 등 양국 현안은 물론 동북아 안보, 시리아, 세계경제, 사이버 안보 등 국제사회의 이슈를 망라해 논의할 것으로 예상된다.

두	두/MMN
정상은	정상/NNG+은/JX
이번	이번/NNG
만남에서	만남/NNG+에서/JKB
무역	무역/NNG
불균형,	불/XPN+균형/NNG+,/SP
위안화	위안화/NNG
절상	절상/NNG
등	등/NNB
양국	양국/NNG
현안은	현안/NNG+은/JX
물론	물론/MAG
동북아	동북아/NNP
안보,	안보/NNG+,/SP
시리아,	시리아/NNP+,/SP
세계경제,	세계/NNG+경제/NNG+,/SP
사이버	사이버/NNG
안보	안보/NNG
국제사회의	국제/NNG+사회/NNG+의/JKG
이슈를	이슈/NNG+를/JKO
망라해	망라/NNG+하/XSV+아/EC
논의할	논의/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.372.7.2
특히 양국의 커다란 이슈 중 하나인 북한 문제와 관련, 제재 강화 또는 대화 국면 전환에 관한 의견을 나눌 것으로 보인다.

특히	특히/MAG
양국의	양국/NNG+의/JKG
커다란	커다랗/VA+ㄴ/ETM
이슈	이슈/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
북한	북한/NNP
문제와	문제/NNG+와/JKB
관련,	관련/NNG+,/SP
제재	제재/NNG
강화	강화/NNG
또는	또는/MAG
대화	대화/NNG
국면	국면/NNG
전환에	전환/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
의견을	의견/NNG+을/JKO
나눌	나누/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.372.8.1
특히 중국은 이번 회담을 통해, 시 주석이 지난해부터 주장해온 미·중 간 '신형 대국 관계'의 첫 단추를 꿸 수 있으리라고 기대하는 것으로 전해졌다.

특히	특히/MAG
중국은	중국/NNP+은/JX
이번	이번/NNG
회담을	회담/NNG+을/JKO
통해,	통하/VV+아/EC+,/SP
시	시/NNP
주석이	주석/NNG+이/JKS
지난해부터	지난해/NNG+부터/JX
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
미·중	미/NNP+·/SP+중/NNP
간	간/NNB
'신형	'/SS+신형/NNG
대국	대국/NNG
관계'의	관계/NNG+'/SS+의/JKG
첫	첫/MMN
단추를	단추/NNG+를/JKO
꿸	꿰/VV+ㄹ/ETM
수	수/NNB
있으리라고	있/VA+으리라고/EC
기대하는	기대/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.372.8.2
'신형 대국 관계'는 중국이 책임 있는 대국으로서 국제사회의 의무를 다하되, 미국도 중국을 G2의 일원으로 대우하고 중국의 핵심 이익을 존중해달라는 것이 주 내용이다.

'신형	'/SS+신형/NNG
대국	대국/NNG
관계'는	관계/NNG+'/SS+는/JX
중국이	중국/NNP+이/JKS
책임	책임/NNG
있는	있/VA+는/ETM
대국으로서	대국/NNG+으로서/JKB
국제사회의	국제/NNG+사회/NNG+의/JKG
의무를	의무/NNG+를/JKO
다하되,	다/MAG+하/XSV+되/EC+,/SP
미국도	미국/NNP+도/JX
중국을	중국/NNP+을/JKO
G2의	G/SL+2/SN+의/JKG
일원으로	일원/NNG+으로/JKB
대우하고	대우/NNG+하/XSV+고/EC
중국의	중국/NNP+의/JKG
핵심	핵심/NNG
이익을	이익/NNG+을/JKO
존중해달라는	존중/NNG+하/XSV+아/EC+달/VX+라는/ETM
것이	것/NNB+이/JKS
주	주/MMA
내용이다.	내용/NNG+이/VCP+다/EF+./SF


