# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.193
metadata : {}


# id : NWRW1800000033.193.1.1
[휴지통]이웃공장 전기 훔쳐쓰다 들통 ‘양심 감전’

[휴지통]이웃공장	[/SS+휴지통/NNG+]/SS+이웃/NNG+공장/NNG
분할	분할/NNG
신청을	신청/NNG+을/JKO
하고	하/VV+고/EC
따로	따로/MAG
쓰기	쓰/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.193.3.3
하지만 배전반이 김 씨의 공장에 있는 데다 올해 4월경 법규 위반으로 그의 공장이 문을 닫으면서 강 씨는 전기를 도둑맞은 사실을 몰랐다.

하지만	하지만/MAJ
배전반이	배전반/NNG+이/JKS
김	김/NNP
씨의	씨/NNB+의/JKG
공장에	공장/NNG+에/JKB
있는	있/VA+는/ETM
데다	데/NNB+다/JX
올해	올해/NNG
4월경	4/SN+월/NNB+경/XSN
법규	법규/NNG
위반으로	위반/NNG+으로/JKB
그의	그/NP+의/JKG
공장이	공장/NNG+이/JKS
문을	문/NNG+을/JKO
닫으면서	닫/VV+으면서/EC
강	강/NNP
씨는	씨/NNB+는/JX
전기를	전기/NNG+를/JKO
도둑맞은	도둑맞/VV+은/ETM
사실을	사실/NNG+을/JKO
몰랐다.	모르/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.193.4.1
그러던 중 지난달 16일 전기 합선으로 강 씨의 공장에 불이 났다.

그러던	그러/VV+던/ETM
중	중/NNB
지난달	지난달/NNG
16일	16/SN+일/NNB
전기	전기/NNG
합선으로	합선/NNG+으로/JKB
강	강/NNP
씨의	씨/NNB+의/JKG
공장에	공장/NNG+에/JKB
불이	불/NNG+이/JKS
났다.	나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.193.4.2
화재 후 공장 재가동을 위해서는 전문 기술자의 안전진단 확인서를 한전에 제출해야 하기 때문에 강 씨는 전문가를 불러 김 씨의 공장에 들어가 배전반을 확인했다.

화재	화재/NNG
후	후/NNG
공장	공장/NNG
재가동을	재/XPN+가동/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
전문	전문/NNG
기술자의	기술자/NNG+의/JKG
안전진단	안전/NNG+진단/NNG
확인서를	확인서/NNG+를/JKO
한전에	한전/NNP+에/JKB
제출해야	제출/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
강	강/NNP
씨는	씨/NNB+는/JX
전문가를	전문가/NNG+를/JKO
불러	부르/VV+어/EC
김	김/NNP
씨의	씨/NNB+의/JKG
공장에	공장/NNG+에/JKB
들어가	들어가/VV+아/EC
배전반을	배전반/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.193.4.3
그는 전기 전문가로부터 “김 씨의 압출기가 강 씨 소유 배전반에 연결돼 있다”는 사실을 알려줬다.

그는	그/NP+는/JX
전기	전기/NNG
전문가로부터	전문가/NNG+로부터/JKB
“김	“/SS+김/NNP
씨의	씨/NNB+의/JKG
압출기가	압출기/NNG+가/JKS
강	강/NNP
씨	씨/NNB
소유	소유/NNG
배전반에	배전반/NNG+에/JKB
연결돼	연결/NNG+되/XSV+어/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
사실을	사실/NNG+을/JKO
알려줬다.	알리/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.193.4.4
화가 난 강 씨는 경찰에 이를 신고했다.

화가	화/NNG+가/JKS
난	나/VV+ㄴ/ETM
강	강/NNP
씨는	씨/NNB+는/JX
경찰에	경찰/NNG+에/JKB
이를	이/NP+를/JKO
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.193.4.5
청주청남경찰서는 2개월간 80만 원 상당의 전기를 훔쳐 쓴 혐의(절도)로 김 씨를 불구속 입건했다고 6일 밝혔다.

청주청남경찰서는	청주청남경찰서/NNP+는/JX
2개월간	2/SN+개월/NNB+간/XSN
80만	80/SN+만/NR
원	원/NNB
상당의	상당/NNG+의/JKG
전기를	전기/NNG+를/JKO
훔쳐	훔치/VV+어/EC
쓴	쓰/VV+ㄴ/ETM
혐의(절도)로	혐의/NNG+(/SS+절도/NNG+)/SS+로/JKB
김	김/NNP
씨를	씨/NNB+를/JKO
불구속	불/XPN+구속/NNG
입건했다고	입건/NNG+하/XSV+았/EP+다고/EC
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


