# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.134
metadata : {}


# id : NWRW1800000048.134.1.1
“북 은하3호 ICBM 전환 10년이상 걸려”

“북	“/SS+북/NNP
“6개의	“/SS+6/SN+개/NNB+의/JKG
엔진의	엔진/NNG+의/JKG
출력	출력/NNG
편차를	편차/NNG+를/JKO
줄이는	줄이/VV+는/ETM
것과	것/NNB+과/JC
엔진	엔진/NNG
및	및/MAG
연료를	연료/NNG+를/JKO
로켓기체로	로켓/NNG+기체/NNG+로/JKB
통합하는	통합/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
미사일	미사일/NNG
기술개발	기술/NNG+개발/NNG
과정에서	과정/NNG+에서/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
도전”이라며	도전/NNG+”/SS+이/VCP+라며/EC
“북한이	“/SS+북한/NNP+이/JKS
새로운	새롭/VA+ㄴ/ETM
단계의	단계/NNG+의/JKG
기술을	기술/NNG+을/JKO
발전시키려면	발전/NNG+시키/XSV+려면/EC
최소한	최소한/NNG
10년	10/SN+년/NNB
이상이	이상/NNG+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것”고	것/NNB+”/SS+고/JKQ
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.134.8.3
6개 엔진의 출력에 서로 차이가 나면 로켓이 한쪽으로 쏠리거나 흔들려 궤도를 벗어나게 된다.

6개	6/SN+개/NNB
엔진의	엔진/NNG+의/JKG
출력에	출력/NNG+에/JKB
서로	서로/MAG
차이가	차이/NNG+가/JKS
나면	나/VV+면/EC
로켓이	로켓/NNG+이/JKS
한쪽으로	한쪽/NNG+으로/JKB
쏠리거나	쏠리/VV+거나/EC
흔들려	흔들리/VV+어/EC
궤도를	궤도/NNG+를/JKO
벗어나게	벗어나/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.134.9.1
그는 또 사드의 한국 배치 논란과 관련해 “미국 정부는 북한의 미사일을 겨냥해 사드 배치를 검토하고 있지만, 일본에 있는 사드 레이더(AN/TPY-2 레이더)만으로도 충분하고 위치도 더 좋다”며 “한국에 사드를 배치하면 한국이 중국 핵무기의 목표가 될 수 있고, 최소한 사드 레이더가 표적이 될 수 있다”고 우려했다.

그는	그/NP+는/JX
또	또/MAG
사드의	사드/NNG+의/JKG
한국	한국/NNP
배치	배치/NNG
논란과	논란/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
“미국	“/SS+미국/NNP
정부는	정부/NNG+는/JX
북한의	북한/NNP+의/JKG
미사일을	미사일/NNG+을/JKO
겨냥해	겨냥/NNG+하/XSV+아/EC
사드	사드/NNG
배치를	배치/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있지만,	있/VX+지만/EC+,/SP
일본에	일본/NNP+에/JKB
있는	있/VA+는/ETM
레이더(AN/TPY-2	레이더/NNG+(/SS+AN/SL+//SP+TPY/SL+-/SO+2/SN
레이더)만으로도	레이더/NNG+)/SS+만/JX+으로/JKB+도/JX
충분하고	충분하/VA+고/EC
위치도	위치/NNG+도/JX
더	더/MAG
좋다”며	좋/VA+다/EF+”/SS+며/EC
“한국에	“/SS+한국/NNP+에/JKB
사드를	사드/NNG+를/JKO
배치하면	배치/NNG+하/XSV+면/EC
한국이	한국/NNP+이/JKS
중국	중국/NNP
핵무기의	핵무기/NNG+의/JKG
목표가	목표/NNG+가/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
최소한	최소한/NNG
레이더가	레이더/NNG+가/JKS
표적이	표적/NNG+이/JKC
있다”고	있/VA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.134.9.2
토론자로 나선 통자오 카네기재단 연구원은 “한반도에 사드가 배치되면 미국이 단지 중국의 미사일에 대한 궤도 추적뿐 아니라 기만탄과 실제 탄두를 구별할 수 있게 된다”고 지적했다.

토론자로	토론자/NNG+로/JKB
나선	나서/VV+ㄴ/ETM
통자오	통자오/NNP
카네기재단	카네기/NNP+재단/NNG
연구원은	연구원/NNG+은/JX
“한반도에	“/SS+한반도/NNP+에/JKB
사드가	사드/NNG+가/JKS
배치되면	배치/NNG+되/XSV+면/EC
미국이	미국/NNP+이/JKS
단지	단지/MAG
중국의	중국/NNP+의/JKG
미사일에	미사일/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
궤도	궤도/NNG
추적뿐	추적/NNG+뿐/JX
아니라	아니/VCN+라/EC
기만탄과	기만/NNG+탄/NNG+과/JC
실제	실제/NNG
탄두를	탄두/NNG+를/JKO
구별할	구별/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.134.9.3
이는 중국의 보복 능력을 약화시키고, 이에 따른 상호억지가 무너지면 중국 안보에 상당히 문제가 발생할 수 있음을 뜻한다.

이는	이/NP+는/JX
중국의	중국/NNP+의/JKG
보복	보복/NNG
능력을	능력/NNG+을/JKO
약화시키고,	약화/NNG+시키/XSV+고/EC+,/SP
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
상호억지가	상호/NNG+억지/NNG+가/JKS
무너지면	무너지/VV+면/EC
중국	중국/NNP
안보에	안보/NNG+에/JKB
상당히	상당히/MAG
문제가	문제/NNG+가/JKS
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


