# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.231
metadata : {}


# id : NWRW1800000054.231.1.1
[땅, 땅… 오늘의 판결] "백제 풍납토성 복원 위해 삼표 레미콘공장 이전하라"

[땅,	[/SS+땅/MAG+,/SP
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.4.1
◇'한국의 폼페이' 소송… 1심 뒤집고 "이전하라"

◇'한국의	◇/SW+'/SS+한국/NNP+의/JKG
폼페이'	폼페이/NNP+'/SS
소송…	소송/NNG+…/SE
1심	1심/NNG
뒤집고	뒤집/VV+고/EC
"이전하라"	"/SS+이전/NNG+하/XSV+라/EF+"/SS


# id : NWRW1800000054.231.5.1
대전고법 제1행정부(재판장 허용석)는 2일 삼표산업이 국토부를 상대로 낸 사업인정고시 취소 소송 항소심에서 원고 패소 판결했다.

대전고법	대전고법/NNP
제1행정부(재판장	제/XPN+1/SN+행정부/NNG+(/SS+재판장/NNG
허용석)는	허용석/NNP+)/SS+는/JX
2일	2/SN+일/NNB
삼표산업이	삼표산업/NNP+이/JKS
국토부를	국토부/NNG+를/JKO
상대로	상대/NNG+로/JKB
낸	내/VV+ㄴ/ETM
사업인정고시	사업/NNG+인정/NNG+고시/NNG
취소	취소/NNG
소송	소송/NNG
항소심에서	항소심/NNG+에서/JKB
원고	원고/NNG
패소	패소/NNG
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.5.2
재판부는 "풍납토성 복원 사업의 핵심 권역인 수용 대상 부지에 성벽 등이 존재했다고 추정하는 것이 합리적"이라고 했다.

재판부는	재판부/NNG+는/JX
"풍납토성	"/SS+풍납토성/NNP
복원	복원/NNG
사업의	사업/NNG+의/JKG
핵심	핵심/NNG
권역인	권역/NNG+이/VCP+ㄴ/ETM
수용	수용/NNG
대상	대상/NNG
부지에	부지/NNG+에/JKB
성벽	성벽/NNG
등이	등/NNB+이/JKS
존재했다고	존재/NNG+하/XSV+았/EP+다고/EC
추정하는	추정/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
합리적"이라고	합리/NNG+적/XSN+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.5.3
또한 "풍납토성은 한국에서 발견된 최고의 왕성 유적으로 한성 백제 시대의 역사를 보여주는 유적 중 가장 중요한 것으로 평가되고 있다"며 사업의 가치를 인정했다.

또한	또한/MAG
"풍납토성은	"/SS+풍납토성/NNP+은/JX
한국에서	한국/NNP+에서/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
최고의	최고/NNG+의/JKG
왕성	왕성/NNG
유적으로	유적/NNG+으로/JKB
한성	한성/NNP
백제	백제/NNP
시대의	시대/NNG+의/JKG
역사를	역사/NNG+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
유적	유적/NNG
중	중/NNB
가장	가장/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것으로	것/NNB+으로/JKB
평가되고	평가/NNG+되/XSV+고/EC
있다"며	있/VX+다/EF+"/SS+며/EC
사업의	사업/NNG+의/JKG
가치를	가치/NNG+를/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.6.1
풍납토성은 백제가 한성 도읍기(기원전 18년~475년) 왕성으로 사용한 것으로 추정되는 문화재다.

풍납토성은	풍납토성/NNP+은/JX
백제가	백제/NNP+가/JKS
한성	한성/NNP
도읍기(기원전	도읍기/NNG+(/SS+기원전/NNG
18년~475년)	18/SN+년/NNB+~/SO+475/SN+년/NNB+)/SS
왕성으로	왕성/NNG+으로/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
문화재다.	문화재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.231.6.2
1997년 서울 송파구 풍납토성 인근의 한 아파트 건설 현장에서 백제 초기의 토기(土器) 조각이 발견됐다.

1997년	1997/SN+년/NNB
서울	서울/NNP
송파구	송파구/NNP
풍납토성	풍납토성/NNP
인근의	인근/NNG+의/JKG
한	한/MMN
아파트	아파트/NNG
건설	건설/NNG
현장에서	현장/NNG+에서/JKB
백제	백제/NNP
초기의	초기/NNG+의/JKG
토기(土器)	토기/NNG+(/SS+土器/SH+)/SS
조각이	조각/NNG+이/JKS
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.231.6.3
공사를 중단하고 주변을 더 파보니 건물터, 도로 유적과 유물 3만여 점이 발굴됐다.

공사를	공사/NNG+를/JKO
중단하고	중단/NNG+하/XSV+고/EC
주변을	주변/NNG+을/JKO
더	더/MAG
파보니	파/VV+아/EC+보/VX+니/EC
건물터,	건물터/NNG+,/SP
도로	도로/NNG
유적과	유적/NNG+과/JC
유물	유물/NNG
3만여	3/SN+만/NR+여/XSN
점이	점/NNB+이/JKS
발굴됐다.	발굴/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.231.6.4
2000년 동안 잠들어 있던 백제 유적이 깨어나면서 이탈리아 폼페이 유적에 빗대 '한국판 폼페이'라고 불렸다.

2000년	2000/SN+년/NNB
동안	동안/NNG
잠들어	잠들/VV+어/EC
있던	있/VX+던/ETM
백제	백제/NNP
유적이	유적/NNG+이/JKS
깨어나면서	깨어나/VV+면서/EC
이탈리아	이탈리아/NNP
폼페이	폼페이/NNP
유적에	유적/NNG+에/JKB
빗대	빗대/VV+어/EC
'한국판	'/SS+한국판/NNG
폼페이'라고	폼페이/NNP+'/SS+라고/JKQ
불렸다.	불리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.231.6.5
서울시·송파구·문화재청은 2003년 풍납토성 복원 사업에 시동을 걸었다.

서울시·송파구·문화재청은	서울시/NNP+·/SP+송파구/NNP+·/SP+문화재청/NNG+은/JX
2003년	2003/SN+년/NNB
풍납토성	풍납토성/NNP
복원	복원/NNG
사업에	사업/NNG+에/JKB
시동을	시동/NNG+을/JKO
걸었다.	걸/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.231.6.6
서울시는 2020년 유네스코 세계문화유산 등재를 목표로 5137억원을 들여 주변 토지를 수용하겠다고 밝혔다.

서울시는	서울시/NNP+는/JX
2020년	2020/SN+년/NNB
유네스코	유네스코/NNP
세계문화유산	세계/NNG+문화유산/NNG
등재를	등재/NNG+를/JKO
목표로	목표/NNG+로/JKB
5137억원을	5137/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
주변	주변/NNG
토지를	토지/NNG+를/JKO
수용하겠다고	수용/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.231.6.7
유물이 집중적으로 발견된 풍납토성의 서(西)성벽지구에서는 1978년부터 삼표산업이 레미콘 공장을 운영하고 있었다.

유물이	유물/NNG+이/JKS
집중적으로	집중/NNG+적/XSN+으로/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
풍납토성의	풍납토성/NNP+의/JKG
서(西)성벽지구에서는	서/NNG+(/SS+西/SH+)/SS+성벽/NNG+지구/NNG+에서/JKB+는/JX
1978년부터	1978/SN+년/NNB+부터/JX
삼표산업이	삼표산업/NNP+이/JKS
레미콘	레미콘/NNG
공장을	공장/NNG+을/JKO
운영하고	운영/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.231.6.8
삼표 측과 보상 협의를 시작한 송파구는 2013년까지 435억원을 들여 공장 면적 2만1076㎡ 중 64%(1만3566㎡)를 매입했다.

삼표	삼표/NNP
측과	측/NNB+과/JKB
보상	보상/NNG
협의를	협의/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
송파구는	송파구/NNP+는/JX
2013년까지	2013/SN+년/NNB+까지/JX
435억원을	435/SN+억/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
공장	공장/NNG
면적	면적/NNG
2만1076㎡	2/SN+만/NR+1076/SN+㎡/SW
중	중/NNB
64%(1만3566㎡)를	64/SN+%/SW+(/SS+1/SN+만/NR+3566/SN+㎡/SW+)/SS+를/JKO
매입했다.	매입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.7.1
◇법원 "풍납토성은 최고의 왕궁 유적"

◇법원	◇/SW+법원/NNG
"풍납토성은	"/SS+풍납토성/NNP+은/JX
최고의	최고/NNG+의/JKG
왕궁	왕궁/NNG
유적"	유적/NNG+"/SS


# id : NWRW1800000054.231.8.1
순풍을 타던 복원 사업은 삼표 측이 부지의 36%를 남겨두고 "이전 불가"로 입장을 바꾸면서 반전됐다.

순풍을	순풍/NNG+을/JKO
타던	타/VV+던/ETM
복원	복원/NNG
사업은	사업/NNG+은/JX
삼표	삼표/NNP
측이	측/NNB+이/JKS
부지의	부지/NNG+의/JKG
36%를	36/SN+%/SW+를/JKO
남겨두고	남기/VV+어/EC+두/VX+고/EC
"이전	"/SS+이전/NNG
불가"로	불가/NNG+"/SS+로/JKB
입장을	입장/NNG+을/JKO
바꾸면서	바꾸/VV+면서/EC
반전됐다.	반전/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.231.8.2
서울시에 따르면 삼표는 2014년 "이전 부지를 먼저 확보해달라. 레미콘 기사에게도 충분히 보상해달라" 등의 새로운 요구안을 내놓았다.

서울시에	서울시/NNP+에/JKB
따르면	따르/VV+면/EC
삼표는	삼표/NNP+는/JX
2014년	2014/SN+년/NNB
"이전	"/SS+이전/NNG
부지를	부지/NNG+를/JKO
먼저	먼저/MAG
확보해달라.	확보/NNG+하/XSV+아/EC+달/VX+라/EC+./SF
레미콘	레미콘/NNG
기사에게도	기사/NNG+에게/JKB+도/JX
충분히	충분히/MAG
보상해달라"	보상/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS
등의	등/NNB+의/JKG
새로운	새롭/VA+ㄴ/ETM
요구안을	요구안/NNG+을/JKO
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.9.1
삼표의 입장 변화는 사돈가인 현대차그룹이 지으려는 영동대로 신사옥(GBC) 때문이라는 분석이다.

삼표의	삼표/NNP+의/JKG
입장	입장/NNG
변화는	변화/NNG+는/JX
사돈가인	사돈가/NNG+이/VCP+ㄴ/ETM
현대차그룹이	현대차그룹/NNP+이/JKS
지으려는	짓/VV+으려는/ETM
영동대로	영동대로/NNP
신사옥(GBC)	신/XPN+사옥/NNG+(/SS+GBC/SL+)/SS
때문이라는	때문/NNB+이/VCP+라는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.231.9.2
105층 규모의 신사옥이 착공되면 대규모 레미콘 매출이 기대된다.

105층	105/SN+층/NNG
규모의	규모/NNG+의/JKG
신사옥이	신/XPN+사옥/NNG+이/JKS
착공되면	착공/NNG+되/XSV+면/EC
대규모	대/XPN+규모/NNG
레미콘	레미콘/NNG
매출이	매출/NNG+이/JKS
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.231.9.3
경복고 동문인 정몽구 현대차그룹 회장과 정도원 삼표그룹 회장은 정의선 현대차 부회장과 정도원 회장 장녀 정지선씨가 1995년 결혼하면서 사돈지간이 됐다.

경복고	경복고/NNP
동문인	동문/NNG+이/VCP+ㄴ/ETM
정몽구	정몽구/NNP
현대차그룹	현대차그룹/NNP
회장과	회장/NNG+과/JC
정도원	정도원/NNP
삼표그룹	삼표그룹/NNP
회장은	회장/NNG+은/JX
정의선	정의선/NNP
현대차	현대차/NNP
부회장과	부회장/NNG+과/JC
회장	회장/NNG
장녀	장녀/NNG
정지선씨가	정지선/NNP+씨/NNB+가/JKS
1995년	1995/SN+년/NNB
결혼하면서	결혼/NNG+하/XSV+면서/EC
사돈지간이	사돈지간/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.231.9.4
삼표 측은 GBC 특수를 코앞에 두고 핵심 납품처를 잃을 수 없다는 입장인 것으로 알려졌다.

삼표	삼표/NNP
측은	측/NNB+은/JX
GBC	GBC/SL
특수를	특수/NNG+를/JKO
코앞에	코앞/NNG+에/JKB
두고	두/VV+고/EC
핵심	핵심/NNG
납품처를	납품처/NNG+를/JKO
잃을	잃/VV+을/ETM
수	수/NNB
없다는	없/VA+다는/ETM
입장인	입장/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.231.9.5
강남 아파트들도 줄줄이 재건축을 앞두고 있어 삼표로서는 놓치기 아까운 매출 기회다.

강남	강남/NNP
아파트들도	아파트/NNG+들/XSN+도/JX
줄줄이	줄줄이/MAG
재건축을	재/XPN+건축/NNG+을/JKO
앞두고	앞두/VV+고/EC
있어	있/VX+어/EC
삼표로서는	삼표/NNP+로서/JKB+는/JX
놓치기	놓치/VV+기/ETN
아까운	아깝/VA+ㄴ/ETM
매출	매출/NNG
기회다.	기회/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.231.10.1
삼표 측은 지난해 3월 사업을 승인한 국토부를 상대로 취소 소송을 제기했다.

삼표	삼표/NNP
측은	측/NNB+은/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
사업을	사업/NNG+을/JKO
승인한	승인/NNG+하/XSV+ㄴ/ETM
국토부를	국토부/NNG+를/JKO
상대로	상대/NNG+로/JKB
취소	취소/NNG
소송을	소송/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.10.2
지난 1월 1심에서 재판부는 "성벽이 존재한다는 개연성이 매우 낮아 공익사업으로 볼 수 없다"면서 삼표의 손을 들어줬다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
1심에서	1심/NNG+에서/JKB
재판부는	재판부/NNG+는/JX
"성벽이	"/SS+성벽/NNG+이/JKS
존재한다는	존재/NNG+하/XSV+ㄴ다는/ETM
개연성이	개연/NNG+성/XSN+이/JKS
매우	매우/MAG
낮아	낮/VA+아/EC
공익사업으로	공익사업/NNG+으로/JKB
볼	보/VV+ㄹ/ETM
수	수/NNB
없다"면서	없/VA+다/EF+"/SS+면서/EC
삼표의	삼표/NNP+의/JKG
손을	손/NNG+을/JKO
들어줬다.	들어주/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.231.10.3
판결의 파장은 컸다.

판결의	판결/NNG+의/JKG
파장은	파장/NNG+은/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000054.231.10.4
고분문화연구회 등 16개 역사학회가 "서성벽 존재 가능성은 재판부가 판단할 일이 아니다"라며 성명서를 발표했다.

고분문화연구회	고분/NNG+문화/NNG+연구회/NNG
등	등/NNB
16개	16/SN+개/NNB
역사학회가	역사/NNG+학회/NNG+가/JKS
"서성벽	"/SS+서/NNG+성벽/NNG
존재	존재/NNG
가능성은	가능/NNG+성/XSN+은/JX
재판부가	재판부/NNG+가/JKS
판단할	판단/NNG+하/XSV+ㄹ/ETM
일이	일/NNG+이/JKC
아니다"라며	아니/VCN+다/EF+"/SS+이/VCP+라며/EC
성명서를	성명서/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.10.5
지난달 20일 풍납토성 서쪽 성벽의 자취를 알아볼 수 있는 유적이 발굴되면서 학계가 반색했다.

지난달	지난달/NNG
20일	20/SN+일/NNB
풍납토성	풍납토성/NNP
서쪽	서쪽/NNG
성벽의	성벽/NNG+의/JKG
자취를	자취/NNG+를/JKO
알아볼	알아보/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
유적이	유적/NNG+이/JKS
발굴되면서	발굴/NNG+되/XSV+면서/EC
학계가	학계/NNG+가/JKS
반색했다.	반색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.10.6
결국 항소심에서 삼표가 패소하면서 풍납토성 복원에 청신호가 켜졌다.

결국	결국/MAG
항소심에서	항소심/NNG+에서/JKB
삼표가	삼표/NNP+가/JKS
패소하면서	패소/NNG+하/XSV+면서/EC
풍납토성	풍납토성/NNP
복원에	복원/NNG+에/JKB
청신호가	청신호/NNG+가/JKS
켜졌다.	켜/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.231.10.7
삼표 측은 대법원에 항고를 진행할 것으로 보인다.

삼표	삼표/NNP
측은	측/NNB+은/JX
대법원에	대/XPN+법원/NNG+에/JKB
항고를	항고/NNG+를/JKO
진행할	진행/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.231.11.1
토성 복원은 주민 반대라는 벽도 넘어야 한다.

토성	토성/NNG
복원은	복원/NNG+은/JX
주민	주민/NNG
반대라는	반대/NNG+이/VCP+라는/ETM
벽도	벽/NNG+도/JX
넘어야	넘/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000054.231.11.2
서울시는 지난 9월 성곽 주변 아파트 신축 등을 사실상 금지하는 지구단위계획 개선 방안을 발표했다.

서울시는	서울시/NNP+는/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
성곽	성곽/NNG
주변	주변/NNG
아파트	아파트/NNG
신축	신축/NNG
등을	등/NNB+을/JKO
사실상	사실/NNG+상/XSN
금지하는	금지/NNG+하/XSV+는/ETM
지구단위계획	지구/NNG+단위/NNG+계획/NNG
개선	개선/NNG
방안을	방안/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.231.11.3
풍납토성 내 핵심 지역인 경당지구 일부 주민들은 "토성 복원 사업으로 재산 피해가 크다"며 "보상 가격을 올리거나 이주 대책을 마련해달라"고 요구하고 있다.

풍납토성	풍납토성/NNP
내	내/NNB
핵심	핵심/NNG
지역인	지역/NNG+이/VCP+ㄴ/ETM
경당지구	경당지구/NNP
일부	일부/NNG
주민들은	주민/NNG+들/XSN+은/JX
"토성	"/SS+토성/NNG
복원	복원/NNG
사업으로	사업/NNG+으로/JKB
재산	재산/NNG
피해가	피해/NNG+가/JKS
크다"며	크/VA+다/EF+"/SS+며/EC
"보상	"/SS+보상/NNG
가격을	가격/NNG+을/JKO
올리거나	올리/VV+거나/EC
이주	이주/NNG
대책을	대책/NNG+을/JKO
마련해달라"고	마련/NNG+하/XSV+아/EC+달/VX+라/EF+"/SS+고/JKQ
요구하고	요구/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.231.11.4
서울시 관계자는 "백제 최초 도성인 풍납토성 복원이 속도를 낼 수 있도록 적극적으로 추진하겠다"고 말했다.

서울시	서울시/NNP
관계자는	관계자/NNG+는/JX
"백제	"/SS+백제/NNP
최초	최초/NNG
도성인	도성/NNG+이/VCP+ㄴ/ETM
풍납토성	풍납토성/NNP
복원이	복원/NNG+이/JKS
속도를	속도/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
추진하겠다"고	추진/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


