# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.182
metadata : {}


# id : NWRW1800000046.182.1.1
[땅,땅… 오늘의 판결] 모뉴엘 대표 '3兆 사기대출' 징역 23년 외

[땅,땅…	[/SS+땅/MAG+,/SP+땅/MAG+…/SE
않고도	않/VX+고/EC+도/JX
수출한	수출/NNG+하/XSV+ㄴ/ETM
것처럼	것/NNB+처럼/JKB
서류를	서류/NNG+를/JKO
꾸며	꾸미/VV+어/EC
만든	만들/VV+ㄴ/ETM
'가공(架空)	'/SS+가공/NNG+(/SS+架空/SH+)/SS
매출'이었다.	매출/NNG+'/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.182.5.2
박씨는 위조 서류를 보여주고 10개 시중 은행에서 3조4000억원을 대출받았고, 무역보험공사로부터 3200억원 보증도 받았다.

박씨는	박/NNP+씨/NNB+는/JX
위조	위조/NNG
서류를	서류/NNG+를/JKO
보여주고	보이/VV+어/EC+주/VX+고/EC
10개	10/SN+개/NNB
시중	시중/NNG
은행에서	은행/NNG+에서/JKB
3조4000억원을	3/SN+조/NR+4000/SN+억/NR+원/NNB+을/JKO
대출받았고,	대출/NNG+받/XSV+았/EP+고/EC+,/SP
무역보험공사로부터	무역보험공사/NNP+로부터/JKB
3200억원	3200/SN+억/NR+원/NNB
보증도	보증/NNG+도/JX
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.182.6.1
검찰 수사 결과 박씨는 대출 자금으로 다른 빚을 갚는 '돌려막기'를 하거나, 제주도 별장을 구입한 것으로 드러났다.

검찰	검찰/NNG
수사	수사/NNG
결과	결과/NNG
박씨는	박/NNP+씨/NNB+는/JX
대출	대출/NNG
자금으로	자금/NNG+으로/JKB
다른	다른/MMD
빚을	빚/NNG+을/JKO
갚는	갚/VV+는/ETM
'돌려막기'를	'/SS+돌려막/VV+기/ETN+'/SS+를/JKO
하거나,	하/VV+거나/EC+,/SP
제주도	제주도/NNP
별장을	별장/NNG+을/JKO
구입한	구입/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.182.6.2
금융기관 관계자들에게 뒷돈도 줬다.

금융기관	금융/NNG+기관/NNG
관계자들에게	관계자/NNG+들/XSN+에게/JKB
뒷돈도	뒷돈/NNG+도/JX
줬다.	주/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.182.6.3
금융기관의 피해액이 5400억원에 달한다.

금융기관의	금융/NNG+기관/NNG+의/JKG
피해액이	피해액/NNG+이/JKS
5400억원에	5400/SN+억/NR+원/NNB+에/JKB
달한다.	달하/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.182.7.1
문용린 '허위사실 유포' 2심서 선고유예

문용린	문용린/NNP
'허위사실	'/SS+허위/NNG+사실/NNG
유포'	유포/NNG+'/SS
2심서	2심/NNG+서/JKB
선고유예	선고/NNG+유예/NNG


# id : NWRW1800000046.182.8.1
서울고법 형사6부(재판장 김상환)는 작년 서울시교육감 선거에서 '보수 단일 후보'라는 허위사실을 유포한 혐의로 기소된 문용린(68) 전 서울시교육감에게 벌금 200만원 선고유예 판결을 내렸다.

서울고법	서울고법/NNP
형사6부(재판장	형사/NNG+6/SN+부/NNG+(/SS+재판장/NNG
김상환)는	김상환/NNP+)/SS+는/JX
작년	작년/NNG
서울시교육감	서울시/NNP+교육감/NNG
선거에서	선거/NNG+에서/JKB
'보수	'/SS+보수/NNG
단일	단일/NNG
후보'라는	후보/NNG+'/SS+이/VCP+라는/ETM
허위사실을	허위/NNG+사실/NNG+을/JKO
유포한	유포/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소된	기소/NNG+되/XSV+ㄴ/ETM
문용린(68)	문용린/NNP+(/SS+68/SN+)/SS
전	전/MMD
서울시교육감에게	서울시/NNP+교육감/NNG+에게/JKB
벌금	벌금/NNG
200만원	200/SN+만/NR+원/NNB
선고유예	선고/NNG+유예/NNG
판결을	판결/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.182.8.2
선고유예는 판결을 받은 지 2년이 경과하면 처벌을 면해주는 제도다.

선고유예는	선고/NNG+유예/NNG+는/JX
판결을	판결/NNG+을/JKO
받은	받/VV+은/ETM
지	지/NNB
2년이	2/SN+년/NNB+이/JKS
경과하면	경과/NNG+하/XSV+면/EC
처벌을	처벌/NNG+을/JKO
면해주는	면하/VV+아/EC+주/VX+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.182.9.1
조희연 현 교육감에게 져 낙선한 문 전 교육감은 1심에서 벌금 200만원을 선고받았었다.

조희연	조희연/NNP
현	현/MMD
교육감에게	교육감/NNG+에게/JKB
져	짓/VV+어/EC
낙선한	낙선/NNG+하/XSV+ㄴ/ETM
문	문/NNP
전	전/MMD
교육감은	교육감/NNG+은/JX
1심에서	1심/NNG+에서/JKB
벌금	벌금/NNG
200만원을	200/SN+만/NR+원/NNB+을/JKO
선고받았었다.	선고/NNG+받/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000046.182.9.2
이대로 판결이 났다면 그는 32억원가량의 선거 비용을 국가에 반납해야 했다.

이대로	이대로/MAG
판결이	판결/NNG+이/JKS
났다면	나/VV+았/EP+다면/EC
그는	그/NP+는/JX
32억원가량의	32/SN+억/NR+원/NNB+가량/XSN+의/JKG
선거	선거/NNG
비용을	비용/NNG+을/JKO
국가에	국가/NNG+에/JKB
반납해야	반납/NNG+하/XSV+아야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.182.10.1
그러나 2심의 선고유예 판결로 그 책임은 면할 수 있게 됐다.

그러나	그러나/MAJ
2심의	2심/NNG+의/JKG
선고유예	선고/NNG+유예/NNG
판결로	판결/NNG+로/JKB
그	그/MMD
책임은	책임/NNG+은/JX
면할	면하/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.182.10.2
서울고법 형사6부는 지난달 조 교육감의 선거법 위반 사건에서도 선고유예 판결을 내렸었다.

서울고법	서울고법/NNP
형사6부는	형사/NNG+6/SN+부/NNG+는/JX
지난달	지난달/NNG
조	조/NNP
교육감의	교육감/NNG+의/JKG
선거법	선거법/NNG
위반	위반/NNG
사건에서도	사건/NNG+에서/JKB+도/JX
선고유예	선고/NNG+유예/NNG
판결을	판결/NNG+을/JKO
내렸었다.	내리/VV+었었/EP+다/EF+./SF


