# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.332
metadata : {}


# id : NWRW1800000025.332.1.1
[10대 흡연 ‘청소년 골초’가 늘고 있다]<上>더 일찍…더 많이…어려지는 흡연층

[10대	[/SS+10/SN+대/NNB
끊지	끊/VV+지/EC
않으면	않/VX+으면/EC
말초혈관이	말초/NNG+혈관/NNG+이/JKS
막혀	막히/VV+어/EC
발가락을	발가락/NNG+을/JKO
하나씩	하나/NR+씩/XSN
잘라야	자르/VV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.332.5.1
지난해 버거병 환자를 치료하는 데 든 비용은 30억 원이 넘었다.

지난해	지난해/NNG
버거병	버거병/NNG
환자를	환자/NNG+를/JKO
치료하는	치료/NNG+하/XSV+는/ETM
데	데/NNB
든	들/VV+ㄴ/ETM
비용은	비용/NNG+은/JX
30억	30/SN+억/NR
원이	원/NNB+이/JKS
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.332.6.1
한국 청소년의 흡연은 좀처럼 줄지 않고 있다.

한국	한국/NNP
청소년의	청소년/NNG+의/JKG
흡연은	흡연/NNG+은/JX
좀처럼	좀처럼/MAG
줄지	줄/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.332.6.2
질병관리본부가 이달 발표한 청소년 흡연율 자료에 따르면 매일 담배를 피우는 고등학생은 2005년 3.9%에서 지난해 6.7%로 늘었다.

질병관리본부가	질병/NNG+관리/NNG+본부/NNG+가/JKS
이달	이달/NNG
발표한	발표/NNG+하/XSV+ㄴ/ETM
청소년	청소년/NNG
흡연율	흡연/NNG+율/XSN
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
매일	매일/MAG
담배를	담배/NNG+를/JKO
피우는	피우/VV+는/ETM
고등학생은	고등학생/NNG+은/JX
2005년	2005/SN+년/NNB
3.9%에서	3/SN+./SP+9/SN+%/SW+에서/JKB
지난해	지난해/NNG
6.7%로	6/SN+./SP+7/SN+%/SW+로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.332.6.3
특히 매일 흡연하는 남자 고등학생은 2005년 5.3%에서 지난해 9.6%로 2배 가까이 증가한 것으로 나타났다.

특히	특히/MAG
매일	매일/MAG
흡연하는	흡연/NNG+하/XSV+는/ETM
남자	남자/NNG
고등학생은	고등학생/NNG+은/JX
2005년	2005/SN+년/NNB
5.3%에서	5/SN+./SP+3/SN+%/SW+에서/JKB
지난해	지난해/NNG
9.6%로	9/SN+./SP+6/SN+%/SW+로/JKB
2배	2/SN+배/NNG
가까이	가까이/MAG
증가한	증가/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.332.7.1
처음으로 담배를 피우는 나이도 낮아지고 있다.

처음으로	처음/NNG+으로/JKB
담배를	담배/NNG+를/JKO
피우는	피우/VV+는/ETM
나이도	나이/NNG+도/JX
낮아지고	낮/VA+아/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.332.7.2
복지부가 올해 상반기 흡연실태를 조사한 결과 20∼29세 흡연자의 최초 흡연 연령은 남성이 평균 18.3세, 여성이 16.5세였다.

복지부가	복지부/NNG+가/JKS
올해	올해/NNG
상반기	상반기/NNG
흡연실태를	흡연/NNG+실태/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
20∼29세	20/SN+∼/SO+29/SN+세/NNB
흡연자의	흡연자/NNG+의/JKG
최초	최초/NNG
흡연	흡연/NNG
연령은	연령/NNG+은/JX
남성이	남성/NNG+이/JKS
평균	평균/NNG
18.3세,	18/SN+./SP+3/SN+세/NNB+,/SP
여성이	여성/NNG+이/JKS
16.5세였다.	16/SN+./SP+5/SN+세/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.332.7.3
그런데 10대 흡연자의 최초 흡연 연령은 이보다 더 낮다.

그런데	그런데/MAJ
10대	10/SN+대/NNB
흡연자의	흡연자/NNG+의/JKG
최초	최초/NNG
흡연	흡연/NNG
연령은	연령/NNG+은/JX
이보다	이/NP+보다/JKB
더	더/MAG
낮다.	낮/VA+다/EF+./SF


# id : NWRW1800000025.332.7.4
초등학교 입학 전이나 재학 시절 담배를 처음 피웠다고 응답한 비율이 40%, 중학교 때가 51.5%였다.

초등학교	초등학교/NNG
입학	입학/NNG
전이나	전/NNG+이나/JX
재학	재학/NNG
시절	시절/NNG
담배를	담배/NNG+를/JKO
처음	처음/NNG
피웠다고	피우/VV+었/EP+다고/EC
응답한	응답/NNG+하/XSV+ㄴ/ETM
비율이	비율/NNG+이/JKS
40%,	40/SN+%/SW+,/SP
중학교	중학교/NNG
때가	때/NNG+가/JKS
51.5%였다.	51/SN+./SP+5/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.332.7.5
고교 시절 담배를 피우기 시작했다는 응답은 8.9%에 불과했다.

고교	고교/NNG
시절	시절/NNG
담배를	담배/NNG+를/JKO
피우기	피우/VV+기/ETN
시작했다는	시작/NNG+하/XSV+았/EP+다는/ETM
응답은	응답/NNG+은/JX
8.9%에	8/SN+./SP+9/SN+%/SW+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000025.332.8.1
○ 담배 광고판의 유혹

○	○/SW
담배	담배/NNG
광고판의	광고판/NNG+의/JKG
유혹	유혹/NNG


# id : NWRW1800000025.332.9.1
‘골초’ 청소년이 증가하는 이유 중 하나는 청소년들이 담배에 쉽게 노출된다는 것.

‘골초’	‘/SS+골초/NNG+’/SS
청소년이	청소년/NNG+이/JKS
증가하는	증가/NNG+하/XSV+는/ETM
이유	이유/NNG
중	중/NNB
하나는	하나/NR+는/JX
청소년들이	청소년/NNG+들/XSN+이/JKS
담배에	담배/NNG+에/JKB
쉽게	쉽/VA+게/EC
노출된다는	노출/NNG+되/XSV+ㄴ다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.332.9.2
16일 밤 서울 송파구 가락본동 G편의점 계산대 앞과 뒤에 설치된 담배를 선전하는 패널 불빛이 50m 밖에서도 보였다.

16일	16/SN+일/NNB
밤	밤/NNG
서울	서울/NNP
송파구	송파구/NNP
가락본동	가락본동/NNP
G편의점	G/SL+편의점/NNG
계산대	계산대/NNG
앞과	앞/NNG+과/JC
뒤에	뒤/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
담배를	담배/NNG+를/JKO
선전하는	선전/NNG+하/XSV+는/ETM
패널	패널/NNG
불빛이	불빛/NNG+이/JKS
50m	50/SN+m/SW
밖에서도	밖/NNG+에서/JKB+도/JX
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.332.9.3
한국과 다국적 담배회사들이 설치한 광고판이었다.

한국과	한국/NNP+과/JC
다국적	다국적/NNG
담배회사들이	담배/NNG+회사/NNG+들/XSN+이/JKS
설치한	설치/NNG+하/XSV+ㄴ/ETM
광고판이었다.	광고판/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.332.9.4
들어가 보니 박하향이 나는 담배에 대한 선전물을 담은 가로세로 40cm 안팎의 광고판이 6개나 보였다.

들어가	들어가/VV+아/EC
보니	보/VX+니/EC
박하향이	박하/NNG+향/NNG+이/JKS
나는	나/VV+는/ETM
담배에	담배/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
선전물을	선전물/NNG+을/JKO
담은	담/VV+은/ETM
가로세로	가로세로/NNG
40cm	40/SN+cm/SW
안팎의	안팎/NNG+의/JKG
광고판이	광고판/NNG+이/JKS
6개나	6/SN+개/NNB+나/JX
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.332.9.5
직원들은 “광고물을 가게 안에다 걸어도 초등학생들이 보고 ‘열라 짱’이라며 호응한다”면서 “특히 계산대 앞에 낮게 설치된 광고판을 보고 ‘눈높이에 맞아 최고’라고 하는 학생들도 있다”고 말했다.

직원들은	직원/NNG+들/XSN+은/JX
“광고물을	“/SS+광고물/NNG+을/JKO
가게	가게/NNG
안에다	안/NNG+에다/JKB
걸어도	걸/VV+어도/EC
초등학생들이	초등학생/NNG+들/XSN+이/JKS
보고	보/VV+고/EC
‘열라	‘/SS+열라/MAG
짱’이라며	짱/NNG+’/SS+이/VCP+라며/EC
호응한다”면서	호응/NNG+하/XSV+ㄴ다/EF+”/SS+면서/EC
“특히	“/SS+특히/MAG
계산대	계산대/NNG
앞에	앞/NNG+에/JKB
낮게	낮/VA+게/EC
설치된	설치/NNG+되/XSV+ㄴ/ETM
광고판을	광고판/NNG+을/JKO
‘눈높이에	‘/SS+눈높이/NNG+에/JKB
맞아	맞/VV+아/EC
최고’라고	최고/NNG+’/SS+라고/JKQ
하는	하/VV+는/ETM
학생들도	학생/NNG+들/XSN+도/JX
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.332.10.1
여성가족부 자료에 따르면 청소년의 담배 구입처는 주로 동네슈퍼(39%)와 편의점(17%)이었다.

여성가족부	여성/NNG+가족부/NNG
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
청소년의	청소년/NNG+의/JKG
담배	담배/NNG
구입처는	구입처/NNG+는/JX
주로	주로/MAG
동네슈퍼(39%)와	동네/NNG+슈퍼/NNG+(/SS+39/SN+%/SW+)/SS+와/JC
편의점(17%)이었다.	편의점/NNG+(/SS+17/SN+%/SW+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.332.10.2
흡연 학생 중 46%는 ‘담배 구입이 어렵지 않다’고 했으며 23.3%만 ‘담배 구입이 어렵다’고 응답했다.

흡연	흡연/NNG
학생	학생/NNG
중	중/NNB
46%는	46/SN+%/SW+는/JX
‘담배	‘/SS+담배/NNG
구입이	구입/NNG+이/JKS
어렵지	어렵/VA+지/EC
않다’고	않/VX+다/EF+’/SS+고/JKQ
했으며	하/VV+았/EP+으며/EC
23.3%만	23/SN+./SP+3/SN+%/SW+만/JX
어렵다’고	어렵/VA+다/EF+’/SS+고/JKQ
응답했다.	응답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.332.11.1
○ 틈새를 파고드는 마케팅

○	○/SW
틈새를	틈새/NNG+를/JKO
파고드는	파고들/VV+는/ETM
마케팅	마케팅/NNG


# id : NWRW1800000025.332.12.1
담배회사들은 담배에 대한 직접 광고가 제한되자 청소년이 자주 이용하는 판매점에다 광고를 쏟아 붓고 있다.

담배회사들은	담배/NNG+회사/NNG+들/XSN+은/JX
담배에	담배/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
직접	직접/NNG
광고가	광고/NNG+가/JKS
제한되자	제한/NNG+되/XSV+자/EC
청소년이	청소년/NNG+이/JKS
자주	자주/MAG
이용하는	이용/NNG+하/XSV+는/ETM
판매점에다	판매점/NNG+에다/JKB
광고를	광고/NNG+를/JKO
쏟아	쏟/VV+아/EC
붓고	붓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.332.12.2
올 8월 미국 소아과학회지에 실린 자료에 따르면 세계 굴지의 담배회사들은 최근 광고비용의 90%를 담배판매점에 썼다.

올	올/NNG
8월	8/SN+월/NNB
미국	미국/NNP
소아과학회지에	소아과학/NNG+회지/NNG+에/JKB
실린	실리/VV+ㄴ/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
세계	세계/NNG
굴지의	굴지/NNG+의/JKG
담배회사들은	담배/NNG+회사/NNG+들/XSN+은/JX
최근	최근/NNG
광고비용의	광고/NNG+비용/NNG+의/JKG
90%를	90/SN+%/SW+를/JKO
담배판매점에	담배/NNG+판매점/NNG+에/JKB
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.332.13.1
담배회사들은 잠재고객인 청소년 비흡연자를 끌어들이기 위해 사회공헌을 활용한 캠페인도 벌이고 있다.

담배회사들은	담배/NNG+회사/NNG+들/XSN+은/JX
잠재고객인	잠재/NNG+고객/NNG+이/VCP+ㄴ/ETM
청소년	청소년/NNG
비흡연자를	비/XPN+흡연자/NNG+를/JKO
끌어들이기	끌어들이/VV+기/ETN
위해	위하/VV+아/EC
사회공헌을	사회/NNG+공헌/NNG+을/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
캠페인도	캠페인/NNG+도/JX
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.332.13.2
건강증진법은 담배회사가 청소년을 대상으로 후원 행위를 하는 것을 금지하고 있으나, 담배회사들은 스포츠단 창단이나 복지재단 설립을 통해 규제의 망을 빠져나간다.

건강증진법은	건강/NNG+증진/NNG+법/NNG+은/JX
담배회사가	담배/NNG+회사/NNG+가/JKS
청소년을	청소년/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
후원	후원/NNG
행위를	행위/NNG+를/JKO
하는	하/VV+는/ETM
것을	것/NNB+을/JKO
금지하고	금지/NNG+하/XSV+고/EC
있으나,	있/VX+으나/EC+,/SP
담배회사들은	담배/NNG+회사/NNG+들/XSN+은/JX
스포츠단	스포츠단/NNG
창단이나	창단/NNG+이나/JC
복지재단	복지/NNG+재단/NNG
설립을	설립/NNG+을/JKO
통해	통하/VV+아/EC
규제의	규제/NNG+의/JKG
망을	망/NNG+을/JKO
빠져나간다.	빠져나가/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.332.14.1
2007년 보건사회연구 조사 결과 흡연에 따른 사회경제적 비용은 5조6400억 원.

2007년	2007/SN+년/NNB
보건사회연구	보건/NNG+사회/NNG+연구/NNG
조사	조사/NNG
결과	결과/NNG
흡연에	흡연/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
사회경제적	사회/NNG+경제/NNG+적/XSN
비용은	비용/NNG+은/JX
5조6400억	5/SN+조/NR+6400/SN+억/NR
원.	원/NNB+./SF


# id : NWRW1800000025.332.14.2
맹광호 대한금연학회장은 “청소년 흡연율 증가와 물가 등을 감안할 때 흡연 비용은 첨단의료복합단지를 짓는 비용을 뛰어넘는다”고 말했다.

맹광호	맹광호/NNP
대한금연학회장은	대한/NNP+금연/NNG+학회장/NNG+은/JX
“청소년	“/SS+청소년/NNG
흡연율	흡연/NNG+율/XSN
증가와	증가/NNG+와/JC
물가	물가/NNG
등을	등/NNB+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
흡연	흡연/NNG
비용은	비용/NNG+은/JX
첨단의료복합단지를	첨단/NNG+의료/NNG+복합/NNG+단지/NNG+를/JKO
짓는	짓/VV+는/ETM
비용을	비용/NNG+을/JKO
뛰어넘는다”고	뛰어넘/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.332.15.1
이에 따라 청소년이 담배에 노출되는 환경을 줄이고 담배회사의 틈새 마케팅에 대응해야 한다는 목소리가 높다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
청소년이	청소년/NNG+이/JKS
담배에	담배/NNG+에/JKB
노출되는	노출/NNG+되/XSV+는/ETM
환경을	환경/NNG+을/JKO
줄이고	줄이/VV+고/EC
담배회사의	담배/NNG+회사/NNG+의/JKG
틈새	틈새/NNG
마케팅에	마케팅/NNG+에/JKB
대응해야	대응/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
목소리가	목소리/NNG+가/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000025.332.15.2
김은지 한국금연운동협의회 사무총장은 “일부 선진국은 판매점 안의 금연 포스터 설치를 의무화했다”며 “한국도 담배회사의 교묘한 마케팅을 막기 위해 국민건강증진법을 개정해야 한다”고 말했다.

김은지	김은지/NNP
한국금연운동협의회	한국금연운동협의회/NNP
사무총장은	사무총장/NNG+은/JX
“일부	“/SS+일부/NNG
선진국은	선진국/NNG+은/JX
판매점	판매점/NNG
안의	안/NNG+의/JKG
금연	금연/NNG
포스터	포스터/NNG
설치를	설치/NNG+를/JKO
의무화했다”며	의무/NNG+화/XSN+하/XSV+았/EP+다/EF+”/SS+며/EC
“한국도	“/SS+한국/NNP+도/JX
담배회사의	담배/NNG+회사/NNG+의/JKG
교묘한	교묘하/VA+ㄴ/ETM
마케팅을	마케팅/NNG+을/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
국민건강증진법을	국민/NNG+건강/NNG+증진/NNG+법/NNG+을/JKO
개정해야	개정/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.332.16.1
■ 한국 2012년 담배규제기본협약 총회 유치 유력… 담뱃값 인상-금연법안 탄력 받을듯

■	■/SW
한국	한국/NNP
2012년	2012/SN+년/NNB
담배규제기본협약	담배/NNG+규제/NNG+기본/NNG+협약/NNG
총회	총회/NNG
유치	유치/NNG
유력…	유력/NNG+…/SE
담뱃값	담뱃값/NNG
인상-금연법안	인상/NNG+-/SO+금연/NNG+법안/NNG
탄력	탄력/NNG
받을듯	받/VV+을/ETM+듯/NNB


# id : NWRW1800000025.332.17.1
한국이 2012년에 열리는 세계보건기구(WHO) 담배규제기본협약(FCTC) 5차 당사국 총회 유치를 공식 신청했다.

한국이	한국/NNP+이/JKS
2012년에	2012/SN+년/NNB+에/JKB
열리는	열리/VV+는/ETM
세계보건기구(WHO)	세계보건기구/NNP+(/SS+WHO/SL+)/SS
담배규제기본협약(FCTC)	담배/NNG+규제/NNG+기본/NNG+협약/NNG+(/SS+FCTC/SL+)/SS
5차	5/SN+차/NNB
당사국	당사국/NNG
총회	총회/NNG
유치를	유치/NNG+를/JKO
공식	공식/NNG
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.332.18.1
보건복지부는 “15일부터 20일까지 우루과이에서 열리고 있는 제4차 FCTC 당사국 총회에서 한국만 제5차 총회 유치를 공식 신청했다”고 17일 밝혔다.

보건복지부는	보건/NNG+복지부/NNG+는/JX
“15일부터	“/SS+15/SN+일/NNB+부터/JX
20일까지	20/SN+일/NNB+까지/JX
우루과이에서	우루과이/NNP+에서/JKB
열리고	열리/VV+고/EC
있는	있/VX+는/ETM
제4차	제/XPN+4/SN+차/NNB
FCTC	FCTC/SL
당사국	당사국/NNG
총회에서	총회/NNG+에서/JKB
한국만	한국/NNP+만/JX
제5차	제/XPN+5/SN+차/NNB
총회	총회/NNG
유치를	유치/NNG+를/JKO
공식	공식/NNG
신청했다”고	신청/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.332.19.1
FCTC는 WHO가 보건의료 분야에서 최초로 공포한 조약으로 담배 공급 및 수요를 줄이기 위한 가격과 비가격 정책 등 강력한 금연정책을 규정하고 있으며 조약 비준국은 이행 정도를 총회에 보고해야 한다.

FCTC는	FCTC/SL+는/JX
WHO가	WHO/SL+가/JKS
보건의료	보건/NNG+의료/NNG
분야에서	분야/NNG+에서/JKB
최초로	최초/NNG+로/JKB
공포한	공포/NNG+하/XSV+ㄴ/ETM
조약으로	조약/NNG+으로/JKB
담배	담배/NNG
공급	공급/NNG
및	및/MAG
수요를	수요/NNG+를/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
가격과	가격/NNG+과/JC
비가격	비/XPN+가격/NNG
정책	정책/NNG
등	등/NNB
강력한	강력/NNG+하/XSA+ㄴ/ETM
금연정책을	금연/NNG+정책/NNG+을/JKO
규정하고	규정/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
조약	조약/NNG
비준국은	비준국/NNG+은/JX
이행	이행/NNG
정도를	정도/NNG+를/JKO
총회에	총회/NNG+에/JKB
보고해야	보고/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000025.332.20.1
한국이 총회를 유치하면 서태평양지역 40여 FCTC 비준국 중 처음으로 총회를 개최하는 국가가 된다.

한국이	한국/NNP+이/JKS
총회를	총회/NNG+를/JKO
유치하면	유치/NNG+하/XSV+면/EC
서태평양지역	서태평양/NNP+지역/NNG
40여	40/SN+여/XSN
FCTC	FCTC/SL
비준국	비준국/NNG
중	중/NNB
처음으로	처음/NNG+으로/JKB
개최하는	개최/NNG+하/XSV+는/ETM
국가가	국가/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.332.21.1
복지부는 유치가 확정되면 국내 담뱃값 인상과 비가격 규제도 탄력을 받을 것으로 기대하고 있다.

복지부는	복지부/NNG+는/JX
유치가	유치/NNG+가/JKS
확정되면	확정/NNG+되/XSV+면/EC
국내	국내/NNG
담뱃값	담뱃값/NNG
인상과	인상/NNG+과/JC
비가격	비/XPN+가격/NNG
규제도	규제/NNG+도/JX
탄력을	탄력/NNG+을/JKO
받을	받/VV+을/ETM
것으로	것/NNB+으로/JKB
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.332.21.2
복지부 관계자는 “국회에 계류 중인 비가격 금연정책 관련 법안이 올해 안에 통과하는 데 긍정적인 영향을 주고 담뱃값 인상도 쉬워질 것”이라고 말했다.

복지부	복지부/NNG
관계자는	관계자/NNG+는/JX
“국회에	“/SS+국회/NNG+에/JKB
계류	계류/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
비가격	비/XPN+가격/NNG
금연정책	금연/NNG+정책/NNG
관련	관련/NNG
법안이	법안/NNG+이/JKS
올해	올해/NNG
안에	안/NNG+에/JKB
통과하는	통과/NNG+하/XSV+는/ETM
데	데/NNB
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
주고	주/VV+고/EC
담뱃값	담뱃값/NNG
인상도	인상/NNG+도/JX
쉬워질	쉬워지/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.332.21.3
국회 보건복지위원회에는 공중이용시설에서의 전면 금연과 흡연 경고 그림 도입 등을 주요 내용으로 하는 국민건강증진법 개정안 17개가 계류돼 있다.

국회	국회/NNG
보건복지위원회에는	보건/NNG+복지/NNG+위원회/NNG+에/JKB+는/JX
공중이용시설에서의	공중/NNG+이용/NNG+시설/NNG+에서/JKB+의/JKG
전면	전면/NNG
금연과	금연/NNG+과/JC
흡연	흡연/NNG
경고	경고/NNG
그림	그림/NNG
도입	도입/NNG
등을	등/NNB+을/JKO
주요	주요/NNG
내용으로	내용/NNG+으로/JKB
하는	하/VV+는/ETM
국민건강증진법	국민/NNG+건강/NNG+증진/NNG+법/NNG
개정안	개정안/NNG
17개가	17/SN+개/NNB+가/JKS
계류돼	계류/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


