# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.393
metadata : {}


# id : NWRW1800000028.393.1.1
“양천고 비리고발 교사 해임은 위법

“양천고	“/SS+양천고/NNP
취소’	취소/NNG+’/SS
청구소송에서	청구/NNG+소송/NNG+에서/JKB
“파면처분을	“/SS+파면/NNG+처분/NNG+을/JKO
해임처분으로	해임/NNG+처분/NNG+으로/JKB
바꾼	바꾸/VV+ㄴ/ETM
결정은	결정/NNG+은/JX
과중한	과중하/VA+ㄴ/ETM
처분으로	처분/NNG+으로/JKB
취소돼야	취소/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
판결했다고	판결/NNG+하/XSV+았/EP+다고/EC
7일	7/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.393.4.1
재판부는 판결문에서 “양천고에는 각종 비리 의혹이 있어 김씨가 민원을 제기했고, 이후 이에 따라 이뤄진 양천고에 대한 감사에서 의혹이 상당수 사실로 드러나 관련자가 기소됐다”며 “파면 처분이 김씨의 비리 제보에 대한 보복성 징계라는 의심을 지울 수 없는 점 등을 보면, 김씨의 비행 정도가 해임이라는 중징계에 처할 정도로 중하다고 보기 어렵다”고 밝혔다.

재판부는	재판부/NNG+는/JX
판결문에서	판결문/NNG+에서/JKB
“양천고에는	“/SS+양천고/NNP+에/JKB+는/JX
각종	각종/NNG
비리	비리/NNG
의혹이	의혹/NNG+이/JKS
있어	있/VA+어/EC
김씨가	김/NNP+씨/NNB+가/JKS
민원을	민원/NNG+을/JKO
제기했고,	제기/NNG+하/XSV+았/EP+고/EC+,/SP
이후	이후/NNG
이에	이/NP+에/JKB
따라	따르/VV+아/EC
이뤄진	이뤄지/VV+ㄴ/ETM
양천고에	양천고/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
감사에서	감사/NNG+에서/JKB
상당수	상당수/NNG
사실로	사실/NNG+로/JKB
드러나	드러나/VV+아/EC
관련자가	관련자/NNG+가/JKS
기소됐다”며	기소/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“파면	“/SS+파면/NNG
처분이	처분/NNG+이/JKS
김씨의	김/NNP+씨/NNB+의/JKG
제보에	제보/NNG+에/JKB
보복성	보복/NNG+성/XSN
징계라는	징계/NNG+이/VCP+라는/ETM
의심을	의심/NNG+을/JKO
지울	지우/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
점	점/NNG
등을	등/NNB+을/JKO
보면,	보/VV+면/EC+,/SP
비행	비행/NNG
정도가	정도/NNG+가/JKS
해임이라는	해임/NNG+이/VCP+라는/ETM
중징계에	중징계/NNG+에/JKB
처할	처하/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
중하다고	중하/VA+다고/EC
보기	보/VX+기/ETN
어렵다”고	어렵/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.393.5.1
김씨는 2008년 4월 정아무개(77) 재단 이사장 등이 학교 돈을 횡령하는 등의 방식으로 수십억원을 챙겼다는 의혹을 서울시교육청에 제보했다.

김씨는	김/NNP+씨/NNB+는/JX
2008년	2008/SN+년/NNB
4월	4/SN+월/NNB
정아무개(77)	정/NNP+아무개/NP+(/SS+77/SN+)/SS
재단	재단/NNG
이사장	이사장/NNG
등이	등/NNB+이/JKS
학교	학교/NNG
돈을	돈/NNG+을/JKO
횡령하는	횡령/NNG+하/XSV+는/ETM
등의	등/NNB+의/JKG
방식으로	방식/NNG+으로/JKB
수십억원을	수십억/NR+원/NNB+을/JKO
챙겼다는	챙기/VV+었/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
서울시교육청에	서울시교육청/NNP+에/JKB
제보했다.	제보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.393.5.2
비리 관련자들에게 경징계가 내려진 것과 달리, 학교 쪽은 김씨를 지난해 3월 파면했다.

비리	비리/NNG
관련자들에게	관련자/NNG+들/XSN+에게/JKB
경징계가	경징계/NNG+가/JKS
내려진	내려지/VV+ㄴ/ETM
것과	것/NNB+과/JKB
달리,	달리/MAG+,/SP
학교	학교/NNG
쪽은	쪽/NNB+은/JX
김씨를	김/NNP+씨/NNB+를/JKO
지난해	지난해/NNG
3월	3/SN+월/NNB
파면했다.	파면/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.393.6.1
김씨는 3개월 뒤 교원소청심사위원회를 통해 복직했지만, 학교는 파면 처분이 취소된 그 이튿날 교원인사위원회를 여는 등 곧바로 징계 절차에 들어가 김씨를 다시 파면했다.

김씨는	김/NNP+씨/NNB+는/JX
3개월	3/SN+개월/NNB
뒤	뒤/NNG
교원소청심사위원회를	교원/NNG+소청/NNG+심사/NNG+위원회/NNG+를/JKO
통해	통하/VV+아/EC
복직했지만,	복직/NNG+하/XSV+았/EP+지만/EC+,/SP
학교는	학교/NNG+는/JX
파면	파면/NNG
처분이	처분/NNG+이/JKS
취소된	취소/NNG+되/XSV+ㄴ/ETM
그	그/MMD
이튿날	이튿날/NNG
교원인사위원회를	교원/NNG+인사/NNG+위원회/NNG+를/JKO
여는	열/VV+는/ETM
등	등/NNB
곧바로	곧바로/MAG
징계	징계/NNG
절차에	절차/NNG+에/JKB
들어가	들어가/VV+아/EC
김씨를	김/NNP+씨/NNB+를/JKO
다시	다시/MAG
파면했다.	파면/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.393.6.2
김씨는 이에 불복해 교과부에 교원소청심사를 청구했고, 교원소청심사위원회가 지난해 9월 “파면을 해임으로 변경한다”고 결정하는 데 그치자 ‘해임 처분도 과중하다’며 소송을 냈다.

김씨는	김/NNP+씨/NNB+는/JX
이에	이/NP+에/JKB
불복해	불복/NNG+하/XSV+아/EC
교과부에	교과부/NNG+에/JKB
교원소청심사를	교원/NNG+소청/NNG+심사/NNG+를/JKO
청구했고,	청구/NNG+하/XSV+았/EP+고/EC+,/SP
교원소청심사위원회가	교원/NNG+소청/NNG+심사/NNG+위원회/NNG+가/JKS
지난해	지난해/NNG
9월	9/SN+월/NNB
“파면을	“/SS+파면/NNG+을/JKO
해임으로	해임/NNG+으로/JKB
변경한다”고	변경/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
결정하는	결정/NNG+하/XSV+는/ETM
데	데/NNB
그치자	그치/VV+자/EC
‘해임	‘/SS+해임/NNG
처분도	처분/NNG+도/JX
과중하다’며	과중하/VA+다/EF+’/SS+며/EC
소송을	소송/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.393.7.1
김씨는 지난 6·2 지방선거에서 서울시 교육위원으로 당선됐다.

김씨는	김/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
6·2	6/SN+·/SP+2/SN
지방선거에서	지방/NNG+선거/NNG+에서/JKB
서울시	서울시/NNP
교육위원으로	교육/NNG+위원/NNG+으로/JKB
당선됐다.	당선/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.393.7.2
김씨가 비리를 제보한 대상인 정 이사장은 사기·배임수재·횡령 등의 죄명으로 지난 9월 기소돼 현재 재판을 받고 있다.

김씨가	김/NNP+씨/NNB+가/JKS
비리를	비리/NNG+를/JKO
제보한	제보/NNG+하/XSV+ㄴ/ETM
대상인	대상/NNG+이/VCP+ㄴ/ETM
정	정/NNP
이사장은	이사장/NNG+은/JX
사기·배임수재·횡령	사기/NNG+·/SP+배임/NNG+수재/NNG+·/SP+횡령/NNG
등의	등/NNB+의/JKG
죄명으로	죄명/NNG+으로/JKB
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
기소돼	기소/NNG+되/XSV+어/EC
현재	현재/MAG
재판을	재판/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


