# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.283
metadata : {}


# id : NWRW1800000029.283.1.1
스타 기근 LPGA “미셸 위, 빨리 졸업해”

스타	스타/NNG
전부터	전/NNG+부터/JX
논란을	논란/NNG+을/JKO
일으켰다.	일으키/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.283.4.4
같은 장소에서 열린 1995년 US여자오픈에서 생애 첫 메이저 타이틀을 따낸 인연으로 방문한 골프 여제 안니카 소렌스탐(은퇴·스웨덴)이 논쟁의 불씨를 댕겼다.

같은	같/VA+은/ETM
장소에서	장소/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
1995년	1995/SN+년/NNB
US여자오픈에서	US/SL+여자/NNG+오픈/NNG+에서/JKB
생애	생애/NNG
첫	첫/MMN
메이저	메이저/NNG
타이틀을	타이틀/NNG+을/JKO
따낸	따내/VV+ㄴ/ETM
인연으로	인연/NNG+으로/JKB
방문한	방문/NNG+하/XSV+ㄴ/ETM
골프	골프/NNG
여제	여제/NNG
안니카	안니카/NNP
소렌스탐(은퇴·스웨덴)이	소렌스탐/NNP+(/SS+은퇴/NNG+·/SP+스웨덴/NNP+)/SS+이/JKS
논쟁의	논쟁/NNG+의/JKG
불씨를	불씨/NNG+를/JKO
댕겼다.	댕기/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.283.4.5
소렌스탐은 “만년 유망주였던 미셸 위가 뭔가 보여주려면 학업보다는 골프에 전념하는 편이 낫다”고 지적했다.

소렌스탐은	소렌스탐/NNP+은/JX
“만년	“/SS+만년/NNG
유망주였던	유망주/NNG+이/VCP+었/EP+던/ETM
미셸	미셸/NNP
위가	위/NNP+가/JKS
뭔가	뭐/NP+이/VCP+ㄴ가/EF
보여주려면	보이/VV+어/EC+주/VX+려면/EC
학업보다는	학업/NNG+보다/JKB+는/JX
골프에	골프/NNG+에/JKB
전념하는	전념/NNG+하/XSV+는/ETM
편이	편/NNB+이/JKS
낫다”고	낫/VA+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.4.6
미셸 위는 2007년 스탠퍼드대 입학 후 졸업장을 받기 위해 제한적인 투어 생활을 하고 있다.

미셸	미셸/NNP
위는	위/NNP+는/JX
2007년	2007/SN+년/NNB
스탠퍼드대	스탠퍼드대/NNP
입학	입학/NNG
후	후/NNG
졸업장을	졸업장/NNG+을/JKO
받기	받/VV+기/ETN
위해	위하/VV+아/EC
제한적인	제한/NNG+적/XSN+이/VCP+ㄴ/ETM
투어	투어/NNG
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.283.4.7
타이거 우즈는 스탠퍼드대 중퇴 후 미국프로골프(PGA)투어에 전념했다.

타이거	타이거/NNP
우즈는	우즈/NNP+는/JX
스탠퍼드대	스탠퍼드대/NNP
중퇴	중퇴/NNG
후	후/NNG
미국프로골프(PGA)투어에	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS+투어/NNG+에/JKB
전념했다.	전념/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.5.1
이런 평가에 미셸 위는 “이제 두 학기 남았다.

이런	이런/MMD
평가에	평가/NNG+에/JKB
미셸	미셸/NNP
위는	위/NNP+는/JX
“이제	“/SS+이제/MAG
두	두/MMN
학기	학기/NNG
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.5.2
내년 봄이면 모든 학점을 이수하게 돼 졸업한다”고 말했다.

내년	내년/NNG
봄이면	봄/NNG+이/VCP+면/EC
모든	모든/MMN
학점을	학점/NNG+을/JKO
이수하게	이수/NNG+하/XSV+게/EC
돼	되/VV+어/EC
졸업한다”고	졸업/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.5.3
커뮤니케이션학을 전공하는 그는 “학교 다니면서도 운동을 많이 했다.

커뮤니케이션학을	커뮤니케이션학/NNG+을/JKO
전공하는	전공/NNG+하/XSV+는/ETM
그는	그/NP+는/JX
“학교	“/SS+학교/NNG
다니면서도	다니/VV+면서/EC+도/JX
운동을	운동/NNG+을/JKO
많이	많이/MAG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.5.4
공부하느라 성적이 안 나온다는 지적은 받아들이기 힘들다”고 목소리를 높였다.

공부하느라	공부/NNG+하/XSV+느라/EC
성적이	성적/NNG+이/JKS
안	안/MAG
나온다는	나오/VV+ㄴ다는/ETM
지적은	지적/NNG+은/JX
받아들이기	받아들이/VV+기/ETN
힘들다”고	힘들/VA+다/EF+”/SS+고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.283.6.1
코스 전장이 7000야드가 넘었기에 장타자 미셸 위는 우승 후보로 주목받았다.

코스	코스/NNG
전장이	전장/NNG+이/JKS
7000야드가	7000/SN+야드/NNB+가/JKS
넘었기에	넘/VV+었/EP+기에/EC
장타자	장타자/NNG
미셸	미셸/NNP
위는	위/NNP+는/JX
우승	우승/NNG
후보로	후보/NNG+로/JKB
주목받았다.	주목/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.6.2
하지만 결과는 정반대였다.

하지만	하지만/MAJ
결과는	결과/NNG+는/JX
정반대였다.	정반대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.283.6.3
1라운드에 78타를 쳐 예선 탈락 위기에 몰렸다 2라운드 18번홀에서 10m 버디 퍼트를 넣어 겨우 3라운드 진출 커트라인에 턱걸이했다.

1라운드에	1/SN+라운드/NNG+에/JKB
78타를	78/SN+타/NNG+를/JKO
쳐	치/VV+어/EC
예선	예선/NNG
탈락	탈락/NNG
위기에	위기/NNG+에/JKB
몰렸다	몰리/VV+었/EP+다/EC
2라운드	2/SN+라운드/NNG
18번홀에서	18/SN+번/NNB+홀/NNG+에서/JKB
10m	10/SN+m/SW
버디	버디/NNG
퍼트를	퍼트/NNG+를/JKO
넣어	넣/VV+어/EC
겨우	겨우/MAG
3라운드	3/SN+라운드/NNG
진출	진출/NNG
커트라인에	커트라인/NNG+에/JKB
턱걸이했다.	턱걸이/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.6.4
3라운드 38개를 포함해 139개(라운드당 평균 34.75개)까지 치솟은 퍼팅수에 발목이 잡혔다.

3라운드	3/SN+라운드/NNG
38개를	38/SN+개/NNB+를/JKO
포함해	포함/NNG+하/XSV+아/EC
139개(라운드당	139/SN+개/NNB+(/SS+라운드/NNG+당/XSN
평균	평균/NNG
34.75개)까지	34/SN+./SP+75/SN+개/NNB+)/SS+까지/JX
치솟은	치솟/VV+은/ETM
퍼팅수에	퍼팅/NNG+수/NNG+에/JKB
발목이	발목/NNG+이/JKS
잡혔다.	잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.283.6.5
유소연의 퍼팅수(121개)보다 18개가 많았다.

유소연의	유소연/NNP+의/JKG
퍼팅수(121개)보다	퍼팅/NNG+수/NNG+(/SS+121/SN+개/NNB+)/SS+보다/JKB
18개가	18/SN+개/NNB+가/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000029.283.7.1
미셸 위는 17세 때인 2006년 3개 메이저 대회에서 5위 이내의 성적을 냈다.

미셸	미셸/NNP
위는	위/NNP+는/JX
17세	17/SN+세/NNB
때인	때/NNG+이/VCP+ㄴ/ETM
2006년	2006/SN+년/NNB
3개	3/SN+개/NNB
메이저	메이저/NNG
대회에서	대회/NNG+에서/JKB
5위	5/SN+위/NNB
이내의	이내/NNG+의/JKG
성적을	성적/NNG+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.283.7.2
최연소 메이저 챔피언을 꿈꿨으나 그 후 한번도 톱 5에 진입한 적이 없다.

최연소	최/XPN+연소/NNG
메이저	메이저/NNG
챔피언을	챔피언/NNG+을/JKO
꿈꿨으나	꿈꾸/VV+었/EP+으나/EC
그	그/MMD
후	후/NNG
한번도	한번/NNG+도/JX
톱	톱/NNG
5에	5/SN+에/JKB
진입한	진입/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.283.7.3
미셸 위는 이번 대회에서 동갑내기 청야니(대만)와 자주 비교됐다.

미셸	미셸/NNP
위는	위/NNP+는/JX
이번	이번/NNG
대회에서	대회/NNG+에서/JKB
동갑내기	동갑내기/NNG
청야니(대만)와	청야니/NNP+(/SS+대만/NNP+)/SS+와/JKB
자주	자주/MAG
비교됐다.	비교/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.283.7.4
미셸 위는 2004년 US여자아마추어 퍼블릭 링크스 결승에서 2연패를 노리다 뼈아픈 패배를 안았다.

미셸	미셸/NNP
위는	위/NNP+는/JX
2004년	2004/SN+년/NNB
US여자아마추어	US/SL+여자/NNG+아마추어/NNG
퍼블릭	퍼블릭/NNG
링크스	링크스/NNG
결승에서	결승/NNG+에서/JKB
2연패를	2/SN+연패/NNG+를/JKO
노리다	노리/VV+다/EC
뼈아픈	뼈아프/VA+ㄴ/ETM
패배를	패배/NNG+를/JKO
안았다.	안/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.7.5
당시 그를 꺾은 건 청야니였다.

당시	당시/NNG
그를	그/NP+를/JKO
꺾은	꺾/VV+은/ETM
건	거/NNB+ㄴ/JX
청야니였다.	청야니/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.283.7.6
7년 후 청야니는 세계 랭킹 1위를 질주하며 최연소 그랜드슬램을 노리는 새로운 골프 여왕으로 떠올랐다.

7년	7/SN+년/NNB
후	후/NNG
청야니는	청야니/NNP+는/JX
세계	세계/NNG
랭킹	랭킹/NNG
1위를	1/SN+위/NNB+를/JKO
질주하며	질주/NNG+하/XSV+며/EC
최연소	최/XPN+연소/NNG
그랜드슬램을	그랜드슬램/NNG+을/JKO
노리는	노리/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
골프	골프/NNG
여왕으로	여왕/NNG+으로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.7.7
반면 미셸 위는 10대 때의 천재성을 잃은 채 퇴보한 모습이다.

반면	반면/NNG
미셸	미셸/NNP
위는	위/NNP+는/JX
10대	10/SN+대/NNB
때의	때/NNG+의/JKG
천재성을	천재/NNG+성/XSN+을/JKO
잃은	잃/VV+은/ETM
채	채/NNB
퇴보한	퇴보/NNG+하/XSV+ㄴ/ETM
모습이다.	모습/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.283.7.8
잦은 성대결 대회와 학업 등도 뒷걸음의 원인으로 지적됐다.

잦은	잦/VA+은/ETM
성대결	성/NNG+대결/NNG
대회와	대회/NNG+와/JC
학업	학업/NNG
등도	등/NNB+도/JX
뒷걸음의	뒷걸음/NNG+의/JKG
원인으로	원인/NNG+으로/JKB
지적됐다.	지적/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.283.8.1
10월 국내에서 열리는 LPGA투어 하나은행 챔피언십에 출전할 계획인 미셸 위는 대학 졸업 후 골프에만 전념하기로 했다.

10월	10/SN+월/NNB
국내에서	국내/NNG+에서/JKB
열리는	열리/VV+는/ETM
LPGA투어	LPGA/SL+투어/NNG
하나은행	하나은행/NNP
챔피언십에	챔피언십/NNG+에/JKB
출전할	출전/NNG+하/XSV+ㄹ/ETM
계획인	계획/NNG+이/VCP+ㄴ/ETM
미셸	미셸/NNP
위는	위/NNP+는/JX
대학	대학/NNG
졸업	졸업/NNG
후	후/NNG
골프에만	골프/NNG+에/JKB+만/JX
전념하기로	전념/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.283.8.2
스타 기근에 허덕이고 있는 LPGA 관계자들도 그의 졸업을 손꼽아 기다리고 있다.

스타	스타/NNG
기근에	기근/NNG+에/JKB
허덕이고	허덕이/VV+고/EC
있는	있/VX+는/ETM
LPGA	LPGA/SL
관계자들도	관계자/NNG+들/XSN+도/JX
그의	그/NP+의/JKG
졸업을	졸업/NNG+을/JKO
손꼽아	손꼽/VV+아/EC
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.283.8.3
미셸 위가 우즈처럼 투어를 지배하며 최고 흥행카드로 떠오르기를 기대하고 있다.

미셸	미셸/NNP
위가	위/NNP+가/JKS
우즈처럼	우즈/NNP+처럼/JKB
투어를	투어/NNG+를/JKO
지배하며	지배/NNG+하/XSV+며/EC
최고	최고/NNG
흥행카드로	흥행/NNG+카드/NNG+로/JKB
떠오르기를	떠오르/VV+기/ETN+를/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.283.8.4
미셸 위에게 캠퍼스 생활은 잃어버린 시간이 될 것인가, 아니면 재도약의 발판이 될 것인가.

미셸	미셸/NNP
위에게	위/NNP+에게/JKB
캠퍼스	캠퍼스/NNG
생활은	생활/NNG+은/JX
잃어버린	잃어버리/VV+ㄴ/ETM
시간이	시간/NNG+이/JKC
될	되/VV+ㄹ/ETM
것인가,	것/NNB+이/VCP+ㄴ가/EF+,/SP
아니면	아니/VCN+면/EC
재도약의	재/XPN+도약/NNG+의/JKG
발판이	발판/NNG+이/JKC
것인가.	것/NNB+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000029.283.8.5
그 결과가 벌써부터 궁금해진다.

그	그/MMD
결과가	결과/NNG+가/JKS
벌써부터	벌써/MAG+부터/JX
궁금해진다.	궁금하/VA+아/EC+지/VX+ㄴ다/EF+./SF


