# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.108
metadata : {}


# id : NWRW1800000052.108.1.1
중국, 북한 석탄 수입 일시중단 발표

중국,	중국/NNP+,/SP
하지만 중국의 북한산 석탄 구매에는 다양한 배경이 있다는 데서 중국이 향후 어떤 식으로 수입량 관리에 나설지 관심이다.

하지만	하지만/MAJ
중국의	중국/NNP+의/JKG
북한산	북한/NNP+산/XSN
석탄	석탄/NNG
구매에는	구매/NNG+에/JKB+는/JX
다양한	다양/NNG+하/XSA+ㄴ/ETM
배경이	배경/NNG+이/JKS
있다는	있/VA+다는/ETM
데서	데/NNB+서/JKB
중국이	중국/NNP+이/JKS
향후	향후/NNG
어떤	어떤/MMD
식으로	식/NNB+으로/JKB
수입량	수입량/NNG
관리에	관리/NNG+에/JKB
나설지	나서/VV+ㄹ지/EF
관심이다.	관심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.108.8.2
전문가들 사이에선 중국의 주요 석탄 산지가 산시성 등 서부 쪽에 집중돼 있어 중국의 동북지역은 중국 내 석탄보다 북한 석탄을 들여오는 게 물류비용 등에서 유리하다는 이야기가 나온다.

전문가들	전문가/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
중국의	중국/NNP+의/JKG
주요	주요/NNG
석탄	석탄/NNG
산지가	산지/NNG+가/JKS
산시성	산시성/NNP
등	등/NNB
서부	서부/NNG
쪽에	쪽/NNB+에/JKB
집중돼	집중/NNG+되/XSV+어/EC
있어	있/VX+어/EC
동북지역은	동북/NNG+지역/NNG+은/JX
중국	중국/NNP
내	내/NNB
석탄보다	석탄/NNG+보다/JKB
북한	북한/NNP
석탄을	석탄/NNG+을/JKO
들여오는	들여오/VV+는/ETM
게	거/NNB+이/JKS
물류비용	물류비용/NNG
등에서	등/NNB+에서/JKB
유리하다는	유리/NNG+하/XSA+다는/ETM
이야기가	이야기/NNG+가/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.108.8.3
북한산 석탄이 품질 면에서 과거에 견줘 나아진 것으로 평가되기도 한다.

북한산	북한/NNP+산/XSN
석탄이	석탄/NNG+이/JKS
품질	품질/NNG
면에서	면/NNG+에서/JKB
과거에	과거/NNG+에/JKB
견줘	견주/VV+어/EC
나아진	나아지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
평가되기도	평가/NNG+되/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.108.9.1
중국이 파리 기후변화협약 이행 등 환경문제 대응 차원에서 전반적인 석탄 생산을 줄이는 추세여서, 북한산 석탄이 대체재로 받아들여진다는 관측도 있다.

중국이	중국/NNP+이/JKS
파리	파리/NNP
기후변화협약	기후/NNG+변화/NNG+협약/NNG
이행	이행/NNG
등	등/NNB
환경문제	환경/NNG+문제/NNG
대응	대응/NNG
차원에서	차원/NNG+에서/JKB
전반적인	전반/NNG+적/XSN+이/VCP+ㄴ/ETM
석탄	석탄/NNG
생산을	생산/NNG+을/JKO
줄이는	줄이/VV+는/ETM
추세여서,	추세/NNG+이/VCP+어서/EC+,/SP
북한산	북한/NNP+산/XSN
석탄이	석탄/NNG+이/JKS
대체재로	대체재/NNG+로/JKB
받아들여진다는	받아들이/VV+어/EC+지/VX+ㄴ다는/ETM
관측도	관측/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.108.9.2
다만, 환경 대응을 위해선 탄소 배출량 전체를 줄여야 하므로 북한산을 포함한 중국의 석탄 수요가 전반적으로 줄어들 거란 반론도 제기된다.

다만,	다만/MAG+,/SP
환경	환경/NNG
대응을	대응/NNG+을/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
탄소	탄소/NNG
배출량	배출량/NNG
전체를	전체/NNG+를/JKO
줄여야	줄이/VV+어야/EC
하므로	하/VX+므로/EC
북한산을	북한/NNP+산/XSN+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
중국의	중국/NNP+의/JKG
석탄	석탄/NNG
수요가	수요/NNG+가/JKS
전반적으로	전반/NNG+적/XSN+으로/JKB
줄어들	줄어들/VV+ㄹ/ETM
거란	거/NNB+이/VCP+란/ETM
반론도	반론/NNG+도/JX
제기된다.	제기/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.108.10.1
이와 관련해, 북핵 6자회담 한국쪽 수석대표인 김홍균 외교부 한반도평화교섭본부장은 9일 베이징을 방문해, 중국쪽 수석대표인 우다웨이 중국 외교부 한반도사무특별대표를 만나 협의했다.

이와	이/NP+와/JKB
관련해,	관련/NNG+하/XSV+아/EC+,/SP
북핵	북핵/NNG
6자회담	6/SN+자/NNB+회담/NNG
한국쪽	한국/NNP+쪽/NNB
수석대표인	수석대표/NNG+이/VCP+ㄴ/ETM
김홍균	김홍균/NNP
외교부	외교부/NNG
한반도평화교섭본부장은	한반도평화교섭본부장/NNG+은/JX
9일	9/SN+일/NNB
베이징을	베이징/NNP+을/JKO
방문해,	방문/NNG+하/XSV+아/EC+,/SP
중국쪽	중국/NNP+쪽/NNB
우다웨이	우다웨이/NNP
중국	중국/NNP
한반도사무특별대표를	한반도/NNP+사무/NNG+특별/NNG+대표/NNG+를/JKO
만나	만나/VV+아/EC
협의했다.	협의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.108.10.2
김 본부장은 이날 협의 뒤 기자들을 만나, 유엔 대북제재 결의의 철저한 이행을 중국 쪽에 강조했다.

김	김/NNP
본부장은	본부장/NNG+은/JX
이날	이날/NNG
협의	협의/NNG
뒤	뒤/NNG
기자들을	기자/NNG+들/XSN+을/JKO
만나,	만나/VV+아/EC+,/SP
유엔	유엔/NNP
대북제재	대북/NNG+제재/NNG
결의의	결의/NNG+의/JKG
철저한	철저/NNG+하/XSA+ㄴ/ETM
이행을	이행/NNG+을/JKO
중국	중국/NNP
쪽에	쪽/NNB+에/JKB
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.108.10.3
중국 쪽은 안보리 상임이사국으로서 신규 결의를 착실히 이행하겠다는 뜻을 밝혔다고 전했다.

중국	중국/NNP
쪽은	쪽/NNB+은/JX
안보리	안보리/NNG
상임이사국으로서	상임/NNG+이사국/NNG+으로서/JKB
신규	신규/NNG
결의를	결의/NNG+를/JKO
착실히	착실히/MAG
이행하겠다는	이행/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다고	밝히/VV+었/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


