# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.400
metadata : {}


# id : NWRW1800000052.400.1.1
장시호-김종 공모 범행의 배후도 최순실

장시호-김종	장시호/NNP+-/SO+김종/NNP
가로챌	가로채/VV+ㄹ/ETM
목적으로	목적/NNG+으로/JKB
조카	조카/NNG
장씨를	장/NNP+씨/NNB+를/JKO
시켜	시키/VV+어/EC
영재센터를	영재/NNG+센터/NNG+를/JKO
설립하도록	설립/NNG+하/XSV+도록/EC
했다”며	하/VV+았/EP+다/EF+”/SS+며/EC
김	김/NNP
전	전/MMD
차관도	차관/NNG+도/JX
최씨의	최/NNP+씨/NNB+의/JKG
지시를	지시/NNG+를/JKO
받고	받/VV+고/EC
삼성그룹	삼성그룹/NNP
등과	등/NNB+과/JKB
접촉했다고	접촉/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.400.8.3
검찰은 이날 최씨의 조카 장씨를 직권남용과 강요, 사기, 횡령 등 혐의로 구속기소했고, 최씨에 대해서는 조만간 김 전 차관과 함께 추가 기소하겠다고 밝혔다.

검찰은	검찰/NNG+은/JX
이날	이날/NNG
최씨의	최/NNP+씨/NNB+의/JKG
조카	조카/NNG
장씨를	장/NNP+씨/NNB+를/JKO
직권남용과	직권/NNG+남용/NNG+과/JC
강요,	강요/NNG+,/SP
사기,	사기/NNG+,/SP
횡령	횡령/NNG
등	등/NNB
혐의로	혐의/NNG+로/JKB
구속기소했고,	구속/NNG+기소/NNG+하/XSV+았/EP+고/EC+,/SP
최씨에	최/NNP+씨/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
조만간	조만간/MAG
김	김/NNP
전	전/MMD
차관과	차관/NNG+과/JKB
함께	함께/MAG
추가	추가/NNG
기소하겠다고	기소/NNG+하/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.400.9.1
최씨의 변호인 이경재 변호사는 이날 기자들과 만나 핵심 물증인 태블릿피시가 최씨 것이 아니라고 거듭 부인했다.

최씨의	최/NNP+씨/NNB+의/JKG
변호인	변호인/NNG
이경재	이경재/NNP
변호사는	변호사/NNG+는/JX
이날	이날/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
핵심	핵심/NNG
물증인	물증/NNG+이/VCP+ㄴ/ETM
태블릿피시가	태블릿/NNG+피시/NNG+가/JKS
최씨	최/NNP+씨/NNB
것이	것/NNB+이/JKC
아니라고	아니/VCN+라고/EC
거듭	거듭/MAG
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.400.9.2
최씨는 지난 10월말 독일에서 한 언론 인터뷰에서도 “태블릿피시는 내 것이 아니다”라고 주장한 바 있다.

최씨는	최/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
10월말	10/SN+월/NNB+말/NNB
독일에서	독일/NNP+에서/JKB
한	하/VV+ㄴ/ETM
언론	언론/NNG
인터뷰에서도	인터뷰/NNG+에서/JKB+도/JX
“태블릿피시는	“/SS+태블릿/NNG+피시/NNG+는/JX
내	나/NP+의/JKG
것이	것/NNB+이/JKC
아니다”라고	아니/VCN+다/EF+”/SS+라고/JKQ
주장한	주장/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.400.9.3
이 변호사는 “어제 고영태씨 등 청문회 증인들이 최씨가 태블릿피시를 못 쓴다고 얘기했다”며 “검찰이 최씨 소유로 단정하고 어마어마한 추궁과 압박수사를 했지만, 최씨는 일관되게 자기 것이 아니라고 얘기하고 있다”고 말했다.

이	이/NNP
변호사는	변호사/NNG+는/JX
“어제	“/SS+어제/MAG
고영태씨	고영태/NNP+씨/NNB
등	등/NNB
청문회	청문회/NNG
증인들이	증인/NNG+들/XSN+이/JKS
최씨가	최/NNP+씨/NNB+가/JKS
태블릿피시를	태블릿/NNG+피시/NNG+를/JKO
못	못/MAG
쓴다고	쓰/VV+ㄴ다고/EC
얘기했다”며	얘기/NNG+하/XSV+았/EP+다/EF+”/SS+며/EC
“검찰이	“/SS+검찰/NNG+이/JKS
최씨	최/NNP+씨/NNB
소유로	소유/NNG+로/JKB
단정하고	단정/NNG+하/XSV+고/EC
어마어마한	어마어마하/VA+ㄴ/ETM
추궁과	추궁/NNG+과/JC
압박수사를	압박/NNG+수사/NNG+를/JKO
했지만,	하/VV+았/EP+지만/EC+,/SP
최씨는	최/NNP+씨/NNB+는/JX
일관되게	일관/NNG+되/XSV+게/EC
자기	자기/NP
것이	것/NNB+이/JKC
아니라고	아니/VCN+라고/EC
얘기하고	얘기/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.400.9.4
그는 또 “태블릿 화면을 보면 저장된 자료가 전문가에 의해 정렬돼 있다”며 조작 가능성을 내비쳤다.

그는	그/NP+는/JX
또	또/MAG
“태블릿	“/SS+태블릿/NNG
화면을	화면/NNG+을/JKO
보면	보/VV+면/EC
저장된	저장/NNG+되/XSV+ㄴ/ETM
자료가	자료/NNG+가/JKS
전문가에	전문가/NNG+에/JKB
의해	의하/VV+아/EC
정렬돼	정렬/NNG+되/XSV+어/EC
있다”며	있/VX+다/EF+”/SS+며/EC
조작	조작/NNG
가능성을	가능/NNG+성/XSN+을/JKO
내비쳤다.	내비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.400.9.5
그러나 검찰은 “태블릿피시는 최씨 것이 확실하다”고 밝혔다.

그러나	그러나/MAJ
검찰은	검찰/NNG+은/JX
“태블릿피시는	“/SS+태블릿/NNG+피시/NNG+는/JX
최씨	최/NNP+씨/NNB
것이	것/NNB+이/JKS
확실하다”고	확실하/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.400.9.6
한 검찰 관계자는 “최씨 쪽이 국정농단 의혹의 핵심 물증인 태블릿피시의 신뢰성을 공격하면서 물타기에 나선 것으로 보인다”고 말했다.

한	한/MMN
검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“최씨	“/SS+최/NNP+씨/NNB
쪽이	쪽/NNB+이/JKS
국정농단	국정/NNG+농단/NNG
의혹의	의혹/NNG+의/JKG
핵심	핵심/NNG
물증인	물증/NNG+이/VCP+ㄴ/ETM
태블릿피시의	태블릿/NNG+피시/NNG+의/JKG
신뢰성을	신뢰/NNG+성/XSN+을/JKO
공격하면서	공격/NNG+하/XSV+면서/EC
물타기에	물타기/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.400.9.7
이 변호사는 최씨의 청문회 불참에 대해서는 “본인이 소추된 사건과 관련해서는 증언을 하지 않을 법 규정이 있다”고 말했다.

이	이/NNP
변호사는	변호사/NNG+는/JX
최씨의	최/NNP+씨/NNB+의/JKG
청문회	청문회/NNG
불참에	불참/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“본인이	“/SS+본인/NNG+이/JKS
소추된	소추/NNG+되/XSV+ㄴ/ETM
사건과	사건/NNG+과/JKB
관련해서는	관련/NNG+하/XSV+아서/EC+는/JX
증언을	증언/NNG+을/JKO
하지	하/VV+지/EC
않을	않/VX+을/ETM
법	법/NNG
규정이	규정/NNG+이/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.400.9.8
한편 최씨의 태블릿피시를 입수해 처음보도한 <제이티비시>는 이날 입수 경위에 대해 “지난달 18일 강남구 신사동 더블루케이의 사무실에 남아있던 책상 서랍에서 발견한 것”이라고 밝혔다.

한편	한편/MAG
최씨의	최/NNP+씨/NNB+의/JKG
태블릿피시를	태블릿/NNG+피시/NNG+를/JKO
입수해	입수/NNG+하/XSV+아/EC
처음보도한	처음/NNG+보도/NNG+하/XSV+ㄴ/ETM
<제이티비시>는	</SS+제이티비시/NNP+>/SS+는/JX
이날	이날/NNG
입수	입수/NNG
경위에	경위/NNG+에/JKB
대해	대하/VV+아/EC
“지난달	“/SS+지난달/NNG
18일	18/SN+일/NNB
강남구	강남구/NNP
신사동	신사동/NNP
더블루케이의	더블루케이/NNP+의/JKG
사무실에	사무실/NNG+에/JKB
남아있던	남/VV+아/EC+있/VX+던/ETM
책상	책상/NNG
서랍에서	서랍/NNG+에서/JKB
발견한	발견/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.400.9.9
더블루케이는 최순실씨가 실소유주인 회사로 케이스포츠재단 직원들과 고영태씨 등이 직원으로 일했다.

더블루케이는	더블루케이/NNP+는/JX
최순실씨가	최순실/NNP+씨/NNB+가/JKS
실소유주인	실소유주/NNG+이/VCP+ㄴ/ETM
회사로	회사/NNG+로/JKB
케이스포츠재단	케이스포츠재단/NNP
직원들과	직원/NNG+들/XSN+과/JC
고영태씨	고영태/NNP+씨/NNB
등이	등/NNB+이/JKS
직원으로	직원/NNG+으로/JKB
일했다.	일/NNG+하/XSV+았/EP+다/EF+./SF


