# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.14
metadata : {}


# id : NWRW1800000028.14.1.1
폭설·한파…전력이 모자란다

폭설·한파…전력이	폭설/NNG+·/SP+한파/NNG+…/SE+전력/NNG+이/JKS
322만㎾(예비율	322/SN+만/NR+㎾/SW+(/SS+예비/NNG+율/XSN
4.6%)로	4/SN+./SP+6/SN+%/SW+)/SS+로/JKB
떨어지는	떨어지/VV+는/ETM
비상상황을	비상/NNG+상황/NNG+을/JKO
맞게	맞/VV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.14.5.1
최경환 지경부 장관은 이날 대국민 담화문을 내어 “이미 프랑스에서는 예비전력 부족 등으로 시민들이 추위와 어둠 속에서 몇시간씩 떨기도 했다”며 전열기 사용 자제 및 적정 실내 난방온도(20도 이하)에 동참해줄 것을 호소했다.

최경환	최경환/NNP
지경부	지경부/NNG
장관은	장관/NNG+은/JX
이날	이날/NNG
대국민	대국민/NNG
담화문을	담화문/NNG+을/JKO
내어	내/VV+어/EC
“이미	“/SS+이미/MAG
프랑스에서는	프랑스/NNP+에서/JKB+는/JX
예비전력	예비/NNG+전력/NNG
부족	부족/NNG
등으로	등/NNB+으로/JKB
시민들이	시민/NNG+들/XSN+이/JKS
추위와	추위/NNG+와/JC
어둠	어둠/NNG
속에서	속/NNG+에서/JKB
몇시간씩	몇/NR+시간/NNB+씩/XSN
떨기도	떨/VV+기/ETN+도/JX
했다”며	하/VX+았/EP+다/EF+”/SS+며/EC
전열기	전열기/NNG
사용	사용/NNG
자제	자제/NNG
및	및/MAG
적정	적정/NNG
실내	실내/NNG
난방온도(20도	난방/NNG+온도/NNG+(/SS+20/SN+도/NNB
이하)에	이하/NNG+)/SS+에/JKB
동참해줄	동참/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.14.5.2
또 지경부는 전력거래소와 한국전력공사 등이 참가하는 전력수급대책본부를 구성해 수급 상황을 예의주시하는 한편, 불시점검을 통해 에너지 낭비가 심한 공공기관 및 민간기업의 명단을 발표하고 공공기관 평가에도 반영할 방침이라고 밝혔다.

또	또/MAG
지경부는	지경부/NNG+는/JX
전력거래소와	전력/NNG+거래소/NNG+와/JC
한국전력공사	한국전력공사/NNP
등이	등/NNB+이/JKS
참가하는	참가/NNG+하/XSV+는/ETM
전력수급대책본부를	전력/NNG+수급/NNG+대책/NNG+본부/NNG+를/JKO
구성해	구성/NNG+하/XSV+아/EC
수급	수급/NNG
상황을	상황/NNG+을/JKO
예의주시하는	예의/NNG+주시/NNG+하/XSV+는/ETM
한편,	한편/NNG+,/SP
불시점검을	불시/NNG+점검/NNG+을/JKO
통해	통하/VV+아/EC
에너지	에너지/NNG
낭비가	낭비/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
공공기관	공공/NNG+기관/NNG
및	및/MAG
민간기업의	민간/NNG+기업/NNG+의/JKG
명단을	명단/NNG+을/JKO
발표하고	발표/NNG+하/XSV+고/EC
평가에도	평가/NNG+에/JKB+도/JX
반영할	반영/NNG+하/XSV+ㄹ/ETM
방침이라고	방침/NNG+이/VCP+라고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.14.6.1
최 장관은 담화문 발표 뒤 기자간담회를 열어 “모레쯤 기온이 가장 낮을 것이라는 예보가 나와 우선 단기 대책을 발표한 것이지만, 현재 요금 체계나 소비 정도로 보면 내년 겨울철에도 다시 부하가 걸릴 가능성이 있다”며 “중장기적으로는 연료비 연동제를 포함한 전기요금 체계 개편 등 적절한 수요조절 대책을 마련할 필요가 있다”고 말했다.

최	최/NNP
장관은	장관/NNG+은/JX
담화문	담화문/NNG
발표	발표/NNG
뒤	뒤/NNG
기자간담회를	기자/NNG+간담회/NNG+를/JKO
열어	열/VV+어/EC
“모레쯤	“/SS+모레/NNG+쯤/XSN
기온이	기온/NNG+이/JKS
가장	가장/MAG
낮을	낮/VA+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예보가	예보/NNG+가/JKS
나와	나오/VV+아/EC
우선	우선/MAG
단기	단기/NNG
대책을	대책/NNG+을/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
것이지만,	것/NNB+이/VCP+지만/EC+,/SP
현재	현재/MAG
요금	요금/NNG
체계나	체계/NNG+나/JC
소비	소비/NNG
정도로	정도/NNG+로/JKB
보면	보/VV+면/EC
내년	내년/NNG
겨울철에도	겨울철/NNG+에/JKB+도/JX
다시	다시/MAG
부하가	부하/NNG+가/JKS
걸릴	걸리/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“중장기적으로는	“/SS+중장기/NNG+적/XSN+으로/JKB+는/JX
연료비	연료비/NNG
연동제를	연동/NNG+제/XSN+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전기요금	전기/NNG+요금/NNG
체계	체계/NNG
개편	개편/NNG
등	등/NNB
적절한	적절하/VA+ㄴ/ETM
수요조절	수요/NNG+조절/NNG
마련할	마련/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


