# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.212
metadata : {}


# id : NWRW1800000054.212.1.1
"김명수 대법원장 후보자, 아파트 다운계약서 써"

"김명수	"/SS+김명수/NNP
부부가	부부/NNG+가/JKS
가진	가지/VV+ㄴ/ETM
부동산은	부동산/NNG+은/JX
없는	없/VA+는/ETM
것으로	것/NNB+으로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.212.7.4
김 후보자는 지난해 초 춘천지법원장으로 발령받은 뒤 보유하던 서울 명륜동 소재 아파트를 처분했다.

김	김/NNP
후보자는	후보자/NNG+는/JX
지난해	지난해/NNG
초	초/NNB
춘천지법원장으로	춘천지법원장/NNG+으로/JKB
발령받은	발령/NNG+받/XSV+은/ETM
뒤	뒤/NNG
보유하던	보유/NNG+하/XSV+던/ETM
서울	서울/NNP
명륜동	명륜동/NNP
소재	소재/NNG
아파트를	아파트/NNG+를/JKO
처분했다.	처분/NNG+하/XSV+았/EP+다/EF+./SF


