# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.295
metadata : {}


# id : NWRW1800000026.295.1.1
실형 받은 피고인, 판사에 '볼펜 테러' 시도;재판 끝나자 돌진… 제압당해

실형	실형/NNG
구치소는 사건경위를 조사한 뒤 손씨에게 규율 위반 행위에 상응하는 징벌을 내리는 방안을 검토 중이다.

구치소는	구치소/NNG+는/JX
사건경위를	사건/NNG+경위/NNG+를/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
손씨에게	손/NNP+씨/NNB+에게/JKB
규율	규율/NNG
위반	위반/NNG
행위에	행위/NNG+에/JKB
상응하는	상응/NNG+하/XSV+는/ETM
징벌을	징벌/NNG+을/JKO
내리는	내리/VV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.295.7.1
법원에 따르면 손씨는 지난 5월 서울 명동에서 최모씨의 가방을 열고 현금과 신용카드가 든 지갑을 훔친 혐의와 길에서 주운 체크카드로 돈을 찾으려고 시도한 혐의 등으로 구속기소됐다.

법원에	법원/NNG+에/JKB
따르면	따르/VV+면/EC
손씨는	손/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
서울	서울/NNP
명동에서	명동/NNP+에서/JKB
최모씨의	최/NNP+모/NP+씨/NNB+의/JKG
가방을	가방/NNG+을/JKO
열고	열/VV+고/EC
현금과	현금/NNG+과/JC
신용카드가	신용/NNG+카드/NNG+가/JKS
든	들/VV+ㄴ/ETM
지갑을	지갑/NNG+을/JKO
훔친	훔치/VV+ㄴ/ETM
혐의와	혐의/NNG+와/JC
길에서	길/NNG+에서/JKB
주운	줍/VV+ㄴ/ETM
체크카드로	체크/NNG+카드/NNG+로/JKB
돈을	돈/NNG+을/JKO
찾으려고	찾/VV+으려고/EC
시도한	시도/NNG+하/XSV+ㄴ/ETM
혐의	혐의/NNG
등으로	등/NNB+으로/JKB
구속기소됐다.	구속/NNG+기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.295.8.1
그는 1996년 폭력을 휘두른 혐의로 기소됐는데 과대망상과 피해망상, 행동 장애 등 정신분열 증세를 보인다는 이유로 치료감호 판결이 확정된 바 있다.

그는	그/NP+는/JX
1996년	1996/SN+년/NNB
폭력을	폭력/NNG+을/JKO
휘두른	휘두르/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
기소됐는데	기소/NNG+되/XSV+었/EP+는데/EC
과대망상과	과대망상/NNG+과/JC
피해망상,	피해망상/NNG+,/SP
행동	행동/NNG
장애	장애/NNG
등	등/NNB
정신분열	정신/NNG+분열/NNG
증세를	증세/NNG+를/JKO
보인다는	보이/VV+ㄴ다는/ETM
이유로	이유/NNG+로/JKB
치료감호	치료/NNG+감호/NNG
판결이	판결/NNG+이/JKS
확정된	확정/NNG+되/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000026.295.9.1
법무부 관계자는 "수용자에게 집필권을 허가하라는 국가인권위원회의 권고에 따라 볼펜 소지를 허용하고 있다"고 말했다.

법무부	법무부/NNG
관계자는	관계자/NNG+는/JX
"수용자에게	"/SS+수용자/NNG+에게/JKB
집필권을	집필/NNG+권/XSN+을/JKO
허가하라는	허가/NNG+하/XSV+라는/ETM
국가인권위원회의	국가인권위원회/NNP+의/JKG
권고에	권고/NNG+에/JKB
따라	따르/VV+아/EC
볼펜	볼펜/NNG
소지를	소지/NNG+를/JKO
허용하고	허용/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.295.9.2
법원의 한 관계자는 "법정의 안전을 강화하기 위해 엑스레이 투시기나 스피드 게이트를 설치하자고 제안하고 있으나 예산 제약이라는 현실적인 어려움이 있다"고 말했다.

법원의	법원/NNG+의/JKG
한	한/MMN
관계자는	관계자/NNG+는/JX
"법정의	"/SS+법정/NNG+의/JKG
안전을	안전/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
엑스레이	엑스레이/NNG
투시기나	투시기/NNG+나/JC
스피드	스피드/NNG
게이트를	게이트/NNG+를/JKO
설치하자고	설치/NNG+하/XSV+자고/EC
제안하고	제안/NNG+하/XSV+고/EC
있으나	있/VX+으나/EC
예산	예산/NNG
제약이라는	제약/NNG+이/VCP+라는/ETM
현실적인	현실/NNG+적/XSN+이/VCP+ㄴ/ETM
어려움이	어려움/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.295.10.1
한편 2006년부터 올해 7월까지 각급 법원에서는 법정 모독·소란·도주·실신·오물투척 등 총 191건의 법정 내 사고가 발생했다.

한편	한편/MAG
2006년부터	2006/SN+년/NNB+부터/JX
올해	올해/NNG
7월까지	7/SN+월/NNB+까지/JX
각급	각급/NNG
법원에서는	법원/NNG+에서/JKB+는/JX
법정	법정/NNG
모독·소란·도주·실신·오물투척	모독/NNG+·/SP+소란/NNG+·/SP+도주/NNG+·/SP+실신/NNG+·/SP+오물/NNG+투척/NNG
등	등/NNB
총	총/MMA
191건의	191/SN+건/NNB+의/JKG
내	내/NNB
사고가	사고/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.295.10.2
지난 4월 서울동부지법에서는 민사사건 당사자가 재판부 쪽을 향해 달걀을 던져 감치 20일에 처해지기도 했다.

지난	지나/VV+ㄴ/ETM
4월	4/SN+월/NNB
서울동부지법에서는	서울동부지법/NNP+에서/JKB+는/JX
민사사건	민사/NNG+사건/NNG
당사자가	당사자/NNG+가/JKS
재판부	재판부/NNG
쪽을	쪽/NNB+을/JKO
향해	향하/VV+아/EC
달걀을	달걀/NNG+을/JKO
던져	던지/VV+어/EC
감치	감치/NNG
20일에	20/SN+일/NNB+에/JKB
처해지기도	처하/VV+아/EC+지/VX+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


