# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.384
metadata : {}


# id : NWRW1800000033.384.1.1
[선택 2012 대선 D-12]朴-文 돌연 “국회의원 정수 축소” 약속… 대선후에도 추진할까

[선택	[/SS+선택/NNG
여야는 불과 10개월 전인 2월 19대 총선을 앞두고 공직선거법 개정을 통해 헌정사상 처음으로 의원 정수를 299석에서 300석으로 늘린 바 있다.

여야는	여야/NNG+는/JX
불과	불과/MAG
10개월	10/SN+개월/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2월	2/SN+월/NNB
19대	19/SN+대/NNB
총선을	총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
공직선거법	공직/NNG+선거법/NNG
개정을	개정/NNG+을/JKO
통해	통하/VV+아/EC
헌정사상	헌정사/NNG+상/XSN
처음으로	처음/NNG+으로/JKB
의원	의원/NNG
정수를	정수/NNG+를/JKO
299석에서	299/SN+석/NNB+에서/JKB
300석으로	300/SN+석/NNB+으로/JKB
늘린	늘리/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.384.4.1
문 후보와 새누리당 이한구 원내대표는 이날 오전 경쟁이라도 하듯 거의 동시에 정원 감축을 언급했다.

문	문/NNP
후보와	후보/NNG+와/JC
새누리당	새누리당/NNP
이한구	이한구/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
이날	이날/NNG
오전	오전/NNG
경쟁이라도	경쟁/NNG+이/VCP+라도/EC
하듯	하/VV+듯/EC
거의	거의/MAG
동시에	동시/NNG+에/JKB
정원	정원/NNG
감축을	감축/NNG+을/JKO
언급했다.	언급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.384.4.2
문 후보는 범야권 대선 공조기구인 국민연대 출범식에서 “기득권 내려놓기 차원에서 의원정수 축소 조정을 새정치위원회에서 논의해 의견을 모아주면 책임지고 실천하겠다”고 밝혔다.

문	문/NNP
후보는	후보/NNG+는/JX
범야권	범/XPN+야권/NNG
대선	대선/NNG
공조기구인	공조/NNG+기구/NNG+이/VCP+ㄴ/ETM
국민연대	국민/NNG+연대/NNG
출범식에서	출범식/NNG+에서/JKB
“기득권	“/SS+기득/NNG+권/XSN
내려놓기	내려놓/VV+기/ETN
차원에서	차원/NNG+에서/JKB
의원정수	의원/NNG+정수/NNG
축소	축소/NNG
조정을	조정/NNG+을/JKO
새정치위원회에서	새/MMA+정치/NNG+위원회/NNG+에서/JKB
논의해	논의/NNG+하/XSV+아/EC
의견을	의견/NNG+을/JKO
모아주면	모으/VV+아/EC+주/VX+면/EC
책임지고	책임지/VV+고/EC
실천하겠다”고	실천/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.384.4.3
지난달 21일 단일화 TV토론에서 ‘정수 조정’ 문제를 놓고 안 전 후보와 감정싸움까지 벌였던 문 후보가 갑자기 한발 물러난 것으로 안 전 후보의 적극적 지원유세를 이끌어내기 위한 포석으로 보인다.

지난달	지난달/NNG
21일	21/SN+일/NNB
단일화	단일/NNG+화/XSN
TV토론에서	TV/SL+토론/NNG+에서/JKB
‘정수	‘/SS+정수/NNG
조정’	조정/NNG+’/SS
문제를	문제/NNG+를/JKO
놓고	놓/VV+고/EC
안	안/NNP
전	전/MMD
후보와	후보/NNG+와/JKB
감정싸움까지	감정싸움/NNG+까지/JX
벌였던	벌이/VV+었/EP+던/ETM
문	문/NNP
후보가	후보/NNG+가/JKS
갑자기	갑자기/MAG
한발	한발/MAG
물러난	물러나/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
후보의	후보/NNG+의/JKG
적극적	적극/NNG+적/XSN
지원유세를	지원/NNG+유세/NNG+를/JKO
이끌어내기	이끌/VV+어/EC+내/VX+기/ETN
위한	위하/VV+ㄴ/ETM
포석으로	포석/NNG+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.384.5.1
새누리당 이 원내대표는 더 나아가 감축 제안을 했다.

새누리당	새누리당/NNP
이	이/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
더	더/MAG
나아가	나아가/VV+아/EC
감축	감축/NNG
제안을	제안/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.384.5.2
그는 국회에서 열린 ‘정치쇄신 실천을 위한 원내대표단 및 당 정치쇄신특위 연석회의’를 마친 뒤 기자간담회에서 “국회의원 정수를 여야 합의로 합리적 수준으로 감축할 것을 제안한다”고 말했다.

그는	그/NP+는/JX
국회에서	국회/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘정치쇄신	‘/SS+정치/NNG+쇄신/NNG
실천을	실천/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
원내대표단	원내/NNG+대표단/NNG
및	및/MAG
당	당/NNG
정치쇄신특위	정치/NNG+쇄신/NNG+특위/NNG
연석회의’를	연석회의/NNG+’/SS+를/JKO
마친	마치/VV+ㄴ/ETM
뒤	뒤/NNG
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“국회의원	“/SS+국회/NNG+의원/NNG
정수를	정수/NNG+를/JKO
여야	여야/NNG
합의로	합의/NNG+로/JKB
합리적	합리/NNG+적/XSN
수준으로	수준/NNG+으로/JKB
감축할	감축/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
제안한다”고	제안/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.384.5.3
이는 정치쇄신 이미지를 선점해 정수 축소를 처음 제안했던 안 전 후보의 지지층인 중도·무당파의 표를 얻겠다는 전략으로 풀이된다.

이는	이/NP+는/JX
정치쇄신	정치/NNG+쇄신/NNG
이미지를	이미지/NNG+를/JKO
선점해	선점/NNG+하/XSV+아/EC
정수	정수/NNG
축소를	축소/NNG+를/JKO
처음	처음/NNG
제안했던	제안/NNG+하/XSV+았/EP+던/ETM
안	안/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
지지층인	지지/NNG+층/XSN+이/VCP+ㄴ/ETM
중도·무당파의	중도/NNG+·/SP+무/XPN+당파/NNG+의/JKG
표를	표/NNG+를/JKO
얻겠다는	얻/VV+겠/EP+다는/ETM
전략으로	전략/NNG+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.384.5.4
실제 이 원내대표는 “마침 안 전 후보도 관심이 많은 것 같고 국민이 상당히 요구하고 있어 정치쇄신을 국민 눈높이에서 한다는 원칙 아래 적극 논의하자는 것”이라고 말했다.

실제	실제/MAG
이	이/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“마침	“/SS+마침/MAG
안	안/NNP
전	전/MMD
후보도	후보/NNG+도/JX
관심이	관심/NNG+이/JKS
많은	많/VA+은/ETM
것	것/NNB
같고	같/VA+고/EC
국민이	국민/NNG+이/JKS
상당히	상당히/MAG
요구하고	요구/NNG+하/XSV+고/EC
있어	있/VX+어/EC
정치쇄신을	정치/NNG+쇄신/NNG+을/JKO
국민	국민/NNG
눈높이에서	눈높이/NNG+에서/JKB
한다는	하/VV+ㄴ다는/ETM
원칙	원칙/NNG
아래	아래/NNG
적극	적극/NNG
논의하자는	논의/NNG+하/XSV+자는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.384.6.1
하지만 새누리당은 그동안 안 전 후보의 정수 축소 제안에 대해 비판의 목소리를 내왔다.

하지만	하지만/MAJ
새누리당은	새누리당/NNP+은/JX
그동안	그동안/NNG
안	안/NNP
전	전/MMD
후보의	후보/NNG+의/JKG
정수	정수/NNG
축소	축소/NNG
제안에	제안/NNG+에/JKB
대해	대하/VV+아/EC
비판의	비판/NNG+의/JKG
목소리를	목소리/NNG+를/JKO
내왔다.	내/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.384.6.2
안대희 정치쇄신특위 위원장은 10월 말 라디오 인터뷰에서 “선거 전략이며 국민의 정치적 불신에 편승한 안”이라고 평가 절하했고, 김무성 총괄선대본부장도 “현실 정치에 대한 이해가 부족하고 실효성이 없는 비현실적 사고에 젖어 있다”고 비판한 바 있다.

안대희	안대희/NNP
정치쇄신특위	정치/NNG+쇄신/NNG+특위/NNG
위원장은	위원장/NNG+은/JX
10월	10/SN+월/NNB
말	말/NNB
라디오	라디오/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“선거	“/SS+선거/NNG
전략이며	전략/NNG+이/VCP+며/EC
국민의	국민/NNG+의/JKG
정치적	정치/NNG+적/XSN
불신에	불신/NNG+에/JKB
편승한	편승/NNG+하/XSV+ㄴ/ETM
안”이라고	안/NNG+”/SS+이라고/JKQ
평가	평가/NNG
절하했고,	절하/NNG+하/XSV+았/EP+고/EC+,/SP
김무성	김무성/NNP
총괄선대본부장도	총괄/NNG+선대/NNG+본부장/NNG+도/JX
“현실	“/SS+현실/NNG
정치에	정치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
부족하고	부족/NNG+하/XSA+고/EC
실효성이	실효/NNG+성/XSN+이/JKS
없는	없/VA+는/ETM
비현실적	비/XPN+현실/NNG+적/XSN
사고에	사고/NNG+에/JKB
젖어	젖/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비판한	비판/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.384.6.3
문 후보도 정수 축소가 아닌 비례대표 의석 확대를 주장해 왔다.

문	문/NNP
후보도	후보/NNG+도/JX
정수	정수/NNG
축소가	축소/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
비례대표	비례/NNG+대표/NNG
의석	의석/NNG
확대를	확대/NNG+를/JKO
주장해	주장/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.384.7.1
일단 여야는 7일 오전 국회에서 원내수석부대표 회담을 열기로 했지만 당분간 가시적 성과가 나오기는 힘들어 보인다.

일단	일단/MAG
여야는	여야/NNG+는/JX
7일	7/SN+일/NNB
오전	오전/NNG
국회에서	국회/NNG+에서/JKB
원내수석부대표	원내/NNG+수석/NNG+부대표/NNG
회담을	회담/NNG+을/JKO
열기로	열/VV+기/ETN+로/JKB
했지만	하/VV+았/EP+지만/EC
당분간	당분간/NNG
가시적	가시/NNG+적/XSN
성과가	성과/NNG+가/JKS
나오기는	나오/VV+기/ETN+는/JX
힘들어	힘들/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.384.7.2
당장 민주당 박기춘 원내수석부대표는 이 원내대표의 제안을 환영하면서도 “의원 정수 축소조정 문제는 선거구 획정과 비례대표 확대, 권역별 정당명부식 비례대표제 도입 등과 함께 논의돼야 한다”고 말했다.

당장	당장/NNG
민주당	민주당/NNP
박기춘	박기춘/NNP
원내수석부대표는	원내/NNG+수석/NNG+부대표/NNG+는/JX
이	이/NNP
원내대표의	원내/NNG+대표/NNG+의/JKG
제안을	제안/NNG+을/JKO
환영하면서도	환영/NNG+하/XSV+면서/EC+도/JX
“의원	“/SS+의원/NNG
정수	정수/NNG
축소조정	축소/NNG+조정/NNG
문제는	문제/NNG+는/JX
선거구	선거구/NNG
획정과	획정/NNG+과/JC
비례대표	비례/NNG+대표/NNG
확대,	확대/NNG+,/SP
권역별	권역/NNG+별/XSN
정당명부식	정당/NNG+명부식/NNG
비례대표제	비례/NNG+대표/NNG+제/XSN
도입	도입/NNG
등과	등/NNB+과/JKB
함께	함께/MAG
논의돼야	논의/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.384.7.3
아울러 이달 임시국회를 열어 “투표시간 연장과 반값 등록금법, 유통산업발전법, 최저임금법, 세종시특별법, 청주시특별법 5대 긴급민생입법도 함께 처리하자”고 역제안했다.

아울러	아울러/MAG
이달	이달/NNG
임시국회를	임시/NNG+국회/NNG+를/JKO
열어	열/VV+어/EC
“투표시간	“/SS+투표/NNG+시간/NNG
연장과	연장/NNG+과/JC
반값	반값/NNG
등록금법,	등록금/NNG+법/NNG+,/SP
유통산업발전법,	유통/NNG+산업/NNG+발전법/NNG+,/SP
최저임금법,	최저/NNG+임금법/NNG+,/SP
세종시특별법,	세종시/NNP+특별법/NNG+,/SP
청주시특별법	청주시/NNP+특별법/NNG
5대	5/SN+대/NNG
긴급민생입법도	긴급/NNG+민생/NNG+입법/NNG+도/JX
함께	함께/MAG
처리하자”고	처리/NNG+하/XSV+자/EF+”/SS+고/JKQ
역제안했다.	역제안/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.384.8.1
이에 새누리당 신의진 원내대변인은 “예산안 통과와 동시에 일명 ‘택시법’을 여야 합의로 처리하고, 유통산업발전법은 대형마트 영업시간 제한을 오후 10시에서 밤 12시로 변경하는 것을 민주당이 수용하면 처리할 수 있다”고 맞받아쳤다.

이에	이/NP+에/JKB
새누리당	새누리당/NNP
신의진	신의진/NNP
원내대변인은	원내/NNG+대변인/NNG+은/JX
“예산안	“/SS+예산안/NNG
통과와	통과/NNG+와/JKB
동시에	동시/NNG+에/JKB
일명	일명/NNG
‘택시법’을	‘/SS+택시/NNG+법/NNG+’/SS+을/JKO
여야	여야/NNG
합의로	합의/NNG+로/JKB
처리하고,	처리/NNG+하/XSV+고/EC+,/SP
유통산업발전법은	유통/NNG+산업/NNG+발전법/NNG+은/JX
대형마트	대형/NNG+마트/NNG
영업시간	영업시간/NNG
제한을	제한/NNG+을/JKO
오후	오후/NNG
10시에서	10/SN+시/NNB+에서/JKB
밤	밤/NNG
12시로	12/SN+시/NNB+로/JKB
변경하는	변경/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
민주당이	민주당/NNP+이/JKS
수용하면	수용/NNG+하/XSV+면/EC
처리할	처리/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
맞받아쳤다.	맞받아치/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.384.8.2
당 핵심 관계자는 “‘지역구 축소와 비례대표 확대 반대’가 기본 생각인데 민주당이 벌써부터 비례대표 확대를 들고 나오고 있다”며 “대선 전에는 여야 합의가 불가능하다”고 말했다.

당	당/NNG
핵심	핵심/NNG
관계자는	관계자/NNG+는/JX
“‘지역구	“/SS+‘/SS+지역구/NNG
축소와	축소/NNG+와/JC
비례대표	비례/NNG+대표/NNG
확대	확대/NNG
반대’가	반대/NNG+’/SS+가/JKS
기본	기본/NNG
생각인데	생각/NNG+이/VCP+ㄴ데/EC
민주당이	민주당/NNP+이/JKS
벌써부터	벌써/MAG+부터/JX
확대를	확대/NNG+를/JKO
들고	들/VV+고/EC
나오고	나오/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“대선	“/SS+대선/NNG
전에는	전/NNG+에/JKB+는/JX
여야	여야/NNG
합의가	합의/NNG+가/JKS
불가능하다”고	불/XPN+가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.384.8.3
게다가 자신의 지역구가 없어질 것이 예상되는 여야 의원들의 거센 항의도 예상된다.

게다가	게다가/MAG
자신의	자신/NNG+의/JKG
지역구가	지역구/NNG+가/JKS
없어질	없어지/VV+ㄹ/ETM
것이	것/NNB+이/JKS
예상되는	예상/NNG+되/XSV+는/ETM
여야	여야/NNG
의원들의	의원/NNG+들/XSN+의/JKG
거센	거세/VA+ㄴ/ETM
항의도	항의/NNG+도/JX
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.384.8.4
다만 여야 모두 국회 정치쇄신특위 상설화와 의원세비 30% 삭감에는 동의하고 있어 대선 전후에 관련 법안이 전격 처리될 수도 있다.

다만	다만/MAG
여야	여야/NNG
모두	모두/MAG
국회	국회/NNG
정치쇄신특위	정치/NNG+쇄신/NNG+특위/NNG
상설화와	상설/NNG+화/XSN+와/JC
의원세비	의원/NNG+세비/NNG
30%	30/SN+%/SW
삭감에는	삭감/NNG+에/JKB+는/JX
동의하고	동의/NNG+하/XSV+고/EC
있어	있/VX+어/EC
대선	대선/NNG
전후에	전후/NNG+에/JKB
관련	관련/NNG
법안이	법안/NNG+이/JKS
전격	전격/NNG
처리될	처리/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


