# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.175
metadata : {}


# id : NWRW1800000038.175.1.1
年 7억대 경호받는 전두환 前대통령, 지방세 3년 체납

年	年/SH
10%인	10/SN+%/SW+이/VCP+ㄴ/ETM
3017만원의	3017/SN+만/NR+원/NNB+의/JKG
지방세가	지방세/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.175.5.3
양도소득세는 전 전 대통령이 '돈이 없다'고 해 '무재산 결손처분'된 것으로 알려졌지만, 지방세는 가산금이 붙어 현재 4000여만원으로 불어났다.

양도소득세는	양도/NNG+소득세/NNG+는/JX
전	전/MMD
대통령이	대통령/NNG+이/JKS
'돈이	'/SS+돈/NNG+이/JKS
없다'고	없/VA+다/EF+'/SS+고/JKQ
해	하/VV+아/EC
'무재산	'/SS+무/XPN+재산/NNG
결손처분'된	결손/NNG+처분/NNG+'/SS+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌지만,	알려지/VV+었/EP+지만/EC+,/SP
지방세는	지방세/NNG+는/JX
가산금이	가산금/NNG+이/JKS
붙어	붙/VV+어/EC
현재	현재/MAG
4000여만원으로	4000/SN+여/XSN+만/NR+원/NNB+으로/JKB
불어났다.	불어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.175.6.1
전 전 대통령은 1997년 대법원에서 유죄가 확정돼 추징금 2205억원을 선고받았지만 아직 1672억원을 내지 않고 있다.

전	전/MMD
대통령은	대통령/NNG+은/JX
1997년	1997/SN+년/NNB
대법원에서	대/XPN+법원/NNG+에서/JKB
유죄가	유죄/NNG+가/JKS
확정돼	확정/NNG+되/XSV+어/EC
추징금	추징금/NNG
2205억원을	2205/SN+억/NR+원/NNB+을/JKO
선고받았지만	선고/NNG+받/XSV+았/EP+지만/EC
아직	아직/MAG
1672억원을	1672/SN+억/NR+원/NNB+을/JKO
내지	내/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.175.6.2
하지만 작년엔 육군사관학교 발전 기금으로 1000만원 이상을 내놓으며 논란이 됐다.

하지만	하지만/MAJ
작년엔	작년/NNG+에/JKB+ㄴ/JX
육군사관학교	육군사관학교/NNP
발전	발전/NNG
기금으로	기금/NNG+으로/JKB
1000만원	1000/SN+만/NR+원/NNB
이상을	이상/NNG+을/JKO
내놓으며	내놓/VV+으며/EC
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.175.6.3
경찰이 부담하는 전 전 대통령의 경호 비용은 연간 7억원 이상인 것으로 알려졌다.

경찰이	경찰/NNG+이/JKS
부담하는	부담/NNG+하/XSV+는/ETM
전	전/MMD
대통령의	대통령/NNG+의/JKG
경호	경호/NNG
비용은	비용/NNG+은/JX
연간	연간/NNG
7억원	7/SN+억/NR+원/NNB
이상인	이상/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.175.7.1
서울시는 전 전 대통령을 포함한 942명이 앞으로 6개월 동안 체납 세금을 내지 않으면 최종 심의를 거쳐 서울시 관보와 홈페이지에 명단을 공개하겠다는 입장이다.

서울시는	서울시/NNP+는/JX
전	전/MMD
대통령을	대통령/NNG+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
942명이	942/SN+명/NNB+이/JKS
앞으로	앞/NNG+으로/JKB
6개월	6/SN+개월/NNB
동안	동안/NNG
체납	체납/NNG
세금을	세금/NNG+을/JKO
내지	내/VV+지/EC
않으면	않/VX+으면/EC
최종	최종/NNG
심의를	심의/NNG+를/JKO
거쳐	거치/VV+어/EC
서울시	서울시/NNP
관보와	관보/NNG+와/JC
홈페이지에	홈페이지/NNG+에/JKB
명단을	명단/NNG+을/JKO
공개하겠다는	공개/NNG+하/XSV+겠/EP+다는/ETM
입장이다.	입장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.175.7.2
시는 다만 이의 신청을 받아 세금을 낼 수 없는 정당한 사유가 있으면 신원 공개가 이뤄지지 않을 수도 있다고 설명했다.

시는	시/NNG+는/JX
다만	다만/MAG
이의	이의/NNG
신청을	신청/NNG+을/JKO
받아	받/VV+아/EC
세금을	세금/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
정당한	정당하/VA+ㄴ/ETM
사유가	사유/NNG+가/JKS
있으면	있/VA+으면/EC
신원	신원/NNG
공개가	공개/NNG+가/JKS
이뤄지지	이뤄지/VV+지/EC
않을	않/VX+을/ETM
수도	수/NNB+도/JX
있다고	있/VA+다고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.175.8.1
세금 체납 사실이 알려진 이날 오전 전 전 대통령의 연희동 자택 앞에서는 5·18 민중항쟁서울기념사업회, 민주사회를 위한 변호사모임 등 30여개 시민단체가 모여 "전 전 대통령의 불법 재산을 환수하고 경호를 중지해야 한다"고 주장했다.

세금	세금/NNG
체납	체납/NNG
사실이	사실/NNG+이/JKS
알려진	알려지/VV+ㄴ/ETM
이날	이날/NNG
오전	오전/NNG
전	전/MMD
대통령의	대통령/NNG+의/JKG
연희동	연희동/NNP
자택	자택/NNG
앞에서는	앞/NNG+에서/JKB+는/JX
5·18	5/SN+·/SP+18/SN
민중항쟁서울기념사업회,	민중/NNG+항쟁/NNG+서울/NNP+기념사업회/NNG+,/SP
민주사회를	민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사모임	변호사/NNG+모임/NNG
등	등/NNB
30여개	30/SN+여/XSN+개/NNB
시민단체가	시민/NNG+단체/NNG+가/JKS
모여	모이/VV+어/EC
"전	"/SS+전/NNP
불법	불법/NNG
재산을	재산/NNG+을/JKO
환수하고	환수/NNG+하/XSV+고/EC
경호를	경호/NNG+를/JKO
중지해야	중지/NNG+하/XSV+아야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


