# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.369
metadata : {}


# id : NWRW1800000024.369.1.1
인기 토종 캐릭터, 세계를 매혹하다

인기	인기/NNG
미국	미국/NNP
워너브러더스와	워너브러더스/NNP+와/JC
북미,	북미/NNP+,/SP
중남미에	중남미/NNP+에/JKB
이어	잇/VV+어/EC
유럽에서도	유럽/NNP+에서/JKB+도/JX
공동사업을	공동/NNG+사업/NNG+을/JKO
펼치는	펼치/VV+는/ETM
라이선스	라이선스/NNG
계약을	계약/NNG+을/JKO
맺은	맺/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.369.5.3
워너브러더스는 ‘배트맨’을 비롯한 자체 캐릭터를 이용한 라이선스 사업규모만 2007년 기준으로 60억달러(약 7조원)에 이른다.

워너브러더스는	워너브러더스/NNP+는/JX
‘배트맨’을	‘/SS+배트맨/NNG+’/SS+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
자체	자체/NNG
캐릭터를	캐릭터/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
라이선스	라이선스/NNG
사업규모만	사업/NNG+규모/NNG+만/JX
2007년	2007/SN+년/NNB
기준으로	기준/NNG+으로/JKB
60억달러(약	60/SN+억/NR+달러/NNB+(/SS+약/MMA
7조원)에	7/SN+조/NR+원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.369.5.4
때문에 다른 캐릭터업체들과 대규모 계약을 체결하는 일이 드물다.

때문에	때문/NNB+에/JKB
다른	다른/MMD
캐릭터업체들과	캐릭터/NNG+업체/NNG+들/XSN+과/JKB
대규모	대/XPN+규모/NNG
계약을	계약/NNG+을/JKO
체결하는	체결/NNG+하/XSV+는/ETM
일이	일/NNG+이/JKS
드물다.	드물/VA+다/EF+./SF


# id : NWRW1800000024.369.5.5
하지만 경기침체에도 뿌까가 중남미와 유럽의 소비자들에게 큰 사랑을 받자 워너브러더스는 쉽게 라이선스 계약을 맺자고 손을 내밀었다.

하지만	하지만/MAJ
경기침체에도	경기/NNG+침체/NNG+에/JKB+도/JX
뿌까가	뿌까/NNG+가/JKS
중남미와	중남미/NNP+와/JC
유럽의	유럽/NNP+의/JKG
소비자들에게	소비자/NNG+들/XSN+에게/JKB
큰	크/VA+ㄴ/ETM
사랑을	사랑/NNG+을/JKO
받자	받/VV+자/EC
워너브러더스는	워너브러더스/NNP+는/JX
쉽게	쉽/VA+게/EC
라이선스	라이선스/NNG
계약을	계약/NNG+을/JKO
맺자고	맺/VV+자고/EC
손을	손/NNG+을/JKO
내밀었다.	내밀/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.369.5.6
이번 행사 주관회사의 앤드루 모어는 “뿌까는 이제 유럽 여성들에게 가장 사랑받는 캐릭터의 하나가 되고 있다”며 “최근 내놓고 있는 패션 관련 제품들이 흥미롭다”고 말했다.

이번	이번/NNG
행사	행사/NNG
주관회사의	주관/NNG+회사/NNG+의/JKG
앤드루	앤드루/NNP
모어는	모어/NNP+는/JX
“뿌까는	“/SS+뿌까/NNG+는/JX
이제	이제/MAG
유럽	유럽/NNP
여성들에게	여성/NNG+들/XSN+에게/JKB
가장	가장/MAG
사랑받는	사랑/NNG+받/XSV+는/ETM
캐릭터의	캐릭터/NNG+의/JKG
하나가	하나/NR+가/JKC
되고	되/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“최근	“/SS+최근/NNG
내놓고	내놓/VV+고/EC
있는	있/VX+는/ETM
패션	패션/NNG
관련	관련/NNG
제품들이	제품/NNG+들/XSN+이/JKS
흥미롭다”고	흥미/NNG+롭/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.369.6.1
캐릭터 산업은 대표적인 고부가가치 산업으로 꼽힌다.

캐릭터	캐릭터/NNG
산업은	산업/NNG+은/JX
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
고부가가치	고/XPN+부가/NNG+가치/NNG
산업으로	산업/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.369.6.2
캐릭터가 인기를 끌 경우 연계시킬 수 있는 분야가 무궁무진하기 때문이다.

캐릭터가	캐릭터/NNG+가/JKS
인기를	인기/NNG+를/JKO
끌	끌/VV+ㄹ/ETM
경우	경우/NNG
연계시킬	연계/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
분야가	분야/NNG+가/JKS
무궁무진하기	무궁무진/NNG+하/XSA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.369.6.3
뿌까 역시 일반 캐릭터상품뿐 아니라 애니메이션, 온라인게임 등 여러 용도로 개발됐다.

뿌까	뿌까/NNG
역시	역시/MAG
일반	일반/NNG
캐릭터상품뿐	캐릭터/NNG+상품/NNG+뿐/JX
아니라	아니/VCN+라/EC
애니메이션,	애니메이션/NNG+,/SP
온라인게임	온라인/NNG+게임/NNG
등	등/NNB
여러	여러/MMN
용도로	용도/NNG+로/JKB
개발됐다.	개발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.369.6.4
부즈는 앞으로 뿌까 테마파크까지 세울 계획이다.

부즈는	부즈/NNP+는/JX
앞으로	앞/NNG+으로/JKB
뿌까	뿌까/NNG
테마파크까지	테마파크/NNG+까지/JX
세울	세우/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.369.7.1
뿌까는 국내의 여느 수출품과 다른 확장 이력을 갖고 있다.

뿌까는	뿌까/NNG+는/JX
국내의	국내/NNG+의/JKG
여느	여느/MMA
수출품과	수출품/NNG+과/JKB
다른	다르/VA+ㄴ/ETM
확장	확장/NNG
이력을	이력/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.369.7.2
벌써 127개국 시장에 진출했다.

벌써	벌써/MAG
127개국	127/SN+개국/NNB
시장에	시장/NNG+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.369.7.3
그런데도 국내에서는 이렇다 할 두각을 나타내지 못했다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
국내에서는	국내/NNG+에서/JKB+는/JX
이렇다	이렇/VA+다/EC
할	하/VV+ㄹ/ETM
두각을	두각/NNG+을/JKO
나타내지	나타내/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.369.7.4
부즈의 김부경 대표는 “캐릭터 시장이 성숙한 곳에서 먼저 성공해 국내로 들어오고 싶다”며, 세계 시장에서 먼저 터를 잡은 뒤 ‘역수입’하는 전략을 소개했다.

부즈의	부즈/NNP+의/JKG
김부경	김부경/NNP
대표는	대표/NNG+는/JX
“캐릭터	“/SS+캐릭터/NNG
시장이	시장/NNG+이/JKS
성숙한	성숙/NNG+하/XSV+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
먼저	먼저/MAG
성공해	성공/NNG+하/XSV+아/EC
국내로	국내/NNG+로/JKB
들어오고	들어오/VV+고/EC
싶다”며,	싶/VX+다/EF+”/SS+며/EC+,/SP
세계	세계/NNG
시장에서	시장/NNG+에서/JKB
터를	터/NNG+를/JKO
잡은	잡/VV+은/ETM
뒤	뒤/NNG
‘역수입’하는	‘/SS+역수입/NNG+’/SS+하/VV+는/ETM
전략을	전략/NNG+을/JKO
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.369.7.5
그는 “국내에서 캐릭터 사업을 펼친다면 저가경쟁을 펼쳐 이윤을 거의 포기해야 하지만 외국에서 인정받아 프리미엄을 갖추면 국내 시장에서 충분히 경쟁력을 갖출 수 있을 것”이라고 설명했다.

그는	그/NP+는/JX
“국내에서	“/SS+국내/NNG+에서/JKB
캐릭터	캐릭터/NNG
사업을	사업/NNG+을/JKO
펼친다면	펼치/VV+ㄴ다면/EC
저가경쟁을	저가/NNG+경쟁/NNG+을/JKO
펼쳐	펼치/VV+어/EC
이윤을	이윤/NNG+을/JKO
거의	거의/MAG
포기해야	포기/NNG+하/XSV+아야/EC
하지만	하/VX+지만/EC
외국에서	외국/NNG+에서/JKB
인정받아	인정/NNG+받/XSV+아/EC
프리미엄을	프리미엄/NNG+을/JKO
갖추면	갖추/VV+면/EC
국내	국내/NNG
시장에서	시장/NNG+에서/JKB
충분히	충분히/MAG
경쟁력을	경쟁력/NNG+을/JKO
갖출	갖추/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.369.8.1
유럽은 소비자와 기업 모두 지적재산권과 라이선스 산업에 대한 이해도가 비교적 높은 곳이다.

유럽은	유럽/NNP+은/JX
소비자와	소비자/NNG+와/JC
기업	기업/NNG
모두	모두/MAG
지적재산권과	지/NNG+적/XSN+재산/NNG+권/XSN+과/JC
라이선스	라이선스/NNG
산업에	산업/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해도가	이해도/NNG+가/JKS
비교적	비교/NNG+적/XSN
높은	높/VA+은/ETM
곳이다.	곳/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.369.8.2
여기서의 성공은 시간이 지날수록 뿌까 관련 매출에 긍정적인 영향을 끼치고 있다.

여기서의	여기/NP+서/JKB+의/JKG
성공은	성공/NNG+은/JX
시간이	시간/NNG+이/JKS
지날수록	지나/VV+ㄹ수록/EC
뿌까	뿌까/NNG
관련	관련/NNG
매출에	매출/NNG+에/JKB
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
영향을	영향/NNG+을/JKO
끼치고	끼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.369.8.3
지난해 뿌까 캐릭터를 활용한 상품의 매출은 4750억원이며, 이에 따라 부즈 쪽이 거둬들인 로열티 수입은 160억원에 이른다.

지난해	지난해/NNG
뿌까	뿌까/NNG
캐릭터를	캐릭터/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
상품의	상품/NNG+의/JKG
매출은	매출/NNG+은/JX
4750억원이며,	4750/SN+억/NR+원/NNB+이/VCP+며/EC+,/SP
이에	이/NP+에/JKB
따라	따르/VV+아/EC
부즈	부즈/NNP
쪽이	쪽/NNB+이/JKS
거둬들인	거둬들이/VV+ㄴ/ETM
로열티	로열티/NNG
수입은	수입/NNG+은/JX
160억원에	160/SN+억/NR+원/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.369.8.4
부즈는 세계 경기침체에도 올해 9월까지 매출이 지난해 전체 매출을 넘어섰다.

부즈는	부즈/NNP+는/JX
세계	세계/NNG
경기침체에도	경기/NNG+침체/NNG+에/JKB+도/JX
올해	올해/NNG
9월까지	9/SN+월/NNB+까지/JX
매출이	매출/NNG+이/JKS
지난해	지난해/NNG
전체	전체/NNG
매출을	매출/NNG+을/JKO
넘어섰다.	넘어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.369.8.5
올해는 지난해보다 갑절 가까이 매출이 늘어날 것으로 예상한다.

올해는	올해/NNG+는/JX
지난해보다	지난해/NNG+보다/JKB
갑절	갑절/NNG
가까이	가까이/MAG
매출이	매출/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상한다.	예상/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.369.8.6
관련 상품의 영역도 캐릭터 활용 문구, 인형, 디지털기기, 패션 등으로 확장하고 있다.

관련	관련/NNG
상품의	상품/NNG+의/JKG
영역도	영역/NNG+도/JX
캐릭터	캐릭터/NNG
활용	활용/NNG
문구,	문구/NNG+,/SP
인형,	인형/NNG+,/SP
디지털기기,	디지털/NNG+기기/NNG+,/SP
패션	패션/NNG
등으로	등/NNB+으로/JKB
확장하고	확장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.369.8.7
이달 중순에는 서울 패션위크에서 정식 패션쇼도 선보인다.

이달	이달/NNG
중순에는	중순/NNG+에/JKB+는/JX
서울	서울/NNP
패션위크에서	패션/NNG+위크/NNG+에서/JKB
정식	정식/NNG
패션쇼도	패션쇼/NNG+도/JX
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.369.9.1
부즈뿐 아니라 아이코닉스의 ‘뽀로로’, 씨엘코엔터테인먼트의 ‘마시마로’ 등 다른 국산 캐릭터의 세계시장 진출도 활발하다.

부즈뿐	부즈/NNP+뿐/JX
아니라	아니/VCN+라/EC
아이코닉스의	아이코닉스/NNP+의/JKG
‘뽀로로’,	‘/SS+뽀로로/NNP+’/SS+,/SP
씨엘코엔터테인먼트의	씨엘코엔터테인먼트/NNP+의/JKG
‘마시마로’	‘/SS+마시마로/NNP+’/SS
등	등/NNB
다른	다른/MMD
국산	국산/NNG
캐릭터의	캐릭터/NNG+의/JKG
세계시장	세계/NNG+시장/NNG
진출도	진출/NNG+도/JX
활발하다.	활발하/VA+다/EF+./SF


# id : NWRW1800000024.369.9.2
애니메이션으로 성공한 ‘뽀로로’ 캐릭터 역시 지난해 로열티 수입으로 120억원을 벌어들였다.

애니메이션으로	애니메이션/NNG+으로/JKB
성공한	성공/NNG+하/XSV+ㄴ/ETM
‘뽀로로’	‘/SS+뽀로로/NNP+’/SS
캐릭터	캐릭터/NNG
역시	역시/MAG
지난해	지난해/NNG
로열티	로열티/NNG
수입으로	수입/NNG+으로/JKB
120억원을	120/SN+억/NR+원/NNB+을/JKO
벌어들였다.	벌어들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.369.9.3
한국콘텐츠진흥원이 지난 3월 내놓은 <캐릭터산업백서>를 보면, 2007년 기준 국내 캐릭터업체는 모두 392개사이며 연간 매출은 5조1156억원이다.

한국콘텐츠진흥원이	한국콘텐츠진흥원/NNP+이/JKS
지난	지나/VV+ㄴ/ETM
3월	3/SN+월/NNB
내놓은	내놓/VV+은/ETM
<캐릭터산업백서>를	</SS+캐릭터산업백서/NNG+>/SS+를/JKO
보면,	보/VV+면/EC+,/SP
2007년	2007/SN+년/NNB
기준	기준/NNG
국내	국내/NNG
캐릭터업체는	캐릭터/NNG+업체/NNG+는/JX
모두	모두/MAG
392개사이며	392/SN+개사/NNB+이/VCP+며/EC
연간	연간/NNG
매출은	매출/NNG+은/JX
5조1156억원이다.	5/SN+조/NR+1156/SN+억/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.369.9.4
이 가운데 캐릭터 관련 수출액은 2억228만달러(약 2360억원)로, 전세계 캐릭터 시장의 4.6%를 점유하고 있다.

이	이/MMD
가운데	가운데/NNG
캐릭터	캐릭터/NNG
관련	관련/NNG
수출액은	수출액/NNG+은/JX
2억228만달러(약	2/SN+억/NR+228/SN+만/NR+달러/NNB+(/SS+약/MMA
2360억원)로,	2360/SN+억/NR+원/NNB+)/SS+로/JKB+,/SP
전세계	전/MMN+세계/NNG
시장의	시장/NNG+의/JKG
4.6%를	4/SN+./SP+6/SN+%/SW+를/JKO
점유하고	점유/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.369.9.5
코트라는 최근 5년 동안 캐릭터산업이 해마다 평균 8%씩 성장해온 것으로 추정했다.

코트라는	코트라/NNP+는/JX
최근	최근/NNG
5년	5/SN+년/NNB
동안	동안/NNG
캐릭터산업이	캐릭터/NNG+산업/NNG+이/JKS
해마다	해마다/MAG
평균	평균/NNG
8%씩	8/SN+%/SW+씩/XSN
성장해온	성장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정했다.	추정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.369.9.6
코트라 관계자는 “세계 시장은 앞으로도 연평균 6% 이상씩 성장할 것”이라며 “매출의 일정 부분을 로열티로 챙겨올 수 있는 문화콘텐츠 산업이 ‘미래형 먹거리’로 각광받을 수 있다”고 말했다.

코트라	코트라/NNP
관계자는	관계자/NNG+는/JX
“세계	“/SS+세계/NNG
시장은	시장/NNG+은/JX
앞으로도	앞/NNG+으로/JKB+도/JX
연평균	연평균/NNG
6%	6/SN+%/SW
이상씩	이상/NNG+씩/XSN
성장할	성장/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“매출의	“/SS+매출/NNG+의/JKG
일정	일정/NNG
부분을	부분/NNG+을/JKO
로열티로	로열티/NNG+로/JKB
챙겨올	챙기/VV+어/EC+오/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
문화콘텐츠	문화/NNG+콘텐츠/NNG
산업이	산업/NNG+이/JKS
‘미래형	‘/SS+미래/NNG+형/XSN
먹거리’로	먹거리/NNG+’/SS+로/JKB
각광받을	각광/NNG+받/XSV+을/ETM
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


