# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.396
metadata : {}


# id : NWRW1800000048.396.1.1
북, 작년 개성공단 ‘기업인 억류’ 세칙 제시 드러나

북,	북/NNP+,/SP
없으면	없/VA+으면/EC
책임자를	책임자/NNG+를/JKO
억류하게	억류/NNG+하/XSV+게/EC
한	하/VX+ㄴ/ETM
조항도	조항/NNG+도/JX
들어	들/VV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.396.6.2
이 당국자는 “다만 시행세칙안은 우리 정부가 합의해줘야 실행되는 것으로, 우리는 말도 안 되는 조항인 만큼 개성공단관리위원회를 통해 ‘신변 안전과 관련한 조항은 절대 수용 불가하다’는 입장을 일차 전달하고, 내부 의견 수렴을 거쳐 ‘억류’ 조항을 삭제한 내용의 문서를 북쪽에 전달했다”고 덧붙였다.

이	이/MMD
당국자는	당국자/NNG+는/JX
“다만	“/SS+다만/MAG
시행세칙안은	시행/NNG+세칙/NNG+안/NNG+은/JX
우리	우리/NP
정부가	정부/NNG+가/JKS
합의해줘야	합의/NNG+하/XSV+아/EC+주/VX+어야/EC
실행되는	실행/NNG+되/XSV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
우리는	우리/NP+는/JX
말도	말/NNG+도/JX
안	안/MAG
되는	되/VV+는/ETM
조항인	조항/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
개성공단관리위원회를	개성공단관리위원회/NNP+를/JKO
통해	통하/VV+아/EC
‘신변	‘/SS+신변/NNG
안전과	안전/NNG+과/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
조항은	조항/NNG+은/JX
절대	절대/MAG
수용	수용/NNG
불가하다’는	불가/NNG+하/XSA+다/EF+’/SS+는/ETM
입장을	입장/NNG+을/JKO
일차	일차/NNG
전달하고,	전달/NNG+하/XSV+고/EC+,/SP
내부	내부/NNG
의견	의견/NNG
수렴을	수렴/NNG+을/JKO
거쳐	거치/VV+어/EC
‘억류’	‘/SS+억류/NNG+’/SS
조항을	조항/NNG+을/JKO
삭제한	삭제/NNG+하/XSV+ㄴ/ETM
내용의	내용/NNG+의/JKG
문서를	문서/NNG+를/JKO
북쪽에	북쪽/NNG+에/JKB
전달했다”고	전달/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.396.6.3
북쪽이 일방적으로 세칙안을 제기했지만, 남쪽이 합의해주지 않아 실행은 되지 않는 상황이라는 것이다.

북쪽이	북쪽/NNG+이/JKS
일방적으로	일방/NNG+적/XSN+으로/JKB
세칙안을	세칙/NNG+안/NNG+을/JKO
제기했지만,	제기/NNG+하/XSV+았/EP+지만/EC+,/SP
남쪽이	남쪽/NNG+이/JKS
합의해주지	합의/NNG+하/XSV+아/EC+주/VX+지/EC
않아	않/VX+아/EC
실행은	실행/NNG+은/JX
되지	되/VV+지/EC
않는	않/VX+는/ETM
상황이라는	상황/NNG+이/VCP+라는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.396.7.1
실제 북쪽은 그동안 17건의 시행세칙안을 내놨지만, 남쪽은 자동차 규정 시행세칙 1건만 합의해줘 시행되고 있을 뿐, 이번 ‘기업운영 세칙’을 포함한 16건은 사문화한 상태라고 통일부는 밝혔다.

실제	실제/NNG
북쪽은	북쪽/NNG+은/JX
그동안	그동안/NNG
17건의	17/SN+건/NNB+의/JKG
시행세칙안을	시행/NNG+세칙/NNG+안/NNG+을/JKO
내놨지만,	내놓/VV+았/EP+지만/EC+,/SP
남쪽은	남쪽/NNG+은/JX
자동차	자동차/NNG
규정	규정/NNG
시행세칙	시행/NNG+세칙/NNG
1건만	1/SN+건/NNB+만/JX
합의해줘	합의/NNG+하/XSV+아/EC+주/VX+어/EC
시행되고	시행/NNG+되/XSV+고/EC
있을	있/VX+을/ETM
뿐,	뿐/NNB+,/SP
이번	이번/NNG
‘기업운영	‘/SS+기업/NNG+운영/NNG
세칙’을	세칙/NNG+’/SS+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
16건은	16/SN+건/NNB+은/JX
사문화한	사문/NNG+화/XSN+하/XSV+ㄴ/ETM
상태라고	상태/NNG+이/VCP+라고/EC
통일부는	통일부/NNG+는/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.396.7.2
다만 북쪽이 ‘기업인 억류’ 등의 항목을 새로 제안하는 등 개성공단에 대한 통제를 강화하려는 움직임을 보이는 점은 우려스런 대목이다.

다만	다만/MAG
북쪽이	북쪽/NNG+이/JKS
‘기업인	‘/SS+기업인/NNG
억류’	억류/NNG+’/SS
등의	등/NNB+의/JKG
항목을	항목/NNG+을/JKO
새로	새로/MAG
제안하는	제안/NNG+하/XSV+는/ETM
등	등/NNB
개성공단에	개성공단/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
통제를	통제/NNG+를/JKO
강화하려는	강화/NNG+하/XSV+려는/ETM
움직임을	움직임/NNG+을/JKO
보이는	보이/VV+는/ETM
점은	점/NNG+은/JX
우려스런	우려/NNG+스럽/XSA+ㄴ/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.396.7.3
통일부 당국자는 “국민 신변 안전 차원에서 문제가 되는 세칙은 절대 실행되지 않도록 조처할 것”이라고 말했다.

통일부	통일부/NNG
당국자는	당국자/NNG+는/JX
“국민	“/SS+국민/NNG
신변	신변/NNG
안전	안전/NNG
차원에서	차원/NNG+에서/JKB
문제가	문제/NNG+가/JKC
되는	되/VV+는/ETM
세칙은	세칙/NNG+은/JX
절대	절대/MAG
실행되지	실행/NNG+되/XSV+지/EC
않도록	않/VX+도록/EC
조처할	조처/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.396.8.1
앞서 북한은 지난해 11월 노동규정을 개정해 개성공단 노동자의 최저임금 인상률 제한을 없애는 등의 내용을 우리 쪽에 통보한 바 있다.

앞서	앞서/MAG
북한은	북한/NNP+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
노동규정을	노동/NNG+규정/NNG+을/JKO
개정해	개정/NNG+하/XSV+아/EC
개성공단	개성공단/NNP
노동자의	노동자/NNG+의/JKG
최저임금	최저/NNG+임금/NNG
인상률	인상/NNG+률/XSN
제한을	제한/NNG+을/JKO
없애는	없애/VV+는/ETM
등의	등/NNB+의/JKG
내용을	내용/NNG+을/JKO
우리	우리/NP
쪽에	쪽/NNB+에/JKB
통보한	통보/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


