# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.390
metadata : {}


# id : NWRW1800000045.390.1.1
“국정 역사교과서 집필진 30여명 지원”

“국정	“/SS+국정/NNG
9일 오후 6시 집필진 공모를 마감한 국편은 “마감 하루 전인 8일에 지원자가 공모 예정 인원인 25명을 넘었고 오늘 추가로 더 지원이 들어와 30여 명 정도 된다”면서 “집필진이 확정되면 숫자와 공모 현황, 전공 등은 공개할 것”이라고 말해 집필진의 개인 신상은 공개하지 않을 것임을 시사했다.

9일	9/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
집필진	집필진/NNG
공모를	공모/NNG+를/JKO
마감한	마감/NNG+하/XSV+ㄴ/ETM
국편은	국편/NNG+은/JX
“마감	“/SS+마감/NNG
하루	하루/NNG
전인	전/NNG+이/VCP+ㄴ/ETM
8일에	8/SN+일/NNB+에/JKB
지원자가	지원자/NNG+가/JKS
공모	공모/NNG
예정	예정/NNG
인원인	인원/NNG+이/VCP+ㄴ/ETM
25명을	25/SN+명/NNB+을/JKO
넘었고	넘/VV+었/EP+고/EC
오늘	오늘/MAG
추가로	추가/NNG+로/JKB
더	더/MAG
지원이	지원/NNG+이/JKS
들어와	들어오/VV+아/EC
30여	30/SN+여/XSN
명	명/NNB
정도	정도/NNG
된다”면서	되/VV+ㄴ다/EF+”/SS+면서/EC
“집필진이	“/SS+집필진/NNG+이/JKS
확정되면	확정/NNG+되/XSV+면/EC
숫자와	숫자/NNG+와/JC
현황,	현황/NNG+,/SP
전공	전공/NNG
등은	등/NNB+은/JX
공개할	공개/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말해	말/NNG+하/XSV+아/EC
집필진의	집필진/NNG+의/JKG
개인	개인/NNG
신상은	신상/NNG+은/JX
공개하지	공개/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
시사했다.	시사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.390.4.2
진재관 국편 편사부장은 “현대사 전공자도 상당수 응모해 집필진 공백은 우려하지 않아도 될 것”이라고 말했다.

진재관	진재관/NNP
국편	국편/NNG
편사부장은	편사부장/NNG+은/JX
“현대사	“/SS+현대사/NNG
전공자도	전공자/NNG+도/JX
상당수	상당수/NNG
응모해	응모/NNG+하/XSV+아/EC
집필진	집필진/NNG
공백은	공백/NNG+은/JX
우려하지	우려/NNG+하/XSV+지/EC
않아도	않/VX+아도/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.390.5.1
국편의 낙관적인 주장과 달리 역사학계에서는 당장 “예상보다 너무 적은 인원이 응모했기 때문에 응모 현황을 제대로 밝히지 못하는 것”이라는 반응이 나온다.

국편의	국편/NNG+의/JKG
낙관적인	낙관/NNG+적/XSN+이/VCP+ㄴ/ETM
주장과	주장/NNG+과/JKB
달리	달리/MAG
역사학계에서는	역사학/NNG+계/XSN+에서/JKB+는/JX
당장	당장/NNG
“예상보다	“/SS+예상/NNG+보다/JKB
너무	너무/MAG
적은	적/VA+은/ETM
인원이	인원/NNG+이/JKS
응모했기	응모/NNG+하/XSV+았/EP+기/ETN
때문에	때문/NNB+에/JKB
응모	응모/NNG
현황을	현황/NNG+을/JKO
제대로	제대로/MAG
밝히지	밝히/VV+지/EC
못하는	못하/VX+는/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
반응이	반응/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.390.6.1
지원이 저조한 상황에서 국편이 예정대로 공모를 통해 집필자 25명을 모으는 것은 불가능할 것으로 전망된다.

지원이	지원/NNG+이/JKS
저조한	저조/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
국편이	국편/NNG+이/JKS
예정대로	예정/NNG+대로/JX
공모를	공모/NNG+를/JKO
통해	통하/VV+아/EC
집필자	집필자/NNG
25명을	25/SN+명/NNB+을/JKO
모으는	모으/VV+는/ETM
것은	것/NNB+은/JX
불가능할	불/XPN+가능/NNG+하/XSA+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망된다.	전망/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.390.6.2
교육계에서는 수준 높은 집필진을 선별하려면 최소한 10배수, 즉 250명 이상은 응모해야 적격자를 가릴 수 있을 것으로 보고 있다.

교육계에서는	교육/NNG+계/XSN+에서/JKB+는/JX
수준	수준/NNG
높은	높/VA+은/ETM
집필진을	집필진/NNG+을/JKO
선별하려면	선별/NNG+하/XSV+려면/EC
최소한	최소한/MAG
10배수,	10/SN+배수/NNG+,/SP
즉	즉/MAG
250명	250/SN+명/NNB
이상은	이상/NNG+은/JX
응모해야	응모/NNG+하/XSV+아야/EC
적격자를	적격자/NNG+를/JKO
가릴	가리/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.390.6.3
이를 예견한 듯 국편은 공고 당시 ‘공모를 통한 선발 인원은 추후 변경될 수 있다’는 단서를 달았다.

이를	이/NP+를/JKO
예견한	예견/NNG+하/XSV+ㄴ/ETM
듯	듯/NNB
국편은	국편/NNG+은/JX
공고	공고/NNG
당시	당시/NNG
‘공모를	‘/SS+공모/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
선발	선발/NNG
인원은	인원/NNG+은/JX
추후	추후/NNG
변경될	변경/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있다’는	있/VA+다/EF+’/SS+는/ETM
단서를	단서/NNG+를/JKO
달았다.	달/VV+았/EP+다/EF+./SF


