# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.263
metadata : {}


# id : NWRW1800000038.263.1.1
[춘천마라톤 D-4] 뛰어서 남 준다… 카이스트의 따뜻한 '춘마'

[춘천마라톤	[/SS+춘천/NNP+마라톤/NNG
진씨는 지난 5월 학생들의 자발적인 참여를 이끌어내 해비타트(어려운 이웃에게 집을 지어주는 자원봉사) 행사를 진행했다.

진씨는	진/NNP+씨/NNB+는/JX
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
학생들의	학생/NNG+들/XSN+의/JKG
자발적인	자발/NNG+적/XSN+이/VCP+ㄴ/ETM
참여를	참여/NNG+를/JKO
이끌어내	이끌/VV+어/EC+내/VX+어/EC
해비타트(어려운	해비타트/NNP+(/SS+어렵/VA+ㄴ/ETM
이웃에게	이웃/NNG+에게/JKB
집을	집/NNG+을/JKO
지어주는	짓/VV+어/EC+주/VX+는/ETM
자원봉사)	자원봉사/NNG+)/SS
행사를	행사/NNG+를/JKO
진행했다.	진행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.263.5.2
당시 자선 활동에 동참하고 싶어 하는 학생이 기대보다 훨씬 많다는 사실에 놀랐다고 했다.

당시	당시/NNG
자선	자선/NNG
활동에	활동/NNG+에/JKB
동참하고	동참/NNG+하/XSV+고/EC
싶어	싶/VX+어/EC
하는	하/VX+는/ETM
학생이	학생/NNG+이/JKS
기대보다	기대/NNG+보다/JKB
훨씬	훨씬/MAG
많다는	많/VA+다는/ETM
사실에	사실/NNG+에/JKB
놀랐다고	놀라/VV+았/EP+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.263.5.3
진씨는 "그때 이후 KAIST 구성원들이 함께할 수 있는 기부 활동을 생각해 봤다"면서 "즐거운 추억을 남기며 남을 돕는 마라톤이 그 답이었다"고 말했다.

진씨는	진/NNP+씨/NNB+는/JX
"그때	"/SS+그때/NNG
이후	이후/NNG
KAIST	KAIST/SL
구성원들이	구성원/NNG+들/XSN+이/JKS
함께할	함께/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
기부	기부/NNG
활동을	활동/NNG+을/JKO
생각해	생각/NNG+하/XSV+아/EC
봤다"면서	보/VX+았/EP+다/EF+"/SS+면서/EC
"즐거운	"/SS+즐겁/VA+ㄴ/ETM
추억을	추억/NNG+을/JKO
남기며	남기/VV+며/EC
남을	남/NNG+을/JKO
돕는	돕/VV+는/ETM
마라톤이	마라톤/NNG+이/JKS
그	그/MMD
답이었다"고	답/NNG+이/VCP+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.263.6.1
진씨는 KAIST에서 알아주는 마라톤 마니아인 문송천(61) 경영대학 교수에게서 '춘마를 통한 기부'라는 아이디어를 얻었다.

진씨는	진/NNP+씨/NNB+는/JX
KAIST에서	KAIST/SL+에서/JKB
알아주는	알아주/VV+는/ETM
마라톤	마라톤/NNG
마니아인	마니아/NNG+이/VCP+ㄴ/ETM
문송천(61)	문송천/NNP+(/SS+61/SN+)/SS
경영대학	경영/NNG+대학/NNG
교수에게서	교수/NNG+에게서/JKB
'춘마를	'/SS+춘마/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
기부'라는	기부/NNG+'/SS+이/VCP+라는/ETM
아이디어를	아이디어/NNG+를/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.263.6.2
올해 춘천마라톤 15번째 완주에 도전하는 문 교수는 그동안 1m를 달릴 때 10원을 기부하는 '1m 10원 캠페인'을 꾸준히 벌여 약 5000만원을 성금으로 기탁했다.

올해	올해/NNG
춘천마라톤	춘천/NNP+마라톤/NNG
15번째	15/SN+번/NNB+째/XSN
완주에	완주/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
문	문/NNP
교수는	교수/NNG+는/JX
그동안	그동안/NNG
1m를	1/SN+m/SW+를/JKO
달릴	달리/VV+ㄹ/ETM
때	때/NNG
10원을	10/SN+원/NNB+을/JKO
기부하는	기부/NNG+하/XSV+는/ETM
'1m	'/SS+1/SN+m/SW
10원	10/SN+원/NNB
캠페인'을	캠페인/NNG+'/SS+을/JKO
꾸준히	꾸준히/MAG
벌여	벌이/VV+어/EC
약	약/MMA
5000만원을	5000/SN+만/NR+원/NNB+을/JKO
성금으로	성금/NNG+으로/JKB
기탁했다.	기탁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.263.7.1
문 교수는 "작게는 '1m 1원'으로도 이웃 사랑을 실천할 수 있는 사회적 운동이 마라톤"이라며 "좋은 일을 널리 알리라고 한국의 대표 마라톤인 춘천마라톤을 추천했다"고 말했다.

문	문/NNP
교수는	교수/NNG+는/JX
"작게는	"/SS+작/VA+게/EC+는/JX
'1m	'/SS+1/SN+m/SW
1원'으로도	1/SN+원/NNB+'/SS+으로/JKB+도/JX
이웃	이웃/NNG
사랑을	사랑/NNG+을/JKO
실천할	실천/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회적	사회/NNG+적/XSN
운동이	운동/NNG+이/JKS
마라톤"이라며	마라톤/NNG+"/SS+이/VCP+라며/EC
"좋은	"/SS+좋/VA+은/ETM
일을	일/NNG+을/JKO
널리	널리/MAG
알리라고	알리/VV+라고/EC
한국의	한국/NNP+의/JKG
대표	대표/NNG
마라톤인	마라톤/NNG+이/VCP+ㄴ/ETM
춘천마라톤을	춘천/NNP+마라톤/NNG+을/JKO
추천했다"고	추천/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.263.8.1
기부 활동에 적극적인 진씨의 열정에 KAIST 경영대학원 학생회가 움직였다.

기부	기부/NNG
활동에	활동/NNG+에/JKB
적극적인	적극/NNG+적/XSN+이/VCP+ㄴ/ETM
진씨의	진/NNP+씨/NNB+의/JKG
열정에	열정/NNG+에/JKB
KAIST	KAIST/SL
경영대학원	경영/NNG+대학원/NNG
학생회가	학생회/NNG+가/JKS
움직였다.	움직이/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.263.8.2
홍보와 마케팅 등 사회 경험이 풍부한 대학원생들은 지난 4일 'KAIST RUN 2013' 홈페이지(kaist.donus.org)를 만들었다.

홍보와	홍보/NNG+와/JC
마케팅	마케팅/NNG
등	등/NNB
사회	사회/NNG
경험이	경험/NNG+이/JKS
풍부한	풍부하/VA+ㄴ/ETM
대학원생들은	대학원/NNG+생/XSN+들/XSN+은/JX
지난	지나/VV+ㄴ/ETM
4일	4/SN+일/NNB
'KAIST	'/SS+KAIST/SL
RUN	RUN/SL
2013'	2013/SN+'/SS
홈페이지(kaist.donus.org)를	홈페이지/NNG+(/SS+kaist/SL+./SP+donus/SL+./SP+org/SL+)/SS+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.263.8.3
반응은 뜨겁다.

반응은	반응/NNG+은/JX
뜨겁다.	뜨겁/VA+다/EF+./SF


# id : NWRW1800000038.263.8.4
23일 현재 500여명이 모금에 참여해 1800여만원을 모았다.

23일	23/SN+일/NNB
현재	현재/MAG
500여명이	500/SN+여/XSN+명/NNB+이/JKS
모금에	모금/NNG+에/JKB
참여해	참여/NNG+하/XSV+아/EC
1800여만원을	1800/SN+여/XSN+만/NR+원/NNB+을/JKO
모았다.	모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.263.9.1
올해 춘천마라톤에 참가하는 사람이 '카이스트 런' 홈페이지에 개인 기부 페이지를 만들어 응원하는 사람들로부터 후원을 받는 형식이다.

올해	올해/NNG
춘천마라톤에	춘천/NNP+마라톤/NNG+에/JKB
참가하는	참가/NNG+하/XSV+는/ETM
사람이	사람/NNG+이/JKS
'카이스트	'/SS+카이스트/NNP
런'	런/NNG+'/SS
홈페이지에	홈페이지/NNG+에/JKB
개인	개인/NNG
기부	기부/NNG
페이지를	페이지/NNG+를/JKO
만들어	만들/VV+어/EC
응원하는	응원/NNG+하/XSV+는/ETM
사람들로부터	사람/NNG+들/XSN+로부터/JKB
후원을	후원/NNG+을/JKO
받는	받/VV+는/ETM
형식이다.	형식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.263.9.2
모금 활동은 다음 달 10일까지 할 예정이며, 목표액은 3000만원이다.

모금	모금/NNG
활동은	활동/NNG+은/JX
다음	다음/NNG
달	달/NNG
10일까지	10/SN+일/NNB+까지/JX
할	하/VV+ㄹ/ETM
예정이며,	예정/NNG+이/VCP+며/EC+,/SP
목표액은	목표액/NNG+은/JX
3000만원이다.	3000/SN+만/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.263.9.3
진씨는 "KAIST에서 이렇게 많은 사람이 춘천마라톤에 참가하게 된 것은 모두 기부의 힘"이라고 말했다.

진씨는	진/NNP+씨/NNB+는/JX
"KAIST에서	"/SS+KAIST/SL+에서/JKB
이렇게	이렇/VA+게/EC
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
춘천마라톤에	춘천/NNP+마라톤/NNG+에/JKB
참가하게	참가/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
모두	모두/MAG
기부의	기부/NNG+의/JKG
힘"이라고	힘/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.263.10.1
진씨와 함께 'KAIST RUN 프로젝트'를 이끄는 한미숙(31·사회적 기업가과정)씨는 "기부의 목적과 대상이 분명했기 때문에 많은 호응을 얻는 것 같다"고 말했다.

진씨와	진/NNP+씨/NNB+와/JKB
함께	함께/MAG
'KAIST	'/SS+KAIST/SL
RUN	RUN/SL
프로젝트'를	프로젝트/NNG+'/SS+를/JKO
이끄는	이끌/VV+는/ETM
한미숙(31·사회적	한미숙/NNP+(/SS+31/SN+·/SP+사회/NNG+적/XSN
기업가과정)씨는	기업가/NNG+과정/NNG+)/SS+씨/NNB+는/JX
"기부의	"/SS+기부/NNG+의/JKG
목적과	목적/NNG+과/JC
대상이	대상/NNG+이/JKS
분명했기	분명/MAG+하/XSA+았/EP+기/ETN
때문에	때문/NNB+에/JKB
많은	많/VA+은/ETM
호응을	호응/NNG+을/JKO
얻는	얻/VV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.263.11.1
이번 춘천마라톤으로 조성된 기금은 내년 1월 겨울방학에 열릴 어린이 과학캠프 운영에 쓰일 예정이다.

이번	이번/NNG
춘천마라톤으로	춘천/NNP+마라톤/NNG+으로/JKB
조성된	조성/NNG+되/XSV+ㄴ/ETM
기금은	기금/NNG+은/JX
내년	내년/NNG
1월	1/SN+월/NNB
겨울방학에	겨울/NNG+방학/NNG+에/JKB
열릴	열리/VV+ㄹ/ETM
어린이	어린이/NNG
과학캠프	과학/NNG+캠프/NNG
운영에	운영/NNG+에/JKB
쓰일	쓰이/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.263.11.2
과학캠프는 KAIST 융합교육연구센터에서 다문화 가정 어린이 100명을 대상으로 진행된다.

과학캠프는	과학/NNG+캠프/NNG+는/JX
KAIST	KAIST/SL
융합교육연구센터에서	융합/NNG+교육/NNG+연구/NNG+센터/NNG+에서/JKB
다문화	다문화/NNG
가정	가정/NNG
어린이	어린이/NNG
100명을	100/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.263.12.1
차승현(34ㆍ테크노) 경영대학원 학생회장은 "KAIST 학생들은 공부벌레라는 인식에서 벗어나 '따뜻한 KAIST'가 됐으면 좋겠다"며 "춘천마라톤을 통해 즐거운 기부 운동이 더 확산되길 바란다"고 말했다.

차승현(34ㆍ테크노)	차승현/NNP+(/SS+34/SN+ㆍ/SP+테크노/NNG+)/SS
경영대학원	경영/NNG+대학원/NNG
학생회장은	학생회장/NNG+은/JX
"KAIST	"/SS+KAIST/SL
학생들은	학생/NNG+들/XSN+은/JX
공부벌레라는	공부/NNG+벌레/NNG+이/VCP+라는/ETM
인식에서	인식/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
'따뜻한	'/SS+따뜻하/VA+ㄴ/ETM
KAIST'가	KAIST/SL+'/SS+가/JKC
됐으면	되/VV+었/EP+으면/EC
좋겠다"며	좋/VA+겠/EP+다/EF+"/SS+며/EC
"춘천마라톤을	"/SS+춘천/NNP+마라톤/NNG+을/JKO
통해	통하/VV+아/EC
즐거운	즐겁/VA+ㄴ/ETM
기부	기부/NNG
운동이	운동/NNG+이/JKS
더	더/MAG
확산되길	확산/NNG+되/XSV+기/ETN+ㄹ/JKO
바란다"고	바라/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.263.13.1
춘마 기부 캠페인 동참하세요

춘마	춘마/NNG
기부	기부/NNG
캠페인	캠페인/NNG
동참하세요	동참/NNG+하/XSV+시/EP+어요/EF


# id : NWRW1800000038.263.14.1
2006년 국내 최초로 마라톤 기부 캠페인을 시작한 춘천마라톤은 올해 사회복지공동모금회와 난치병 어린이를 돕는 모금 운동을 진행한다.

2006년	2006/SN+년/NNB
국내	국내/NNG
최초로	최초/NNG+로/JKB
마라톤	마라톤/NNG
기부	기부/NNG
캠페인을	캠페인/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
춘천마라톤은	춘천/NNP+마라톤/NNG+은/JX
올해	올해/NNG
사회복지공동모금회와	사회/NNG+복지/NNG+공동/NNG+모금회/NNG+와/JKB
난치병	난치병/NNG
어린이를	어린이/NNG+를/JKO
돕는	돕/VV+는/ETM
모금	모금/NNG
운동을	운동/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.263.14.2
대회 참가 여부에 관계없이 기부 캠페인 홈페이지(charity.chosun.com)에 등록하면 기부금을 낼 수 있다.

대회	대회/NNG
참가	참가/NNG
여부에	여부/NNG+에/JKB
관계없이	관계없이/MAG
기부	기부/NNG
캠페인	캠페인/NNG
홈페이지(charity.chosun.com)에	홈페이지/NNG+(/SS+charity/SL+./SP+chosun/SL+./SP+com/SL+)/SS+에/JKB
등록하면	등록/NNG+하/XSV+면/EC
기부금을	기부금/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.263.15.1
▲입금 계좌: 국민은행 432101-01-268333 (예금주: 사회복지공동모금회)

▲입금	▲/SW+입금/NNG
계좌:	계좌/NNG+:/SP
국민은행	국민은행/NNP
432101-01-268333	432101/SN+-/SO+01/SN+-/SO+268333/SN
(예금주:	(/SS+예금주/NNG+:/SP
사회복지공동모금회)	사회/NNG+복지/NNG+공동/NNG+모금회/NNG+)/SS


# id : NWRW1800000038.263.16.1
▲문의: (02)6262-3049

▲문의:	▲/SW+문의/NNG+:/SP
(02)6262-3049	(/SS+02/SN+)/SS+6262/SN+-/SO+3049/SN


# id : NWRW1800000038.263.17.1
협찬: SK텔레콤, 신한은행, 아식스

협찬:	협찬/NNG+:/SP
SK텔레콤,	SK텔레콤/NNP+,/SP
신한은행,	신한은행/NNP+,/SP
아식스	아식스/NNP


