# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.15
metadata : {}


# id : NWRW1800000021.15.1.1
[다윈은 살아있다]<3>신자유주의, 진화냐 도태냐

[다윈은	[/SS+다윈/NNP+은/JX
진화생물학자인 데이비드 윌슨 미국 빙엄턴대 교수는 블로그에 올린 글에서 “애덤 스미스로부터 유래한 ‘보이지 않는 손’이라는 은유는 이제 죽었다고 선언할 때가 됐다”고 말했다.

진화생물학자인	진화/NNG+생물학자/NNG+이/VCP+ㄴ/ETM
데이비드	데이비드/NNP
윌슨	윌슨/NNP
미국	미국/NNP
빙엄턴대	빙엄턴대/NNP
교수는	교수/NNG+는/JX
블로그에	블로그/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
“애덤	“/SS+애덤/NNP
스미스로부터	스미스/NNP+로부터/JKB
유래한	유래/NNG+하/XSV+ㄴ/ETM
‘보이지	‘/SS+보이/VV+지/EC
않는	않/VX+는/ETM
손’이라는	손/NNG+’/SS+이/VCP+라는/ETM
은유는	은유/NNG+는/JX
이제	이제/MAG
죽었다고	죽/VV+었/EP+다고/EC
선언할	선언/NNG+하/XSV+ㄹ/ETM
때가	때/NNG+가/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.4.2
최근 경제위기로 ‘시장’과 ‘자율’을 내세우는 신자유주의에서 적지 않은 문제가 노출됐음을 지적한 것이다.

최근	최근/NNG
경제위기로	경제/NNG+위기/NNG+로/JKB
‘시장’과	‘/SS+시장/NNG+’/SS+과/JC
‘자율’을	‘/SS+자율/NNG+’/SS+을/JKO
내세우는	내세우/VV+는/ETM
신자유주의에서	신/XPN+자유주의/NNG+에서/JKB
적지	적/VA+지/EC
않은	않/VX+은/ETM
문제가	문제/NNG+가/JKS
노출됐음을	노출/NNG+되/XSV+었/EP+음/ETN+을/JKO
지적한	지적/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.15.5.1
그는 “진화론적 관점에서 볼 때 인간은 협력과 기만, 두 가지 본능을 모두 갖췄다”며 “사람들을 내버려두면 기만하는 자들이 나올 것이며 그 결과로 자발적 협력이 이뤄지지 않을 것”이라고 말했다.

그는	그/NP+는/JX
“진화론적	“/SS+진화/NNG+론/XSN+적/XSN
관점에서	관점/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
인간은	인간/NNG+은/JX
협력과	협력/NNG+과/JC
기만,	기만/NNG+,/SP
두	두/MMN
가지	가지/NNB
본능을	본능/NNG+을/JKO
모두	모두/MAG
갖췄다”며	갖추/VV+었/EP+다/EF+”/SS+며/EC
“사람들을	“/SS+사람/NNG+들/XSN+을/JKO
내버려두면	내버리/VV+어/EC+두/VX+면/EC
기만하는	기만/NNG+하/XSV+는/ETM
자들이	자/NNB+들/XSN+이/JKS
나올	나오/VV+ㄹ/ETM
것이며	것/NNB+이/VCP+며/EC
그	그/MMD
결과로	결과/NNG+로/JKB
자발적	자발/NNG+적/XSN
협력이	협력/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.5.2
기만하는 자를 처벌하고, 협력하는 자에게는 보상을 주는 규제가 있어야 협력의 수준이 높아질 것이라고 그는 말했다.

기만하는	기만/NNG+하/XSV+는/ETM
자를	자/NNB+를/JKO
처벌하고,	처벌/NNG+하/XSV+고/EC+,/SP
협력하는	협력/NNG+하/XSV+는/ETM
자에게는	자/NNB+에게/JKB+는/JX
보상을	보상/NNG+을/JKO
주는	주/VV+는/ETM
규제가	규제/NNG+가/JKS
있어야	있/VA+어야/EC
협력의	협력/NNG+의/JKG
수준이	수준/NNG+이/JKS
높아질	높아지/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
그는	그/NP+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.5.3
‘국가 개입’과 ‘규제’를 강조한 케인스주의를 두둔한 것이다.

‘국가	‘/SS+국가/NNG
개입’과	개입/NNG+’/SS+과/JC
‘규제’를	‘/SS+규제/NNG+’/SS+를/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
케인스주의를	케인스주의/NNG+를/JKO
두둔한	두둔/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.15.6.1
정치철학자 래리 안허트 노던일리노이대 교수는 반박 글에서 “다윈의 아이디어는 사유재산과 자유시장, 제한된 정부 같은 논리를 지지한다”며 “구제 금융은 경솔한 행동에 보상을 해주는 것으로 경제위기를 더 악화시킬 것이다”고 말했다.

정치철학자	정치/NNG+철학자/NNG
래리	래리/NNP
안허트	안허트/NNP
노던일리노이대	노던일리노이대/NNP
교수는	교수/NNG+는/JX
반박	반박/NNG
글에서	글/NNG+에서/JKB
“다윈의	“/SS+다윈/NNP+의/JKG
아이디어는	아이디어/NNG+는/JX
사유재산과	사유/NNG+재산/NNG+과/JC
자유시장,	자유/NNG+시장/NNG+,/SP
제한된	제한/NNG+되/XSV+ㄴ/ETM
정부	정부/NNG
같은	같/VA+은/ETM
논리를	논리/NNG+를/JKO
지지한다”며	지지/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“구제	“/SS+구제/NNG
금융은	금융/NNG+은/JX
경솔한	경솔/NNG+하/XSA+ㄴ/ETM
행동에	행동/NNG+에/JKB
보상을	보상/NNG+을/JKO
해주는	하/VV+아/EC+주/VX+는/ETM
것으로	것/NNB+으로/JKB
경제위기를	경제/NNG+위기/NNG+를/JKO
더	더/MAG
악화시킬	악화/NNG+시키/XSV+ㄹ/ETM
것이다”고	것/NNB+이/VCP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.6.2
그는 “‘보이지 않는 손’이란 아이디어는 ‘의도하지 않은 질서’에 따라 생긴 것으로 ‘인간의 모든 제도는 의도하지 않은 질서에 따라 스스로 생기고 변화한다’는 다윈주의적 생각과 통한다”고 말했다.

그는	그/NP+는/JX
“‘보이지	“/SS+‘/SS+보이/VV+지/EC
않는	않/VX+는/ETM
손’이란	손/NNG+’/SS+이/VCP+란/ETM
아이디어는	아이디어/NNG+는/JX
‘의도하지	‘/SS+의도/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
질서’에	질서/NNG+’/SS+에/JKB
따라	따르/VV+아/EC
생긴	생기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
‘인간의	‘/SS+인간/NNG+의/JKG
모든	모든/MMN
제도는	제도/NNG+는/JX
의도하지	의도/NNG+하/XSV+지/EC
질서에	질서/NNG+에/JKB
스스로	스스로/MAG
생기고	생기/VV+고/EC
변화한다’는	변화/NNG+하/XSV+ㄴ다/EF+’/SS+는/ETM
다윈주의적	다윈주의/NNG+적/XSN
생각과	생각/NNG+과/JKB
통한다”고	통하/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.7.1
두 학자의 논쟁은 글로벌 경제위기로 힘을 잃은 신자유주의가 새로운 형태로 ‘진화’할 것인지, 아니면 케인스주의에 주도권을 내주고 ‘도태’할 것인지에 대한 관심을 보여주는 사례다.

두	두/MMN
학자의	학자/NNG+의/JKG
논쟁은	논쟁/NNG+은/JX
글로벌	글로벌/NNG
경제위기로	경제/NNG+위기/NNG+로/JKB
힘을	힘/NNG+을/JKO
잃은	잃/VV+은/ETM
신자유주의가	신/XPN+자유주의/NNG+가/JKS
새로운	새롭/VA+ㄴ/ETM
형태로	형태/NNG+로/JKB
‘진화’할	‘/SS+진화/NNG+’/SS+하/XSV+ㄹ/ETM
것인지,	것/NNB+이/VCP+ㄴ지/EF+,/SP
아니면	아니/VCN+면/EC
케인스주의에	케인스주의/NNG+에/JKB
주도권을	주도/NNG+권/XSN+을/JKO
내주고	내주/VV+고/EC
‘도태’할	‘/SS+도태/NNG+’/SS+하/XSV+ㄹ/ETM
것인지에	것/NNB+이/VCP+ㄴ지/EF+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.15.8.1
○ ‘시장’ 대 ‘국가’…자본주의의 진화

○	○/SW
‘시장’	‘/SS+시장/NNG+’/SS
대	대/NNB
‘국가’…자본주의의	‘/SS+국가/NNG+’/SS+…/SE+자본주의/NNG+의/JKG
진화	진화/NNG


# id : NWRW1800000021.15.9.1
전문가들은 최근 “케인스와 하이에크의 싸움이 다시 시작됐다”고 입을 모은다.

전문가들은	전문가/NNG+들/XSN+은/JX
최근	최근/NNG
“케인스와	“/SS+케인스/NNP+와/JC
하이에크의	하이에크/NNP+의/JKG
싸움이	싸움/NNG+이/JKS
다시	다시/MAG
시작됐다”고	시작/NNG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
입을	입/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.15.9.2
영국의 경제학자 존 케인스가 강조한 ‘국가’와, 오스트리아 출신 신자유주의 경제학자 프리드리히 하이에크가 중시하는 ‘시장’ 사이의 힘겨루기가 시작됐다는 얘기다.

영국의	영국/NNP+의/JKG
경제학자	경제학자/NNG
존	존/NNP
케인스가	케인스/NNP+가/JKS
강조한	강조/NNG+하/XSV+ㄴ/ETM
‘국가’와,	‘/SS+국가/NNG+’/SS+와/JC+,/SP
오스트리아	오스트리아/NNP
출신	출신/NNG
신자유주의	신/XPN+자유주의/NNG
프리드리히	프리드리히/NNP
하이에크가	하이에크/NNP+가/JKS
중시하는	중시/NNG+하/XSV+는/ETM
‘시장’	‘/SS+시장/NNG+’/SS
사이의	사이/NNG+의/JKG
힘겨루기가	힘겨루기/NNG+가/JKS
시작됐다는	시작/NNG+되/XSV+었/EP+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.15.10.1
자본주의는 여러 차례 위기를 겪는 동안 ‘시장’과 ‘국가’ 사이로 무게 중심을 옮겨가며 변화해 왔다.

자본주의는	자본주의/NNG+는/JX
여러	여러/MMN
차례	차례/NNG
위기를	위기/NNG+를/JKO
겪는	겪/VV+는/ETM
동안	동안/NNG
‘시장’과	‘/SS+시장/NNG+’/SS+과/JC
‘국가’	‘/SS+국가/NNG+’/SS
사이로	사이/NNG+로/JKB
무게	무게/NNG
중심을	중심/NNG+을/JKO
옮겨가며	옮기/VV+어/EC+가/VX+며/EC
변화해	변화/NNG+하/XSV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.15.10.2
1930년대 대공황이 발생하자 국가의 개입과 규제를 주장하는 케인스주의가 해결사로 등장하면서, 애덤 스미스 이래 보이지 않는 손의 힘에 기대어온 고전파 경제학의 주도권이 흔들렸다.

1930년대	1930/SN+년대/NNB
대공황이	대/XPN+공황/NNG+이/JKS
발생하자	발생/NNG+하/XSV+자/EC
국가의	국가/NNG+의/JKG
개입과	개입/NNG+과/JC
규제를	규제/NNG+를/JKO
주장하는	주장/NNG+하/XSV+는/ETM
케인스주의가	케인스주의/NNG+가/JKS
해결사로	해결사/NNG+로/JKB
등장하면서,	등장/NNG+하/XSV+면서/EC+,/SP
애덤	애덤/NNP
스미스	스미스/NNP
이래	이래/NNB
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
손의	손/NNG+의/JKG
힘에	힘/NNG+에/JKB
기대어온	기대/VV+어/EC+오/VX+ㄴ/ETM
고전파	고전파/NNG
경제학의	경제학/NNG+의/JKG
주도권이	주도/NNG+권/XSN+이/JKS
흔들렸다.	흔들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.15.10.3
‘시장’이 ‘국가’에 밀린 것이다.

‘시장’이	‘/SS+시장/NNG+’/SS+이/JKS
‘국가’에	‘/SS+국가/NNG+’/SS+에/JKB
밀린	밀리/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.15.11.1
하지만 케인스주의도 영원하진 못했다.

하지만	하지만/MAJ
케인스주의도	케인스주의/NNG+도/JX
영원하진	영원/NNG+하/XSA+지/EC+ㄴ/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.15.11.2
정부가 고용을 창출하고 복지 예산을 늘리면 총수요를 확대할 수 있다고 했으나, 높은 실업률과 만성적 스태그플레이션이 지속되면서 고전파 경제학의 유전 형질을 물려받은 신자유주의에 패권을 넘겨줬다.

정부가	정부/NNG+가/JKS
고용을	고용/NNG+을/JKO
창출하고	창출/NNG+하/XSV+고/EC
복지	복지/NNG
예산을	예산/NNG+을/JKO
늘리면	늘리/VV+면/EC
총수요를	총수요/NNG+를/JKO
확대할	확대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
했으나,	하/VV+았/EP+으나/EC+,/SP
높은	높/VA+은/ETM
실업률과	실업/NNG+률/XSN+과/JC
만성적	만성/NNG+적/XSN
스태그플레이션이	스태그플레이션/NNG+이/JKS
지속되면서	지속/NNG+되/XSV+면서/EC
고전파	고전파/NNG
경제학의	경제학/NNG+의/JKG
유전	유전/NNG
형질을	형질/NNG+을/JKO
물려받은	물려받/VV+은/ETM
신자유주의에	신/XPN+자유주의/NNG+에/JKB
패권을	패권/NNG+을/JKO
넘겨줬다.	넘겨주/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.15.11.3
신자유주의 또한 1970년대 말∼1980년대 초 영국의 마거릿 대처 총리, 미국의 로널드 레이건 대통령의 지원에 힘입어 최근까지 30여 년간 지배적인 경제체제로 군림했으나 최근 경제위기의 주범으로 몰리고 있다.

신자유주의	신/XPN+자유주의/NNG
또한	또한/MAG
1970년대	1970/SN+년대/NNB
말∼1980년대	말/NNB+∼/SO+1980/SN+년대/NNB
초	초/NNB
영국의	영국/NNP+의/JKG
마거릿	마거릿/NNP
대처	대처/NNP
총리,	총리/NNG+,/SP
미국의	미국/NNP+의/JKG
로널드	로널드/NNP
레이건	레이건/NNP
대통령의	대통령/NNG+의/JKG
지원에	지원/NNG+에/JKB
힘입어	힘입/VV+어/EC
최근까지	최근/NNG+까지/JX
30여	30/SN+여/XSN
년간	년/NNB+간/XSN
지배적인	지배/NNG+적/XSN+이/VCP+ㄴ/ETM
경제체제로	경제/NNG+체제/NNG+로/JKB
군림했으나	군림/NNG+하/XSV+았/EP+으나/EC
최근	최근/NNG
경제위기의	경제/NNG+위기/NNG+의/JKG
주범으로	주범/NNG+으로/JKB
몰리고	몰리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.15.12.1
○ 케인스주의의 부활인가

○	○/SW
케인스주의의	케인스주의/NNG+의/JKG
부활인가	부활/NNG+이/VCP+ㄴ가/EF


# id : NWRW1800000021.15.13.1
“우리는 이제 모두 케인지언(케인스주의자)이다.”

“우리는	“/SS+우리/NP+는/JX
이제	이제/MAG
모두	모두/MAG
케인지언(케인스주의자)이다.”	케인지언/NNG+(/SS+케인스주의자/NNG+)/SS+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000021.15.14.1
영국 파이낸셜타임스의 칼럼니스트 마틴 울프 씨는 최근 칼럼에서 서두를 이렇게 시작했다.

영국	영국/NNP
파이낸셜타임스의	파이낸셜타임스/NNP+의/JKG
칼럼니스트	칼럼니스트/NNG
마틴	마틴/NNP
울프	울프/NNP
씨는	씨/NNB+는/JX
최근	최근/NNG
칼럼에서	칼럼/NNG+에서/JKB
서두를	서두/NNG+를/JKO
이렇게	이렇/VA+게/EC
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.14.2
1971년 리처드 닉슨 미국 대통령이 대공황 극복에 기여했다는 점을 들어 케인스에게 찬사를 보내며 했던 말을 그대로 옮긴 것이다.

1971년	1971/SN+년/NNB
리처드	리처드/NNP
닉슨	닉슨/NNP
미국	미국/NNP
대통령이	대통령/NNG+이/JKS
대공황	대/XPN+공황/NNG
극복에	극복/NNG+에/JKB
기여했다는	기여/NNG+하/XSV+았/EP+다는/ETM
점을	점/NNG+을/JKO
들어	들/VV+어/EC
케인스에게	케인스/NNP+에게/JKB
찬사를	찬사/NNG+를/JKO
보내며	보내/VV+며/EC
했던	하/VV+았/EP+던/ETM
말을	말/NNG+을/JKO
그대로	그대로/MAG
옮긴	옮기/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.15.14.3
울프 씨뿐 아니라 글로벌 경제위기를 맞아 폴 크루그먼 프린스턴대 교수, 조지프 스티글리츠 컬럼비아대 교수 등도 케인스주의를 강조하고 있다.

울프	울프/NNP
씨뿐	씨/NNB+뿐/JX
아니라	아니/VCN+라/EC
글로벌	글로벌/NNG
경제위기를	경제/NNG+위기/NNG+를/JKO
맞아	맞/VV+아/EC
폴	폴/NNP
크루그먼	크루그먼/NNP
프린스턴대	프린스턴대/NNP
교수,	교수/NNG+,/SP
조지프	조지프/NNP
스티글리츠	스티글리츠/NNP
컬럼비아대	컬럼비아대/NNP
교수	교수/NNG
등도	등/NNB+도/JX
케인스주의를	케인스주의/NNG+를/JKO
강조하고	강조/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.15.15.1
미국의 채권투자회사 ‘핌코’의 투자책임자 윌리엄 그로스 씨는 최근 한 인터뷰에서 “이제는 뉴욕이 아니라 워싱턴이다”고 말했다.

미국의	미국/NNP+의/JKG
채권투자회사	채권/NNG+투자/NNG+회사/NNG
‘핌코’의	‘/SS+핌코/NNP+’/SS+의/JKG
투자책임자	투자/NNG+책임자/NNG
윌리엄	윌리엄/NNP
그로스	그로스/NNP
씨는	씨/NNB+는/JX
최근	최근/NNG
한	한/MMN
인터뷰에서	인터뷰/NNG+에서/JKB
“이제는	“/SS+이제/NNG+는/JX
뉴욕이	뉴욕/NNP+이/JKC
아니라	아니/VCN+라/EC
워싱턴이다”고	워싱턴/NNP+이/VCP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.15.2
미국 경제를 좌우하는 중심이 ‘시장’에서 ‘정부’로 이동했다는 뜻이다.

미국	미국/NNP
경제를	경제/NNG+를/JKO
좌우하는	좌우/NNG+하/XSV+는/ETM
중심이	중심/NNG+이/JKS
‘시장’에서	‘/SS+시장/NNG+’/SS+에서/JKB
‘정부’로	‘/SS+정부/NNG+’/SS+로/JKB
이동했다는	이동/NNG+하/XSV+았/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.15.15.3
한때 ‘월가의, 월가에 의한, 월가를 위한 국가’라는 말이 있을 정도로 미국의 정책을 좌우했던 월가는 지금 새 정부의 부양책을 초조하게 기다리는 처지가 됐다.

한때	한때/MAG
‘월가의,	‘/SS+월가/NNP+의/JKG+,/SP
월가에	월가/NNP+에/JKB
의한,	의하/VV+ㄴ/ETM+,/SP
월가를	월가/NNP+를/JKO
위한	위하/VV+ㄴ/ETM
국가’라는	국가/NNG+’/SS+이/VCP+라는/ETM
말이	말/NNG+이/JKS
있을	있/VA+을/ETM
정도로	정도/NNG+로/JKB
미국의	미국/NNP+의/JKG
정책을	정책/NNG+을/JKO
좌우했던	좌우/NNG+하/XSV+았/EP+던/ETM
월가는	월가/NNP+는/JX
지금	지금/MAG
새	새/MMA
정부의	정부/NNG+의/JKG
부양책을	부양책/NNG+을/JKO
초조하게	초조/NNG+하/XSA+게/EC
기다리는	기다리/VV+는/ETM
처지가	처지/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.15.16.1
다윈의 자연선택론에 따르면 케인스주의는 1970년대 초반 경제 환경에 맞지 않아 ‘도태’됐던 시스템이다.

다윈의	다윈/NNP+의/JKG
자연선택론에	자연/NNG+선택/NNG+론/XSN+에/JKB
따르면	따르/VV+면/EC
케인스주의는	케인스주의/NNG+는/JX
1970년대	1970/SN+년대/NNB
초반	초반/NNG
경제	경제/NNG
환경에	환경/NNG+에/JKB
맞지	맞/VV+지/EC
않아	않/VX+아/EC
‘도태’됐던	‘/SS+도태/NNG+’/SS+되/XSV+었/EP+던/ETM
시스템이다.	시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.15.16.2
그러나 환경 변화에 따라서 변이는 어떤 식으로든 일어날 수 있다는 진화론적 관점에서 볼 때 현재의 경제 환경은 뉴 케인스주의로 볼 수 있는 ‘변이’의 발생을 부채질하고 있다.

그러나	그러나/MAJ
환경	환경/NNG
변화에	변화/NNG+에/JKB
따라서	따르/VV+아서/EC
변이는	변이/NNG+는/JX
어떤	어떤/MMD
식으로든	식/NNB+으로/JKB+든/JX
일어날	일어나/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
진화론적	진화/NNG+론/XSN+적/XSN
관점에서	관점/NNG+에서/JKB
볼	보/VV+ㄹ/ETM
때	때/NNG
현재의	현재/NNG+의/JKG
경제	경제/NNG
환경은	환경/NNG+은/JX
뉴	뉴/NNG
케인스주의로	케인스주의/NNG+로/JKB
있는	있/VA+는/ETM
‘변이’의	‘/SS+변이/NNG+’/SS+의/JKG
발생을	발생/NNG+을/JKO
부채질하고	부채/NNG+질/XSN+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.15.17.1
대표적 케인지언인 크루그먼 교수는 최근 인터뷰에서 “케인스의 업적은 오늘날 우리의 곤경을 해결할 좋은 가이드”라면서 규제와 누진세제, 과감한 재정지출을 주문했다.

대표적	대표/NNG+적/XSN
케인지언인	케인지언/NNG+이/VCP+ㄴ/ETM
크루그먼	크루그먼/NNP
교수는	교수/NNG+는/JX
최근	최근/NNG
인터뷰에서	인터뷰/NNG+에서/JKB
“케인스의	“/SS+케인스/NNP+의/JKG
업적은	업적/NNG+은/JX
오늘날	오늘날/NNG
우리의	우리/NP+의/JKG
곤경을	곤경/NNG+을/JKO
해결할	해결/NNG+하/XSV+ㄹ/ETM
좋은	좋/VA+은/ETM
가이드”라면서	가이드/NNG+”/SS+이/VCP+라면서/EC
규제와	규제/NNG+와/JC
누진세제,	누진세/NNG+제/XSN+,/SP
과감한	과감하/VA+ㄴ/ETM
재정지출을	재정/NNG+지출/NNG+을/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.17.2
파산 위기의 금융회사들과 제조업체들에 천문학적인 공적자금을 투입하려고 하는 정책 등이 이미 케인스주의의 등장인 것이다.

파산	파산/NNG
위기의	위기/NNG+의/JKG
금융회사들과	금융/NNG+회사/NNG+들/XSN+과/JC
제조업체들에	제조업체/NNG+들/XSN+에/JKB
천문학적인	천문학/NNG+적/XSN+이/VCP+ㄴ/ETM
공적자금을	공/NNG+적/XSN+자금/NNG+을/JKO
투입하려고	투입/NNG+하/XSV+려고/EC
하는	하/VX+는/ETM
정책	정책/NNG
등이	등/NNB+이/JKS
이미	이미/MAG
케인스주의의	케인스주의/NNG+의/JKG
등장인	등장/NNG+이/VCP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000021.15.17.3
고든 브라운 영국 총리도 지난해 12월 “모든 나라가 경기 부양책을 실시해야 한다”고 촉구했다.

고든	고든/NNP
브라운	브라운/NNP
영국	영국/NNP
총리도	총리/NNG+도/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
“모든	“/SS+모든/MMN
나라가	나라/NNG+가/JKS
경기	경기/NNG
부양책을	부양책/NNG+을/JKO
실시해야	실시/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.15.18.1
○ 다윈의 눈으로 본 신자유주의의 미래

