# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.271
metadata : {}


# id : NWRW1800000054.271.1.1
'빠른 발'로 만들어낸 사이클링 히트

'빠른	'/SS+빠르/VA+ㄴ/ETM
첨병	첨병/NNG
역할을	역할/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.271.5.2
딱 두 달 전(6월 3일) 0.273에 그쳤던 시즌 타율이 어느새 0.320까지 올랐다.

딱	딱/MAG
두	두/MMN
달	달/NNB
전(6월	전/NNG+(/SS+6/SN+월/NNB
3일)	3/SN+일/NNB+)/SS
0.273에	0/SN+./SP+273/SN+에/JKB
그쳤던	그치/VV+었/EP+던/ETM
시즌	시즌/NNG
타율이	타율/NNG+이/JKS
어느새	어느새/MAG
0.320까지	0/SN+./SP+320/SN+까지/JX
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.271.5.3
그는 '호타준족'의 상징인 '20홈런-20도루' 달성에 홈런 1개만을 남겼다.

그는	그/NP+는/JX
'호타준족'의	'/SS+호타준족/NNG+'/SS+의/JKG
상징인	상징/NNG+이/VCP+ㄴ/ETM
'20홈런-20도루'	'/SS+20/SN+홈런/NNG+-/SO+20/SN+도루/NNG+'/SS
달성에	달성/NNG+에/JKB
홈런	홈런/NNG
1개만을	1/SN+개/NNB+만/JX+을/JKO
남겼다.	남기/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.271.5.4
도루는 이미 21개를 성공했다.

도루는	도루/NNG+는/JX
이미	이미/MAG
21개를	21/SN+개/NNB+를/JKO
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.271.6.1
KIA 에이스 양현종(29)은 6이닝 7피안타 3실점으로 시즌 15승째를 따냈다.

KIA	KIA/SL
에이스	에이스/NNG
양현종(29)은	양현종/NNP+(/SS+29/SN+)/SS+은/JX
6이닝	6/SN+이닝/NNG
7피안타	7/SN+피/XPN+안타/NNG
3실점으로	3/SN+실점/NNG+으로/JKB
시즌	시즌/NNG
15승째를	15/SN+승/NNB+째/XSN+를/JKO
따냈다.	따내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.271.6.2
팀 동료 헥터 노에시(15승1패)와 함께 다승 공동 선두다.

팀	팀/NNG
동료	동료/NNG
헥터	헥터/NNP
노에시(15승1패)와	노에시/NNP+(/SS+15/SN+승/NNB+1/SN+패/NNB+)/SS+와/JKB
함께	함께/MAG
다승	다승/NNG
공동	공동/NNG
선두다.	선두/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.271.7.1
3위 두산은 삼성을 14대4로 누르고 4연승 했다.

3위	3/SN+위/NNB
두산은	두산/NNP+은/JX
삼성을	삼성/NNP+을/JKO
14대4로	14/SN+대/NNB+4/SN+로/JKB
누르고	누르/VV+고/EC
4연승	4/SN+연승/NNG
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.271.7.2
5위 LG는 롯데를 9대6, 넥센은 SK를 11대3으로 누르고 나란히 5연승을 달렸다.

5위	5/SN+위/NNB
LG는	LG/SL+는/JX
롯데를	롯데/NNP+를/JKO
9대6,	9/SN+대/NNB+6/SN+,/SP
넥센은	넥센/NNP+은/JX
SK를	SK/SL+를/JKO
11대3으로	11/SN+대/NNB+3/SN+으로/JKB
누르고	누르/VV+고/EC
나란히	나란히/MAG
5연승을	5/SN+연승/NNG+을/JKO
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.271.7.3
5위 넥센과 6위 SK의 게임 차는 4게임으로 벌어졌다.

5위	5/SN+위/NNB
넥센과	넥센/NNP+과/JKB
6위	6/SN+위/NNB
SK의	SK/SL+의/JKG
게임	게임/NNG
차는	차/NNG+는/JX
4게임으로	4/SN+게임/NNG+으로/JKB
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


