# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.369
metadata : {}


# id : NWRW1800000036.369.1.1
여당, 색깔론 씌워 헌재 다양성 봉쇄

여당,	여당/NNG+,/SP
국회는 이날 본회의를 열어 조 후보자 선출안을 무기명 투표에 부쳤다.

국회는	국회/NNG+는/JX
이날	이날/NNG
본회의를	본회의/NNG+를/JKO
열어	열/VV+어/EC
조	조/NNP
후보자	후보자/NNG
선출안을	선출/NNG+안/NNG+을/JKO
무기명	무/XPN+기명/NNG
투표에	투표/NNG+에/JKB
부쳤다.	부치/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.369.5.2
전체 투표 의원 252명 중 찬성 115명, 반대 129명, 기권 8명으로 선출안은 부결됐다.

전체	전체/NNG
투표	투표/NNG
의원	의원/NNG
252명	252/SN+명/NNB
중	중/NNB
찬성	찬성/NNG
115명,	115/SN+명/NNB+,/SP
반대	반대/NNG
129명,	129/SN+명/NNB+,/SP
기권	기권/NNG
8명으로	8/SN+명/NNB+으로/JKB
선출안은	선출/NNG+안/NNG+은/JX
부결됐다.	부결/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.369.5.3
이로써 지난해 7월8일 조대현 헌재재판관 퇴임 이래 217일간 이어져 온 헌재재판관 공석 사태가 더욱 길어질 것으로 보인다.

이로써	이/NP+로써/JKB
지난해	지난해/NNG
7월8일	7/SN+월/NNB+8/SN+일/NNB
조대현	조대현/NNP
헌재재판관	헌재/NNG+재판관/NNG
퇴임	퇴임/NNG
이래	이래/NNB
217일간	217/SN+일/NNB+간/XSN
이어져	이어지/VV+어/EC
온	오/VX+ㄴ/ETM
공석	공석/NNG
사태가	사태/NNG+가/JKS
더욱	더욱/MAG
길어질	길어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.369.5.4
국회는 새 헌재재판관 후보자의 추천 및 인사청문 절차를 다시 밟아야 한다.

국회는	국회/NNG+는/JX
새	새/MMA
헌재재판관	헌재/NNG+재판관/NNG
후보자의	후보자/NNG+의/JKG
추천	추천/NNG
및	및/MAG
인사청문	인사/NNG+청문/NNG
절차를	절차/NNG+를/JKO
다시	다시/MAG
밟아야	밟/VV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.369.6.1
민주당은 지난해 6월 조 후보자를 조대현 헌재재판관 후임으로 추천했다.

민주당은	민주당/NNP+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
조	조/NNP
후보자를	후보자/NNG+를/JKO
조대현	조대현/NNP
헌재재판관	헌재/NNG+재판관/NNG
후임으로	후임/NNG+으로/JKB
추천했다.	추천/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.369.6.2
그러나 새누리당(당시 한나라당)의 여러 의원들은 인사청문회에서 나온 조 후보자의 천안함 관련 발언을 문제삼아 선출에 반대해왔다.

그러나	그러나/MAJ
새누리당(당시	새누리당/NNP+(/SS+당시/NNG
한나라당)의	한나라당/NNP+)/SS+의/JKG
여러	여러/MMN
의원들은	의원/NNG+들/XSN+은/JX
인사청문회에서	인사/NNG+청문회/NNG+에서/JKB
나온	나오/VV+ㄴ/ETM
조	조/NNP
후보자의	후보자/NNG+의/JKG
천안함	천안함/NNP
관련	관련/NNG
발언을	발언/NNG+을/JKO
문제삼아	문제/NNG+삼/VV+아/EC
선출에	선출/NNG+에/JKB
반대해왔다.	반대/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.369.6.3
민주당은 헌법에 보장된 야당의 추천권을 인정해 달라며 찬성 당론을 새누리당에 요구했으나, 새누리당은 자유투표를 고수했다.

민주당은	민주당/NNP+은/JX
헌법에	헌법/NNG+에/JKB
보장된	보장/NNG+되/XSV+ㄴ/ETM
야당의	야당/NNG+의/JKG
추천권을	추천/NNG+권/XSN+을/JKO
인정해	인정/NNG+하/XSV+아/EC
달라며	달/VX+라며/EC
찬성	찬성/NNG
당론을	당론/NNG+을/JKO
새누리당에	새누리당/NNP+에/JKB
요구했으나,	요구/NNG+하/XSV+았/EP+으나/EC+,/SP
새누리당은	새누리당/NNP+은/JX
자유투표를	자유/NNG+투표/NNG+를/JKO
고수했다.	고수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.369.7.1
이날 표결 결과를 두고 야당은 ‘헌법 유린’, ‘야당 무시’라며 강하게 반발했다.

이날	이날/NNG
표결	표결/NNG
결과를	결과/NNG+를/JKO
두고	두/VV+고/EC
야당은	야당/NNG+은/JX
‘헌법	‘/SS+헌법/NNG
유린’,	유린/NNG+’/SS+,/SP
‘야당	‘/SS+야당/NNG
무시’라며	무시/NNG+’/SS+이/VCP+라며/EC
강하게	강하/VA+게/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.369.7.2
김유정 민주당 대변인은 “이명박 대통령이나 박근혜 비대위원장이나 초록은 동색임이 입증됐다”며 “다수의 힘으로 헌법까지 무시하는 행태가 새누리당 정권의 본질이고, 불치병”이라고 규탄했다.

김유정	김유정/NNP
민주당	민주당/NNP
대변인은	대변인/NNG+은/JX
“이명박	“/SS+이명박/NNP
대통령이나	대통령/NNG+이나/JC
박근혜	박근혜/NNP
비대위원장이나	비대위원장/NNG+이나/JC
초록은	초록/NNG+은/JX
동색임이	동색/NNG+이/VCP+ㅁ/ETN+이/JKS
입증됐다”며	입증/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“다수의	“/SS+다수/NNG+의/JKG
힘으로	힘/NNG+으로/JKB
헌법까지	헌법/NNG+까지/JX
무시하는	무시/NNG+하/XSV+는/ETM
행태가	행태/NNG+가/JKS
새누리당	새누리당/NNP
정권의	정권/NNG+의/JKG
본질이고,	본질/NNG+이/VCP+고/EC+,/SP
불치병”이라고	불치병/NNG+”/SS+이라고/JKQ
규탄했다.	규탄/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.369.7.3
민주당은 10일 본회의 등 의사일정 참여를 당분간 거부하기로 했다.

민주당은	민주당/NNP+은/JX
10일	10/SN+일/NNB
본회의	본회의/NNG
등	등/NNB
의사일정	의사일정/NNG
참여를	참여/NNG+를/JKO
당분간	당분간/MAG
거부하기로	거부/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.369.7.4
천호선 통합진보당 대변인은 “6년 만에 야당이 재판관을 추천하는 유일한 기회를 부결시킨 것은 유례없는 다수당의 폭거”라고 비판했다.

천호선	천호선/NNP
통합진보당	통합진보당/NNP
대변인은	대변인/NNG+은/JX
“6년	“/SS+6/SN+년/NNB
만에	만/NNB+에/JKB
야당이	야당/NNG+이/JKS
재판관을	재판관/NNG+을/JKO
추천하는	추천/NNG+하/XSV+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
기회를	기회/NNG+를/JKO
부결시킨	부결/NNG+시키/XSV+ㄴ/ETM
것은	것/NNB+은/JX
유례없는	유례없/VA+는/ETM
다수당의	다수당/NNG+의/JKG
폭거”라고	폭거/NNG+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.369.8.1
민주당이 발의한 ‘10·26 재보선일 중앙선관위와 박원순 서울시장 후보 홈페이지에 대한 사이버테러 진상규명을 위한 특별검사 임명법’(디도스 특검법)과 새누리당이 발의한 ‘미디어렙(방송광고판매대행)법’ 수정안은 이날 국회를 통과했다.

민주당이	민주당/NNP+이/JKS
발의한	발의/NNG+하/XSV+ㄴ/ETM
‘10·26	‘/SS+10/SN+·/SP+26/SN
재보선일	재보선/NNG+일/NNB
중앙선관위와	중앙/NNG+선관위/NNG+와/JC
박원순	박원순/NNP
서울시장	서울시장/NNG
후보	후보/NNG
홈페이지에	홈페이지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
사이버테러	사이버/NNG+테러/NNG
진상규명을	진상/NNG+규명/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
특별검사	특별/NNG+검사/NNG
임명법’(디도스	임명/NNG+법/NNG+’/SS+(/SS+디도스/NNG
특검법)과	특검법/NNG+)/SS+과/JC
새누리당이	새누리당/NNP+이/JKS
‘미디어렙(방송광고판매대행)법’	‘/SS+미디어렙/NNG+(/SS+방송/NNG+광고/NNG+판매/NNG+대행/NNG+)/SS+법/NNG+’/SS
수정안은	수정안/NNG+은/JX
이날	이날/NNG
국회를	국회/NNG+를/JKO
통과했다.	통과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.369.8.2
미디어렙법 수정안은 13조3항의 ‘특수관계자’에서 방송사업자를 제외해, 종합편성채널의 소유지분 한도를 40%가 아닌 10%로 해석할 여지를 차단했다.

미디어렙법	미디어렙/NNG+법/NNG
수정안은	수정안/NNG+은/JX
13조3항의	13/SN+조/NNB+3/SN+항/NNG+의/JKG
‘특수관계자’에서	‘/SS+특수/NNG+관계자/NNG+’/SS+에서/JKB
방송사업자를	방송/NNG+사업자/NNG+를/JKO
제외해,	제외/NNG+하/XSV+아/EC+,/SP
종합편성채널의	종합/NNG+편성/NNG+채널/NNG+의/JKG
소유지분	소유/NNG+지분/NNG
한도를	한도/NNG+를/JKO
40%가	40/SN+%/SW+가/JKC
아닌	아니/VCN+ㄴ/ETM
10%로	10/SN+%/SW+로/JKB
해석할	해석/NNG+하/XSV+ㄹ/ETM
여지를	여지/NNB+를/JKO
차단했다.	차단/NNG+하/XSV+았/EP+다/EF+./SF


