# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.313
metadata : {}


# id : NWRW1800000021.313.1.1
“무의미한 연명치료중단 이것만은 지킵시다”

“무의미한	“/SS+무/XPN+의미/NNG+하/XSA+ㄴ/ETM
# id : NWRW1800000021.313.7.1
5. 말기상태의 판정은 담당 주치의와 해당 분야 전문의 등 2인 이상이 수행

5.	5/SN+./SF
말기상태의	말기/NNG+상태/NNG+의/JKG
판정은	판정/NNG+은/JX
담당	담당/NNG
주치의와	주치의/NNG+와/JC
해당	해당/NNG
분야	분야/NNG
전문의	전문의/NNG
등	등/NNB
2인	2/SN+인/NNG
이상이	이상/NNG+이/JKS
수행	수행/NNG


# id : NWRW1800000021.313.8.1
6. 의사는 말기환자에게 호스피스 선택과 사전의료지시서 작성 등에 대해 설명

6.	6/SN+./SF
의사는	의사/NNG+는/JX
말기환자에게	말기/NNG+환자/NNG+에게/JKB
호스피스	호스피스/NNG
선택과	선택/NNG+과/JC
사전의료지시서	사전/NNG+의료/NNG+지시서/NNG
작성	작성/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
설명	설명/NNG


# id : NWRW1800000021.313.9.1
7. 의학적 판단 및 가치판단이 불확실할 경우 병원윤리위원회 역할이 중요

7.	7/SN+./SF
의학적	의학/NNG+적/XSN
판단	판단/NNG
및	및/MAG
가치판단이	가치/NNG+판단/NNG+이/JKS
불확실할	불확실/NNG+하/XSA+ㄹ/ETM
경우	경우/NNG
병원윤리위원회	병원/NNG+윤리/NNG+위원회/NNG
역할이	역할/NNG+이/JKS
중요	중요/NNG


# id : NWRW1800000021.313.10.1
8. 영양 공급과 통증 조절 등 기본적인 의료행위는 유지돼야 함

8.	8/SN+./SF
영양	영양/NNG
공급과	공급/NNG+과/JC
통증	통증/NNG
조절	조절/NNG
등	등/NNB
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
의료행위는	의료/NNG+행위/NNG+는/JX
유지돼야	유지/NNG+되/XSV+어야/EC
함	하/VV+ㅁ/ETN


# id : NWRW1800000021.313.11.1
9. 사전의료지시서를 통한 심폐소생술, 인공호흡기 중단 가능

9.	9/SN+./SF
사전의료지시서를	사전/NNG+의료/NNG+지시서/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
심폐소생술,	심폐/NNG+소생술/NNG+,/SP
인공호흡기	인공호흡기/NNG
중단	중단/NNG
가능	가능/NNG


# id : NWRW1800000021.313.12.1
10. 심폐소생술, 인공호흡기 외 연명치료는 의료진 판단과 환자 가치관 고려해 결정

10.	10/SN+./SF
심폐소생술,	심폐/NNG+소생술/NNG+,/SP
인공호흡기	인공호흡기/NNG
외	외/NNB
연명치료는	연명/NNG+치료/NNG+는/JX
의료진	의료진/NNG
판단과	판단/NNG+과/JC
환자	환자/NNG
가치관	가치관/NNG
고려해	고려/NNG+하/XSV+아/EC
결정	결정/NNG


# id : NWRW1800000021.313.13.1
11. 연명치료 중단이 아닌 안락사 및 의사조력자살 반대

11.	11/SN+./SF
연명치료	연명/NNG+치료/NNG
중단이	중단/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
안락사	안락사/NNG
및	및/MAG
의사조력자살	의사/NNG+조력/NNG+자살/NNG
반대	반대/NNG


# id : NWRW1800000021.313.14.1
12. 관련제도 정착을 위한 사회보장제도 강화

12.	12/SN+./SF
관련제도	관련/NNG+제도/NNG
정착을	정착/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
사회보장제도	사회/NNG+보장/NNG+제도/NNG
강화	강화/NNG


