# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.171
metadata : {}


# id : NWRW1800000024.171.1.1
빈부격차 사상 최대

빈부격차	빈부/NNG+격차/NNG
깊어지고	깊어지/VV+고/EC
있기	있/VX+기/ETN
때문으로	때문/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.171.4.2
유경준 한국개발연구원(KDI) 연구위원은 “최근 비경제활동 인구가 급속히 늘고 있는 상황에서 소득 불평등 정도가 악화되는 현상은 당분간 계속될 것”이라고 전망했다.

유경준	유경준/NNP
한국개발연구원(KDI)	한국개발연구원/NNP+(/SS+KDI/SL+)/SS
연구위원은	연구/NNG+위원/NNG+은/JX
“최근	“/SS+최근/NNG
비경제활동	비/XPN+경제/NNG+활동/NNG
인구가	인구/NNG+가/JKS
급속히	급속히/MAG
늘고	늘/VV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
소득	소득/NNG
불평등	불/XPN+평등/NNG
정도가	정도/NNG+가/JKS
악화되는	악화/NNG+되/XSV+는/ETM
현상은	현상/NNG+은/JX
당분간	당분간/MAG
계속될	계속/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.171.4.3
유 위원은 “정부의 재분배 정책 효과를 반영한 가처분소득 기준 지니계수는 지난해 오히려 내려갔지만, 이는 지난 정부에서부터 진행된 소득 재분배 정책의 효과와 2008년초 경기의 영향일 뿐”이라고 말했다.

유	유/NNP
위원은	위원/NNG+은/JX
“정부의	“/SS+정부/NNG+의/JKG
재분배	재/XPN+분배/NNG
정책	정책/NNG
효과를	효과/NNG+를/JKO
반영한	반영/NNG+하/XSV+ㄴ/ETM
가처분소득	가/XPN+처분/NNG+소득/NNG
기준	기준/NNG
지니계수는	지니/NNG+계수/NNG+는/JX
지난해	지난해/NNG
오히려	오히려/MAG
내려갔지만,	내려가/VV+았/EP+지만/EC+,/SP
이는	이/NP+는/JX
지난	지나/VV+ㄴ/ETM
정부에서부터	정부/NNG+에서부터/JKB
진행된	진행/NNG+되/XSV+ㄴ/ETM
소득	소득/NNG
정책의	정책/NNG+의/JKG
효과와	효과/NNG+와/JC
2008년초	2008/SN+년/NNB+초/NNB
경기의	경기/NNG+의/JKG
영향일	영향/NNG+이/VCP+ㄹ/ETM
뿐”이라고	뿐/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


